actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-03-03T00:13:42.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-03T00:13:42Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-03-03T00:13:44.8Z,1,REGULAR,jumpball,recovered,[],1630170,,,1610612759,0,0,2025-03-03T00:13:44Z,40000,False,,,0,,Jump Ball B. Biyombo vs. I. Hartenstein: Tip to D. Vassell,"[1630170, 202687, 1628392]",1610612759.0,SAS,startperiod,D. Vassell,1630170.0,Vassell,D. Vassell,Biyombo,202687.0,Hartenstein,1628392.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2025-03-03T00:14:01.0Z,1,REGULAR,2pt,Jump Shot,[],1628368,86.15308804204993,24.019607843137255,1610612759,0,0,2025-03-03T00:14:06Z,70000,False,-130.0,78.0,1,right,MISS D. Fox 15' pullup Shot,[1628368],1610612759.0,SAS,pullup,,,Fox,D. Fox,,,,,Mid-Range,8-16 Left,15.14,Missed,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2025-03-03T00:14:03.0Z,1,REGULAR,rebound,defensive,[],1628392,,,1610612760,0,0,2025-03-03T00:14:06Z,80000,False,,,0,,I. Hartenstein REBOUND (Off:0 Def:1),[1628392],1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,Mid-Range,8-16 Left,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M24.00S,2025-03-03T00:14:18.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631114,13.87976346911958,54.90196078431373,1610612760,0,2,2025-03-03T00:14:27Z,90000,False,-25.0,78.0,1,left,J. Williams 8' pullup bank Jump Shot (2 PTS),[1631114],1610612760.0,OKC,pullup bank,,,Williams,J. Williams,,,,,In The Paint (Non-RA),8-16 Center,8.18,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M03.00S,2025-03-03T00:14:37.9Z,1,REGULAR,3pt,Jump Shot,[],1630170,66.96780551905388,37.00980392156863,1610612759,0,2,2025-03-03T00:14:42Z,100000,False,-65.0,258.0,1,right,MISS D. Vassell 26' 3PT,[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Above the Break 3,24+ Center,26.61,Missed,,,,,,,,,,,,,,,,,,
11,PT11M01.00S,2025-03-03T00:14:39.9Z,1,REGULAR,rebound,defensive,[],1641717,,,1610612760,0,2,2025-03-03T00:14:42Z,110000,False,,,0,,C. Wallace REBOUND (Off:0 Def:1),[1641717],1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,Above the Break 3,24+ Center,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT10M48.00S,2025-03-03T00:14:54.2Z,1,REGULAR,3pt,Jump Shot,[],1641717,6.1268068331143235,4.166666666666666,1610612760,0,5,2025-03-03T00:14:59Z,120000,False,229.0,5.0,1,left,C. Wallace 3PT  (3 PTS) (L. Dort 1 AST),"[1641717, 1629652]",1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,Right Corner 3,24+ Right,22.93,Made,,,,,3.0,L. Dort,1629652.0,1.0,,,,,,,,,,
14,PT10M28.00S,2025-03-03T00:15:13.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630170,83.78777923784494,45.588235294117645,1610612759,2,5,2025-03-03T00:15:19Z,140000,False,-22.0,100.0,1,right,D. Vassell 10' driving floating Jump Shot (2 PTS) (C. Paul 1 AST),"[1630170, 101108]",1610612759.0,SAS,driving floating,,,Vassell,D. Vassell,,,,,In The Paint (Non-RA),8-16 Center,10.23,Made,,,,,2.0,C. Paul,101108.0,1.0,,,,,,,,,,
16,PT10M13.00S,2025-03-03T00:15:28.2Z,1,REGULAR,3pt,Jump Shot,[],1628983,30.699737187910642,69.11764705882352,1610612760,2,8,2025-03-03T00:15:33Z,160000,False,-96.0,236.0,1,left,S. Gilgeous-Alexander 25' 3PT  (3 PTS) (J. Williams 1 AST),"[1628983, 1631114]",1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Above the Break 3,24+ Left Center,25.47,Made,,,,,3.0,J. Williams,1631114.0,1.0,,,,,,,,,,
18,PT09M59.00S,2025-03-03T00:15:42.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630170,81.553876478318,54.65686274509803,1610612759,4,8,2025-03-03T00:15:47Z,180000,False,23.0,121.0,1,right,D. Vassell 12' pullup Jump Shot (4 PTS),[1630170],1610612759.0,SAS,pullup,,,Vassell,D. Vassell,,,,,In The Paint (Non-RA),8-16 Center,12.31,Made,,,,,4.0,,,,,,,,,,,,,
19,PT09M45.00S,2025-03-03T00:15:56.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628392,7.30946123521682,55.14705882352941,1610612760,4,8,2025-03-03T00:16:02Z,190000,False,-26.0,16.0,1,left,MISS I. Hartenstein Hook,[1628392],1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,Restricted Area,0-8 Center,3.04,Missed,,,,,,,,,,,,,,,,,,
20,PT09M44.00S,2025-03-03T00:15:57.3Z,1,REGULAR,rebound,defensive,[],202687,,,1610612759,4,8,2025-03-03T00:16:02Z,200000,False,,,0,,B. Biyombo REBOUND (Off:0 Def:1),[202687],1610612759.0,SAS,,,,Biyombo,B. Biyombo,,,,,Restricted Area,0-8 Center,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,,,
21,PT09M36.00S,2025-03-03T00:16:05.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202687,92.59198423127464,45.34313725490196,1610612759,4,8,2025-03-03T00:17:26Z,210000,False,-23.0,17.0,1,right,MISS B. Biyombo cutting Layup - blocked,"[202687, 1628392]",1610612759.0,SAS,cutting,,,Biyombo,B. Biyombo,,,,,Restricted Area,0-8 Center,2.89,Missed,,,,,,,,,Hartenstein,1628392.0,,,,,,,,
22,PT09M36.00S,2025-03-03T00:16:05.5Z,1,REGULAR,block,,[],1628392,,,1610612759,4,8,2025-03-03T00:16:09Z,220000,False,,,0,,I. Hartenstein BLOCK (1 BLK),[1628392],1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
23,PT09M35.00S,2025-03-03T00:16:06.5Z,1,REGULAR,rebound,defensive,[],1641717,,,1610612760,4,8,2025-03-03T00:17:54Z,230000,False,,,0,,C. Wallace REBOUND (Off:0 Def:2),[1641717],1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,Restricted Area,0-8 Center,,,21.0,2.0,2.0,0.0,,,,,,,,,,,,,,
24,PT09M29.00S,2025-03-03T00:16:12.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629652,20.97568988173456,91.91176470588235,1610612760,4,8,2025-03-03T00:18:15Z,240000,False,-210.0,145.0,1,left,MISS L. Dort 25' running 3PT,[1629652],1610612760.0,OKC,running,,,Dort,L. Dort,,,,,Above the Break 3,24+ Left Center,25.47,Missed,,,,,,,,,,,,,,,,,,
25,PT09M29.00S,2025-03-03T00:16:12.8Z,1,REGULAR,rebound,offensive,[],1628983,,,1610612760,4,8,2025-03-03T01:17:15Z,250000,False,,,0,,S. Gilgeous-Alexander REBOUND (Off:1 Def:0),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Above the Break 3,24+ Left Center,,,24.0,1.0,0.0,1.0,,,,,,,,,,,,,,
26,PT09M23.00S,2025-03-03T00:16:19.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1631114,31.882391590013142,60.049019607843135,1610612760,4,11,2025-03-03T00:16:24Z,260000,False,-50.0,247.0,1,left,J. Williams 25' 3PT  (5 PTS),[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,Above the Break 3,24+ Center,25.22,Made,,,,,5.0,,,,,,,,,,,,,
28,PT09M08.00S,2025-03-03T00:16:33.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630170,86.94152431011827,47.549019607843135,1610612759,4,11,2025-03-03T00:16:40Z,280000,False,-12.0,70.0,1,right,MISS D. Vassell 7' driving floating Shot,[1630170],1610612759.0,SAS,driving floating,,,Vassell,D. Vassell,,,,,In The Paint (Non-RA),0-8 Center,7.13,Missed,,,,,,,,,,,,,,,,,,
