actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-12-22T01:41:31.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-12-22T01:41:31Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2024-12-22T01:41:35.0Z,1,REGULAR,jumpball,recovered,[],101108,,,1610612759,0,0,2024-12-22T01:41:35Z,40000,False,,,0,,Jump Ball V. Wembanyama vs. D. Ayton: Tip to C. Paul,"[101108, 1641705, 1629028]",1610612759.0,SAS,startperiod,C. Paul,101108.0,Paul,C. Paul,Wembanyama,1641705.0,Ayton,1629028.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2024-12-22T01:41:50.0Z,1,REGULAR,foul,personal,[],203924,,,1610612759,0,0,2024-12-22T01:42:05Z,70000,False,,,0,,J. Grant personal FOUL (1 PF),"[203924, 1641705]",1610612757.0,POR,,,,Grant,J. Grant,,,,,In The Paint (Non-RA),8-16 Left,1628159.0,1.0,0.0,Wembanyama,1641705.0,,,,,,,,,,,,,,,
9,PT11M37.00S,2024-12-22T01:42:13.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630170,7.30946123521682,49.01960784313725,1610612759,2,0,2024-12-22T01:42:31Z,90000,False,5.0,16.0,1,left,D. Vassell driving Layup (2 PTS) (H. Barnes 1 AST),"[1630170, 203084]",1610612759.0,SAS,driving,,,Vassell,D. Vassell,,,,,Restricted Area,0-8 Center,,,,,,1.69,Made,2.0,H. Barnes,203084.0,1.0,,,,,,,,,
11,PT11M37.00S,2024-12-22T01:42:19.8Z,1,REGULAR,foul,personal,['1freethrow'],1629014,,,1610612759,2,0,2024-12-22T01:42:29Z,110000,False,,,0,,A. Simons shooting personal FOUL (1 PF) (Vassell 1 FT),"[1629014, 1630170]",1610612757.0,POR,shooting,,,Simons,A. Simons,,,,,Restricted Area,0-8 Center,2004.0,1.0,0.0,Vassell,1630170.0,,,,,,,,,,,,,,,
13,PT11M37.00S,2024-12-22T01:42:38.3Z,1,REGULAR,freethrow,1 of 1,[],1630170,,,1610612759,3,0,2024-12-22T01:42:38Z,130000,False,,,0,,D. Vassell Free Throw 1 of 1 (3 PTS),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,,,,,,,,,Made,3.0,,,,,,,,,,,,
14,PT11M19.00S,2024-12-22T01:42:56.9Z,1,REGULAR,2pt,Jump Shot,[],203924,74.45795006570303,49.754901960784316,1610612757,3,0,2024-12-22T01:43:03Z,140000,False,-1.0,188.0,1,right,MISS J. Grant 18' pullup Shot,[203924],1610612757.0,POR,pullup,,,Grant,J. Grant,,,,,Mid-Range,16-24 Center,,,,,,18.76,Missed,,,,,,,,,,,,,
15,PT11M14.00S,2024-12-22T01:43:01.9Z,1,REGULAR,rebound,defensive,[],1631110,,,1610612759,3,0,2024-12-22T01:43:03Z,150000,False,,,0,,J. Sochan REBOUND (Off:0 Def:1),[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,
16,PT11M08.00S,2024-12-22T01:43:08.8Z,1,REGULAR,turnover,bad pass,[],1641705,,,1610612759,3,0,2024-12-22T01:43:20Z,160000,False,,,0,,V. Wembanyama bad pass TURNOVER (1 TO),"[1641705, 1629014]",1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1.0,Simons,1629014.0,,
17,PT11M08.00S,2024-12-22T01:43:08.8Z,1,REGULAR,steal,,[],1629014,,,1610612757,3,0,2024-12-22T01:43:13Z,170000,False,,,0,,A. Simons STEAL (1 STL),[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
18,PT10M53.00S,2024-12-22T01:43:23.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629028,92.46057818659659,4.166666666666666,1610612757,3,0,2024-12-22T01:43:29Z,180000,False,-229.0,18.0,1,right,MISS D. Ayton 3PT,[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,Left Corner 3,24+ Left,,,,,,22.99,Missed,,,,,,,,,,,,,
19,PT10M48.00S,2024-12-22T01:43:28.7Z,1,REGULAR,rebound,defensive,[],1631110,,,1610612759,3,0,2024-12-22T01:43:29Z,190000,False,,,0,,J. Sochan REBOUND (Off:0 Def:2),[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,18.0,2.0,2.0,0.0,,,,,
20,PT10M40.00S,2024-12-22T01:43:35.5Z,1,REGULAR,3pt,Jump Shot,[],1630170,10.249671484888305,4.189644607843137,1610612759,3,0,2024-12-22T01:43:45Z,200000,False,229.0,44.0,1,left,MISS D. Vassell 3PT,[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Right Corner 3,24+ Right,,,,,,23.32,Missed,,,,,,,,,,,,,
21,PT10M34.00S,2024-12-22T01:43:41.5Z,1,REGULAR,rebound,offensive,[],1631110,,,1610612759,3,0,2024-12-22T01:43:45Z,210000,False,,,0,,J. Sochan REBOUND (Off:1 Def:2),[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,20.0,3.0,2.0,1.0,,,,,
22,PT10M24.00S,2024-12-22T01:43:52.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630170,17.821944809461236,6.372549019607843,1610612759,3,0,2024-12-22T01:45:12Z,220000,False,218.0,115.0,1,left,MISS D. Vassell 24' pullup 3PT,[1630170],1610612759.0,SAS,pullup,,,Vassell,D. Vassell,,,,,Above the Break 3,24+ Right Center,,,,,,24.66,Missed,,,,,,,,,,,,,
23,PT10M16.00S,2024-12-22T01:44:00.2Z,1,REGULAR,rebound,defensive,[],1641739,,,1610612757,3,0,2024-12-22T01:46:36Z,230000,False,,,0,,T. Camara REBOUND (Off:0 Def:1),[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,22.0,1.0,1.0,0.0,,,,,
24,PT10M14.00S,2024-12-22T01:44:01.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203924,74.06373193166885,83.08823529411765,1610612757,3,3,2024-12-22T01:47:38Z,240000,False,165.0,191.0,1,right,J. Grant 25' 3PT running pullup (3 PTS) (T. Camara 1 AST),"[203924, 1641739]",1610612757.0,POR,running pullup,,,Grant,J. Grant,,,,,Above the Break 3,24+ Right Center,,,,,,25.29,Made,3.0,T. Camara,1641739.0,1.0,,,,,,,,,
26,PT10M00.00S,2024-12-22T01:44:15.3Z,1,REGULAR,2pt,Jump Shot,[],1641705,14.931011826544022,17.401960784313726,1610612759,5,3,2024-12-22T01:48:16Z,260000,False,163.0,88.0,1,left,V. Wembanyama 18' pullup bank Jump Shot (2 PTS),[1641705],1610612759.0,SAS,pullup bank,,,Wembanyama,V. Wembanyama,,,,,Mid-Range,16-24 Right,,,,,,18.52,Made,2.0,,,,,,,,,,,,
27,PT09M48.00S,2024-12-22T01:44:28.1Z,1,REGULAR,2pt,Jump Shot,[],1631101,74.32654402102497,27.450980392156865,1610612757,5,5,2024-12-22T01:44:44Z,270000,False,-113.0,189.0,1,right,S. Sharpe 21' step back Jump Shot (2 PTS),[1631101],1610612757.0,POR,step back,,,Sharpe,S. Sharpe,,,,,Mid-Range,16-24 Left Center,,,,,,21.99,Made,2.0,,,,,,,,,,,,
28,PT09M30.00S,2024-12-22T01:44:45.4Z,1,REGULAR,3pt,Jump Shot,[],1631110,20.97568988173456,6.862745098039216,1610612759,5,5,2024-12-22T01:44:54Z,280000,False,216.0,145.0,1,left,MISS J. Sochan 25' 3PT,[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,Above the Break 3,24+ Right Center,,,,,,25.97,Missed,,,,,,,,,,,,,
29,PT09M27.00S,2024-12-22T01:44:48.4Z,1,REGULAR,rebound,defensive,[],1631101,,,1610612757,5,5,2024-12-22T01:44:54Z,290000,False,,,0,,S. Sharpe REBOUND (Off:0 Def:1),[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,28.0,1.0,1.0,0.0,,,,,
30,PT09M13.00S,2024-12-22T01:45:03.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629028,87.07293035479631,50.73529411764706,1610612757,5,5,2024-12-22T01:49:40Z,300000,False,4.0,69.0,1,right,MISS D. Ayton 6' turnaround Hook - blocked,"[1629028, 1641705]",1610612757.0,POR,turnaround,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,6.91,Missed,,,,,,,,,,,,Wembanyama,1641705.0
31,PT09M13.00S,2024-12-22T01:45:03.7Z,1,REGULAR,block,,[],1641705,,,1610612757,5,5,2024-12-22T01:45:07Z,310000,False,,,0,,V. Wembanyama BLOCK (1 BLK),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
32,PT09M08.00S,2024-12-22T01:45:08.7Z,1,REGULAR,rebound,defensive,[],203084,,,1610612759,5,5,2024-12-22T01:45:12Z,320000,False,,,0,,H. Barnes REBOUND (Off:0 Def:1),[203084],1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,30.0,1.0,1.0,0.0,,,,,
33,PT09M04.00S,2024-12-22T01:45:12.8Z,1,REGULAR,3pt,Jump Shot,[],1641705,34.773324572930356,49.01960784313725,1610612759,5,5,2024-12-22T01:45:34Z,330000,False,5.0,274.0,1,left,MISS V. Wembanyama 27' 3PT,[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Above the Break 3,24+ Center,,,,,,27.44,Missed,,,,,,,,,,,,,
34,PT08M59.00S,2024-12-22T01:45:17.8Z,1,REGULAR,rebound,defensive,[],1631101,,,1610612757,5,5,2024-12-22T01:45:34Z,340000,False,,,0,,S. Sharpe REBOUND (Off:0 Def:2),[1631101],1610612757.0,POR,,,,Sharpe,S. Sharpe,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,33.0,2.0,2.0,0.0,,,,,
35,PT08M50.00S,2024-12-22T01:45:25.1Z,1,REGULAR,2pt,Jump Shot,[],1631101,76.69185282522996,42.64705882352941,1610612757,5,7,2024-12-22T01:50:41Z,350000,False,-37.0,167.0,1,right,S. Sharpe 17' step back Jump Shot (4 PTS),[1631101],1610612757.0,POR,step back,,,Sharpe,S. Sharpe,,,,,Mid-Range,16-24 Center,,,,,,17.06,Made,4.0,,,,,,,,,,,,
36,PT08M49.00S,2024-12-22T01:45:33.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612759,5,7,2024-12-22T01:45:33Z,360000,False,,,0,,SAS Timeout,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,PT08M25.00S,2024-12-22T01:48:51.3Z,1,REGULAR,2pt,Jump Shot,[],203084,5.863994743758213,27.696078431372552,1610612759,7,7,2024-12-22T02:50:37Z,370000,False,112.0,3.0,1,left,H. Barnes 11' fadeaway Jump Shot (2 PTS) (C. Paul 1 AST),"[203084, 101108]",1610612759.0,SAS,fadeaway,,,Barnes,H. Barnes,,,,,Mid-Range,8-16 Right,,,,,,11.15,Made,2.0,C. Paul,101108.0,1.0,,,,,,,,,
39,PT08M09.00S,2024-12-22T01:49:07.3Z,1,REGULAR,3pt,Jump Shot,[],203924,94.30026281208936,95.09803921568627,1610612757,7,7,2024-12-22T01:49:19Z,390000,False,225.0,1.0,1,right,MISS J. Grant 3PT,[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,Right Corner 3,24+ Right,,,,,,22.55,Missed,,,,,,,,,,,,,
40,PT08M09.00S,2024-12-22T01:49:07.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612759,7,7,2024-12-22T01:49:19Z,400000,False,,,0,,TEAM defensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,39.0,,,,,,,,
42,PT07M44.00S,2024-12-22T01:49:40.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631110,7.046649145860711,59.31372549019608,1610612759,7,7,2024-12-22T01:49:58Z,420000,False,-47.0,14.0,1,left,MISS J. Sochan driving finger roll Layup,[1631110],1610612759.0,SAS,driving finger roll,,,Sochan,J. Sochan,,,,,In The Paint (Non-RA),0-8 Center,,,,,,4.86,Missed,,,,,,,,,,,,,
43,PT07M41.00S,2024-12-22T01:49:43.1Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612757,7,7,2024-12-22T01:49:58Z,430000,False,,,0,,D. Ayton REBOUND (Off:0 Def:1),[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,42.0,1.0,1.0,0.0,,,,,
44,PT07M29.00S,2024-12-22T01:49:55.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203924,93.51182654402102,56.61764705882353,1610612757,7,7,2024-12-22T01:52:32Z,440000,False,33.0,8.0,1,right,MISS J. Grant pullup Shot,[203924],1610612757.0,POR,pullup,,,Grant,J. Grant,,,,,Restricted Area,0-8 Center,,,,,,3.42,Missed,,,,,,,,,,,,,
45,PT07M25.00S,2024-12-22T01:49:59.1Z,1,REGULAR,rebound,defensive,[],1641705,,,1610612759,7,7,2024-12-22T01:52:32Z,450000,False,,,0,,V. Wembanyama REBOUND (Off:0 Def:1),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,44.0,1.0,1.0,0.0,,,,,
