actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-04-13T19:42:58.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-04-13T19:42:58Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-04-13T19:43:01.7Z,1,REGULAR,jumpball,recovered,[],203084,,,1610612759,0,0,2025-04-13T19:43:01Z,40000,False,,,0,,Jump Ball B. Biyombo vs. J. Mogbo: Tip to H. Barnes,"[203084, 202687, 1642367]",1610612759.0,SAS,startperiod,H. Barnes,203084.0,Barnes,H. Barnes,Biyombo,202687.0,Mogbo,1642367.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2025-04-13T19:43:18.1Z,1,REGULAR,foul,personal,['2freethrow'],1642367,,,1610612759,0,0,2025-04-13T19:43:26Z,70000,False,,,0,,J. Mogbo shooting personal FOUL (1 PF) (Barnes 2 FT),"[1642367, 203084]",1610612761.0,TOR,shooting,,,Mogbo,J. Mogbo,,,,,Restricted Area,0-8 Center,1662.0,1.0,0.0,Barnes,203084.0,,,,,,,,,,,,,,,
9,PT11M42.00S,2025-04-13T19:43:40.5Z,1,REGULAR,freethrow,1 of 2,[],203084,,,1610612759,1,0,2025-04-13T19:43:40Z,90000,False,,,0,,H. Barnes Free Throw 1 of 2 (1 PTS),[203084],1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M42.00S,2025-04-13T19:43:55.2Z,1,REGULAR,freethrow,2 of 2,[],203084,,,1610612759,2,0,2025-04-13T19:43:55Z,100000,False,,,0,,H. Barnes Free Throw 2 of 2 (2 PTS),[203084],1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
11,PT11M24.00S,2025-04-13T19:44:16.0Z,1,REGULAR,3pt,Jump Shot,[],1642419,72.22404730617609,15.441176470588236,1610612761,2,3,2025-04-13T19:44:21Z,110000,False,-173.0,209.0,1,right,J. Battle 27' 3PT  (3 PTS) (S. Barnes 1 AST),"[1642419, 1630567]",1610612761.0,TOR,,,,Battle,J. Battle,,,,,Above the Break 3,24+ Left Center,,,,,,Made,3.0,27.09,S. Barnes,1630567.0,1.0,,,,,,,,,
13,PT11M06.00S,2025-04-13T19:44:32.8Z,1,REGULAR,3pt,Jump Shot,[],203084,23.078186596583443,89.2156862745098,1610612759,2,3,2025-04-13T19:44:38Z,130000,False,-196.0,164.0,1,left,MISS H. Barnes 25' 3PT,[203084],1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,25.59,,,,,,,,,,,,
14,PT11M03.00S,2025-04-13T19:44:35.8Z,1,REGULAR,rebound,defensive,[],1642419,,,1610612761,2,3,2025-04-13T19:44:38Z,140000,False,,,0,,J. Battle REBOUND (Off:0 Def:1),[1642419],1610612761.0,TOR,,,,Battle,J. Battle,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,
15,PT10M57.00S,2025-04-13T19:44:42.5Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630534,91.80354796320631,41.911764705882355,1610612761,2,3,2025-04-13T19:45:18Z,150000,False,-40.0,25.0,1,right,MISS O. Agbaji running alley-oop Layup,[1630534],1610612761.0,TOR,running alley-oop,,,Agbaji,O. Agbaji,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Missed,,4.72,,,,,,,,,,,,
16,PT10M55.00S,2025-04-13T19:44:44.5Z,1,REGULAR,rebound,defensive,[],101108,,,1610612759,2,3,2025-04-13T19:45:10Z,160000,False,,,0,,C. Paul REBOUND (Off:0 Def:1),[101108],1610612759.0,SAS,,,,Paul,C. Paul,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,
17,PT10M46.00S,2025-04-13T19:44:54.2Z,1,REGULAR,turnover,lost ball,[],1642264,,,1610612759,2,3,2025-04-13T19:45:00Z,170000,False,,,0,,S. Castle lost ball TURNOVER (1 TO),"[1642264, 1642367]",1610612759.0,SAS,,,,Castle,S. Castle,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,1.0,Mogbo,1642367.0,,
18,PT10M46.00S,2025-04-13T19:44:54.2Z,1,REGULAR,steal,,[],1642367,,,1610612761,2,3,2025-04-13T19:44:56Z,180000,False,,,0,,J. Mogbo STEAL (1 STL),[1642367],1610612761.0,TOR,,,,Mogbo,J. Mogbo,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
19,PT10M41.00S,2025-04-13T19:44:58.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630567,92.46057818659659,49.50980392156863,1610612761,2,5,2025-04-13T19:45:06Z,190000,False,-2.0,18.0,1,right,S. Barnes running DUNK (2 PTS) (J. Mogbo 1 AST),"[1630567, 1642367]",1610612761.0,TOR,running,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,1.86,J. Mogbo,1642367.0,1.0,,,,,,,,,
