actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2024-11-28T01:41:12.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-28T01:41:12Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-11-28T01:41:14.2Z,1,REGULAR,jumpball,recovered,[],1630559,,,1610612747,0,0,2024-11-28T01:41:14Z,40000,False,,,0,,Jump Ball A. Davis vs. V. Wembanyama: Tip to A. Reaves,"[1630559, 203076, 1641705]",1610612747.0,LAL,startperiod,A. Reaves,1630559.0,Reaves,A. Reaves,Davis,203076.0,Wembanyama,1641705.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2024-11-28T01:41:33.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203076,7.178055190538765,53.67647058823529,1610612747,0,0,2024-11-28T01:42:51Z,70000,False,-18.0,15.0,1,left,MISS A. Davis turnaround Shot - blocked,"[203076, 1641705]",1610612747.0,LAL,turnaround,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,2.37,Missed,Wembanyama,1641705.0,,,,,,,,,,,,,,,,
8,PT11M40.00S,2024-11-28T01:41:33.5Z,1,REGULAR,block,,[],1641705,,,1610612747,0,0,2024-11-28T01:41:36Z,80000,False,,,0,,V. Wembanyama BLOCK (1 BLK),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M39.00S,2024-11-28T01:41:34.5Z,1,REGULAR,rebound,defensive,[],1630577,,,1610612759,0,0,2024-11-28T01:42:51Z,90000,False,,,0,,J. Champagnie REBOUND (Off:0 Def:1),[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Restricted Area,0-8 Center,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,
10,PT11M21.00S,2024-11-28T01:41:52.7Z,1,REGULAR,foul,personal,['3freethrow'],203076,,,1610612759,0,0,2024-11-28T01:42:08Z,100000,False,,,0,,A. Davis shooting personal FOUL (1 PF) (Champagnie 3 FT),"[203076, 1630577]",1610612747.0,LAL,shooting,,,Davis,A. Davis,,,,,Above the Break 3,24+ Right Center,,,,,,,,,203054.0,1.0,0.0,Champagnie,1630577.0,,,,,,,
12,PT11M21.00S,2024-11-28T01:42:23.7Z,1,REGULAR,freethrow,1 of 3,[],1630577,,,1610612759,1,0,2024-11-28T01:42:23Z,120000,False,,,0,,J. Champagnie Free Throw 1 of 3 (1 PTS),[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,,,,Made,,,,,,,,,,,,1.0,,,,,,
13,PT11M21.00S,2024-11-28T01:42:32.5Z,1,REGULAR,freethrow,2 of 3,[],1630577,,,1610612759,2,0,2024-11-28T01:42:32Z,130000,False,,,0,,J. Champagnie Free Throw 2 of 3 (2 PTS),[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,,,,Made,,,,,,,,,,,,2.0,,,,,,
14,PT11M21.00S,2024-11-28T01:42:48.5Z,1,REGULAR,freethrow,3 of 3,[],1630577,,,1610612759,3,0,2024-11-28T01:42:48Z,140000,False,,,0,,J. Champagnie Free Throw 3 of 3 (3 PTS),[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,,,,Made,,,,,,,,,,,,3.0,,,,,,
15,PT11M04.00S,2024-11-28T01:43:08.3Z,1,REGULAR,3pt,Jump Shot,[],1630559,32.40801576872536,53.67647058823529,1610612747,3,0,2024-11-28T01:43:15Z,150000,False,-18.0,252.0,1,left,MISS A. Reaves 25' 3PT,[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,Above the Break 3,24+ Center,25.28,Missed,,,,,,,,,,,,,,,,,,
16,PT11M00.00S,2024-11-28T01:43:12.3Z,1,REGULAR,rebound,defensive,[],101108,,,1610612759,3,0,2024-11-28T01:43:15Z,160000,False,,,0,,C. Paul REBOUND (Off:0 Def:1),[101108],1610612759.0,SAS,,,,Paul,C. Paul,,,,,Above the Break 3,24+ Center,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,
17,PT10M55.00S,2024-11-28T01:43:17.1Z,1,REGULAR,turnover,bad pass,[],1641705,,,1610612759,3,0,2024-11-28T01:43:25Z,170000,False,,,0,,V. Wembanyama bad pass TURNOVER (1 TO),"[1641705, 203076]",1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,1.0,Davis,203076.0,,,
18,PT10M55.00S,2024-11-28T01:43:17.1Z,1,REGULAR,steal,,[],203076,,,1610612747,3,0,2024-11-28T01:43:19Z,180000,False,,,0,,A. Davis STEAL (1 STL),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
19,PT10M50.00S,2024-11-28T01:43:22.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",2544,5.863994743758213,51.225490196078425,1610612747,3,2,2024-11-28T01:43:35Z,190000,False,-6.0,3.0,1,left,L. James running finger roll Layup (2 PTS) (R. Hachimura 1 AST),"[2544, 1629060]",1610612747.0,LAL,running finger roll,,,James,L. James,,,,,Restricted Area,0-8 Center,0.66,Made,,,,,,,,,,,,2.0,,,,R. Hachimura,1629060.0,1.0
21,PT10M30.00S,2024-11-28T01:43:42.3Z,1,REGULAR,3pt,Jump Shot,[],1630577,78.26872536136662,89.95098039215686,1610612759,3,2,2024-11-28T01:43:46Z,210000,False,200.0,152.0,1,right,MISS J. Champagnie 25' 3PT,[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Above the Break 3,24+ Right Center,25.09,Missed,,,,,,,,,,,,,,,,,,
22,PT10M28.00S,2024-11-28T01:43:44.3Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,3,2,2024-11-28T01:43:46Z,220000,False,,,0,,A. Davis REBOUND (Off:0 Def:1),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Above the Break 3,24+ Right Center,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,
23,PT10M23.00S,2024-11-28T01:43:48.8Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],2544,4.944152431011826,11.029411764705882,1610612747,3,2,2024-11-28T01:43:58Z,230000,False,195.0,-6.0,1,left,MISS L. James 19' running Shot,[2544],1610612747.0,LAL,running,,,James,L. James,,,,,Mid-Range,16-24 Right,19.5,Missed,,,,,,,,,,,,,,,,,,
24,PT10M21.00S,2024-11-28T01:43:52.0Z,1,REGULAR,rebound,defensive,[],1641705,,,1610612759,3,2,2024-11-28T01:43:52Z,240000,False,,,0,,V. Wembanyama REBOUND (Off:0 Def:1),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Mid-Range,16-24 Right,,,,,23.0,1.0,1.0,0.0,,,,,,,,,,,,
