actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-03-30T00:10:38.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-30T00:10:38Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2025-03-30T00:10:39.7Z,1,REGULAR,jumpball,recovered,[],1628401,,,1610612738,0,0,2025-03-30T00:10:39Z,40000,False,,,0,,Jump Ball K. Porziņģis vs. J. Sochan: Tip to D. White,"[1628401, 204001, 1631110]",1610612738.0,BOS,startperiod,D. White,1628401.0,White,D. White,Porziņģis,204001.0,Sochan,1631110.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2025-03-30T00:10:51.9Z,1,REGULAR,3pt,Jump Shot,[],1627759,27.020367936925098,18.137254901960784,1610612738,0,0,2025-03-30T00:10:56Z,70000,False,159.0,201.0,1,left,MISS J. Brown 25' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Right Center,25.69,Missed,,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2025-03-30T00:10:52.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612759,0,0,2025-03-30T00:10:56Z,80000,False,,,0,,TEAM defensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,Above the Break 3,24+ Right Center,,,7.0,,,,,,,,,,,,,,,,,
10,PT11M21.00S,2025-03-30T00:11:20.5Z,1,REGULAR,3pt,Jump Shot,[],203084,67.36202365308804,31.61764705882353,1610612759,0,0,2025-03-30T00:11:26Z,100000,False,-92.0,254.0,1,right,MISS H. Barnes 27' 3PT - blocked,"[203084, 1628369]",1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,Above the Break 3,24+ Left Center,27.04,Missed,,Tatum,1628369.0,,,,,,,,,,,,,,,
11,PT11M21.00S,2025-03-30T00:11:20.5Z,1,REGULAR,block,,[],1628369,,,1610612759,0,0,2025-03-30T00:11:23Z,110000,False,,,0,,J. Tatum BLOCK (1 BLK),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
12,PT11M21.00S,2025-03-30T00:11:20.5Z,1,REGULAR,rebound,offensive,[],1631110,,,1610612759,0,0,2025-03-30T00:11:59Z,120000,False,,,0,,J. Sochan REBOUND (Off:1 Def:0),[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,Above the Break 3,24+ Left Center,,,10.0,,,1.0,0.0,1.0,,,,,,,,,,,,
13,PT11M21.00S,2025-03-30T00:11:25.5Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612759,0,0,2025-03-30T00:11:30Z,130000,False,,,0,,SAS shot clock Team TURNOVER,[],1610612759.0,SAS,,,,,,,,,,Mid-Range,16-24 Right,,,,,,,,,1627964.0,,,,,,,,,,,
14,PT11M11.00S,2025-03-30T00:11:42.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],204001,22.815374507227332,88.97058823529412,1610612738,0,3,2025-03-30T00:12:49Z,140000,False,-195.0,162.0,1,left,K. Porziņģis 25' 3PT  (3 PTS) (J. Holiday 1 AST),"[204001, 201950]",1610612738.0,BOS,,,,Porziņģis,K. Porziņģis,,,,,Above the Break 3,24+ Left Center,25.34,Made,,,,,,,,3.0,J. Holiday,201950.0,1.0,,,,,,,
16,PT11M01.00S,2025-03-30T00:11:51.9Z,1,REGULAR,3pt,Jump Shot,[],1630170,72.48685939553219,79.90196078431373,1610612759,3,3,2025-03-30T00:12:02Z,160000,False,150.0,206.0,1,right,D. Vassell 25' 3PT  (3 PTS) (S. Castle 1 AST),"[1630170, 1642264]",1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Above the Break 3,24+ Right Center,25.46,Made,,,,,,,,3.0,S. Castle,1642264.0,1.0,,,,,,,
