actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-03-13T00:10:24.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-13T00:10:24Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-03-13T00:10:27.8Z,1,REGULAR,jumpball,recovered,[],202691,,,1610612742,0,0,2025-03-13T00:10:27Z,40000,False,,,0,,Jump Ball K. Edwards vs. B. Biyombo: Tip to K. Thompson,"[202691, 1630556, 202687]",1610612742.0,DAL,startperiod,K. Thompson,202691.0,Thompson,K. Thompson,Edwards,1630556.0,Biyombo,202687.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2025-03-13T00:10:37.5Z,1,REGULAR,turnover,bad pass,[],203957,,,1610612742,0,0,2025-03-13T00:10:46Z,70000,False,,,0,,D. Exum bad pass TURNOVER (1 TO),"[203957, 1628368]",1610612742.0,DAL,,,,Exum,D. Exum,,,,,Mid-Range,16-24 Right Center,1.0,Fox,1628368.0,,,,,,,,,,,,,,,,,
8,PT11M48.00S,2025-03-13T00:10:37.5Z,1,REGULAR,steal,,[],1628368,,,1610612759,0,0,2025-03-13T00:11:14Z,80000,False,,,0,,D. Fox STEAL (1 STL),[1628368],1610612759.0,SAS,,,,Fox,D. Fox,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
9,PT11M43.00S,2025-03-13T00:10:42.4Z,1,REGULAR,turnover,lost ball,[],101108,,,1610612759,0,0,2025-03-13T00:11:41Z,90000,False,,,0,,C. Paul lost ball TURNOVER (1 TO),"[101108, 1630230]",1610612759.0,SAS,,,,Paul,C. Paul,,,,,Above the Break 3,24+ Center,1.0,Marshall,1630230.0,,,,,,,,,,,,,,,,,
10,PT11M43.00S,2025-03-13T00:10:42.4Z,1,REGULAR,steal,,[],1630230,,,1610612742,0,0,2025-03-13T00:10:45Z,100000,False,,,0,,N. Marshall STEAL (1 STL),[1630230],1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
11,PT11M37.00S,2025-03-13T00:10:47.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630230,6.783837056504599,48.529411764705884,1610612742,0,2,2025-03-13T00:12:00Z,110000,False,7.0,11.0,1,left,N. Marshall running reverse Layup (2 PTS),[1630230],1610612742.0,DAL,running reverse,,,Marshall,N. Marshall,,,,,Restricted Area,0-8 Center,,,,1.35,Made,2.0,,,,,,,,,,,,,,
12,PT11M24.00S,2025-03-13T00:11:02.5Z,1,REGULAR,foul,personal,['2freethrow'],1630556,,,1610612759,0,2,2025-03-13T00:11:14Z,120000,False,,,0,,K. Edwards shooting personal FOUL (1 PF) (Fox 2 FT),"[1630556, 1628368]",1610612742.0,DAL,shooting,,,Edwards,K. Edwards,,,,,Restricted Area,0-8 Center,,,,,,,1151.0,1.0,0.0,Fox,1628368.0,,,,,,,,,
14,PT11M24.00S,2025-03-13T00:11:25.2Z,1,REGULAR,freethrow,1 of 2,[],1628368,,,1610612759,1,2,2025-03-13T00:11:25Z,140000,False,,,0,,D. Fox Free Throw 1 of 2 (1 PTS),[1628368],1610612759.0,SAS,,,,Fox,D. Fox,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
15,PT11M24.00S,2025-03-13T00:11:39.8Z,1,REGULAR,freethrow,2 of 2,[],1628368,,,1610612759,2,2,2025-03-13T00:11:39Z,150000,False,,,0,,D. Fox Free Throw 2 of 2 (2 PTS),[1628368],1610612759.0,SAS,,,,Fox,D. Fox,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,
16,PT11M03.00S,2025-03-13T00:12:01.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630230,7.703679369250986,50.245098039215684,1610612742,2,2,2025-03-13T00:12:54Z,160000,False,-1.0,20.0,1,left,MISS N. Marshall driving Layup,[1630230],1610612742.0,DAL,driving,,,Marshall,N. Marshall,,,,,Restricted Area,0-8 Center,,,,1.99,Missed,,,,,,,,,,,,,,,
17,PT11M01.00S,2025-03-13T00:12:03.9Z,1,REGULAR,rebound,defensive,[],202687,,,1610612759,2,2,2025-03-13T00:12:18Z,170000,False,,,0,,B. Biyombo REBOUND (Off:0 Def:1),[202687],1610612759.0,SAS,,,,Biyombo,B. Biyombo,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,
18,PT10M58.00S,2025-03-13T00:12:06.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],101108,72.88107752956637,19.11764705882353,1610612759,2,2,2025-03-13T00:12:27Z,180000,False,-154.0,202.0,1,right,MISS C. Paul 25' running 3PT,[101108],1610612759.0,SAS,running,,,Paul,C. Paul,,,,,Above the Break 3,24+ Left Center,,,,25.46,Missed,,,,,,,,,,,,,,,
19,PT10M54.00S,2025-03-13T00:12:10.8Z,1,REGULAR,rebound,offensive,[],203084,,,1610612759,2,2,2025-03-13T00:12:10Z,190000,False,,,0,,H. Barnes REBOUND (Off:1 Def:0),[203084],1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,18.0,1.0,0.0,1.0,,,,,
20,PT10M50.00S,2025-03-13T00:12:16.4Z,1,REGULAR,foul,personal,['2freethrow'],1630230,,,1610612759,2,2,2025-03-13T00:12:26Z,200000,False,,,0,,N. Marshall shooting personal FOUL (1 PF) (Barnes 2 FT),"[1630230, 203084]",1610612742.0,DAL,shooting,,,Marshall,N. Marshall,,,,,Restricted Area,0-8 Center,,,,,,,202049.0,1.0,0.0,Barnes,203084.0,,,,,,,,,
22,PT10M50.00S,2025-03-13T00:12:40.5Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],203084,,,1610612759,3,2,2025-03-13T00:13:01Z,220000,False,,,0,,H. Barnes Free Throw 1 of 2 (1 PTS),[203084],1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
23,PT10M50.00S,2025-03-13T00:12:40.5Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],203084,,,1610612759,3,2,2025-03-13T00:13:01Z,230000,False,,,0,,MISS H. Barnes Free Throw 2 of 2,[203084],1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
24,PT10M48.00S,2025-03-13T00:12:42.5Z,1,REGULAR,rebound,defensive,[],1630230,,,1610612742,3,2,2025-03-13T00:13:01Z,240000,False,,,0,,N. Marshall REBOUND (Off:0 Def:1),[1630230],1610612742.0,DAL,,,,Marshall,N. Marshall,,,,,,,,,,,,,,,,,,23.0,1.0,1.0,0.0,,,,,
25,PT10M27.00S,2025-03-13T00:13:19.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630230,15.982260183968464,50.98039215686274,1610612742,3,2,2025-03-13T00:13:24Z,250000,False,-5.0,98.0,1,left,MISS N. Marshall 9' pullup Shot,[1630230],1610612742.0,DAL,pullup,,,Marshall,N. Marshall,,,,,In The Paint (Non-RA),8-16 Center,,,,9.78,Missed,,,,,,,,,,,,,,,
