actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal
2,PT12M00.00S,2024-12-20T01:10:39.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-12-20T01:10:39Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-12-20T01:10:41.8Z,1,REGULAR,jumpball,recovered,[],1631110,,,1610612759,0,0,2024-12-20T01:10:41Z,40000,False,,,0,,Jump Ball V. Wembanyama vs. C. Capela: Tip to J. Sochan,"[1631110, 1641705, 203991]",1610612759.0,SAS,startperiod,J. Sochan,1631110.0,Sochan,J. Sochan,Wembanyama,1641705.0,Capela,203991.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2024-12-20T01:10:57.9Z,1,REGULAR,turnover,bad pass,[],1641705,,,1610612759,0,0,2024-12-20T01:11:06Z,70000,False,,,0,,V. Wembanyama bad pass TURNOVER (1 TO),"[1641705, 1642258]",1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,In The Paint (Non-RA),8-16 Center,1.0,Risacher,1642258.0,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2024-12-20T01:10:57.9Z,1,REGULAR,steal,,[],1642258,,,1610612737,0,0,2024-12-20T01:12:40Z,80000,False,,,0,,Z. Risacher STEAL (1 STL),[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M32.00S,2024-12-20T01:11:07.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630700,10.85742444152431,51.470588235294116,1610612737,0,2,2024-12-20T01:11:14Z,90000,False,-7.0,50.0,1,left,D. Daniels cutting finger roll Layup (2 PTS) (T. Young 1 AST),"[1630700, 1629027]",1610612737.0,ATL,cutting finger roll,,,Daniels,D. Daniels,,,,,In The Paint (Non-RA),0-8 Center,,,,5.01,Made,2.0,T. Young,1629027.0,1.0,,,,,,,,,,,
11,PT11M17.00S,2024-12-20T01:11:21.1Z,1,REGULAR,2pt,Jump Shot,[],1630170,90.80157687253613,27.918198529411768,1610612759,2,2,2024-12-20T01:45:48Z,110000,False,-110.0,34.0,1,right,D. Vassell 11' Jump Shot (2 PTS) (C. Paul 1 AST),"[1630170, 101108]",1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Mid-Range,8-16 Left,,,,11.55,Made,2.0,C. Paul,101108.0,1.0,,,,,,,,,,,
13,PT11M02.00S,2024-12-20T01:11:36.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629027,10.200394218134035,47.30392156862745,1610612737,2,4,2024-12-20T01:12:19Z,130000,False,13.0,43.0,1,left,T. Young driving floating Jump Shot (2 PTS),[1629027],1610612737.0,ATL,driving floating,,,Young,T. Young,,,,,In The Paint (Non-RA),0-8 Center,,,,4.55,Made,2.0,,,,,,,,,,,,,,
14,PT10M51.00S,2024-12-20T01:11:49.3Z,1,REGULAR,foul,personal,['2freethrow'],1642258,,,1610612759,2,4,2024-12-20T01:12:04Z,140000,False,,,0,,Z. Risacher shooting personal FOUL (1 PF) (Wembanyama 2 FT),"[1642258, 1641705]",1610612737.0,ATL,shooting,,,Risacher,Z. Risacher,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,1627963.0,1.0,0.0,Wembanyama,1641705.0,,,,,,
16,PT10M51.00S,2024-12-20T01:12:16.7Z,1,REGULAR,freethrow,1 of 2,[],1641705,,,1610612759,3,4,2024-12-20T01:12:16Z,160000,False,,,0,,V. Wembanyama Free Throw 1 of 2 (1 PTS),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
17,PT10M51.00S,2024-12-20T01:12:34.7Z,1,REGULAR,freethrow,2 of 2,[],1641705,,,1610612759,4,4,2024-12-20T01:12:34Z,170000,False,,,0,,V. Wembanyama Free Throw 2 of 2 (2 PTS),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,
