actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-12-07T01:10:23.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-12-07T01:10:23Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-12-07T01:10:25.7Z,1,REGULAR,jumpball,recovered,[],1628368,,,1610612758,0,0,2024-12-07T01:10:25Z,40000,False,,,0,,Jump Ball D. Sabonis vs. Z. Collins: Tip to D. Fox,"[1628368, 1627734, 1628380]",1610612758.0,SAC,startperiod,D. Fox,1628368.0,Fox,D. Fox,Sabonis,1627734.0,Collins,1628380.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2024-12-07T01:10:35.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628368,6.57030223390276,53.427542892156865,1610612758,0,2,2024-12-07T01:10:48Z,70000,False,-17.0,9.0,1,left,D. Fox driving finger roll Layup (2 PTS),[1628368],1610612758.0,SAC,driving finger roll,,,Fox,D. Fox,,,,,Restricted Area,0-8 Center,1.95,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M28.00S,2024-12-07T01:10:54.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642264,88.83048620236531,41.900275735294116,1610612759,0,2,2024-12-07T01:11:32Z,80000,False,-40.0,52.0,1,right,MISS S. Castle 6' driving floating Shot,[1642264],1610612759.0,SAS,driving floating,,,Castle,S. Castle,,,,,In The Paint (Non-RA),0-8 Center,6.63,Missed,,,,,,,,,,,,,,,,,,
9,PT11M25.00S,2024-12-07T01:10:57.9Z,1,REGULAR,rebound,offensive,[],101108,,,1610612759,0,2,2024-12-07T01:11:09Z,90000,False,,,0,,C. Paul REBOUND (Off:1 Def:0),[101108],1610612759.0,SAS,,,,Paul,C. Paul,,,,,In The Paint (Non-RA),0-8 Center,,,,8.0,1.0,0.0,1.0,,,,,,,,,,,,,
10,PT11M23.00S,2024-12-07T01:10:59.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630577,65.52233902759527,43.38235294117647,1610612759,3,2,2024-12-07T01:11:11Z,100000,False,-33.0,272.0,1,right,J. Champagnie 27' 3PT  (3 PTS) (C. Paul 1 AST),"[1630577, 101108]",1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Above the Break 3,24+ Center,27.36,Made,3.0,,,,,C. Paul,101108.0,1.0,,,,,,,,,,
12,PT11M01.00S,2024-12-07T01:11:21.3Z,1,REGULAR,2pt,Jump Shot,[],201942,18.265440210249672,88.99356617647058,1610612758,3,4,2024-12-07T01:11:33Z,120000,False,-195.0,119.0,1,left,D. DeRozan 22' Jump Shot (2 PTS) (D. Fox 1 AST),"[201942, 1628368]",1610612758.0,SAC,,,,DeRozan,D. DeRozan,,,,,Mid-Range,16-24 Left,22.85,Made,2.0,,,,,D. Fox,1628368.0,1.0,,,,,,,,,,
15,PT10M41.00S,2024-12-07T01:12:00.8Z,1,REGULAR,3pt,Jump Shot,[],1630577,64.99671484888306,52.94117647058824,1610612759,3,4,2024-12-07T01:12:05Z,150000,False,15.0,277.0,1,right,MISS J. Champagnie 27' 3PT,[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Above the Break 3,24+ Center,27.69,Missed,,,,,,,,,,,,,,,,,,
16,PT10M38.00S,2024-12-07T01:12:03.8Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612758,3,4,2024-12-07T01:12:05Z,160000,False,,,0,,D. Sabonis REBOUND (Off:0 Def:1),[1627734],1610612758.0,SAC,,,,Sabonis,D. Sabonis,,,,,Above the Break 3,24+ Center,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,
17,PT10M28.00S,2024-12-07T01:12:14.3Z,1,REGULAR,turnover,bad pass,[],1628370,,,1610612758,3,4,2024-12-07T01:12:23Z,170000,False,,,0,,M. Monk bad pass TURNOVER (1 TO),"[1628370, 1642264]",1610612758.0,SAC,,,,Monk,M. Monk,,,,,Mid-Range,8-16 Right,,,,,,,,,,,1.0,Castle,1642264.0,,,,,,,
