actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,turnoverTotal,stealPlayerName,stealPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-11-08T01:10:36.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-08T01:10:36Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2024-11-08T01:10:40.1Z,1,REGULAR,jumpball,recovered,[],203084,,,1610612759,0,0,2024-11-08T01:10:40Z,40000,False,,,0,,Jump Ball V. Wembanyama vs. D. Ayton: Tip to H. Barnes,"[203084, 1641705, 1629028]",1610612759.0,SAS,startperiod,H. Barnes,203084.0,Barnes,H. Barnes,Wembanyama,1641705.0,Ayton,1629028.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2024-11-08T01:11:16.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642264,93.64323258869908,48.77450980392157,1610612759,2,0,2024-11-08T01:11:42Z,80000,False,-6.0,7.0,1,right,S. Castle Layup (2 PTS) (C. Paul 1 AST),"[1642264, 101108]",1610612759.0,SAS,,,,Castle,S. Castle,,,,,Restricted Area,0-8 Center,0.95,Made,2.0,C. Paul,101108.0,1.0,,,,,,,,,,,,,,
10,PT11M22.00S,2024-11-08T01:11:30.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1641739,6.652431011826544,50.245098039215684,1610612757,2,0,2024-11-08T01:11:58Z,100000,False,-1.0,10.0,1,left,MISS T. Camara cutting DUNK - blocked,"[1641739, 1641705]",1610612757.0,POR,cutting,,,Camara,T. Camara,,,,,Restricted Area,0-8 Center,1.01,Missed,,,,,Wembanyama,1641705.0,,,,,,,,,,,,
11,PT11M22.00S,2024-11-08T01:11:30.3Z,1,REGULAR,block,,[],1641705,,,1610612757,2,0,2024-11-08T01:11:33Z,110000,False,,,0,,V. Wembanyama BLOCK (1 BLK),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
12,PT11M22.00S,2024-11-08T01:11:30.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612757,2,0,2024-11-08T01:11:58Z,120000,False,,,0,,TEAM offensive REBOUND,[],1610612757.0,POR,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,10.0,,,,,,,,,,,
14,PT11M14.00S,2024-11-08T01:12:10.8Z,1,REGULAR,turnover,bad pass,[],203924,,,1610612757,2,0,2024-11-08T01:12:50Z,140000,False,,,0,,J. Grant bad pass TURNOVER (1 TO),"[203924, 1641705]",1610612757.0,POR,,,,Grant,J. Grant,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,1.0,Wembanyama,1641705.0,,,,,,,,
15,PT11M14.00S,2024-11-08T01:12:10.8Z,1,REGULAR,steal,,[],1641705,,,1610612759,2,0,2024-11-08T01:12:13Z,150000,False,,,0,,V. Wembanyama STEAL (1 STL),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
16,PT11M04.00S,2024-11-08T01:12:20.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630577,94.03745072273325,3.6764705882352944,1610612759,5,0,2024-11-08T01:12:53Z,160000,False,-232.0,4.0,1,right,J. Champagnie 3PT  (3 PTS) (C. Paul 2 AST),"[1630577, 101108]",1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Left Corner 3,24+ Left,23.16,Made,3.0,C. Paul,101108.0,2.0,,,,,,,,,,,,,,
18,PT10M49.00S,2024-11-08T01:12:35.8Z,1,REGULAR,3pt,Jump Shot,[],1629014,32.276609724047304,42.64705882352941,1610612757,5,0,2024-11-08T01:13:05Z,180000,False,37.0,251.0,1,left,MISS A. Simons 25' pullup 3PT,[1629014],1610612757.0,POR,pullup,,,Simons,A. Simons,,,,,Above the Break 3,24+ Center,25.36,Missed,,,,,,,,,,,,,,,,,,
19,PT10M49.00S,2024-11-08T01:12:35.8Z,1,REGULAR,rebound,defensive,[],1630577,,,1610612759,5,0,2024-11-08T01:13:05Z,190000,False,,,0,,J. Champagnie REBOUND (Off:0 Def:1),[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Above the Break 3,24+ Center,,,,,,,,,18.0,,,,1.0,1.0,0.0,,,,,
20,PT10M38.00S,2024-11-08T01:12:47.1Z,1,REGULAR,turnover,bad pass,[],101108,,,1610612759,5,0,2024-11-08T01:13:11Z,200000,False,,,0,,C. Paul bad pass TURNOVER (1 TO),"[101108, 1629014]",1610612759.0,SAS,,,,Paul,C. Paul,,,,,Mid-Range,16-24 Center,,,,,,,,,,1.0,Simons,1629014.0,,,,,,,,
21,PT10M38.00S,2024-11-08T01:12:47.1Z,1,REGULAR,steal,,[],1629014,,,1610612757,5,0,2024-11-08T01:12:49Z,210000,False,,,0,,A. Simons STEAL (1 STL),[1629014],1610612757.0,POR,,,,Simons,A. Simons,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
22,PT10M33.00S,2024-11-08T01:12:51.5Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1629028,5.732588699080158,49.754901960784316,1610612757,5,2,2024-11-08T01:13:44Z,220000,False,1.0,1.0,1,left,D. Ayton running alley-oop Layup (2 PTS) (A. Simons 1 AST),"[1629028, 1629014]",1610612757.0,POR,running alley-oop,,,Ayton,D. Ayton,,,,,Restricted Area,0-8 Center,0.18,Made,2.0,A. Simons,1629014.0,1.0,,,,,,,,,,,,,,
24,PT10M16.00S,2024-11-08T01:13:08.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203084,92.72339027595268,49.01960784313725,1610612759,7,2,2024-11-08T01:13:28Z,240000,False,-5.0,16.0,1,right,H. Barnes reverse Layup (2 PTS) (S. Castle 1 AST),"[203084, 1642264]",1610612759.0,SAS,reverse,,,Barnes,H. Barnes,,,,,Restricted Area,0-8 Center,1.66,Made,2.0,S. Castle,1642264.0,1.0,,,,,,,,,,,,,,
26,PT10M00.00S,2024-11-08T01:13:23.6Z,1,REGULAR,3pt,Jump Shot,[],1629028,21.50131406044678,88.48039215686273,1610612757,7,5,2024-11-08T01:13:30Z,260000,False,-192.0,150.0,1,left,D. Ayton 24' 3PT  (5 PTS) (D. Avdija 1 AST),"[1629028, 1630166]",1610612757.0,POR,,,,Ayton,D. Ayton,,,,,Above the Break 3,24+ Left Center,24.37,Made,5.0,D. Avdija,1630166.0,1.0,,,,,,,,,,,,,,
28,PT09M44.00S,2024-11-08T01:13:42.6Z,1,REGULAR,3pt,Jump Shot,[],1642264,67.49342969776609,64.4607843137255,1610612759,7,5,2024-11-08T01:14:45Z,280000,False,72.0,253.0,1,right,MISS S. Castle 26' 3PT,[1642264],1610612759.0,SAS,,,,Castle,S. Castle,,,,,Above the Break 3,24+ Center,26.32,Missed,,,,,,,,,,,,,,,,,,
29,PT09M41.00S,2024-11-08T01:13:45.6Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612757,7,5,2024-11-08T01:14:45Z,290000,False,,,0,,D. Ayton REBOUND (Off:0 Def:1),[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,Above the Break 3,24+ Center,,,,,,,,,28.0,,,,1.0,1.0,0.0,,,,,
30,PT09M22.00S,2024-11-08T01:14:06.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630166,13.748357424441524,34.31372549019608,1610612757,7,7,2024-11-08T01:14:44Z,300000,False,78.0,77.0,1,left,D. Avdija 10' turnaround fadeaway Jump Shot (2 PTS),[1630166],1610612757.0,POR,turnaround fadeaway,,,Avdija,D. Avdija,,,,,In The Paint (Non-RA),8-16 Right,10.97,Made,2.0,,,,,,,,,,,,,,,,,
31,PT09M22.00S,2024-11-08T01:14:09.0Z,1,REGULAR,foul,personal,['1freethrow'],1642264,,,1610612757,7,7,2024-11-08T01:14:23Z,310000,False,,,0,,S. Castle shooting personal FOUL (1 PF) (Avdija 1 FT),"[1642264, 1630166]",1610612759.0,SAS,shooting,,,Castle,S. Castle,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,202007.0,1.0,0.0,Avdija,1630166.0
33,PT09M22.00S,2024-11-08T01:14:38.9Z,1,REGULAR,freethrow,1 of 1,[],1630166,,,1610612757,7,7,2024-11-08T01:15:27Z,330000,False,,,0,,MISS D. Avdija Free Throw 1 of 1,[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
34,PT09M21.00S,2024-11-08T01:14:39.9Z,1,REGULAR,rebound,defensive,[],1641705,,,1610612759,7,7,2024-11-08T01:15:27Z,340000,False,,,0,,V. Wembanyama REBOUND (Off:0 Def:1),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,,,,,,,,,,,33.0,,,,1.0,1.0,0.0,,,,,
35,PT09M08.00S,2024-11-08T01:14:53.5Z,1,REGULAR,foul,personal,['2freethrow'],1641739,,,1610612759,7,7,2024-11-08T01:15:13Z,350000,False,,,0,,T. Camara shooting personal FOUL (1 PF) (Barnes 2 FT),"[1641739, 203084]",1610612757.0,POR,shooting,,,Camara,T. Camara,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1151.0,1.0,0.0,Barnes,203084.0
37,PT09M08.00S,2024-11-08T01:15:21.1Z,1,REGULAR,freethrow,1 of 2,[],203084,,,1610612759,7,7,2024-11-08T01:15:21Z,370000,False,,,0,,MISS H. Barnes Free Throw 1 of 2,[203084],1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
38,PT09M08.00S,2024-11-08T01:15:21.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612759,7,7,2024-11-08T01:15:21Z,380000,False,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,37.0,,,,,,,,,,,
39,PT09M08.00S,2024-11-08T01:15:37.1Z,1,REGULAR,freethrow,2 of 2,[],203084,,,1610612759,8,7,2024-11-08T01:15:37Z,390000,False,,,0,,H. Barnes Free Throw 2 of 2 (3 PTS),[203084],1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
40,PT08M51.00S,2024-11-08T01:15:54.0Z,1,REGULAR,3pt,Jump Shot,[],1630166,28.33442838370565,23.774509803921568,1610612757,8,7,2024-11-08T01:16:00Z,400000,False,131.0,214.0,1,left,MISS D. Avdija 25' 3PT,[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Right Center,25.08,Missed,,,,,,,,,,,,,,,,,,
41,PT08M50.00S,2024-11-08T01:15:55.0Z,1,REGULAR,rebound,defensive,[],1630577,,,1610612759,8,7,2024-11-08T01:16:19Z,410000,False,,,0,,J. Champagnie REBOUND (Off:0 Def:2),[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Above the Break 3,24+ Right Center,,,,,,,,,40.0,,,,2.0,2.0,0.0,,,,,
42,PT08M46.00S,2024-11-08T01:16:01.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630577,70.12155059132719,72.30392156862744,1610612759,8,7,2024-11-08T01:16:54Z,420000,False,112.0,228.0,1,right,MISS J. Champagnie 25' running pullup 3PT,[1630577],1610612759.0,SAS,running pullup,,,Champagnie,J. Champagnie,,,,,Above the Break 3,24+ Right Center,25.42,Missed,,,,,,,,,,,,,,,,,,
43,PT08M44.00S,2024-11-08T01:16:03.8Z,1,REGULAR,rebound,defensive,[],1630166,,,1610612757,8,7,2024-11-08T01:16:54Z,430000,False,,,0,,D. Avdija REBOUND (Off:0 Def:1),[1630166],1610612757.0,POR,,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Right Center,,,,,,,,,42.0,,,,1.0,1.0,0.0,,,,,
44,PT08M34.00S,2024-11-08T01:16:10.4Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],203924,18.873193166885677,32.1078431372549,1610612757,8,9,2024-11-08T01:17:38Z,440000,False,89.0,125.0,1,left,J. Grant 15' step back Jump Shot (2 PTS),[203924],1610612757.0,POR,step back,,,Grant,J. Grant,,,,,Mid-Range,8-16 Right,15.37,Made,2.0,,,,,,,,,,,,,,,,,
45,PT08M15.00S,2024-11-08T01:16:30.3Z,1,REGULAR,2pt,Jump Shot,[],1641705,75.50919842312747,49.01960784313725,1610612759,8,9,2024-11-08T01:16:38Z,450000,False,-5.0,178.0,1,right,MISS V. Wembanyama 17' pullup Shot,[1641705],1610612759.0,SAS,pullup,,,Wembanyama,V. Wembanyama,,,,,Mid-Range,16-24 Center,17.78,Missed,,,,,,,,,,,,,,,,,,
46,PT08M13.00S,2024-11-08T01:16:32.3Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612757,8,9,2024-11-08T01:16:38Z,460000,False,,,0,,D. Ayton REBOUND (Off:0 Def:2),[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,Mid-Range,16-24 Center,,,,,,,,,45.0,,,,2.0,2.0,0.0,,,,,
48,PT08M00.00S,2024-11-08T01:17:07.7Z,1,REGULAR,2pt,Jump Shot,[],1629014,13.091327201051248,21.568627450980394,1610612757,8,11,2024-11-08T01:18:17Z,480000,False,142.0,71.0,1,left,A. Simons 15' fadeaway Jump Shot (2 PTS),[1629014],1610612757.0,POR,fadeaway,,,Simons,A. Simons,,,,,Mid-Range,8-16 Right,15.88,Made,2.0,,,,,,,,,,,,,,,,,
49,PT07M33.00S,2024-11-08T01:17:33.8Z,1,REGULAR,3pt,Jump Shot,[],1630577,91.80354796320631,4.166666666666666,1610612759,11,11,2024-11-08T01:17:39Z,490000,False,-229.0,25.0,1,right,J. Champagnie 3PT  (6 PTS) (S. Castle 2 AST),"[1630577, 1642264]",1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Left Corner 3,24+ Left,23.05,Made,6.0,S. Castle,1642264.0,2.0,,,,,,,,,,,,,,
51,PT07M18.00S,2024-11-08T01:17:49.1Z,1,REGULAR,3pt,Jump Shot,[],1641739,6.258212877792378,95.34313725490196,1610612757,11,11,2024-11-08T01:17:55Z,510000,False,-227.0,6.0,1,left,MISS T. Camara 3PT,[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,Left Corner 3,24+ Left,22.68,Missed,,,,,,,,,,,,,,,,,,
52,PT07M15.00S,2024-11-08T01:17:52.1Z,1,REGULAR,rebound,defensive,[],101108,,,1610612759,11,11,2024-11-08T01:17:55Z,520000,False,,,0,,C. Paul REBOUND (Off:0 Def:1),[101108],1610612759.0,SAS,,,,Paul,C. Paul,,,,,Left Corner 3,24+ Left,,,,,,,,,51.0,,,,1.0,1.0,0.0,,,,,
53,PT07M01.00S,2024-11-08T01:18:06.3Z,1,REGULAR,turnover,lost ball,[],1630577,,,1610612759,11,11,2024-11-08T01:18:13Z,530000,False,,,0,,J. Champagnie lost ball TURNOVER (1 TO),"[1630577, 1629028]",1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,1.0,Ayton,1629028.0,,,,,,,,
54,PT07M01.00S,2024-11-08T01:18:06.3Z,1,REGULAR,steal,,[],1629028,,,1610612757,11,11,2024-11-08T01:18:09Z,540000,False,,,0,,D. Ayton STEAL (1 STL),[1629028],1610612757.0,POR,,,,Ayton,D. Ayton,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
55,PT06M45.00S,2024-11-08T01:18:22.4Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1629028,16.376478318002626,39.950980392156865,1610612757,11,13,2024-11-08T01:18:28Z,550000,False,50.0,101.0,1,left,D. Ayton 11' turnaround Hook (7 PTS) (T. Camara 1 AST),"[1629028, 1641739]",1610612757.0,POR,turnaround,,,Ayton,D. Ayton,,,,,In The Paint (Non-RA),8-16 Center,11.31,Made,7.0,T. Camara,1641739.0,1.0,,,,,,,,,,,,,,
