actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-10-27T00:40:53.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-10-27T00:40:53Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-10-27T00:40:56.3Z,1,REGULAR,jumpball,recovered,[],1631095,,,1610612745,0,0,2024-10-27T00:40:56Z,40000,False,,,0,,Jump Ball A. Sengun vs. V. Wembanyama: Tip to J. Smith Jr.,"[1631095, 1630578, 1641705]",1610612745.0,HOU,startperiod,J. Smith Jr.,1631095.0,Smith Jr.,J. Smith Jr.,Sengun,1630578.0,Wembanyama,1641705.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2024-10-27T00:41:13.7Z,1,REGULAR,turnover,out-of-bounds,[],1628415,,,1610612745,0,0,2024-10-27T00:41:27Z,70000,False,,,0,,D. Brooks bad pass out-of-bounds TURNOVER (1 TO),[1628415],1610612745.0,HOU,bad pass,,,Brooks,D. Brooks,,,,,In The Paint (Non-RA),0-8 Center,201638.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M23.00S,2024-10-27T00:41:36.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203084,7.966491458607096,4.901960784313726,1610612759,0,0,2024-10-27T00:41:42Z,80000,False,225.0,22.0,1,left,MISS H. Barnes 3PT,[203084],1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,Right Corner 3,24+ Right,,,22.66,Missed,,,,,,,,,,,,,,,,
9,PT11M21.00S,2024-10-27T00:41:38.1Z,1,REGULAR,rebound,offensive,[],1631110,,,1610612759,0,0,2024-10-27T00:41:38Z,90000,False,,,0,,J. Sochan REBOUND (Off:1 Def:0),[1631110],1610612759.0,SAS,,,,Sochan,J. Sochan,,,,,Right Corner 3,24+ Right,,,,,8.0,1.0,0.0,1.0,,,,,,,,,,,,
10,PT11M17.00S,2024-10-27T00:41:41.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",203084,6.1268068331143235,51.71568627450981,1610612759,0,0,2024-10-27T00:41:55Z,100000,False,-9.0,5.0,1,left,MISS H. Barnes reverse Layup,[203084],1610612759.0,SAS,reverse,,,Barnes,H. Barnes,,,,,Restricted Area,0-8 Center,,,1.0,Missed,,,,,,,,,,,,,,,,
11,PT11M15.00S,2024-10-27T00:41:43.6Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,0,0,2024-10-27T00:41:55Z,110000,False,,,0,,A. Sengun REBOUND (Off:0 Def:1),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,
12,PT11M09.00S,2024-10-27T00:41:49.7Z,1,REGULAR,3pt,Jump Shot,[],1628415,68.54467805519053,35.294117647058826,1610612745,0,3,2024-10-27T00:42:10Z,120000,False,-74.0,243.0,1,right,D. Brooks 25' 3PT step back (3 PTS) (A. Sengun 1 AST),"[1628415, 1630578]",1610612745.0,HOU,step back,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Center,,,25.41,Made,,,,,3.0,A. Sengun,1630578.0,1.0,,,,,,,,
14,PT10M54.00S,2024-10-27T00:42:07.2Z,1,REGULAR,foul,personal,[],1628415,,,1610612759,0,3,2024-10-27T00:42:18Z,140000,False,,,0,,D. Brooks personal FOUL (1 PF),"[1628415, 1631110]",1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,Restricted Area,0-8 Center,2882.0,,,,,,,,,,,,1.0,0.0,Sochan,1631110.0,,,,
16,PT10M40.00S,2024-10-27T00:42:40.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630577,7.046649145860711,47.794117647058826,1610612759,0,3,2024-10-27T00:42:45Z,160000,False,11.0,14.0,1,left,MISS J. Champagnie driving Layup,[1630577],1610612759.0,SAS,driving,,,Champagnie,J. Champagnie,,,,,Restricted Area,0-8 Center,,,1.76,Missed,,,,,,,,,,,,,,,,
