actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,playerName,playerNameI,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,jumpBallRecoverdPersonId
2,PT12M00.00S,2025-01-16T01:10:56.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-16T01:10:56Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M59.00S,2025-01-16T01:11:09.8Z,1,REGULAR,jumpball,recovered,[],0,,,1610612763,0,0,2025-01-16T01:11:09Z,40000,False,,,0,,Jump Ball Z. Edey vs. V. Wembanyama: Tip to Team (MEM),"[1641744, 1641705]",1610612763.0,MEM,startperiod,Team (MEM),Edey,1641744.0,Wembanyama,1641705.0,,,,,,,,,,,,,,,,,,,,,,,,,
7,PT11M59.00S,2025-01-16T01:11:11.5Z,1,REGULAR,foul,personal,[],1641705,,,1610612763,0,0,2025-01-16T01:11:39Z,70000,False,,,0,,V. Wembanyama personal FOUL (1 PF),"[1641705, 1641744]",1610612759.0,SAS,,,,,,,Above the Break 3,24+ Center,201246.0,1.0,0.0,Wembanyama,V. Wembanyama,Edey,1641744.0,,,,,,,,,,,,,,,,
9,PT11M41.00S,2025-01-16T01:11:36.2Z,1,REGULAR,2pt,Jump Shot,[],1629630,91.80354796320631,66.42156862745098,1610612763,0,2,2025-01-16T01:11:47Z,90000,False,82.0,25.0,1,right,J. Morant 8' driving floating Jump Shot (2 PTS),[1629630],1610612763.0,MEM,driving floating,,,,,,Mid-Range,8-16 Right,,,,Morant,J. Morant,,,8.57,Made,2.0,,,,,,,,,,,,,
10,PT11M25.00S,2025-01-16T01:11:54.4Z,1,REGULAR,turnover,out-of-bounds,[],1630170,,,1610612759,0,2,2025-01-16T01:12:06Z,100000,False,,,0,,D. Vassell step out-of-bounds TURNOVER (1 TO),[1630170],1610612759.0,SAS,step,,,,,,Right Corner 3,24+ Right,201246.0,,,Vassell,D. Vassell,,,,,,1.0,,,,,,,,,,,,
11,PT11M15.00S,2025-01-16T01:12:10.9Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1628991,85.10183968462549,42.15686274509804,1610612763,0,2,2025-01-16T01:12:58Z,110000,False,-39.0,88.0,1,right,MISS J. Jackson Jr. 9' driving Hook,[1628991],1610612763.0,MEM,driving,,,,,,In The Paint (Non-RA),8-16 Center,,,,Jackson Jr.,J. Jackson Jr.,,,9.59,Missed,,,,,,,,,,,,,,
12,PT11M12.00S,2025-01-16T01:12:13.9Z,1,REGULAR,rebound,defensive,[],203084,,,1610612759,0,2,2025-01-16T01:12:18Z,120000,False,,,0,,H. Barnes REBOUND (Off:0 Def:1),[203084],1610612759.0,SAS,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Barnes,H. Barnes,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,
14,PT10M56.00S,2025-01-16T01:12:53.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642264,12.565703022339028,57.107843137254896,1610612759,0,2,2025-01-16T01:12:58Z,140000,False,-36.0,66.0,1,left,MISS S. Castle 7' driving floating Shot,[1642264],1610612759.0,SAS,driving floating,,,,,,In The Paint (Non-RA),0-8 Center,,,,Castle,S. Castle,,,7.46,Missed,,,,,,,,,,,,,,
15,PT10M54.00S,2025-01-16T01:12:56.2Z,1,REGULAR,rebound,defensive,[],1629630,,,1610612763,0,2,2025-01-16T01:12:56Z,150000,False,,,0,,J. Morant REBOUND (Off:0 Def:1),[1629630],1610612763.0,MEM,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Morant,J. Morant,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,
16,PT10M48.00S,2025-01-16T01:13:03.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1641744,92.46057818659659,50.73529411764706,1610612763,0,4,2025-01-16T02:20:50Z,160000,False,4.0,18.0,1,right,Z. Edey turnaround bank Hook (2 PTS) (J. Morant 1 AST),"[1641744, 1629630]",1610612763.0,MEM,turnaround bank,,,,,,Restricted Area,0-8 Center,,,,Edey,Z. Edey,,,1.88,Made,2.0,,,,,,J. Morant,1629630.0,1.0,,,,,
18,PT10M32.00S,2025-01-16T01:13:17.4Z,1,REGULAR,3pt,Jump Shot,[],1642264,31.750985545335087,21.568627450980394,1610612759,0,4,2025-01-16T01:13:21Z,180000,False,142.0,246.0,1,left,MISS S. Castle 28' 3PT,[1642264],1610612759.0,SAS,,,,,,,Above the Break 3,24+ Right Center,,,,Castle,S. Castle,,,28.41,Missed,,,,,,,,,,,,,,
19,PT10M30.00S,2025-01-16T01:13:19.4Z,1,REGULAR,rebound,defensive,[],1641744,,,1610612763,0,4,2025-01-16T01:13:21Z,190000,False,,,0,,Z. Edey REBOUND (Off:0 Def:1),[1641744],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Right Center,,,,Edey,Z. Edey,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,
20,PT10M16.00S,2025-01-16T01:13:34.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1641744,93.11760840998686,50.98039215686274,1610612763,0,6,2025-01-16T01:15:04Z,200000,False,5.0,12.0,1,right,Z. Edey turnaround bank Hook (4 PTS) (J. Morant 2 AST),"[1641744, 1629630]",1610612763.0,MEM,turnaround bank,,,,,,Restricted Area,0-8 Center,,,,Edey,Z. Edey,,,1.31,Made,4.0,,,,,,J. Morant,1629630.0,2.0,,,,,
22,PT09M55.00S,2025-01-16T01:13:55.4Z,1,REGULAR,2pt,Jump Shot,[],1641705,23.99802890932983,60.049019607843135,1610612759,2,6,2025-01-16T01:13:59Z,220000,False,-50.0,173.0,1,left,V. Wembanyama 18' Jump Shot (2 PTS) (D. Vassell 1 AST),"[1641705, 1630170]",1610612759.0,SAS,,,,,,,Mid-Range,16-24 Center,,,,Wembanyama,V. Wembanyama,,,18.02,Made,2.0,,,,,,D. Vassell,1630170.0,1.0,,,,,
24,PT09M43.00S,2025-01-16T01:14:07.3Z,1,REGULAR,2pt,Jump Shot,[],1630217,78.66294349540078,36.76470588235294,1610612763,2,8,2025-01-16T01:14:12Z,240000,False,-66.0,148.0,1,right,D. Bane 16' pullup Jump Shot (2 PTS),[1630217],1610612763.0,MEM,pullup,,,,,,Mid-Range,16-24 Left Center,,,,Bane,D. Bane,,,16.22,Made,2.0,,,,,,,,,,,,,
25,PT09M36.00S,2025-01-16T01:14:18.8Z,1,REGULAR,foul,personal,[],1630217,,,1610612759,2,8,2025-01-16T01:14:25Z,250000,False,,,0,,D. Bane personal FOUL (1 PF),"[1630217, 1630170]",1610612763.0,MEM,,,,,,,Above the Break 3,24+ Right Center,2530.0,1.0,0.0,Bane,D. Bane,Vassell,1630170.0,,,,,,,,,,,,,,,,
27,PT09M26.00S,2025-01-16T01:14:40.7Z,1,REGULAR,2pt,Jump Shot,[],1641705,21.107095926412615,50.73529411764706,1610612759,2,8,2025-01-16T01:14:44Z,270000,False,-4.0,146.0,1,left,MISS V. Wembanyama 14' pullup Shot,[1641705],1610612759.0,SAS,pullup,,,,,,Mid-Range,8-16 Center,,,,Wembanyama,V. Wembanyama,,,14.59,Missed,,,,,,,,,,,,,,
28,PT09M24.00S,2025-01-16T01:14:42.7Z,1,REGULAR,rebound,defensive,[],1629630,,,1610612763,2,8,2025-01-16T01:14:44Z,280000,False,,,0,,J. Morant REBOUND (Off:0 Def:2),[1629630],1610612763.0,MEM,,,,,,,Mid-Range,8-16 Center,,,,Morant,J. Morant,,,,,,,27.0,2.0,2.0,0.0,,,,,,,,
29,PT09M09.00S,2025-01-16T01:14:57.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1641744,93.9060446780552,50.49019607843137,1610612763,2,10,2025-01-16T01:16:52Z,290000,False,2.0,5.0,1,right,Z. Edey driving DUNK (6 PTS),[1641744],1610612763.0,MEM,driving,,,,,,Restricted Area,0-8 Center,,,,Edey,Z. Edey,,,0.54,Made,6.0,,,,,,,,,,,,,
30,PT08M56.00S,2025-01-16T01:15:14.6Z,1,REGULAR,foul,personal,[],1642377,,,1610612759,2,10,2025-01-16T01:15:20Z,300000,False,,,0,,J. Wells personal FOUL (1 PF),"[1642377, 101108]",1610612763.0,MEM,,,,,,,Mid-Range,8-16 Center,201246.0,1.0,0.0,Wells,J. Wells,Paul,101108.0,,,,,,,,,,,,,,,,
32,PT08M40.00S,2025-01-16T01:15:48.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203084,8.360709592641262,61.274509803921575,1610612759,4,10,2025-01-16T02:22:17Z,320000,False,-56.0,26.0,1,left,H. Barnes 6' fadeaway bank Jump Shot (2 PTS),[203084],1610612759.0,SAS,fadeaway bank,,,,,,In The Paint (Non-RA),0-8 Center,,,,Barnes,H. Barnes,,,6.21,Made,2.0,,,,,,,,,,,,,
33,PT08M33.00S,2025-01-16T01:16:00.6Z,1,REGULAR,foul,personal,['2freethrow'],1642264,,,1610612763,4,10,2025-01-16T01:16:17Z,330000,False,,,0,,S. Castle shooting personal FOUL (1 PF) (Morant 2 FT),"[1642264, 1629630]",1610612759.0,SAS,shooting,,,,,,Mid-Range,16-24 Right Center,2530.0,1.0,0.0,Castle,S. Castle,Morant,1629630.0,,,,,,,,,,,,,,,,
35,PT08M33.00S,2025-01-16T01:16:27.6Z,1,REGULAR,freethrow,1 of 2,[],1629630,,,1610612763,4,11,2025-01-16T01:16:27Z,350000,False,,,0,,J. Morant Free Throw 1 of 2 (3 PTS),[1629630],1610612763.0,MEM,,,,,,,,,,,,Morant,J. Morant,,,,Made,3.0,,,,,,,,,,,,,
36,PT08M33.00S,2025-01-16T01:16:53.6Z,1,REGULAR,freethrow,2 of 2,[],1629630,,,1610612763,4,12,2025-01-16T01:16:53Z,360000,False,,,0,,J. Morant Free Throw 2 of 2 (4 PTS),[1629630],1610612763.0,MEM,,,,,,,,,,,,Morant,J. Morant,,,,Made,4.0,,,,,,,,,,,,,
37,PT08M24.00S,2025-01-16T01:17:03.0Z,1,REGULAR,3pt,Jump Shot,[],1642264,27.808804204993432,21.568627450980394,1610612759,7,12,2025-01-16T01:17:07Z,370000,False,142.0,209.0,1,left,S. Castle 25' 3PT pullup (3 PTS),[1642264],1610612759.0,SAS,pullup,,,,,,Above the Break 3,24+ Right Center,,,,Castle,S. Castle,,,25.27,Made,3.0,,,,,,,,,,,,,
38,PT08M09.00S,2025-01-16T01:17:17.6Z,1,REGULAR,2pt,Hook,[],1628991,92.32917214191852,67.40196078431373,1610612763,7,12,2025-01-16T01:19:20Z,380000,False,87.0,20.0,1,right,MISS J. Jackson Jr. 8' turnaround Hook,[1628991],1610612763.0,MEM,turnaround,,,,,,Mid-Range,8-16 Right,,,,Jackson Jr.,J. Jackson Jr.,,,8.92,Missed,,,,,,,,,,,,,,
39,PT08M07.00S,2025-01-16T01:17:19.6Z,1,REGULAR,rebound,defensive,[],1641705,,,1610612759,7,12,2025-01-16T01:17:19Z,390000,False,,,0,,V. Wembanyama REBOUND (Off:0 Def:1),[1641705],1610612759.0,SAS,,,,,,,Mid-Range,8-16 Right,,,,Wembanyama,V. Wembanyama,,,,,,,38.0,1.0,1.0,0.0,,,,,,,,
40,PT08M03.00S,2025-01-16T01:17:23.8Z,1,REGULAR,3pt,Jump Shot,[],1641705,35.167542706964525,51.9607843137255,1610612759,10,12,2025-01-16T01:20:28Z,400000,False,-10.0,278.0,1,left,V. Wembanyama 27' 3PT  (5 PTS) (H. Barnes 1 AST),"[1641705, 203084]",1610612759.0,SAS,,,,,,,Above the Break 3,24+ Center,,,,Wembanyama,V. Wembanyama,,,27.83,Made,5.0,,,,,,H. Barnes,203084.0,1.0,,,,,
43,PT07M46.00S,2025-01-16T01:17:51.0Z,1,REGULAR,3pt,Jump Shot,[],1642377,93.77463863337714,4.6568627450980395,1610612763,10,12,2025-01-16T01:17:54Z,430000,False,-227.0,6.0,1,right,MISS J. Wells 3PT,[1642377],1610612763.0,MEM,,,,,,,Left Corner 3,24+ Left,,,,Wells,J. Wells,,,22.68,Missed,,,,,,,,,,,,,,
44,PT07M43.00S,2025-01-16T01:17:54.0Z,1,REGULAR,rebound,defensive,[],1630170,,,1610612759,10,12,2025-01-16T01:17:54Z,440000,False,,,0,,D. Vassell REBOUND (Off:0 Def:1),[1630170],1610612759.0,SAS,,,,,,,Left Corner 3,24+ Left,,,,Vassell,D. Vassell,,,,,,,43.0,1.0,1.0,0.0,,,,,,,,
45,PT07M39.00S,2025-01-16T01:18:00.3Z,1,REGULAR,foul,personal,['2freethrow'],1628991,,,1610612759,10,12,2025-01-16T01:18:09Z,450000,False,,,0,,J. Jackson Jr. shooting personal FOUL (1 PF) (Castle 2 FT),"[1628991, 1642264]",1610612763.0,MEM,shooting,,,,,,Restricted Area,0-8 Center,1204.0,1.0,0.0,Jackson Jr.,J. Jackson Jr.,Castle,1642264.0,,,,,,,,,,,,,,,,
47,PT07M39.00S,2025-01-16T01:18:28.5Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1642264,,,1610612759,11,12,2025-01-16T01:18:28Z,470000,False,,,0,,S. Castle Free Throw 1 of 2 (4 PTS),[1642264],1610612759.0,SAS,,,,,,,,,,,,Castle,S. Castle,,,,Made,4.0,,,,,,,,,,,,,
48,PT07M39.00S,2025-01-16T01:18:29.6Z,1,REGULAR,substitution,out,[],1629630,,,1610612759,11,12,2025-01-16T01:18:32Z,480000,False,,,0,,SUB out: J. Morant,[1629630],1610612763.0,MEM,,,,,,,,,,,,Morant,J. Morant,,,,,,,,,,,,,,,,,,
49,PT07M39.00S,2025-01-16T01:18:29.6Z,1,REGULAR,substitution,in,[],1628379,,,1610612759,11,12,2025-01-16T01:18:32Z,490000,False,,,0,,SUB in: L. Kennard,[1628379],1610612763.0,MEM,,,,,,,,,,,,Kennard,L. Kennard,,,,,,,,,,,,,,,,,,
