actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-03-06T02:10:44.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-06T02:10:44Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2025-03-06T02:10:46.5Z,1,REGULAR,jumpball,recovered,[],1631128,,,1610612743,0,0,2025-03-06T02:10:46Z,40000,False,,,0,,Jump Ball N. Jokić vs. J. Valančiūnas: Tip to C. Braun,"[1631128, 203999, 202685]",1610612743.0,DEN,startperiod,C. Braun,1631128.0,Braun,C. Braun,Jokić,203999.0,Valančiūnas,202685.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M49.00S,2025-03-06T02:10:55.5Z,1,REGULAR,2pt,Jump Shot,[],201566,76.2976346911958,40.931372549019606,1610612743,0,0,2025-03-06T02:11:16Z,70000,False,-45.0,170.0,1,right,MISS R. Westbrook 17' pullup Shot,[201566],1610612743.0,DEN,pullup,,,Westbrook,R. Westbrook,,,,,Mid-Range,16-24 Center,17.62,Missed,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2025-03-06T02:11:00.5Z,1,REGULAR,rebound,defensive,[],1631165,,,1610612758,0,0,2025-03-06T02:11:02Z,80000,False,,,0,,K. Ellis REBOUND (Off:0 Def:1),[1631165],1610612758.0,SAC,,,,Ellis,K. Ellis,,,,,Mid-Range,16-24 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M36.00S,2025-03-06T02:11:07.6Z,1,REGULAR,2pt,Jump Shot,[],201942,7.440867279894875,70.83333333333334,1610612758,0,0,2025-03-06T02:11:16Z,90000,False,-104.0,17.0,1,left,MISS D. DeRozan 10' turnaround Shot,[201942],1610612758.0,SAC,turnaround,,,DeRozan,D. DeRozan,,,,,Mid-Range,8-16 Left,10.56,Missed,,,,,,,,,,,,,,,,,,
10,PT11M35.00S,2025-03-06T02:11:08.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612758,0,0,2025-03-06T02:11:16Z,100000,False,,,0,,TEAM offensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,Mid-Range,8-16 Left,,,9.0,,,,,,,,,,,,,,,,,
12,PT11M30.00S,2025-03-06T02:11:31.8Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1631099,10.726018396846255,65.93137254901961,1610612758,0,0,2025-03-06T02:11:38Z,120000,False,-80.0,48.0,1,left,MISS K. Murray 9' fadeaway Shot,[1631099],1610612758.0,SAC,fadeaway,,,Murray,K. Murray,,,,,Mid-Range,8-16 Left,9.32,Missed,,,,,,,,,,,,,,,,,,
13,PT11M28.00S,2025-03-06T02:11:33.8Z,1,REGULAR,rebound,offensive,[],202685,,,1610612758,0,0,2025-03-06T02:11:55Z,130000,False,,,0,,J. Valančiūnas REBOUND (Off:1 Def:0),[202685],1610612758.0,SAC,,,,Valančiūnas,J. Valančiūnas,,,,,Mid-Range,8-16 Left,,,12.0,1.0,0.0,1.0,,,,,,,,,,,,,,
14,PT11M27.00S,2025-03-06T02:11:36.0Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",202685,5.590000152587891,50.0,1610612758,0,2,2025-03-06T02:12:01Z,140000,False,0.0,0.0,1,left,J. Valančiūnas tip Layup (2 PTS),[202685],1610612758.0,SAC,tip,,,Valančiūnas,J. Valančiūnas,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,2.0,,,,,,,,,,,,,
15,PT11M10.00S,2025-03-06T02:11:50.9Z,1,REGULAR,3pt,Jump Shot,[],1631128,90.22667542706965,3.431372549019608,1610612743,3,2,2025-03-06T02:56:30Z,150000,False,-233.0,39.0,1,right,C. Braun 3PT pullup (3 PTS),[1631128],1610612743.0,DEN,pullup,,,Braun,C. Braun,,,,,Left Corner 3,24+ Left,23.61,Made,,,,,3.0,,,,,,,,,,,,,
17,PT10M57.00S,2025-03-06T02:12:04.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201942,4.944152431011826,58.57843137254902,1610612758,3,2,2025-03-06T02:12:09Z,170000,False,-43.0,-6.0,1,left,MISS D. DeRozan Layup,[201942],1610612758.0,SAC,,,,DeRozan,D. DeRozan,,,,,In The Paint (Non-RA),0-8 Center,4.33,Missed,,,,,,,,,,,,,,,,,,
18,PT10M54.00S,2025-03-06T02:12:06.7Z,1,REGULAR,rebound,offensive,[],201942,,,1610612758,3,2,2025-03-06T02:12:06Z,180000,False,,,0,,D. DeRozan REBOUND (Off:1 Def:0),[201942],1610612758.0,SAC,,,,DeRozan,D. DeRozan,,,,,In The Paint (Non-RA),0-8 Center,,,17.0,1.0,0.0,1.0,,,,,,,,,,,,,,
