actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-01-04T02:10:55.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-04T02:10:55Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PT12M00.00S,2025-01-04T02:11:24.7Z,1,REGULAR,jumpball,recovered,[],1630170,,,1610612759,0,0,2025-01-04T02:17:54Z,70000,False,,,0,,Jump Ball V. Wembanyama vs. N. Jokić: Tip to D. Vassell,"[1630170, 1641705, 203999]",1610612759.0,SAS,startperiod,D. Vassell,1630170.0,Vassell,D. Vassell,Wembanyama,1641705.0,Jokić,203999.0,,,,,,,,,,,,,,,,,,,,,,
12,PT11M36.00S,2025-01-04T02:11:42.2Z,1,REGULAR,2pt,Jump Shot,[],1641705,70.64717477003943,43.13725490196079,1610612759,0,0,2025-01-04T02:11:49Z,120000,False,-34.0,223.0,1,right,MISS V. Wembanyama 22' pullup Shot,[1641705],1610612759.0,SAS,pullup,,,Wembanyama,V. Wembanyama,,,,,Mid-Range,16-24 Center,22.6,Missed,,,,,,,,,,,,,,,,,,
13,PT11M33.00S,2025-01-04T02:11:45.2Z,1,REGULAR,rebound,defensive,[],1631128,,,1610612743,0,0,2025-01-04T02:11:49Z,130000,False,,,0,,C. Braun REBOUND (Off:0 Def:1),[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,Mid-Range,16-24 Center,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT11M31.00S,2025-01-04T02:11:51.8Z,1,REGULAR,foul,personal,[],1641705,,,1610612743,0,0,2025-01-04T02:12:11Z,140000,False,,,0,,V. Wembanyama personal FOUL (1 PF),"[1641705, 203999]",1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1199.0,1.0,0.0,Jokić,203999.0,,,,,,,,,
16,PT11M19.00S,2025-01-04T02:12:14.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629008,9.017739816031538,51.470588235294116,1610612743,2,0,2025-01-04T02:12:23Z,160000,False,-7.0,32.0,1,left,M. Porter Jr. driving floating Jump Shot (2 PTS) (R. Westbrook 1 AST),"[1629008, 201566]",1610612743.0,DEN,driving floating,,,Porter Jr.,M. Porter Jr.,,,,,Restricted Area,0-8 Center,3.31,Made,,,,,,,,,,2.0,R. Westbrook,201566.0,1.0,,,,,
19,PT10M55.00S,2025-01-04T02:12:59.3Z,1,REGULAR,3pt,Jump Shot,[],203084,79.97700394218134,5.637254901960785,1610612759,2,0,2025-01-04T02:13:03Z,190000,False,-222.0,136.0,1,right,MISS H. Barnes 26' 3PT,[203084],1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,Above the Break 3,24+ Left Center,26.0,Missed,,,,,,,,,,,,,,,,,,
20,PT10M52.00S,2025-01-04T02:13:02.3Z,1,REGULAR,rebound,offensive,[],1641705,,,1610612759,2,0,2025-01-04T02:13:03Z,200000,False,,,0,,V. Wembanyama REBOUND (Off:1 Def:0),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Above the Break 3,24+ Left Center,,,19.0,1.0,0.0,1.0,,,,,,,,,,,,,,
21,PT10M50.00S,2025-01-04T02:13:04.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1642264,65.91655716162943,64.2156862745098,1610612759,2,0,2025-01-04T02:13:08Z,210000,False,71.0,268.0,1,right,MISS S. Castle 27' 3PT,[1642264],1610612759.0,SAS,,,,Castle,S. Castle,,,,,Above the Break 3,24+ Center,27.72,Missed,,,,,,,,,,,,,,,,,,
22,PT10M46.00S,2025-01-04T02:13:08.2Z,1,REGULAR,rebound,defensive,[],201566,,,1610612743,2,0,2025-01-04T02:13:08Z,220000,False,,,0,,R. Westbrook REBOUND (Off:0 Def:1),[201566],1610612743.0,DEN,,,,Westbrook,R. Westbrook,,,,,Above the Break 3,24+ Center,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,,,
23,PT10M42.00S,2025-01-04T02:13:12.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629008,24.655059132720105,10.049019607843137,1610612743,2,0,2025-01-04T02:15:40Z,230000,False,200.0,179.0,1,left,MISS M. Porter Jr. 26' running 3PT,[1629008],1610612743.0,DEN,running,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Right Center,26.85,Missed,,,,,,,,,,,,,,,,,,
24,PT10M39.00S,2025-01-04T02:13:15.4Z,1,REGULAR,rebound,defensive,[],1641705,,,1610612759,2,0,2025-01-04T02:13:24Z,240000,False,,,0,,V. Wembanyama REBOUND (Off:1 Def:1),[1641705],1610612759.0,SAS,,,,Wembanyama,V. Wembanyama,,,,,Above the Break 3,24+ Right Center,,,23.0,2.0,1.0,1.0,,,,,,,,,,,,,,
25,PT10M33.00S,2025-01-04T02:13:26.7Z,1,REGULAR,foul,personal,[],203999,,,1610612759,2,0,2025-01-04T02:13:30Z,250000,False,,,0,,N. Jokić personal FOUL (1 PF),"[203999, 101108]",1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,Mid-Range,16-24 Right Center,,,,,,,1199.0,1.0,0.0,Paul,101108.0,,,,,,,,,
27,PT10M26.00S,2025-01-04T02:13:45.3Z,1,REGULAR,2pt,Jump Shot,[],1641705,89.43823915900131,73.0392156862745,1610612759,2,0,2025-01-04T02:13:52Z,270000,False,115.0,47.0,1,right,MISS V. Wembanyama 12' pullup Shot,[1641705],1610612759.0,SAS,pullup,,,Wembanyama,V. Wembanyama,,,,,Mid-Range,8-16 Right,12.43,Missed,,,,,,,,,,,,,,,,,,
28,PT10M25.00S,2025-01-04T02:13:46.3Z,1,REGULAR,rebound,offensive,[],1642264,,,1610612759,2,0,2025-01-04T02:16:50Z,280000,False,,,0,,S. Castle REBOUND (Off:1 Def:0),[1642264],1610612759.0,SAS,,,,Castle,S. Castle,,,,,Mid-Range,8-16 Right,,,27.0,1.0,0.0,1.0,,,,,,,,,,,,,,
29,PT10M25.00S,2025-01-04T02:13:51.4Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",1642264,94.40999984741211,50.0,1610612759,2,2,2025-01-04T02:16:57Z,290000,False,0.0,0.0,1,right,S. Castle tip DUNK (2 PTS),[1642264],1610612759.0,SAS,tip,,,Castle,S. Castle,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,,,,,,2.0,,,,,,,,
30,PT10M12.00S,2025-01-04T02:14:02.1Z,1,REGULAR,turnover,backcourt,[],203999,,,1610612743,2,2,2025-01-04T02:14:25Z,300000,False,,,0,,N. Jokić backcourt TURNOVER (1 TO),[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,Above the Break 3,24+ Center,,,,,,,1626300.0,,,,,,,,,1.0,,,,
31,PT09M55.00S,2025-01-04T02:14:32.3Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1641705,86.67871222076215,30.88235294117647,1610612759,2,4,2025-01-04T02:14:37Z,310000,False,-96.0,73.0,1,right,V. Wembanyama 12' turnaround bank Jump Shot (2 PTS) (H. Barnes 1 AST),"[1641705, 203084]",1610612759.0,SAS,turnaround bank,,,Wembanyama,V. Wembanyama,,,,,Mid-Range,8-16 Left,12.01,Made,,,,,,,,,,2.0,H. Barnes,203084.0,1.0,,,,,
