actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-02-04T02:12:21.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-02-04T02:12:21Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M53.00S,2025-02-04T02:12:26.6Z,1,REGULAR,jumpball,recovered,[],1629627,,,1610612740,0,0,2025-02-04T02:12:26Z,40000,False,,,0,,Jump Ball Y. Missi vs. N. Jokić: Tip to Z. Williamson,"[1629627, 1642274, 203999]",1610612740.0,NOP,startperiod,Z. Williamson,1629627.0,Williamson,Z. Williamson,Missi,1642274.0,Jokić,203999.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2025-02-04T02:12:39.1Z,1,REGULAR,foul,personal,['2freethrow'],1627750,,,1610612740,0,0,2025-02-04T02:12:57Z,70000,False,,,0,,J. Murray shooting personal FOUL (1 PF) (Murphy III 2 FT),"[1627750, 1630530]",1610612743.0,DEN,shooting,,,Murray,J. Murray,,,,,Restricted Area,0-8 Center,1627541.0,1.0,0.0,Murphy III,1630530.0,,,,,,,,,,,,,,,
9,PT11M44.00S,2025-02-04T02:13:04.7Z,1,REGULAR,freethrow,1 of 2,[],1630530,,,1610612740,0,1,2025-02-04T02:13:04Z,90000,False,,,0,,T. Murphy III Free Throw 1 of 2 (1 PTS),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M44.00S,2025-02-04T02:13:20.2Z,1,REGULAR,freethrow,2 of 2,[],1630530,,,1610612740,0,2,2025-02-04T02:13:20Z,100000,False,,,0,,T. Murphy III Free Throw 2 of 2 (2 PTS),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
11,PT11M26.00S,2025-02-04T02:13:40.2Z,1,REGULAR,3pt,Jump Shot,[],1630192,7.5722733245729295,2.696078431372549,1610612743,3,2,2025-02-04T02:14:18Z,110000,False,237.0,19.0,1,left,Z. Nnaji 3PT  (3 PTS) (N. Jokić 1 AST),"[1630192, 203999]",1610612743.0,DEN,,,,Nnaji,Z. Nnaji,,,,,Right Corner 3,24+ Right,,,,,,Made,3.0,23.72,N. Jokić,203999.0,1.0,,,,,,,,,
13,PT11M15.00S,2025-02-04T02:13:50.2Z,1,REGULAR,turnover,bad pass,[],203468,,,1610612740,3,2,2025-02-04T02:13:53Z,130000,False,,,0,,C. McCollum bad pass TURNOVER (1 TO),"[203468, 1627750]",1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,1.0,Murray,1627750.0,,,,,,
14,PT11M15.00S,2025-02-04T02:13:50.2Z,1,REGULAR,steal,,[],1627750,,,1610612743,3,2,2025-02-04T02:13:51Z,140000,False,,,0,,J. Murray STEAL (1 STL),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
15,PT11M12.00S,2025-02-04T02:13:53.1Z,1,REGULAR,turnover,bad pass,[],203999,,,1610612743,3,2,2025-02-04T02:13:56Z,150000,False,,,0,,N. Jokić bad pass TURNOVER (1 TO),"[203999, 1630530]",1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,1.0,Murphy III,1630530.0,,,,,,
16,PT11M12.00S,2025-02-04T02:13:53.1Z,1,REGULAR,steal,,[],1630530,,,1610612740,3,2,2025-02-04T02:13:54Z,160000,False,,,0,,T. Murphy III STEAL (1 STL),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
