actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
31,PT09M03.00S,2024-12-28T02:14:48.2Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1629008,5.590000152587891,50.0,1610612743,8,9,2024-12-28T02:18:23Z,310000,False,0.0,0.0,1,left,MISS M. Porter Jr. tip Layup,[1629008],1610612743.0,DEN,tip,,,Porter Jr.,M. Porter Jr.,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
32,PT09M02.00S,2024-12-28T02:14:49.2Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,8,9,2024-12-28T02:18:23Z,320000,False,,,0,,E. Mobley REBOUND (Off:0 Def:1),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,31.0,1.0,1.0,0.0,,,,,
33,PT08M55.00S,2024-12-28T02:14:53.2Z,1,REGULAR,3pt,Jump Shot,[],1629731,86.02168199737189,96.07843137254902,1610612739,8,12,2024-12-28T02:19:46Z,330000,False,230.0,79.0,1,right,D. Wade 24' 3PT  (3 PTS) (E. Mobley 1 AST),"[1629731, 1630596]",1610612739.0,CLE,,,,Wade,D. Wade,,,,,Right Corner 3,24+ Right,24.35,Made,3.0,E. Mobley,1630596.0,1.0,,,,,,,,,,,,,,
35,PT08M33.00S,2024-12-28T02:15:16.2Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],201566,6.258212877792378,50.73529411764706,1610612743,8,12,2024-12-28T02:15:24Z,350000,False,-4.0,6.0,1,left,MISS R. Westbrook cutting DUNK,[201566],1610612743.0,DEN,cutting,,,Westbrook,R. Westbrook,,,,,Restricted Area,0-8 Center,0.73,Missed,,,,,,,,,,,,,,,,,,
36,PT08M31.00S,2024-12-28T02:15:18.2Z,1,REGULAR,rebound,defensive,[],1628378,,,1610612739,8,12,2024-12-28T02:15:24Z,360000,False,,,0,,D. Mitchell REBOUND (Off:1 Def:1),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,35.0,2.0,1.0,1.0,,,,,
37,PT08M29.00S,2024-12-28T02:15:21.1Z,1,REGULAR,foul,personal,['2freethrow'],1631128,,,1610612739,8,12,2024-12-28T02:15:30Z,370000,False,,,0,,C. Braun shooting personal FOUL (1 PF) (Mitchell 2 FT),"[1631128, 1628378]",1610612743.0,DEN,shooting,,,Braun,C. Braun,,,,,Restricted Area,0-8 Center,,,,,,,203591.0,1.0,0.0,Mitchell,1628378.0,,,,,,,,,
39,PT08M29.00S,2024-12-28T02:15:49.9Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1628378,,,1610612739,8,13,2024-12-28T02:15:49Z,390000,False,,,0,,D. Mitchell Free Throw 1 of 2 (6 PTS),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,Made,6.0,,,,,,,,,,,,,,,,,
40,PT08M29.00S,2024-12-28T02:16:09.8Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1628378,,,1610612739,8,14,2024-12-28T02:16:09Z,400000,False,,,0,,D. Mitchell Free Throw 2 of 2 (7 PTS),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,Made,7.0,,,,,,,,,,,,,,,,,
41,PT08M13.00S,2024-12-28T02:16:27.9Z,1,REGULAR,3pt,Jump Shot,[],1629008,31.61957950065703,64.4607843137255,1610612743,11,14,2024-12-28T02:16:33Z,410000,False,-72.0,245.0,1,left,M. Porter Jr. 25' 3PT  (3 PTS) (J. Murray 1 AST),"[1629008, 1627750]",1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Center,25.52,Made,3.0,J. Murray,1627750.0,1.0,,,,,,,,,,,,,,
45,PT07M49.00S,2024-12-28T02:17:21.1Z,1,REGULAR,3pt,Jump Shot,[],1628378,82.47371879106439,4.6568627450980395,1610612739,11,14,2024-12-28T02:17:27Z,450000,False,-227.0,112.0,1,right,MISS D. Mitchell 25' fadeaway 3PT,[1628378],1610612739.0,CLE,fadeaway,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Left Center,25.29,Missed,,,,,,,,,,,,,,,,,,
