actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,shotActionNumber,pointsTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-11-03T02:11:10.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-03T02:11:10Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-11-03T02:11:13.2Z,1,REGULAR,jumpball,recovered,[],1641718,,,1610612762,0,0,2024-11-03T02:11:13Z,40000,False,,,0,,Jump Ball W. Kessler vs. N. Jokić: Tip to K. George,"[1641718, 1631117, 203999]",1610612762.0,UTA,startperiod,K. George,1641718.0,George,K. George,Kessler,1631117.0,Jokić,203999.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M32.00S,2024-11-03T02:11:37.0Z,1,REGULAR,foul,personal,['2freethrow'],203932,,,1610612762,0,0,2024-11-03T02:12:05Z,70000,False,,,0,,A. Gordon shooting personal FOUL (1 PF) (Kessler 2 FT),"[203932, 1631117]",1610612743.0,DEN,shooting,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,204058.0,1.0,0.0,Kessler,1631117.0,,,,,,,,,,,,,,,
9,PT11M32.00S,2024-11-03T02:12:06.1Z,1,REGULAR,freethrow,1 of 2,[],1631117,,,1610612762,0,0,2024-11-03T02:12:06Z,90000,False,,,0,,MISS W. Kessler Free Throw 1 of 2,[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
10,PT11M32.00S,2024-11-03T02:12:06.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612762,0,0,2024-11-03T02:12:06Z,100000,False,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,
11,PT11M32.00S,2024-11-03T02:12:25.1Z,1,REGULAR,freethrow,2 of 2,[],1631117,,,1610612762,0,1,2024-11-03T02:12:25Z,110000,False,,,0,,W. Kessler Free Throw 2 of 2 (1 PTS),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,,,,,,,,Made,,1.0,,,,,,,,,,,,
12,PT11M20.00S,2024-11-03T02:12:39.4Z,1,REGULAR,foul,personal,['2freethrow'],1631117,,,1610612743,0,1,2024-11-03T02:12:49Z,120000,False,,,0,,W. Kessler shooting personal FOUL (1 PF) (Westbrook 2 FT),"[1631117, 201566]",1610612762.0,UTA,shooting,,,Kessler,W. Kessler,,,,,Restricted Area,0-8 Center,204058.0,1.0,0.0,Westbrook,201566.0,,,,,,,,,,,,,,,
14,PT11M20.00S,2024-11-03T02:13:01.7Z,1,REGULAR,freethrow,1 of 2,[],201566,,,1610612743,0,1,2024-11-03T02:13:01Z,140000,False,,,0,,MISS R. Westbrook Free Throw 1 of 2,[201566],1610612743.0,DEN,,,,Westbrook,R. Westbrook,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
15,PT11M20.00S,2024-11-03T02:13:01.7Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612743,0,1,2024-11-03T02:13:01Z,150000,False,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,
16,PT11M20.00S,2024-11-03T02:13:19.0Z,1,REGULAR,freethrow,2 of 2,[],201566,,,1610612743,0,1,2024-11-03T02:13:19Z,160000,False,,,0,,MISS R. Westbrook Free Throw 2 of 2,[201566],1610612743.0,DEN,,,,Westbrook,R. Westbrook,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
