actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-01-16T02:10:51.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-16T02:10:51Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-01-16T02:10:54.0Z,1,REGULAR,jumpball,recovered,[],1629008,,,1610612743,0,0,2025-01-16T02:10:54Z,40000,False,,,0,,Jump Ball D. Jordan vs. A. Sengun: Tip to M. Porter Jr.,"[1629008, 201599, 1630578]",1610612743.0,DEN,startperiod,M. Porter Jr.,1629008.0,Porter Jr.,M. Porter Jr.,Jordan,201599.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2025-01-16T02:11:04.0Z,1,REGULAR,turnover,out-of-bounds,[],201566,,,1610612743,0,0,2025-01-16T02:11:08Z,70000,False,,,0,,R. Westbrook bad pass out-of-bounds TURNOVER (1 TO),[201566],1610612743.0,DEN,bad pass,,,Westbrook,R. Westbrook,,,,,Above the Break 3,24+ Right Center,202049.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M30.00S,2025-01-16T02:11:34.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627832,68.9388961892247,28.676470588235293,1610612745,0,3,2025-01-16T02:11:38Z,80000,False,-107.0,239.0,1,right,F. VanVleet 26' 3PT  (3 PTS) (A. Sengun 1 AST),"[1627832, 1630578]",1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Left Center,,,26.22,Made,3.0,A. Sengun,1630578.0,1.0,,,,,,,,,,,,
10,PT11M10.00S,2025-01-16T02:11:54.2Z,1,REGULAR,2pt,Jump Shot,[],1627750,19.530223390275953,32.1078431372549,1610612743,0,3,2025-01-16T02:12:11Z,100000,False,89.0,131.0,1,left,MISS J. Murray 15' fadeaway Shot,[1627750],1610612743.0,DEN,fadeaway,,,Murray,J. Murray,,,,,Mid-Range,8-16 Right,,,15.87,Missed,,,,,,,,,,,,,,,,
11,PT11M09.00S,2025-01-16T02:11:55.2Z,1,REGULAR,rebound,offensive,[],201599,,,1610612743,0,3,2025-01-16T02:12:11Z,110000,False,,,0,,D. Jordan REBOUND (Off:1 Def:0),[201599],1610612743.0,DEN,,,,Jordan,D. Jordan,,,,,Mid-Range,8-16 Right,,,,,,,,,10.0,1.0,0.0,1.0,,,,,,,,
12,PT11M09.00S,2025-01-16T02:12:08.2Z,1,REGULAR,foul,personal,[],1628415,,,1610612743,0,3,2025-01-16T02:12:23Z,120000,False,,,0,,D. Brooks personal FOUL (1 PF),"[1628415, 201599]",1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,Restricted Area,0-8 Center,202056.0,,,,,,,,,,,,1.0,0.0,Jordan,201599.0,,,,
14,PT11M01.00S,2025-01-16T02:12:26.3Z,1,REGULAR,turnover,bad pass,[],201566,,,1610612743,0,3,2025-01-16T02:12:30Z,140000,False,,,0,,R. Westbrook bad pass TURNOVER (2 TO),"[201566, 1628415]",1610612743.0,DEN,,,,Westbrook,R. Westbrook,,,,,In The Paint (Non-RA),8-16 Center,,2.0,,,,,,,,,,,,,,,Brooks,1628415.0,,
15,PT11M01.00S,2025-01-16T02:12:26.3Z,1,REGULAR,steal,,[],1628415,,,1610612745,0,3,2025-01-16T02:12:28Z,150000,False,,,0,,D. Brooks STEAL (1 STL),[1628415],1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
16,PT10M58.00S,2025-01-16T02:12:29.7Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1627832,70.77858081471747,17.892156862745097,1610612745,0,3,2025-01-16T02:13:11Z,160000,False,-161.0,222.0,1,right,MISS F. VanVleet 27' running 3PT,[1627832],1610612745.0,HOU,running,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Left Center,,,27.41,Missed,,,,,,,,,,,,,,,,
17,PT10M55.00S,2025-01-16T02:12:32.7Z,1,REGULAR,rebound,defensive,[],1627750,,,1610612743,0,3,2025-01-16T02:12:38Z,170000,False,,,0,,J. Murray REBOUND (Off:0 Def:1),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,Above the Break 3,24+ Left Center,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,
18,PT10M41.00S,2025-01-16T02:12:46.3Z,1,REGULAR,3pt,Jump Shot,[],1627750,27.677398160315374,16.911764705882355,1610612743,3,3,2025-01-16T02:14:15Z,180000,False,165.0,208.0,1,left,J. Murray 26' 3PT step back (3 PTS),[1627750],1610612743.0,DEN,step back,,,Murray,J. Murray,,,,,Above the Break 3,24+ Right Center,,,26.55,Made,3.0,,,,,,,,,,,,,,,
19,PT10M23.00S,2025-01-16T02:13:03.9Z,1,REGULAR,2pt,Jump Shot,[],1630224,77.87450722733246,27.205882352941174,1610612745,3,5,2025-01-16T02:13:09Z,190000,False,-114.0,155.0,1,right,J. Green 19' pullup Jump Shot (2 PTS),[1630224],1610612745.0,HOU,pullup,,,Green,J. Green,,,,,Mid-Range,16-24 Left Center,,,19.28,Made,2.0,,,,,,,,,,,,,,,
20,PT10M01.00S,2025-01-16T02:13:25.6Z,1,REGULAR,3pt,Jump Shot,[],201566,27.020367936925098,80.14705882352942,1610612743,3,5,2025-01-16T02:13:30Z,200000,False,-151.0,201.0,1,left,MISS R. Westbrook 25' 3PT,[201566],1610612743.0,DEN,,,,Westbrook,R. Westbrook,,,,,Above the Break 3,24+ Left Center,,,25.16,Missed,,,,,,,,,,,,,,,,
21,PT09M57.00S,2025-01-16T02:13:29.6Z,1,REGULAR,rebound,defensive,[],1641708,,,1610612745,3,5,2025-01-16T02:13:30Z,210000,False,,,0,,A. Thompson REBOUND (Off:0 Def:1),[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,Above the Break 3,24+ Left Center,,,,,,,,,20.0,1.0,1.0,0.0,,,,,,,,
22,PT09M52.00S,2025-01-16T02:13:34.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630578,67.09921156373193,43.872549019607845,1610612745,3,5,2025-01-16T02:15:14Z,220000,False,-31.0,257.0,1,right,MISS A. Sengun 25' running 3PT,[1630578],1610612745.0,HOU,running,,,Sengun,A. Sengun,,,,,Above the Break 3,24+ Center,,,25.86,Missed,,,,,,,,,,,,,,,,
23,PT09M50.00S,2025-01-16T02:13:36.7Z,1,REGULAR,rebound,defensive,[],201599,,,1610612743,3,5,2025-01-16T02:13:44Z,230000,False,,,0,,D. Jordan REBOUND (Off:1 Def:1),[201599],1610612743.0,DEN,,,,Jordan,D. Jordan,,,,,Above the Break 3,24+ Center,,,,,,,,,22.0,2.0,1.0,1.0,,,,,,,,
24,PT09M46.00S,2025-01-16T02:13:43.9Z,1,REGULAR,turnover,out-of-bounds,[],1631128,,,1610612743,3,5,2025-01-16T02:13:55Z,240000,False,,,0,,C. Braun step out-of-bounds TURNOVER (1 TO),[1631128],1610612743.0,DEN,step,,,Braun,C. Braun,,,,,Mid-Range,8-16 Right,2002.0,1.0,,,,,,,,,,,,,,,,,,
25,PT09M37.00S,2025-01-16T02:13:59.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1641708,92.72339027595268,46.81372549019608,1610612745,3,7,2025-01-16T02:14:07Z,250000,False,-16.0,16.0,1,right,A. Thompson alley-oop DUNK (2 PTS) (A. Sengun 2 AST),"[1641708, 1630578]",1610612745.0,HOU,alley-oop,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,,,2.25,Made,2.0,A. Sengun,1630578.0,2.0,,,,,,,,,,,,
27,PT09M16.00S,2025-01-16T02:14:19.0Z,1,REGULAR,3pt,Jump Shot,[],201566,7.703679369250986,4.411764705882353,1610612743,6,7,2025-01-16T02:14:23Z,270000,False,228.0,20.0,1,left,R. Westbrook 3PT  (3 PTS) (J. Murray 1 AST),"[201566, 1627750]",1610612743.0,DEN,,,,Westbrook,R. Westbrook,,,,,Right Corner 3,24+ Right,,,22.88,Made,3.0,J. Murray,1627750.0,1.0,,,,,,,,,,,,
31,PT08M57.00S,2025-01-16T02:15:02.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630578,92.32917214191852,46.568627450980394,1610612745,6,9,2025-01-16T05:05:22Z,310000,False,-17.0,20.0,1,right,A. Sengun driving reverse Layup (2 PTS),[1630578],1610612745.0,HOU,driving reverse,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,,,2.61,Made,2.0,,,,,,,,,,,,,,,
32,PT08M40.00S,2025-01-16T02:15:19.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631128,13.222733245729303,53.431372549019606,1610612743,8,9,2025-01-16T02:15:24Z,320000,False,-17.0,72.0,1,left,C. Braun 7' floating Jump Shot (2 PTS) (J. Murray 2 AST),"[1631128, 1627750]",1610612743.0,DEN,floating,,,Braun,C. Braun,,,,,In The Paint (Non-RA),0-8 Center,,,7.38,Made,2.0,J. Murray,1627750.0,2.0,,,,,,,,,,,,
34,PT08M28.00S,2025-01-16T02:15:32.2Z,1,REGULAR,3pt,Jump Shot,[],1630224,68.67608409986859,36.029411764705884,1610612745,8,12,2025-01-16T02:21:57Z,340000,False,-70.0,242.0,1,right,J. Green 25' 3PT pullup (5 PTS) (A. Sengun 3 AST),"[1630224, 1630578]",1610612745.0,HOU,pullup,,,Green,J. Green,,,,,Above the Break 3,24+ Center,,,25.18,Made,5.0,A. Sengun,1630578.0,3.0,,,,,,,,,,,,
35,PT08M28.00S,2025-01-16T02:15:36.3Z,1,REGULAR,foul,personal,['1freethrow'],1629008,,,1610612745,8,12,2025-01-16T02:16:00Z,350000,False,,,0,,M. Porter Jr. shooting personal FOUL (1 PF) (Green 1 FT),"[1629008, 1630224]",1610612743.0,DEN,shooting,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Center,2002.0,,,,,,,,,,,,1.0,0.0,Green,1630224.0,,,,
37,PT08M28.00S,2025-01-16T02:15:57.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612745,8,12,2025-01-16T02:15:57Z,370000,False,,,0,,DEN Timeout,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,PT08M28.00S,2025-01-16T02:18:51.1Z,1,REGULAR,freethrow,1 of 1,[],1630224,,,1610612745,8,13,2025-01-16T02:18:51Z,380000,False,,,0,,J. Green Free Throw 1 of 1 (6 PTS),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,,,Made,6.0,,,,,,,,,,,,,,,
40,PT08M08.00S,2025-01-16T02:19:15.2Z,1,REGULAR,2pt,Jump Shot,[],1627750,10.85742444152431,78.67647058823529,1610612743,8,13,2025-01-16T02:22:49Z,390000,False,-143.0,50.0,1,left,MISS J. Murray 15' turnaround fadeaway Shot,[1627750],1610612743.0,DEN,turnaround fadeaway,,,Murray,J. Murray,,,,,Mid-Range,8-16 Left,,,15.17,Missed,,,,,,,,,,,,,,,,
41,PT08M02.00S,2025-01-16T02:19:21.2Z,1,REGULAR,rebound,defensive,[],1628415,,,1610612745,8,13,2025-01-16T02:19:21Z,400000,False,,,0,,D. Brooks REBOUND (Off:0 Def:1),[1628415],1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,Mid-Range,8-16 Left,,,,,,,,,40.0,1.0,1.0,0.0,,,,,,,,
42,PT08M00.00S,2025-01-16T02:19:21.9Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1641708,91.93495400788436,57.35294117647059,1610612745,8,13,2025-01-16T02:23:23Z,410000,False,37.0,23.0,1,right,MISS A. Thompson running Layup,[1641708],1610612745.0,HOU,running,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,,,4.36,Missed,,,,,,,,,,,,,,,,
43,PT07M59.00S,2025-01-16T02:19:22.9Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,8,13,2025-01-16T02:19:26Z,420000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:1),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,42.0,1.0,1.0,0.0,,,,,,,,
44,PT07M56.00S,2025-01-16T02:19:28.7Z,1,REGULAR,turnover,out-of-bounds,[],1629008,,,1610612743,8,13,2025-01-16T02:19:34Z,430000,False,,,0,,M. Porter Jr. bad pass out-of-bounds TURNOVER (1 TO),[1629008],1610612743.0,DEN,bad pass,,,Porter Jr.,M. Porter Jr.,,,,,Restricted Area,0-8 Center,2002.0,1.0,,,,,,,,,,,,,,,,,,
46,PT07M34.00S,2025-01-16T02:19:56.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630578,87.46714848883047,47.30392156862745,1610612745,8,13,2025-01-16T02:24:24Z,450000,False,-13.0,65.0,1,right,MISS A. Sengun 6' floating Shot,[1630578],1610612745.0,HOU,floating,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),0-8 Center,,,6.67,Missed,,,,,,,,,,,,,,,,
47,PT07M33.00S,2025-01-16T02:19:57.5Z,1,REGULAR,rebound,defensive,[],201599,,,1610612743,8,13,2025-01-16T02:20:00Z,460000,False,,,0,,D. Jordan REBOUND (Off:1 Def:2),[201599],1610612743.0,DEN,,,,Jordan,D. Jordan,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,46.0,3.0,2.0,1.0,,,,,,,,
48,PT07M25.00S,2025-01-16T02:20:06.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627750,9.937582128777924,51.225490196078425,1610612743,10,13,2025-01-16T02:20:09Z,470000,False,-6.0,41.0,1,left,J. Murray driving finger roll Layup (5 PTS),[1627750],1610612743.0,DEN,driving finger roll,,,Murray,J. Murray,,,,,Restricted Area,0-8 Center,,,4.14,Made,5.0,,,,,,,,,,,,,,,
49,PT07M12.00S,2025-01-16T02:20:18.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641708,93.11760840998686,54.65686274509803,1610612745,10,15,2025-01-16T02:20:22Z,480000,False,23.0,12.0,1,right,A. Thompson driving Layup (4 PTS),[1641708],1610612745.0,HOU,driving,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,,,2.63,Made,4.0,,,,,,,,,,,,,,,
