actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-10-26T21:12:40.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-10-26T21:12:40Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-10-26T21:12:43.9Z,1,REGULAR,jumpball,recovered,[],203932,,,1610612743,0,0,2024-10-26T21:12:43Z,40000,False,,,0,,Jump Ball N. Jokić vs. I. Zubac: Tip to A. Gordon,"[203932, 203999, 1627826]",1610612743.0,DEN,startperiod,A. Gordon,203932.0,Gordon,A. Gordon,Jokić,203999.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2024-10-26T21:12:59.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203932,13.87976346911958,40.19607843137255,1610612743,0,0,2024-10-26T21:13:07Z,70000,False,49.0,78.0,1,left,MISS A. Gordon 9' fadeaway Shot,[203932],1610612743.0,DEN,fadeaway,,,Gordon,A. Gordon,,,,,In The Paint (Non-RA),8-16 Right,9.21,Missed,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2024-10-26T21:13:02.2Z,1,REGULAR,rebound,defensive,[],201935,,,1610612746,0,0,2024-10-26T21:13:07Z,80000,False,,,0,,J. Harden REBOUND (Off:0 Def:1),[201935],1610612746.0,LAC,,,,Harden,J. Harden,,,,,In The Paint (Non-RA),8-16 Right,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M25.00S,2024-10-26T21:13:14.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626181,92.06636005256242,46.568627450980394,1610612746,0,0,2024-10-26T21:13:21Z,90000,False,-17.0,22.0,1,right,MISS N. Powell driving Layup,[1626181],1610612746.0,LAC,driving,,,Powell,N. Powell,,,,,Restricted Area,0-8 Center,2.8,Missed,,,,,,,,,,,,,,,,,,
10,PT11M23.00S,2024-10-26T21:13:16.2Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,0,0,2024-10-26T21:13:21Z,100000,False,,,0,,N. Jokić REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,Restricted Area,0-8 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M18.00S,2024-10-26T21:13:21.0Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",203932,7.30946123521682,46.32352941176471,1610612743,0,0,2024-10-26T21:14:07Z,110000,False,18.0,16.0,1,left,MISS A. Gordon running Layup,[203932],1610612743.0,DEN,running,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,2.45,Missed,,,,,,,,,,,,,,,,,,
12,PT11M16.00S,2024-10-26T21:13:23.0Z,1,REGULAR,rebound,defensive,[],201935,,,1610612746,0,0,2024-10-26T21:13:36Z,120000,False,,,0,,J. Harden REBOUND (Off:0 Def:2),[201935],1610612746.0,LAC,,,,Harden,J. Harden,,,,,Restricted Area,0-8 Center,,,11.0,2.0,2.0,0.0,,,,,,,,,,,,,,
13,PT11M06.00S,2024-10-26T21:13:34.7Z,1,REGULAR,foul,personal,[],203932,,,1610612746,0,0,2024-10-26T21:14:04Z,130000,False,,,0,,A. Gordon personal FOUL (1 PF),"[203932, 201935]",1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,203593.0,1.0,0.0,Harden,201935.0,,,,,,,,,
15,PT10M53.00S,2024-10-26T21:14:23.9Z,1,REGULAR,2pt,Jump Shot,[],1629611,75.1149802890933,33.82352941176471,1610612746,0,0,2024-10-26T21:14:31Z,150000,False,-81.0,181.0,1,right,MISS T. Mann 19' step back Shot,[1629611],1610612746.0,LAC,step back,,,Mann,T. Mann,,,,,Mid-Range,16-24 Left Center,19.86,Missed,,,,,,,,,,,,,,,,,,
