actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-04-02T02:06:23.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-04-02T02:06:23Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-04-02T02:06:26.2Z,1,REGULAR,jumpball,recovered,[],1630162,,,1610612750,0,0,2025-04-02T02:06:26Z,40000,False,,,0,,Jump Ball R. Gobert vs. N. Jokić: Tip to A. Edwards,"[1630162, 203497, 203999]",1610612750.0,MIN,startperiod,A. Edwards,1630162.0,Edwards,A. Edwards,Gobert,203497.0,Jokić,203999.0,,,,,,,,,,,,,,,,,,,,,,
9,PT11M37.00S,2025-04-02T02:07:27.1Z,1,REGULAR,turnover,bad pass,[],1630162,,,1610612750,0,0,2025-04-02T02:07:31Z,90000,False,,,0,,A. Edwards bad pass TURNOVER (1 TO),"[1630162, 1631128]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Center,1.0,Braun,1631128.0,,,,,,,,,,,,,,,,,
10,PT11M37.00S,2025-04-02T02:07:27.1Z,1,REGULAR,steal,,[],1631128,,,1610612743,0,0,2025-04-02T02:07:28Z,100000,False,,,0,,C. Braun STEAL (1 STL),[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
11,PT11M30.00S,2025-04-02T02:07:33.9Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",203999,31.35676741130092,25.245098039215684,1610612743,3,0,2025-04-02T02:08:18Z,110000,False,124.0,242.0,1,left,N. Jokić 27' 3PT running pullup (3 PTS),[203999],1610612743.0,DEN,running pullup,,,Jokić,N. Jokić,,,,,Above the Break 3,24+ Right Center,,,,27.21,Made,3.0,,,,,,,,,,,,,,
12,PT11M20.00S,2025-04-02T02:07:43.5Z,1,REGULAR,3pt,Jump Shot,[],203944,72.48685939553219,19.607843137254903,1610612750,3,0,2025-04-02T02:07:48Z,120000,False,-152.0,206.0,1,right,MISS J. Randle 25' pullup 3PT,[203944],1610612750.0,MIN,pullup,,,Randle,J. Randle,,,,,Above the Break 3,24+ Left Center,,,,25.61,Missed,,,,,,,,,,,,,,,
13,PT11M16.00S,2025-04-02T02:07:47.5Z,1,REGULAR,rebound,defensive,[],203932,,,1610612743,3,0,2025-04-02T02:07:48Z,130000,False,,,0,,A. Gordon REBOUND (Off:0 Def:1),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Above the Break 3,24+ Left Center,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,
14,PT11M09.00S,2025-04-02T02:07:54.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203932,26.231931668856767,20.098039215686274,1610612743,6,0,2025-04-02T02:09:01Z,140000,False,150.0,194.0,1,left,A. Gordon 24' 3PT running pullup (3 PTS),[203932],1610612743.0,DEN,running pullup,,,Gordon,A. Gordon,,,,,Above the Break 3,24+ Right Center,,,,24.5,Made,3.0,,,,,,,,,,,,,,
15,PT10M48.00S,2025-04-02T02:08:14.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203944,85.49605781865965,40.44117647058824,1610612750,6,2,2025-04-02T02:09:26Z,150000,False,-48.0,84.0,1,right,J. Randle 9' driving floating Jump Shot (2 PTS) (M. Conley 1 AST),"[203944, 201144]",1610612750.0,MIN,driving floating,,,Randle,J. Randle,,,,,In The Paint (Non-RA),8-16 Center,,,,9.65,Made,2.0,,,,,M. Conley,201144.0,1.0,,,,,,,
17,PT10M27.00S,2025-04-02T02:08:36.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203999,12.302890932982917,50.245098039215684,1610612743,8,2,2025-04-02T02:08:41Z,170000,False,-1.0,63.0,1,left,N. Jokić 6' driving floating Jump Shot (5 PTS),[203999],1610612743.0,DEN,driving floating,,,Jokić,N. Jokić,,,,,In The Paint (Non-RA),0-8 Center,,,,6.31,Made,5.0,,,,,,,,,,,,,,
18,PT10M11.00S,2025-04-02T02:08:51.4Z,1,REGULAR,turnover,out-of-bounds,[],201144,,,1610612750,8,2,2025-04-02T02:08:57Z,180000,False,,,0,,M. Conley bad pass out-of-bounds TURNOVER (1 TO),[201144],1610612750.0,MIN,bad pass,,,Conley,M. Conley,,,,,In The Paint (Non-RA),0-8 Center,1.0,,,,,,,,,,,,,2882.0,,,,,,
19,PT09M51.00S,2025-04-02T02:09:32.7Z,1,REGULAR,turnover,traveling,[],203999,,,1610612743,8,2,2025-04-02T02:09:37Z,190000,False,,,0,,N. Jokić traveling TURNOVER (1 TO),[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,In The Paint (Non-RA),8-16 Center,1.0,,,,,,,,,,,,,202056.0,,,,,,
20,PT09M42.00S,2025-04-02T02:09:54.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630162,68.67608409986859,63.970588235294116,1610612750,8,2,2025-04-02T02:09:59Z,200000,False,70.0,242.0,1,right,MISS A. Edwards 25' pullup 3PT,[1630162],1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Center,,,,25.18,Missed,,,,,,,,,,,,,,,
21,PT09M38.00S,2025-04-02T02:09:58.9Z,1,REGULAR,rebound,defensive,[],1631128,,,1610612743,8,2,2025-04-02T02:09:59Z,210000,False,,,0,,C. Braun REBOUND (Off:0 Def:1),[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,Above the Break 3,24+ Center,,,,,,,20.0,1.0,1.0,0.0,,,,,,,,,,
22,PT09M28.00S,2025-04-02T02:10:08.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203932,6.389618922470433,46.07843137254902,1610612743,10,2,2025-04-02T02:10:51Z,220000,False,20.0,8.0,1,left,A. Gordon driving floating bank Jump Shot (5 PTS),[203932],1610612743.0,DEN,driving floating bank,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,,,,2.1,Made,5.0,,,,,,,,,,,,,,
23,PT09M15.00S,2025-04-02T02:10:21.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203944,89.43823915900131,42.8921568627451,1610612750,10,2,2025-04-02T02:11:28Z,230000,False,-36.0,47.0,1,right,MISS J. Randle driving floating bank Shot,[203944],1610612750.0,MIN,driving floating bank,,,Randle,J. Randle,,,,,In The Paint (Non-RA),0-8 Center,,,,5.87,Missed,,,,,,,,,,,,,,,
