actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-03-13T02:13:52.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-13T02:13:52Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2025-03-13T02:13:56.3Z,1,REGULAR,jumpball,recovered,[],201566,,,1610612743,0,0,2025-03-13T02:13:56Z,40000,False,,,0,,Jump Ball N. Jokić vs. R. Gobert: Tip to R. Westbrook,"[201566, 203999, 203497]",1610612743.0,DEN,startperiod,R. Westbrook,201566.0,Westbrook,R. Westbrook,Jokić,203999.0,Gobert,203497.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2025-03-13T02:14:05.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627750,19.398817345597898,49.50980392156863,1610612743,0,0,2025-03-13T02:14:34Z,70000,False,2.0,130.0,1,left,MISS J. Murray 12' driving floating Shot,[1627750],1610612743.0,DEN,driving floating,,,Murray,J. Murray,,,,,In The Paint (Non-RA),8-16 Center,12.98,Missed,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2025-03-13T02:14:08.4Z,1,REGULAR,rebound,defensive,[],203944,,,1610612750,0,0,2025-03-13T02:14:15Z,80000,False,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612750.0,MIN,,,,Randle,J. Randle,,,,,In The Paint (Non-RA),8-16 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M33.00S,2025-03-13T02:14:18.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201144,86.81011826544021,45.09803921568628,1610612750,0,2,2025-03-13T02:14:23Z,90000,False,-25.0,71.0,1,right,M. Conley 7' driving floating Jump Shot (2 PTS),[201144],1610612750.0,MIN,driving floating,,,Conley,M. Conley,,,,,In The Paint (Non-RA),0-8 Center,7.56,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M13.00S,2025-03-13T02:14:41.4Z,1,REGULAR,foul,personal,['2freethrow'],203497,,,1610612743,0,2,2025-03-13T02:15:10Z,100000,False,,,0,,R. Gobert shooting personal FOUL (1 PF) (Jokić 2 FT),"[203497, 203999]",1610612750.0,MIN,shooting,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,,,,,,,,1628951.0,1.0,0.0,Jokić,203999.0,,,,,,,,
12,PT11M13.00S,2025-03-13T02:15:11.2Z,1,REGULAR,freethrow,1 of 2,[],203999,,,1610612743,0,2,2025-03-13T02:15:31Z,120000,False,,,0,,MISS N. Jokić Free Throw 1 of 2,[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
13,PT11M13.00S,2025-03-13T02:15:11.2Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612743,0,2,2025-03-13T02:15:31Z,130000,False,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,
14,PT11M13.00S,2025-03-13T02:15:11.2Z,1,REGULAR,freethrow,2 of 2,[],203999,,,1610612743,0,2,2025-03-13T02:15:31Z,140000,False,,,0,,MISS N. Jokić Free Throw 2 of 2,[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
15,PT11M08.00S,2025-03-13T02:15:16.2Z,1,REGULAR,rebound,defensive,[],203944,,,1610612750,0,2,2025-03-13T02:15:31Z,150000,False,,,0,,J. Randle REBOUND (Off:0 Def:2),[203944],1610612750.0,MIN,,,,Randle,J. Randle,,,,,,,,,14.0,2.0,2.0,0.0,,,,,,,,,,,,,,
