actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-03-27T01:10:37.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-27T01:10:37Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2025-03-27T01:10:42.0Z,1,REGULAR,jumpball,recovered,[],0,,,1610612743,0,0,2025-03-27T01:10:42Z,40000,False,,,0,,Jump Ball N. Jokić vs. B. Lopez: Tip to Team (DEN),"[203999, 201572]",1610612743.0,DEN,startperiod,Team (DEN),Jokić,203999.0,Lopez,201572.0,,,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2025-03-27T01:11:04.8Z,1,REGULAR,3pt,Jump Shot,[],1629008,74.95688239159001,13.947610294117652,1610612743,3,0,2025-03-27T01:11:23Z,70000,False,-180.0,183.0,1,right,M. Porter Jr. 25' 3PT  (3 PTS) (J. Murray 1 AST),"[1629008, 1627750]",1610612743.0,DEN,,,,,,,Above the Break 3,24+ Left Center,25.68,Made,3.0,Porter Jr.,M. Porter Jr.,J. Murray,1627750.0,1.0,,,,,,,,,,,,,,
10,PT11M28.00S,2025-03-27T01:11:20.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201572,7.358738501971089,55.158547794117645,1610612749,3,2,2025-03-27T01:11:40Z,90000,False,-26.0,17.0,1,left,B. Lopez cutting Layup (2 PTS) (T. Prince 1 AST),"[201572, 1627752]",1610612749.0,MIL,cutting,,,,,,Restricted Area,0-8 Center,3.07,Made,2.0,Lopez,B. Lopez,T. Prince,1627752.0,1.0,,,,,,,,,,,,,,
12,PT11M03.00S,2025-03-27T01:11:45.6Z,1,REGULAR,3pt,Jump Shot,[],203932,93.16688567674113,3.653492647058826,1610612743,6,2,2025-03-27T01:12:06Z,110000,False,-232.0,12.0,1,right,A. Gordon 3PT  (3 PTS) (J. Murray 2 AST),"[203932, 1627750]",1610612743.0,DEN,,,,,,,Left Corner 3,24+ Left,23.2,Made,3.0,Gordon,A. Gordon,J. Murray,1627750.0,2.0,,,,,,,,,,,,,,
14,PT10M44.00S,2025-03-27T01:12:04.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629645,10.118265440210251,44.87591911764706,1610612749,6,4,2025-03-27T01:12:23Z,130000,False,26.0,43.0,1,left,K. Porter Jr. driving Layup (2 PTS) (T. Prince 2 AST),"[1629645, 1627752]",1610612749.0,MIL,driving,,,,,,In The Paint (Non-RA),0-8 Center,4.97,Made,2.0,Porter Jr.,K. Porter Jr.,T. Prince,1627752.0,2.0,,,,,,,,,,,,,,
16,PT10M31.00S,2025-03-27T01:12:18.6Z,1,REGULAR,turnover,out-of-bounds,[],1629008,,,1610612743,6,4,2025-03-27T01:12:45Z,150000,False,,,0,,M. Porter Jr. bad pass out-of-bounds TURNOVER (1 TO),[1629008],1610612743.0,DEN,bad pass,,,,,,Mid-Range,8-16 Right,,,,Porter Jr.,M. Porter Jr.,,,,1628159.0,1.0,,,,,,,,,,,,
17,PT10M20.00S,2025-03-27T01:12:37.7Z,1,REGULAR,turnover,bad pass,[],1629645,,,1610612749,6,4,2025-03-27T01:13:33Z,160000,False,,,0,,K. Porter Jr. bad pass TURNOVER (1 TO),"[1629645, 1629008]",1610612749.0,MIL,,,,,,,Above the Break 3,24+ Center,,,,Porter Jr.,K. Porter Jr.,,,,,1.0,Porter Jr.,1629008.0,,,,,,,,,,
18,PT10M20.00S,2025-03-27T01:12:37.7Z,1,REGULAR,steal,,[],1629008,,,1610612743,6,4,2025-03-27T01:36:11Z,170000,False,,,0,,M. Porter Jr. STEAL (1 STL),[1629008],1610612743.0,DEN,,,,,,,Above the Break 3,24+ Center,,,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,,,,,,,
19,PT10M16.00S,2025-03-27T01:12:42.7Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1631128,90.53876478318003,59.75796568627451,1610612743,6,4,2025-03-27T01:14:03Z,180000,False,49.0,36.0,1,right,MISS C. Braun 6' running alley-oop DUNK,[1631128],1610612743.0,DEN,running alley-oop,,,,,,In The Paint (Non-RA),0-8 Center,6.09,Missed,,Braun,C. Braun,,,,,,,,,,,,,,,,,
20,PT10M15.00S,2025-03-27T01:12:43.7Z,1,REGULAR,rebound,offensive,[],203999,,,1610612743,6,4,2025-03-27T01:14:03Z,190000,False,,,0,,N. Jokić REBOUND (Off:1 Def:0),[203999],1610612743.0,DEN,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Jokić,N. Jokić,,,,,,,,19.0,1.0,0.0,1.0,,,,,,
21,PT10M14.00S,2025-03-27T01:12:46.7Z,1,REGULAR,2pt,Layup,"['2ndchance', 'fastbreak', 'pointsinthepaint', 'fromturnover']",203999,92.64126149802891,45.19761029411765,1610612743,8,4,2025-03-27T01:14:27Z,200000,False,-24.0,17.0,1,right,N. Jokić tip Layup (2 PTS),[203999],1610612743.0,DEN,tip,,,,,,Restricted Area,0-8 Center,2.92,Made,2.0,Jokić,N. Jokić,,,,,,,,,,,,,,,,,
22,PT10M06.00S,2025-03-27T01:12:53.2Z,1,REGULAR,3pt,Jump Shot,[],1628398,24.392247043363994,14.950980392156863,1610612749,8,4,2025-03-27T01:14:43Z,210000,False,175.0,177.0,1,left,MISS K. Kuzma 24' 3PT,[1628398],1610612749.0,MIL,,,,,,,Above the Break 3,24+ Right Center,24.89,Missed,,Kuzma,K. Kuzma,,,,,,,,,,,,,,,,,
23,PT10M04.00S,2025-03-27T01:12:55.2Z,1,REGULAR,rebound,defensive,[],1631128,,,1610612743,8,4,2025-03-27T01:14:43Z,220000,False,,,0,,C. Braun REBOUND (Off:0 Def:1),[1631128],1610612743.0,DEN,,,,,,,Above the Break 3,24+ Right Center,,,,Braun,C. Braun,,,,,,,,22.0,1.0,1.0,0.0,,,,,,
24,PT09M51.00S,2025-03-27T01:13:05.5Z,1,REGULAR,3pt,Jump Shot,[],1629008,92.24704336399475,96.54564950980392,1610612743,11,4,2025-03-27T01:14:59Z,230000,False,233.0,20.0,1,right,M. Porter Jr. 3PT  (6 PTS) (C. Braun 1 AST),"[1629008, 1631128]",1610612743.0,DEN,,,,,,,Right Corner 3,24+ Right,23.36,Made,6.0,Porter Jr.,M. Porter Jr.,C. Braun,1631128.0,1.0,,,,,,,,,,,,,,
26,PT09M50.00S,2025-03-27T01:13:11.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612749,11,4,2025-03-27T01:13:11Z,250000,False,,,0,,MIL Timeout,[],1610612749.0,MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,PT09M36.00S,2025-03-27T01:16:12.7Z,1,REGULAR,2pt,Jump Shot,[],1629645,25.624178712220754,45.239736519607845,1610612749,11,4,2025-03-27T01:16:40Z,260000,False,24.0,188.0,1,left,MISS K. Porter Jr. 18' step back Shot,[1629645],1610612749.0,MIL,step back,,,,,,Mid-Range,16-24 Center,18.99,Missed,,Porter Jr.,K. Porter Jr.,,,,,,,,,,,,,,,,,
28,PT09M33.00S,2025-03-27T01:16:15.7Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,11,4,2025-03-27T01:16:40Z,270000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:1),[1629008],1610612743.0,DEN,,,,,,,Mid-Range,16-24 Center,,,,Porter Jr.,M. Porter Jr.,,,,,,,,27.0,1.0,1.0,0.0,,,,,,
29,PT09M24.00S,2025-03-27T01:16:25.2Z,1,REGULAR,foul,offensive,[],203932,,,1610612743,11,4,2025-03-27T01:16:52Z,280000,False,,,0,,A. Gordon offensive FOUL (1 PF),"[203932, 1629645]",1610612743.0,DEN,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Gordon,A. Gordon,,,,1628159.0,,,,,,,,1.0,0.0,Porter Jr.,1629645.0,,
31,PT09M24.00S,2025-03-27T01:16:25.2Z,1,REGULAR,turnover,offensive foul,[],203932,,,1610612743,11,4,2025-03-27T01:16:52Z,300000,False,,,0,,A. Gordon offensive foul TURNOVER (1 TO),[203932],1610612743.0,DEN,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Gordon,A. Gordon,,,,1628159.0,1.0,,,,,,,,,,,,
32,PT09M17.00S,2025-03-27T01:16:44.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629018,23.258869908015768,91.3985906862745,1610612749,11,7,2025-03-27T01:17:06Z,310000,False,-207.0,166.0,1,left,G. Trent Jr. 26' 3PT  (3 PTS) (K. Porter Jr. 1 AST),"[1629018, 1629645]",1610612749.0,MIL,,,,,,,Above the Break 3,24+ Left Center,26.54,Made,3.0,Trent Jr.,G. Trent Jr.,K. Porter Jr.,1629645.0,1.0,,,,,,,,,,,,,,
34,PT09M00.00S,2025-03-27T01:17:02.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629008,92.50985545335085,54.85600490196079,1610612743,13,7,2025-03-27T01:17:25Z,330000,False,24.0,18.0,1,right,M. Porter Jr. cutting DUNK (8 PTS) (A. Gordon 1 AST),"[1629008, 203932]",1610612743.0,DEN,cutting,,,,,,Restricted Area,0-8 Center,3.02,Made,8.0,Porter Jr.,M. Porter Jr.,A. Gordon,203932.0,1.0,,,,,,,,,,,,,,
36,PT08M42.00S,2025-03-27T01:17:21.6Z,1,REGULAR,foul,personal,['2freethrow'],203932,,,1610612749,13,7,2025-03-27T01:17:40Z,350000,False,,,0,,A. Gordon shooting personal FOUL (2 PF) (Trent Jr. 2 FT),"[203932, 1629018]",1610612743.0,DEN,shooting,,,,,,Restricted Area,0-8 Center,,,,Gordon,A. Gordon,,,,2004.0,,,,,,,,2.0,0.0,Trent Jr.,1629018.0,,
38,PT08M42.00S,2025-03-27T01:17:46.0Z,1,REGULAR,freethrow,1 of 2,[],1629018,,,1610612749,13,8,2025-03-27T01:17:46Z,370000,False,,,0,,G. Trent Jr. Free Throw 1 of 2 (4 PTS),[1629018],1610612749.0,MIL,,,,,,,,,,Made,4.0,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,,,,
39,PT08M42.00S,2025-03-27T01:17:47.7Z,1,REGULAR,substitution,out,[],203932,,,1610612749,13,8,2025-03-27T01:17:52Z,380000,False,,,0,,SUB out: A. Gordon,[203932],1610612743.0,DEN,,,,,,,,,,,,Gordon,A. Gordon,,,,,,,,,,,,,,,,,
40,PT08M42.00S,2025-03-27T01:17:47.7Z,1,REGULAR,substitution,in,[],1631212,,,1610612749,13,8,2025-03-27T01:17:52Z,390000,False,,,0,,SUB in: P. Watson,[1631212],1610612743.0,DEN,,,,,,,,,,,,Watson,P. Watson,,,,,,,,,,,,,,,,,
41,PT08M42.00S,2025-03-27T01:18:09.0Z,1,REGULAR,freethrow,2 of 2,[],1629018,,,1610612749,13,9,2025-03-27T01:18:09Z,400000,False,,,0,,G. Trent Jr. Free Throw 2 of 2 (5 PTS),[1629018],1610612749.0,MIL,,,,,,,,,,Made,5.0,Trent Jr.,G. Trent Jr.,,,,,,,,,,,,,,,,,
42,PT08M34.00S,2025-03-27T01:18:20.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203999,88.96189224704337,58.58992034313725,1610612743,15,9,2025-03-27T01:18:40Z,410000,False,43.0,51.0,1,right,N. Jokić 6' driving bank Hook (4 PTS) (C. Braun 2 AST),"[203999, 1631128]",1610612743.0,DEN,driving bank,,,,,,In The Paint (Non-RA),0-8 Center,6.69,Made,4.0,Jokić,N. Jokić,C. Braun,1631128.0,2.0,,,,,,,,,,,,,,
