actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-04-03T01:10:54.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-04-03T01:10:54Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2025-04-03T01:10:57.0Z,1,REGULAR,jumpball,recovered,[],203084,,,1610612759,0,0,2025-04-03T01:10:57Z,40000,False,,,0,,Jump Ball B. Biyombo vs. D. Jordan: Tip to H. Barnes,"[203084, 202687, 201599]",1610612759.0,SAS,startperiod,H. Barnes,203084.0,Barnes,H. Barnes,Biyombo,202687.0,Jordan,201599.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2025-04-03T01:11:10.1Z,1,REGULAR,2pt,Jump Shot,[],101108,84.97043363994744,27.205882352941174,1610612759,0,2,2025-04-03T01:11:33Z,70000,False,-114.0,89.0,1,right,C. Paul 14' Jump Shot (2 PTS) (H. Barnes 1 AST),"[101108, 203084]",1610612759.0,SAS,,,,Paul,C. Paul,,,,,Mid-Range,8-16 Left,14.45,Made,2.0,H. Barnes,203084.0,1.0,,,,,,,,,,,,,,
9,PT11M32.00S,2025-04-03T01:11:23.1Z,1,REGULAR,turnover,out-of-bounds,[],201566,,,1610612743,0,2,2025-04-03T01:11:45Z,90000,False,,,0,,R. Westbrook bad pass out-of-bounds TURNOVER (1 TO),[201566],1610612743.0,DEN,bad pass,,,Westbrook,R. Westbrook,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,202053.0,1.0,,,,,,,,,,,,
10,PT11M13.00S,2025-04-03T01:11:49.8Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203084,93.69250985545335,28.408394607843135,1610612759,0,4,2025-04-03T01:12:23Z,100000,False,-108.0,7.0,1,right,H. Barnes 10' turnaround Jump Shot (2 PTS),[203084],1610612759.0,SAS,turnaround,,,Barnes,H. Barnes,,,,,Mid-Range,8-16 Left,10.82,Made,2.0,,,,,,,,,,,,,,,,,
11,PT10M58.00S,2025-04-03T01:12:05.9Z,1,REGULAR,3pt,Jump Shot,[],201566,33.592723390275964,41.2185968137255,1610612743,0,4,2025-04-03T01:12:40Z,110000,False,44.0,263.0,1,left,MISS R. Westbrook 26' 3PT,[201566],1610612743.0,DEN,,,,Westbrook,R. Westbrook,,,,,Above the Break 3,24+ Center,26.69,Missed,,,,,,,,,,,,,,,,,,
12,PT10M54.00S,2025-04-03T01:12:09.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612743,0,4,2025-04-03T01:12:40Z,120000,False,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,,,11.0,,,,,,,,,,,
14,PT10M50.00S,2025-04-03T01:12:29.7Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1629618,26.01839684625493,39.928002450980394,1610612743,0,4,2025-04-03T01:13:01Z,140000,False,50.0,192.0,1,left,MISS J. Pickett 19' pullup Shot,[1629618],1610612743.0,DEN,pullup,,,Pickett,J. Pickett,,,,,Mid-Range,16-24 Center,19.86,Missed,,,,,,,,,,,,,,,,,,
15,PT10M47.00S,2025-04-03T01:12:32.7Z,1,REGULAR,rebound,defensive,[],101108,,,1610612759,0,4,2025-04-03T01:13:01Z,150000,False,,,0,,C. Paul REBOUND (Off:0 Def:1),[101108],1610612759.0,SAS,,,,Paul,C. Paul,,,,,Mid-Range,16-24 Center,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,
16,PT10M36.00S,2025-04-03T01:12:43.5Z,1,REGULAR,turnover,bad pass,[],101108,,,1610612759,0,4,2025-04-03T01:13:27Z,160000,False,,,0,,C. Paul bad pass TURNOVER (1 TO),"[101108, 201566]",1610612759.0,SAS,,,,Paul,C. Paul,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1.0,,,,,Westbrook,201566.0,,,,,,
17,PT10M36.00S,2025-04-03T01:12:43.5Z,1,REGULAR,steal,,[],201566,,,1610612743,0,4,2025-04-03T01:12:45Z,170000,False,,,0,,R. Westbrook STEAL (1 STL),[201566],1610612743.0,DEN,,,,Westbrook,R. Westbrook,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
18,PT10M30.00S,2025-04-03T01:12:49.4Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1641816,9.986859395532193,96.30055147058823,1610612743,0,4,2025-04-03T01:13:54Z,180000,False,-232.0,41.0,1,left,MISS H. Tyson running 3PT,[1641816],1610612743.0,DEN,running,,,Tyson,H. Tyson,,,,,Left Corner 3,24+ Left,23.52,Missed,,,,,,,,,,,,,,,,,,
19,PT10M27.00S,2025-04-03T01:12:52.4Z,1,REGULAR,rebound,defensive,[],1642264,,,1610612759,0,4,2025-04-03T01:13:54Z,190000,False,,,0,,S. Castle REBOUND (Off:0 Def:1),[1642264],1610612759.0,SAS,,,,Castle,S. Castle,,,,,Left Corner 3,24+ Left,,,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,
21,PT10M15.00S,2025-04-03T01:13:22.1Z,1,REGULAR,3pt,Jump Shot,[],1630577,76.00813074901446,90.17310049019608,1610612759,0,7,2025-04-03T01:14:14Z,210000,False,201.0,173.0,1,right,J. Champagnie 26' 3PT  (3 PTS) (C. Paul 1 AST),"[1630577, 101108]",1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Above the Break 3,24+ Right Center,26.51,Made,3.0,C. Paul,101108.0,1.0,,,,,,,,,,,,,,
23,PT10M00.00S,2025-04-03T01:13:39.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201566,12.089356110381075,46.97457107843137,1610612743,0,7,2025-04-03T01:14:40Z,230000,False,15.0,61.0,1,left,MISS R. Westbrook 6' driving Layup,[201566],1610612743.0,DEN,driving,,,Westbrook,R. Westbrook,,,,,In The Paint (Non-RA),0-8 Center,6.29,Missed,,,,,,,,,,,,,,,,,,
24,PT09M59.00S,2025-04-03T01:13:40.5Z,1,REGULAR,rebound,defensive,[],202687,,,1610612759,0,7,2025-04-03T01:14:40Z,240000,False,,,0,,B. Biyombo REBOUND (Off:0 Def:1),[202687],1610612759.0,SAS,,,,Biyombo,B. Biyombo,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,23.0,1.0,1.0,0.0,,,,,,,,
25,PT09M53.00S,2025-04-03T01:13:45.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203084,77.66097240473061,91.88878676470588,1610612759,0,7,2025-04-03T01:15:07Z,250000,False,209.0,157.0,1,right,MISS H. Barnes 26' running pullup 3PT,[203084],1610612759.0,SAS,running pullup,,,Barnes,H. Barnes,,,,,Above the Break 3,24+ Right Center,26.2,Missed,,,,,,,,,,,,,,,,,,
26,PT09M51.00S,2025-04-03T01:13:47.5Z,1,REGULAR,rebound,defensive,[],201599,,,1610612743,0,7,2025-04-03T01:15:07Z,260000,False,,,0,,D. Jordan REBOUND (Off:0 Def:1),[201599],1610612743.0,DEN,,,,Jordan,D. Jordan,,,,,Above the Break 3,24+ Right Center,,,,,,,,,25.0,1.0,1.0,0.0,,,,,,,,
27,PT09M34.00S,2025-04-03T01:14:05.3Z,1,REGULAR,3pt,Jump Shot,[],1629618,25.88699080157687,11.251531862745097,1610612743,0,7,2025-04-03T01:15:28Z,270000,False,194.0,191.0,1,left,MISS J. Pickett 27' 3PT,[1629618],1610612743.0,DEN,,,,Pickett,J. Pickett,,,,,Above the Break 3,24+ Right Center,27.19,Missed,,,,,,,,,,,,,,,,,,
28,PT09M31.00S,2025-04-03T01:14:08.3Z,1,REGULAR,rebound,defensive,[],202687,,,1610612759,0,7,2025-04-03T01:15:28Z,280000,False,,,0,,B. Biyombo REBOUND (Off:0 Def:2),[202687],1610612759.0,SAS,,,,Biyombo,B. Biyombo,,,,,Above the Break 3,24+ Right Center,,,,,,,,,27.0,2.0,2.0,0.0,,,,,,,,
29,PT09M23.00S,2025-04-03T01:14:16.5Z,1,REGULAR,3pt,Jump Shot,[],1630577,95.79500657030223,3.653492647058826,1610612759,0,7,2025-04-03T01:15:54Z,290000,False,-232.0,-13.0,1,right,MISS J. Champagnie 3PT,[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Left Corner 3,24+ Left,23.21,Missed,,,,,,,,,,,,,,,,,,
30,PT09M20.00S,2025-04-03T01:14:19.5Z,1,REGULAR,rebound,defensive,[],1629618,,,1610612743,0,7,2025-04-03T01:15:54Z,300000,False,,,0,,J. Pickett REBOUND (Off:0 Def:1),[1629618],1610612743.0,DEN,,,,Pickett,J. Pickett,,,,,Left Corner 3,24+ Left,,,,,,,,,29.0,1.0,1.0,0.0,,,,,,,,
31,PT09M11.00S,2025-04-03T01:14:27.6Z,1,REGULAR,3pt,Jump Shot,[],201566,21.94480946123521,92.86917892156863,1610612743,0,7,2025-04-03T01:16:16Z,310000,False,-214.0,154.0,1,left,MISS R. Westbrook 26' 3PT,[201566],1610612743.0,DEN,,,,Westbrook,R. Westbrook,,,,,Above the Break 3,24+ Left Center,26.38,Missed,,,,,,,,,,,,,,,,,,
32,PT09M08.00S,2025-04-03T01:14:30.6Z,1,REGULAR,rebound,defensive,[],203084,,,1610612759,0,7,2025-04-03T01:16:16Z,320000,False,,,0,,H. Barnes REBOUND (Off:0 Def:1),[203084],1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,Above the Break 3,24+ Left Center,,,,,,,,,31.0,1.0,1.0,0.0,,,,,,,,
33,PT09M02.00S,2025-04-03T01:14:36.9Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1642264,88.30486202365309,71.05545343137256,1610612759,0,9,2025-04-03T01:16:58Z,330000,False,105.0,57.0,1,right,S. Castle 11' running pullup Jump Shot (2 PTS) (C. Paul 2 AST),"[1642264, 101108]",1610612759.0,SAS,running pullup,,,Castle,S. Castle,,,,,Mid-Range,8-16 Right,11.99,Made,2.0,C. Paul,101108.0,2.0,,,,,,,,,,,,,,
34,PT09M00.00S,2025-04-03T01:14:42.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612743,0,9,2025-04-03T01:14:42Z,340000,False,,,0,,DEN Timeout,[],1610612743.0,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,PT08M43.00S,2025-04-03T01:17:49.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641816,11.169513797634693,42.903645833333336,1610612743,2,9,2025-04-03T01:18:05Z,350000,False,35.0,52.0,1,left,H. Tyson 6' driving Layup (2 PTS) (J. Pickett 1 AST),"[1641816, 1629618]",1610612743.0,DEN,driving,,,Tyson,H. Tyson,,,,,In The Paint (Non-RA),0-8 Center,6.34,Made,2.0,J. Pickett,1629618.0,1.0,,,,,,,,,,,,,,
38,PT08M28.00S,2025-04-03T01:18:04.0Z,1,REGULAR,turnover,out-of-bounds,[],1642264,,,1610612759,2,9,2025-04-03T01:18:21Z,370000,False,,,0,,S. Castle bad pass out-of-bounds TURNOVER (1 TO),[1642264],1610612759.0,SAS,bad pass,,,Castle,S. Castle,,,,,Above the Break 3,24+ Center,,,,,,,202053.0,1.0,,,,,,,,,,,,
39,PT08M23.00S,2025-04-03T01:18:16.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1641816,7.30946123521682,57.35294117647059,1610612743,2,9,2025-04-03T01:18:51Z,380000,False,-37.0,16.0,1,left,MISS H. Tyson cutting Layup - blocked,"[1641816, 202687]",1610612743.0,DEN,cutting,,,Tyson,H. Tyson,,,,,Restricted Area,0-8 Center,4.02,Missed,,,,,,,,,,,,,Biyombo,202687.0,,,,
40,PT08M23.00S,2025-04-03T01:18:16.8Z,1,REGULAR,block,,[],202687,,,1610612743,2,9,2025-04-03T01:18:19Z,390000,False,,,0,,B. Biyombo BLOCK (1 BLK),[202687],1610612759.0,SAS,,,,Biyombo,B. Biyombo,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
41,PT08M22.00S,2025-04-03T01:18:17.8Z,1,REGULAR,rebound,defensive,[],1642264,,,1610612759,2,9,2025-04-03T01:18:51Z,400000,False,,,0,,S. Castle REBOUND (Off:0 Def:2),[1642264],1610612759.0,SAS,,,,Castle,S. Castle,,,,,Restricted Area,0-8 Center,,,,,,,,,39.0,2.0,2.0,0.0,,,,,,,,
42,PT08M09.00S,2025-04-03T01:18:29.3Z,1,REGULAR,3pt,Jump Shot,[],101108,67.09921156373193,29.65686274509804,1610612759,2,9,2025-04-03T01:19:11Z,410000,False,-102.0,257.0,1,right,MISS C. Paul 27' 3PT,[101108],1610612759.0,SAS,,,,Paul,C. Paul,,,,,Above the Break 3,24+ Left Center,27.62,Missed,,,,,,,,,,,,,,,,,,
43,PT08M07.00S,2025-04-03T01:18:31.3Z,1,REGULAR,rebound,defensive,[],1629618,,,1610612743,2,9,2025-04-03T01:19:11Z,420000,False,,,0,,J. Pickett REBOUND (Off:0 Def:2),[1629618],1610612743.0,DEN,,,,Pickett,J. Pickett,,,,,Above the Break 3,24+ Left Center,,,,,,,,,42.0,2.0,2.0,0.0,,,,,,,,
44,PT08M03.00S,2025-04-03T01:18:35.9Z,1,REGULAR,turnover,bad pass,[],1629618,,,1610612743,2,9,2025-04-03T01:19:45Z,430000,False,,,0,,J. Pickett bad pass TURNOVER (1 TO),"[1629618, 101108]",1610612743.0,DEN,,,,Pickett,J. Pickett,,,,,Above the Break 3,24+ Center,,,,,,,,1.0,,,,,Paul,101108.0,,,,,,
45,PT08M03.00S,2025-04-03T01:18:35.9Z,1,REGULAR,steal,,[],101108,,,1610612759,2,9,2025-04-03T01:18:37Z,440000,False,,,0,,C. Paul STEAL (1 STL),[101108],1610612759.0,SAS,,,,Paul,C. Paul,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
46,PT07M52.00S,2025-04-03T01:18:47.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630577,95.26938239159001,4.388786764705884,1610612759,2,9,2025-04-03T01:20:06Z,450000,False,-228.0,-8.0,1,right,MISS J. Champagnie 3PT,[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Left Corner 3,24+ Left,22.82,Missed,,,,,,,,,,,,,,,,,,
47,PT07M49.00S,2025-04-03T01:18:50.9Z,1,REGULAR,rebound,defensive,[],1629618,,,1610612743,2,9,2025-04-03T01:20:06Z,460000,False,,,0,,J. Pickett REBOUND (Off:0 Def:3),[1629618],1610612743.0,DEN,,,,Pickett,J. Pickett,,,,,Left Corner 3,24+ Left,,,,,,,,,46.0,3.0,3.0,0.0,,,,,,,,
48,PT07M44.00S,2025-04-03T01:18:55.0Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1641816,7.227332457293031,45.404411764705884,1610612743,2,9,2025-04-03T01:20:26Z,470000,False,23.0,15.0,1,left,MISS H. Tyson running Layup - blocked,"[1641816, 1630577]",1610612743.0,DEN,running,,,Tyson,H. Tyson,,,,,Restricted Area,0-8 Center,2.77,Missed,,,,,,,,,,,,,Champagnie,1630577.0,,,,
