actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-04-07T00:10:46.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-04-07T00:10:46Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-04-07T00:10:48.6Z,1,REGULAR,jumpball,recovered,[],1629618,,,1610612743,0,0,2025-04-07T00:10:48Z,40000,False,,,0,,Jump Ball N. Jokić vs. M. Turner: Tip to J. Pickett,"[1629618, 203999, 1626167]",1610612743.0,DEN,startperiod,J. Pickett,1629618.0,Pickett,J. Pickett,Jokić,203999.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2025-04-07T00:11:01.2Z,1,REGULAR,foul,personal,[],1630174,,,1610612743,0,0,2025-04-07T00:11:09Z,70000,False,,,0,,A. Nesmith personal FOUL (1 PF),"[1630174, 203932]",1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,In The Paint (Non-RA),0-8 Center,1179.0,1.0,0.0,Gordon,203932.0,,,,,,,,,,,,,,,
9,PT11M45.00S,2025-04-07T00:11:24.0Z,1,REGULAR,turnover,out-of-bounds,[],203932,,,1610612743,0,0,2025-04-07T00:11:30Z,90000,False,,,0,,A. Gordon bad pass out-of-bounds TURNOVER (1 TO),[203932],1610612743.0,DEN,bad pass,,,Gordon,A. Gordon,,,,,Mid-Range,16-24 Right Center,1628487.0,,,,,1.0,,,,,,,,,,,,,,
10,PT11M29.00S,2025-04-07T00:11:42.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626167,70.12155059132719,18.137254901960784,1610612754,0,0,2025-04-07T00:11:47Z,100000,False,-159.0,228.0,1,right,MISS M. Turner 27' 3PT,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Left Center,,,,,,,27.85,Missed,,,,,,,,,,,,
11,PT11M26.00S,2025-04-07T00:11:45.4Z,1,REGULAR,rebound,defensive,[],203932,,,1610612743,0,0,2025-04-07T00:11:47Z,110000,False,,,0,,A. Gordon REBOUND (Off:0 Def:1),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Above the Break 3,24+ Left Center,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,
12,PT11M20.00S,2025-04-07T00:11:51.5Z,1,REGULAR,3pt,Jump Shot,[],1629618,26.10052562417871,16.911764705882355,1610612743,0,0,2025-04-07T00:11:56Z,120000,False,165.0,193.0,1,left,MISS J. Pickett 25' 3PT,[1629618],1610612743.0,DEN,,,,Pickett,J. Pickett,,,,,Above the Break 3,24+ Right Center,,,,,,,25.4,Missed,,,,,,,,,,,,
13,PT11M18.00S,2025-04-07T00:11:53.5Z,1,REGULAR,rebound,defensive,[],1630167,,,1610612754,0,0,2025-04-07T00:11:56Z,130000,False,,,0,,O. Toppin REBOUND (Off:0 Def:1),[1630167],1610612754.0,IND,,,,Toppin,O. Toppin,,,,,Above the Break 3,24+ Right Center,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,
14,PT11M08.00S,2025-04-07T00:12:04.9Z,1,REGULAR,3pt,Jump Shot,[],1630174,84.83902759526939,97.30392156862744,1610612754,0,3,2025-04-07T00:12:09Z,140000,False,237.0,90.0,1,right,A. Nesmith 25' 3PT  (3 PTS) (A. Nembhard 1 AST),"[1630174, 1629614]",1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Above the Break 3,24+ Right,,,,,,,25.3,Made,,,,,3.0,A. Nembhard,1629614.0,1.0,,,,
16,PT10M49.00S,2025-04-07T00:12:22.7Z,1,REGULAR,3pt,Jump Shot,[],1629008,27.283180026281208,21.568627450980394,1610612743,0,3,2025-04-07T00:12:27Z,160000,False,142.0,204.0,1,left,MISS M. Porter Jr. 24' 3PT,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Right Center,,,,,,,24.87,Missed,,,,,,,,,,,,
17,PT10M45.00S,2025-04-07T00:12:26.7Z,1,REGULAR,rebound,defensive,[],1630174,,,1610612754,0,3,2025-04-07T00:12:27Z,170000,False,,,0,,A. Nesmith REBOUND (Off:0 Def:1),[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Above the Break 3,24+ Right Center,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,
18,PT10M31.00S,2025-04-07T00:12:40.9Z,1,REGULAR,2pt,Jump Shot,[],1629614,93.24901445466492,7.107843137254902,1610612754,0,3,2025-04-07T00:15:14Z,180000,False,-214.0,11.0,1,right,MISS A. Nembhard 21' Jump Shot,[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,Mid-Range,16-24 Left,,,,,,,21.48,Missed,,,,,,,,,,,,
19,PT10M28.00S,2025-04-07T00:12:43.9Z,1,REGULAR,rebound,defensive,[],203932,,,1610612743,0,3,2025-04-07T00:12:45Z,190000,False,,,0,,A. Gordon REBOUND (Off:0 Def:2),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Left Corner 3,24+ Left,,,,,,,,,18.0,2.0,2.0,0.0,,,,,,,,
20,PT10M24.00S,2025-04-07T00:12:47.3Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1631128,5.863994743758213,47.549019607843135,1610612743,0,3,2025-04-07T00:14:07Z,200000,False,12.0,3.0,1,left,MISS C. Braun running Layup - blocked,"[1631128, 1626167]",1610612743.0,DEN,running,,,Braun,C. Braun,,,,,Restricted Area,0-8 Center,,,,,,,1.26,Missed,,,,,,,,,Turner,1626167.0,,
21,PT10M24.00S,2025-04-07T00:12:47.3Z,1,REGULAR,block,,[],1626167,,,1610612743,0,3,2025-04-07T00:12:49Z,210000,False,,,0,,M. Turner BLOCK (1 BLK),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
22,PT10M22.00S,2025-04-07T00:12:49.3Z,1,REGULAR,rebound,defensive,[],1629614,,,1610612754,0,3,2025-04-07T00:12:53Z,220000,False,,,0,,A. Nembhard REBOUND (Off:0 Def:1),[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,Restricted Area,0-8 Center,,,,,,,,,20.0,1.0,1.0,0.0,,,,,,,,
23,PT10M17.00S,2025-04-07T00:12:54.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630174,91.5407358738502,47.794117647058826,1610612754,0,3,2025-04-07T00:13:03Z,230000,False,-11.0,27.0,1,right,MISS A. Nesmith running Layup,[1630174],1610612754.0,IND,running,,,Nesmith,A. Nesmith,,,,,Restricted Area,0-8 Center,,,,,,,2.92,Missed,,,,,,,,,,,,
24,PT10M15.00S,2025-04-07T00:12:56.3Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,0,3,2025-04-07T00:13:03Z,240000,False,,,0,,N. Jokić REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,Restricted Area,0-8 Center,,,,,,,,,23.0,1.0,1.0,0.0,,,,,,,,
