actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-01-24T02:10:37.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-24T02:10:37Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2025-01-24T02:10:40.8Z,1,REGULAR,jumpball,recovered,[],1627750,,,1610612743,0,0,2025-01-24T02:10:40Z,40000,False,,,0,,Jump Ball N. Jokić vs. D. Sabonis: Tip to J. Murray,"[1627750, 203999, 1627734]",1610612743.0,DEN,startperiod,J. Murray,1627750.0,Murray,J. Murray,Jokić,203999.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2025-01-24T02:10:51.7Z,1,REGULAR,foul,personal,['2freethrow'],1631099,,,1610612743,0,0,2025-01-24T02:11:01Z,70000,False,,,0,,K. Murray shooting personal FOUL (1 PF) (Murray 2 FT),"[1631099, 1627750]",1610612758.0,SAC,shooting,,,Murray,K. Murray,,,,,Mid-Range,16-24 Left Center,1628481.0,1.0,0.0,Murray,1627750.0,,,,,,,,,,,,,,,
9,PT11M46.00S,2025-01-24T02:11:15.4Z,1,REGULAR,freethrow,1 of 2,[],1627750,,,1610612743,1,0,2025-01-24T02:11:36Z,90000,False,,,0,,J. Murray Free Throw 1 of 2 (1 PTS),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M46.00S,2025-01-24T02:11:15.4Z,1,REGULAR,freethrow,2 of 2,[],1627750,,,1610612743,1,0,2025-01-24T02:11:36Z,100000,False,,,0,,MISS J. Murray Free Throw 2 of 2,[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
11,PT11M44.00S,2025-01-24T02:11:17.4Z,1,REGULAR,rebound,defensive,[],1628368,,,1610612758,1,0,2025-01-24T02:11:36Z,110000,False,,,0,,D. Fox REBOUND (Off:0 Def:1),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,
12,PT11M31.00S,2025-01-24T02:11:47.3Z,1,REGULAR,turnover,out-of-bounds,[],1627734,,,1610612758,1,0,2025-01-24T02:11:56Z,120000,False,,,0,,D. Sabonis bad pass out-of-bounds TURNOVER (1 TO),[1627734],1610612758.0,SAC,bad pass,,,Sabonis,D. Sabonis,,,,,Mid-Range,16-24 Left,1628481.0,,,,,,,,,,,1.0,,,,,,,,
13,PT11M16.00S,2025-01-24T02:12:09.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1631128,93.77463863337714,50.0,1610612743,3,0,2025-01-24T02:12:16Z,130000,False,0.0,6.0,1,right,C. Braun cutting DUNK (2 PTS) (J. Murray 1 AST),"[1631128, 1627750]",1610612743.0,DEN,cutting,,,Braun,C. Braun,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,,,,,,0.6,J. Murray,1627750.0,1.0,,,,
15,PT10M52.00S,2025-01-24T02:12:33.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627734,7.30946123521682,55.88235294117647,1610612758,3,0,2025-01-24T02:12:39Z,150000,False,-29.0,16.0,1,left,MISS D. Sabonis driving finger roll Layup,[1627734],1610612758.0,SAC,driving finger roll,,,Sabonis,D. Sabonis,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,,,,,3.36,,,,,,,
16,PT10M49.00S,2025-01-24T02:12:36.2Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,3,0,2025-01-24T02:12:39Z,160000,False,,,0,,N. Jokić REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,Restricted Area,0-8 Center,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,
