actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-01-22T03:05:58.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-22T03:05:58Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2025-01-22T03:06:01.4Z,1,REGULAR,jumpball,recovered,[],1631128,,,1610612743,0,0,2025-01-22T03:06:01Z,40000,False,,,0,,Jump Ball N. Jokić vs. A. Drummond: Tip to C. Braun,"[1631128, 203999, 203083]",1610612743.0,DEN,startperiod,C. Braun,1631128.0,Braun,C. Braun,Jokić,203999.0,Drummond,203083.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2025-01-22T03:06:16.4Z,1,REGULAR,turnover,out-of-bounds,[],203999,,,1610612743,0,0,2025-01-22T03:07:09Z,70000,False,,,0,,N. Jokić bad pass out-of-bounds TURNOVER (1 TO),[203999],1610612743.0,DEN,bad pass,,,Jokić,N. Jokić,,,,,Above the Break 3,24+ Center,101283.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M30.00S,2025-01-22T03:06:37.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630178,16.507884362680684,40.19607843137255,1610612755,0,2,2025-01-22T03:06:42Z,80000,False,49.0,103.0,1,left,T. Maxey 11' turnaround fadeaway Jump Shot (2 PTS) (P. George 1 AST),"[1630178, 202331]",1610612755.0,PHI,turnaround fadeaway,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),8-16 Center,,,11.38,Made,2.0,P. George,202331.0,1.0,,,,,,,,,,,,
10,PT11M18.00S,2025-01-22T03:06:52.0Z,1,REGULAR,violation,kicked ball,[],203083,,,1610612743,0,2,2025-01-22T03:07:04Z,100000,False,,,0,,A. Drummond kicked ball VIOLATION,[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,,,1627534.0,,,,,,,,,,,,,,,,,,,
11,PT11M12.00S,2025-01-22T03:07:12.1Z,1,REGULAR,foul,personal,['2freethrow'],1626162,,,1610612743,0,2,2025-01-22T03:07:33Z,110000,False,,,0,,K. Oubre Jr. shooting personal FOUL (1 PF) (Jokić 2 FT),"[1626162, 203999]",1610612755.0,PHI,shooting,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,1193.0,,,,,,,,1.0,0.0,Jokić,203999.0,,,,,,,,
13,PT11M12.00S,2025-01-22T03:07:33.8Z,1,REGULAR,freethrow,1 of 2,[],203999,,,1610612743,1,2,2025-01-22T03:07:33Z,130000,False,,,0,,N. Jokić Free Throw 1 of 2 (1 PTS),[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,,
14,PT11M12.00S,2025-01-22T03:07:48.1Z,1,REGULAR,freethrow,2 of 2,[],203999,,,1610612743,2,2,2025-01-22T03:07:48Z,140000,False,,,0,,N. Jokić Free Throw 2 of 2 (2 PTS),[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,,
15,PT11M00.00S,2025-01-22T03:08:05.3Z,1,REGULAR,turnover,bad pass,[],202331,,,1610612755,2,2,2025-01-22T03:31:02Z,150000,False,,,0,,P. George bad pass TURNOVER (1 TO),"[202331, 203999]",1610612755.0,PHI,,,,George,P. George,,,,,Mid-Range,16-24 Center,,1.0,,,,,,,,,,,Jokić,203999.0,,,,,,
16,PT11M00.00S,2025-01-22T03:08:05.3Z,1,REGULAR,steal,,[],203999,,,1610612743,2,2,2025-01-22T03:33:10Z,160000,False,,,0,,N. Jokić STEAL (1 STL),[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
17,PT10M55.00S,2025-01-22T03:08:10.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1627750,94.82588699080158,48.77450980392157,1610612743,2,2,2025-01-22T03:08:17Z,170000,False,-6.0,-4.0,1,right,MISS J. Murray running Layup,[1627750],1610612743.0,DEN,running,,,Murray,J. Murray,,,,,Restricted Area,0-8 Center,,,0.72,Missed,,,,,,,,,,,,,,,,
18,PT10M54.00S,2025-01-22T03:08:11.6Z,1,REGULAR,rebound,offensive,[],1629008,,,1610612743,2,2,2025-01-22T03:08:59Z,180000,False,,,0,,M. Porter Jr. REBOUND (Off:1 Def:0),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,17.0,1.0,0.0,1.0,,
19,PT10M54.00S,2025-01-22T03:08:15.0Z,1,REGULAR,2pt,Layup,"['2ndchance', 'fastbreak', 'pointsinthepaint', 'fromturnover']",1629008,94.40999984741211,50.0,1610612743,4,2,2025-01-22T03:09:04Z,190000,False,0.0,0.0,1,right,M. Porter Jr. putback Layup (2 PTS),[1629008],1610612743.0,DEN,putback,,,Porter Jr.,M. Porter Jr.,,,,,Restricted Area,0-8 Center,,,0.0,Made,2.0,,,,,,,,,,,,,,,
20,PT10M45.00S,2025-01-22T03:08:20.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626162,7.178055190538765,45.83333333333333,1610612755,4,2,2025-01-22T03:09:18Z,200000,False,21.0,15.0,1,left,MISS K. Oubre Jr. driving floating Shot,[1626162],1610612755.0,PHI,driving floating,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,,,2.56,Missed,,,,,,,,,,,,,,,,
21,PT10M44.00S,2025-01-22T03:08:21.2Z,1,REGULAR,rebound,defensive,[],201566,,,1610612743,4,2,2025-01-22T03:08:26Z,210000,False,,,0,,R. Westbrook REBOUND (Off:0 Def:1),[201566],1610612743.0,DEN,,,,Westbrook,R. Westbrook,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,20.0,1.0,1.0,0.0,,
22,PT10M38.00S,2025-01-22T03:08:29.5Z,1,REGULAR,foul,personal,['2freethrow'],1630178,,,1610612743,4,2,2025-01-22T03:08:39Z,220000,False,,,0,,T. Maxey shooting personal FOUL (1 PF) (Westbrook 2 FT),"[1630178, 201566]",1610612755.0,PHI,shooting,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,101283.0,,,,,,,,1.0,0.0,Westbrook,201566.0,,,,,,,,
24,PT10M38.00S,2025-01-22T03:08:54.1Z,1,REGULAR,freethrow,1 of 2,[],201566,,,1610612743,5,2,2025-01-22T03:08:54Z,240000,False,,,0,,R. Westbrook Free Throw 1 of 2 (1 PTS),[201566],1610612743.0,DEN,,,,Westbrook,R. Westbrook,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,,
25,PT10M38.00S,2025-01-22T03:09:15.4Z,1,REGULAR,freethrow,2 of 2,[],201566,,,1610612743,6,2,2025-01-22T03:09:15Z,250000,False,,,0,,R. Westbrook Free Throw 2 of 2 (2 PTS),[201566],1610612743.0,DEN,,,,Westbrook,R. Westbrook,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,,
26,PT10M26.00S,2025-01-22T03:09:29.1Z,1,REGULAR,3pt,Jump Shot,[],201569,26.363337713534822,14.950980392156863,1610612755,6,5,2025-01-22T03:09:34Z,260000,False,175.0,195.0,1,left,E. Gordon 26' 3PT  (3 PTS) (T. Maxey 1 AST),"[201569, 1630178]",1610612755.0,PHI,,,,Gordon,E. Gordon,,,,,Above the Break 3,24+ Right Center,,,26.24,Made,3.0,T. Maxey,1630178.0,1.0,,,,,,,,,,,,
28,PT10M15.00S,2025-01-22T03:09:42.3Z,1,REGULAR,turnover,out-of-bounds,[],201566,,,1610612743,6,5,2025-01-22T03:14:59Z,280000,False,,,0,,R. Westbrook bad pass out-of-bounds TURNOVER (1 TO),[201566],1610612743.0,DEN,bad pass,,,Westbrook,R. Westbrook,,,,,Above the Break 3,24+ Left Center,1193.0,1.0,,,,,,,,,,,,,,,,,,
29,PT10M07.00S,2025-01-22T03:09:55.2Z,1,REGULAR,violation,kicked ball,[],203999,,,1610612755,6,5,2025-01-22T03:10:00Z,290000,False,,,0,,N. Jokić kicked ball VIOLATION,[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,,,1193.0,,,,,,,,,,,,,,,,,,,
