actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2024-10-25T02:10:58.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-10-25T02:10:58Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PT12M00.00S,2024-10-25T02:11:25.6Z,1,REGULAR,jumpball,recovered,[],1630198,,,0,0,0,2024-10-25T02:22:49Z,70000,False,,,0,,Jump Ball S. Gilgeous-Alexander vs. J. Murray: Tip to I. Joe,"[1630198, 1628983, 1627750]",1610612760.0,OKC,outofbounds,I. Joe,1630198.0,Joe,I. Joe,Gilgeous-Alexander,1628983.0,Murray,1627750.0,,,,,,,,,,,,,,,,,,,,,,
12,PT11M41.00S,2024-10-25T02:11:36.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631096,90.3580814717477,41.17647058823529,1610612760,0,0,2024-10-25T02:11:42Z,120000,False,-44.0,38.0,1,right,MISS C. Holmgren floating Shot - blocked,"[1631096, 203999]",1610612760.0,OKC,floating,,,Holmgren,C. Holmgren,,,,,In The Paint (Non-RA),0-8 Center,5.83,Missed,Jokić,203999.0,,,,,,,,,,,,,,,,
20,PT11M41.00S,2024-10-25T02:11:36.9Z,1,REGULAR,block,,[],203999,,,1610612760,0,0,2024-10-25T02:12:16Z,125000,False,,,0,,N. Jokić BLOCK (1 BLK),[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
13,PT11M38.00S,2024-10-25T02:11:39.9Z,1,REGULAR,rebound,offensive,[],1631096,,,1610612760,0,0,2024-10-25T02:11:42Z,130000,False,,,0,,C. Holmgren REBOUND (Off:1 Def:0),[1631096],1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,In The Paint (Non-RA),0-8 Center,,,,,12.0,1.0,0.0,1.0,,,,,,,,,,,,
14,PT11M37.00S,2024-10-25T02:11:40.7Z,1,REGULAR,turnover,lost ball,[],1631096,,,1610612760,0,0,2024-10-25T02:11:48Z,140000,False,,,0,,C. Holmgren lost ball TURNOVER (1 TO),"[1631096, 1631128]",1610612760.0,OKC,,,,Holmgren,C. Holmgren,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,1.0,Braun,1631128.0,,,,,,,,,
15,PT11M37.00S,2024-10-25T02:11:40.7Z,1,REGULAR,steal,,[],1631128,,,1610612743,0,0,2024-10-25T02:11:42Z,150000,False,,,0,,C. Braun STEAL (1 STL),[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
16,PT11M36.00S,2024-10-25T02:11:53.4Z,1,REGULAR,foul,personal,[],1631114,,,1610612743,0,0,2024-10-25T02:12:05Z,160000,False,,,0,,J. Williams personal FOUL (1 PF),"[1631114, 203999]",1610612760.0,OKC,,,,Williams,J. Williams,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,202041.0,1.0,0.0,Jokić,203999.0,,,,
18,PT11M30.00S,2024-10-25T02:12:07.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203999,30.831143232588698,37.745098039215684,1610612743,3,0,2024-10-25T02:12:12Z,180000,False,61.0,237.0,1,left,N. Jokić 24' 3PT  (3 PTS) (A. Gordon 1 AST),"[203999, 203932]",1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,Above the Break 3,24+ Center,24.51,Made,,,,,,,,,,,,,,,3.0,A. Gordon,203932.0,1.0
21,PT11M17.00S,2024-10-25T02:12:21.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628983,94.1688567674113,47.794117647058826,1610612760,3,0,2024-10-25T02:12:25Z,200000,False,-11.0,2.0,1,right,MISS S. Gilgeous-Alexander driving finger roll Layup,[1628983],1610612760.0,OKC,driving finger roll,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,1.12,Missed,,,,,,,,,,,,,,,,,,
