actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-02-07T02:10:52.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-02-07T02:10:52Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2025-02-07T02:10:53.3Z,1,REGULAR,jumpball,recovered,[],1631124,,,1610612743,0,0,2025-02-07T02:10:53Z,40000,False,,,0,,Jump Ball N. Jokić vs. G. Bitadze: Tip to J. Strawther,"[1631124, 203999, 1629048]",1610612743.0,DEN,startperiod,J. Strawther,1631124.0,Strawther,J. Strawther,Jokić,203999.0,Bitadze,1629048.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M48.00S,2025-02-07T02:11:40.9Z,1,REGULAR,3pt,Jump Shot,[],1629008,72.7496714848883,16.911764705882355,1610612743,0,0,2025-02-07T02:11:58Z,80000,False,-165.0,204.0,1,right,MISS M. Porter Jr. 26' 3PT - blocked,"[1629008, 1630532]",1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Left Center,26.24,Missed,Wagner,1630532.0,,,,,,,,,,,,,,,,
9,PT11M48.00S,2025-02-07T02:11:40.9Z,1,REGULAR,block,,[],1630532,,,1610612743,0,0,2025-02-07T02:11:48Z,90000,False,,,0,,F. Wagner BLOCK (1 BLK),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
10,PT11M47.00S,2025-02-07T02:11:41.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612743,0,0,2025-02-07T02:11:58Z,100000,False,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,8.0,,,,,,,,,,,,,,,
12,PT11M45.00S,2025-02-07T02:12:00.9Z,1,REGULAR,foul,personal,[],1631094,,,1610612743,0,0,2025-02-07T02:12:06Z,120000,False,,,0,,P. Banchero personal FOUL (1 PF),"[1631094, 203932]",1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,Mid-Range,8-16 Center,,,,,,1628954.0,1.0,0.0,Gordon,203932.0,,,,,,,,,,
14,PT11M39.00S,2025-02-07T02:12:23.2Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1629008,72.61826544021025,57.107843137254896,1610612743,2,0,2025-02-07T02:12:29Z,140000,False,36.0,205.0,1,right,M. Porter Jr. 20' Jump Shot (2 PTS) (A. Gordon 1 AST),"[1629008, 203932]",1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Mid-Range,16-24 Center,20.8,Made,,,,,,,,,2.0,A. Gordon,203932.0,1.0,,,,,,
16,PT11M26.00S,2025-02-07T02:12:36.3Z,1,REGULAR,3pt,Jump Shot,[],203484,30.56833114323259,70.83333333333334,1610612753,2,0,2025-02-07T02:12:40Z,160000,False,-104.0,235.0,1,left,MISS K. Caldwell-Pope 25' 3PT,[203484],1610612753.0,ORL,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Above the Break 3,24+ Left Center,25.69,Missed,,,,,,,,,,,,,,,,,,
17,PT11M23.00S,2025-02-07T02:12:39.3Z,1,REGULAR,rebound,defensive,[],1631124,,,1610612743,2,0,2025-02-07T02:12:40Z,170000,False,,,0,,J. Strawther REBOUND (Off:0 Def:1),[1631124],1610612743.0,DEN,,,,Strawther,J. Strawther,,,,,Above the Break 3,24+ Left Center,,,,,16.0,,,,,,,,,,1.0,1.0,0.0,,,
18,PT11M15.00S,2025-02-07T02:12:47.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203999,93.24901445466492,57.35294117647059,1610612743,4,0,2025-02-07T02:26:47Z,180000,False,37.0,11.0,1,right,N. Jokić driving Layup (2 PTS),[203999],1610612743.0,DEN,driving,,,Jokić,N. Jokić,,,,,Restricted Area,0-8 Center,3.84,Made,,,,,,,,,2.0,,,,,,,,,
