actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-12-21T00:10:54.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-12-21T00:10:54Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-12-21T00:10:57.1Z,1,REGULAR,jumpball,recovered,[],1626162,,,1610612755,0,0,2024-12-21T00:10:57Z,40000,False,,,0,,Jump Ball J. Embiid vs. N. Richards: Tip to K. Oubre Jr.,"[1626162, 203954, 1630208]",1610612755.0,PHI,startperiod,K. Oubre Jr.,1626162.0,Oubre Jr.,K. Oubre Jr.,Embiid,203954.0,Richards,1630208.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M56.00S,2024-12-21T00:11:00.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630231,5.601182654402102,54.41176470588235,1610612755,0,0,2024-12-21T00:11:42Z,70000,False,-22.0,0.0,1,left,MISS K. Martin alley-oop Layup - blocked,"[1630231, 1628970]",1610612755.0,PHI,alley-oop,,,Martin,K. Martin,,,,,Restricted Area,0-8 Center,2.21,Missed,Bridges,1628970.0,,,,,,,,,,,,,,,,
8,PT11M56.00S,2024-12-21T00:11:00.0Z,1,REGULAR,block,,[],1628970,,,1610612755,0,0,2024-12-21T00:11:02Z,80000,False,,,0,,M. Bridges BLOCK (1 BLK),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M52.00S,2024-12-21T00:11:04.0Z,1,REGULAR,rebound,offensive,[],1626162,,,1610612755,0,0,2024-12-21T00:11:42Z,90000,False,,,0,,K. Oubre Jr. REBOUND (Off:1 Def:0),[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,
10,PT11M45.00S,2024-12-21T00:11:08.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",203954,18.2161629434954,40.931372549019606,1610612755,0,0,2024-12-21T00:11:12Z,100000,False,45.0,119.0,1,left,MISS J. Embiid 12' pullup Shot,[203954],1610612755.0,PHI,pullup,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),8-16 Center,12.71,Missed,,,,,,,,,,,,,,,,,,
11,PT11M42.00S,2024-12-21T00:11:11.3Z,1,REGULAR,rebound,defensive,[],1628998,,,1610612766,0,0,2024-12-21T00:11:12Z,110000,False,,,0,,C. Martin REBOUND (Off:0 Def:1),[1628998],1610612766.0,CHA,,,,Martin,C. Martin,,,,,In The Paint (Non-RA),8-16 Center,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,
12,PT11M31.00S,2024-12-21T00:11:22.4Z,1,REGULAR,3pt,Jump Shot,[],203995,72.61826544021025,15.931372549019606,1610612766,0,0,2024-12-21T00:11:27Z,120000,False,-170.0,205.0,1,right,MISS V. Micić 26' pullup 3PT,[203995],1610612766.0,CHA,pullup,,,Micić,V. Micić,,,,,Above the Break 3,24+ Left Center,26.64,Missed,,,,,,,,,,,,,,,,,,
13,PT11M27.00S,2024-12-21T00:11:26.4Z,1,REGULAR,rebound,defensive,[],202331,,,1610612755,0,0,2024-12-21T00:11:27Z,130000,False,,,0,,P. George REBOUND (Off:0 Def:1),[202331],1610612755.0,PHI,,,,George,P. George,,,,,Above the Break 3,24+ Left Center,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,
14,PT11M11.00S,2024-12-21T00:11:43.9Z,1,REGULAR,2pt,Jump Shot,[],203954,22.552562417871222,54.65686274509803,1610612755,0,0,2024-12-21T00:12:15Z,140000,False,-23.0,159.0,1,left,MISS J. Embiid 16' step back Shot,[203954],1610612755.0,PHI,step back,,,Embiid,J. Embiid,,,,,Mid-Range,16-24 Center,16.12,Missed,,,,,,,,,,,,,,,,,,
15,PT11M08.00S,2024-12-21T00:11:46.9Z,1,REGULAR,rebound,defensive,[],1630208,,,1610612766,0,0,2024-12-21T00:12:15Z,150000,False,,,0,,N. Richards REBOUND (Off:0 Def:1),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,Mid-Range,16-24 Center,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,
16,PT10M48.00S,2024-12-21T00:12:05.3Z,1,REGULAR,turnover,bad pass,[],1628970,,,1610612766,0,0,2024-12-21T00:12:09Z,160000,False,,,0,,M. Bridges bad pass TURNOVER (1 TO),"[1628970, 1630231]",1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,1.0,Martin,1630231.0,,,,,,,,,
17,PT10M48.00S,2024-12-21T00:12:05.3Z,1,REGULAR,steal,,[],1630231,,,1610612755,0,0,2024-12-21T00:12:07Z,170000,False,,,0,,K. Martin STEAL (1 STL),[1630231],1610612755.0,PHI,,,,Martin,K. Martin,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
18,PT10M44.00S,2024-12-21T00:12:09.2Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630178,28.597240473061763,17.647058823529413,1610612755,3,0,2024-12-21T00:12:16Z,180000,False,162.0,216.0,1,left,T. Maxey 27' 3PT running pullup (3 PTS) (J. Embiid 1 AST),"[1630178, 203954]",1610612755.0,PHI,running pullup,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Right Center,27.01,Made,,,,,,,,,,3.0,J. Embiid,203954.0,1.0,,,,,
20,PT10M29.00S,2024-12-21T00:12:23.2Z,1,REGULAR,3pt,Jump Shot,[],203995,71.82982917214193,12.254901960784313,1610612766,3,0,2024-12-21T00:12:27Z,200000,False,-189.0,212.0,1,right,MISS V. Micić 28' 3PT,[203995],1610612766.0,CHA,,,,Micić,V. Micić,,,,,Above the Break 3,24+ Left Center,28.4,Missed,,,,,,,,,,,,,,,,,,
21,PT10M26.00S,2024-12-21T00:12:26.2Z,1,REGULAR,rebound,defensive,[],1626162,,,1610612755,3,0,2024-12-21T00:12:27Z,210000,False,,,0,,K. Oubre Jr. REBOUND (Off:1 Def:1),[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,Above the Break 3,24+ Left Center,,,,,20.0,2.0,1.0,1.0,,,,,,,,,,,,
22,PT10M15.00S,2024-12-21T00:12:39.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203954,6.1268068331143235,49.50980392156863,1610612755,5,0,2024-12-21T00:13:00Z,220000,False,2.0,5.0,1,left,J. Embiid driving reverse Layup (2 PTS) (P. George 1 AST),"[203954, 202331]",1610612755.0,PHI,driving reverse,,,Embiid,J. Embiid,,,,,Restricted Area,0-8 Center,0.57,Made,,,,,,,,,,2.0,P. George,202331.0,1.0,,,,,
24,PT09M54.00S,2024-12-21T00:12:59.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630182,94.30026281208936,49.26470588235294,1610612766,5,2,2024-12-21T00:13:08Z,240000,False,-4.0,1.0,1,right,J. Green driving DUNK (2 PTS) (V. Micić 1 AST),"[1630182, 203995]",1610612766.0,CHA,driving,,,Green,J. Green,,,,,Restricted Area,0-8 Center,0.39,Made,,,,,,,,,,2.0,V. Micić,203995.0,1.0,,,,,
26,PT09M37.00S,2024-12-21T00:13:19.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203954,9.674770039421814,50.98039215686274,1610612755,7,2,2024-12-21T00:13:53Z,260000,False,-5.0,38.0,1,left,J. Embiid driving Hook (4 PTS),[203954],1610612755.0,PHI,driving,,,Embiid,J. Embiid,,,,,Restricted Area,0-8 Center,3.87,Made,,,,,,,,,,4.0,,,,,,,,
27,PT09M37.00S,2024-12-21T00:13:23.0Z,1,REGULAR,foul,personal,['1freethrow'],1630182,,,1610612755,7,2,2024-12-21T00:13:34Z,270000,False,,,0,,J. Green shooting personal FOUL (1 PF) (Embiid 1 FT),"[1630182, 203954]",1610612766.0,CHA,shooting,,,Green,J. Green,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,2534.0,1.0,0.0,Embiid,203954.0
29,PT09M37.00S,2024-12-21T00:13:52.3Z,1,REGULAR,freethrow,1 of 1,[],203954,,,1610612755,8,2,2024-12-21T00:13:52Z,290000,False,,,0,,J. Embiid Free Throw 1 of 1 (5 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,Made,,,,,,,,,,5.0,,,,,,,,
30,PT09M23.00S,2024-12-21T00:14:06.4Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630208,92.46057818659659,50.245098039215684,1610612766,8,4,2024-12-21T00:14:11Z,300000,False,1.0,18.0,1,right,N. Richards driving DUNK (2 PTS),[1630208],1610612766.0,CHA,driving,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,1.84,Made,,,,,,,,,,2.0,,,,,,,,
31,PT09M12.00S,2024-12-21T00:14:17.5Z,1,REGULAR,3pt,Jump Shot,[],1626162,7.5722733245729295,2.941176470588235,1610612755,11,4,2024-12-21T00:14:21Z,310000,False,235.0,19.0,1,left,K. Oubre Jr. 3PT  (3 PTS) (P. George 2 AST),"[1626162, 202331]",1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,Right Corner 3,24+ Right,23.6,Made,,,,,,,,,,3.0,P. George,202331.0,2.0,,,,,
33,PT08M53.00S,2024-12-21T00:14:36.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628998,95.6143232588699,65.44117647058823,1610612766,11,4,2024-12-21T00:14:42Z,330000,False,77.0,-11.0,1,right,MISS C. Martin 7' turnaround fadeaway Shot,[1628998],1610612766.0,CHA,turnaround fadeaway,,,Martin,C. Martin,,,,,In The Paint (Non-RA),0-8 Center,7.8,Missed,,,,,,,,,,,,,,,,,,
34,PT08M52.00S,2024-12-21T00:14:37.4Z,1,REGULAR,rebound,offensive,[],1630208,,,1610612766,11,4,2024-12-21T00:15:06Z,340000,False,,,0,,N. Richards REBOUND (Off:1 Def:1),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,In The Paint (Non-RA),0-8 Center,,,,,33.0,2.0,1.0,1.0,,,,,,,,,,,,
35,PT08M52.00S,2024-12-21T00:14:41.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630208,94.40999984741211,50.0,1610612766,11,6,2024-12-21T00:15:39Z,350000,False,0.0,0.0,1,right,N. Richards tip Layup (4 PTS),[1630208],1610612766.0,CHA,tip,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,,,,,,4.0,,,,,,,,
36,PT08M39.00S,2024-12-21T00:14:50.1Z,1,REGULAR,3pt,Jump Shot,[],1630178,33.590670170827856,38.23529411764706,1610612755,11,6,2024-12-21T00:14:58Z,360000,False,59.0,263.0,1,left,MISS T. Maxey 26' 3PT,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Center,26.98,Missed,,,,,,,,,,,,,,,,,,
37,PT08M37.00S,2024-12-21T00:14:52.1Z,1,REGULAR,rebound,offensive,[],1630231,,,1610612755,11,6,2024-12-21T00:26:55Z,370000,False,,,0,,K. Martin REBOUND (Off:1 Def:0),[1630231],1610612755.0,PHI,,,,Martin,K. Martin,,,,,Above the Break 3,24+ Center,,,,,36.0,1.0,0.0,1.0,,,,,,,,,,,,
