actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-02-21T00:06:12.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-02-21T00:06:12Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2025-02-21T00:06:16.3Z,1,REGULAR,jumpball,recovered,[],1628369,,,1610612738,0,0,2025-02-21T00:06:16Z,40000,False,,,0,,Jump Ball K. Porziņģis vs. J. Embiid: Tip to J. Tatum,"[1628369, 204001, 203954]",1610612738.0,BOS,startperiod,J. Tatum,1628369.0,Tatum,J. Tatum,Porziņģis,204001.0,Embiid,203954.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2025-02-21T00:06:29.6Z,1,REGULAR,foul,personal,[],1626162,,,1610612738,0,0,2025-02-21T00:06:36Z,70000,False,,,0,,K. Oubre Jr. personal FOUL (1 PF),"[1626162, 201950]",1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,Mid-Range,8-16 Right,201638.0,1.0,0.0,Holiday,201950.0,,,,,,,,,,,,,,,
9,PT11M41.00S,2025-02-21T00:06:54.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,92.59198423127464,46.81372549019608,1610612738,0,2,2025-02-21T00:07:00Z,90000,False,-16.0,17.0,1,right,J. Brown driving Layup (2 PTS) (J. Holiday 1 AST),"[1627759, 201950]",1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,,,,,,2.33,Made,2.0,J. Holiday,201950.0,1.0,,,,,,,,,
11,PT11M19.00S,2025-02-21T00:07:16.1Z,1,REGULAR,3pt,Jump Shot,[],202331,34.641918528252305,25.735294117647058,1610612755,3,2,2025-02-21T00:07:19Z,110000,False,121.0,273.0,1,left,P. George 29' 3PT  (3 PTS) (J. Embiid 1 AST),"[202331, 203954]",1610612755.0,PHI,,,,George,P. George,,,,,Above the Break 3,24+ Right Center,,,,,,29.88,Made,3.0,J. Embiid,203954.0,1.0,,,,,,,,,
13,PT11M06.00S,2025-02-21T00:07:30.7Z,1,REGULAR,turnover,out-of-bounds,[],204001,,,1610612738,3,2,2025-02-21T00:07:35Z,130000,False,,,0,,K. Porziņģis bad pass out-of-bounds TURNOVER (1 TO),[204001],1610612738.0,BOS,bad pass,,,Porziņģis,K. Porziņģis,,,,,Mid-Range,16-24 Center,201638.0,,,,,,,,,,,1.0,,,,,,,,
14,PT10M58.00S,2025-02-21T00:07:46.6Z,1,REGULAR,foul,personal,[],1628369,,,1610612755,3,2,2025-02-21T00:07:52Z,140000,False,,,0,,J. Tatum personal FOUL (1 PF),"[1628369, 202331]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Right Center,2004.0,1.0,0.0,George,202331.0,,,,,,,,,,,,,,,
16,PT10M47.00S,2025-02-21T00:08:10.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1626162,5.863994743758213,46.81372549019608,1610612755,5,2,2025-02-21T00:08:14Z,160000,False,16.0,3.0,1,left,K. Oubre Jr. cutting DUNK (2 PTS) (J. Embiid 2 AST),"[1626162, 203954]",1610612755.0,PHI,cutting,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,,,,,,1.61,Made,2.0,J. Embiid,203954.0,2.0,,,,,,,,,
18,PT10M36.00S,2025-02-21T00:08:23.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],204001,93.11760840998686,52.20588235294118,1610612738,5,4,2025-02-21T00:08:27Z,180000,False,11.0,12.0,1,right,K. Porziņģis cutting finger roll Layup (2 PTS) (J. Tatum 1 AST),"[204001, 1628369]",1610612738.0,BOS,cutting finger roll,,,Porziņģis,K. Porziņģis,,,,,Restricted Area,0-8 Center,,,,,,1.64,Made,2.0,J. Tatum,1628369.0,1.0,,,,,,,,,
20,PT10M24.00S,2025-02-21T00:08:33.8Z,1,REGULAR,3pt,Jump Shot,[],203954,32.53942181340342,53.431372549019606,1610612755,5,4,2025-02-21T00:08:37Z,200000,False,-17.0,253.0,1,left,MISS J. Embiid 25' 3PT,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Above the Break 3,24+ Center,,,,,,25.4,Missed,,,,,,,,,,,,,
