actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-01-16T00:13:46.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-16T00:13:46Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-01-16T00:13:50.1Z,1,REGULAR,jumpball,recovered,[],1628404,,,1610612752,0,0,2025-01-16T00:13:50Z,40000,False,,,0,,Jump Ball J. Sims vs. G. Yabusele: Tip to J. Hart,"[1628404, 1630579, 1627824]",1610612752.0,NYK,startperiod,J. Hart,1628404.0,Hart,J. Hart,Sims,1630579.0,Yabusele,1627824.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2025-01-16T00:14:01.7Z,1,REGULAR,foul,personal,[],1630178,,,1610612752,0,0,2025-01-16T00:14:12Z,70000,False,,,0,,T. Maxey personal FOUL (1 PF),"[1630178, 1628973]",1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Left Center,2003.0,1.0,0.0,Brunson,1628973.0,,,,,,,,,,,,,,,
9,PT11M41.00S,2025-01-16T00:14:24.3Z,1,REGULAR,2pt,Jump Shot,[],1628973,76.03482260183968,24.019607843137255,1610612752,0,0,2025-01-16T00:14:29Z,90000,False,-130.0,173.0,1,right,MISS J. Brunson 21' pullup Shot,[1628973],1610612752.0,NYK,pullup,,,Brunson,J. Brunson,,,,,Mid-Range,16-24 Left Center,,,,,,21.62,Missed,,,,,,,,,,,,,
10,PT11M38.00S,2025-01-16T00:14:27.3Z,1,REGULAR,rebound,defensive,[],201569,,,1610612755,0,0,2025-01-16T00:14:29Z,100000,False,,,0,,E. Gordon REBOUND (Off:0 Def:1),[201569],1610612755.0,PHI,,,,Gordon,E. Gordon,,,,,Mid-Range,16-24 Left Center,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,
11,PT11M26.00S,2025-01-16T00:14:39.3Z,1,REGULAR,2pt,Jump Shot,[],202331,23.73521681997372,42.64705882352941,1610612755,0,0,2025-01-16T00:14:44Z,110000,False,37.0,171.0,1,left,MISS P. George 17' fadeaway Shot,[202331],1610612755.0,PHI,fadeaway,,,George,P. George,,,,,Mid-Range,16-24 Center,,,,,,17.45,Missed,,,,,,,,,,,,,
12,PT11M24.00S,2025-01-16T00:14:41.3Z,1,REGULAR,rebound,defensive,[],1628384,,,1610612752,0,0,2025-01-16T00:14:44Z,120000,False,,,0,,O. Anunoby REBOUND (Off:0 Def:1),[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,Mid-Range,16-24 Center,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,
13,PT11M04.00S,2025-01-16T00:15:00.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628969,85.75886990801577,37.254901960784316,1610612752,0,0,2025-01-16T00:15:07Z,130000,False,-64.0,81.0,1,right,MISS M. Bridges 10' driving floating bank Shot,[1628969],1610612752.0,NYK,driving floating bank,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),8-16 Left,,,,,,10.34,Missed,,,,,,,,,,,,,
14,PT11M00.00S,2025-01-16T00:15:04.9Z,1,REGULAR,rebound,defensive,[],1626162,,,1610612755,0,0,2025-01-16T00:15:07Z,140000,False,,,0,,K. Oubre Jr. REBOUND (Off:0 Def:1),[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,
15,PT10M59.00S,2025-01-16T00:15:05.8Z,1,REGULAR,turnover,lost ball,[],1626162,,,1610612755,0,0,2025-01-16T00:15:10Z,150000,False,,,0,,K. Oubre Jr. lost ball TURNOVER (1 TO),"[1626162, 1628973]",1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,1.0,Brunson,1628973.0,,,,,,
16,PT10M59.00S,2025-01-16T00:15:05.8Z,1,REGULAR,steal,,[],1628973,,,1610612752,0,0,2025-01-16T00:15:08Z,160000,False,,,0,,J. Brunson STEAL (1 STL),[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
17,PT10M55.00S,2025-01-16T00:15:10.0Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1628969,72.48685939553219,12.254901960784313,1610612752,0,3,2025-01-16T00:15:18Z,170000,False,-189.0,206.0,1,right,M. Bridges 27' 3PT running (3 PTS) (J. Hart 1 AST),"[1628969, 1628404]",1610612752.0,NYK,running,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Left Center,,,,,,27.94,Made,,,,,,,,3.0,J. Hart,1628404.0,1.0,,
19,PT10M32.00S,2025-01-16T00:15:33.0Z,1,REGULAR,3pt,Jump Shot,[],201569,35.8245729303548,43.627450980392155,1610612755,0,3,2025-01-16T00:15:37Z,190000,False,32.0,284.0,1,left,MISS E. Gordon 28' 3PT,[201569],1610612755.0,PHI,,,,Gordon,E. Gordon,,,,,Above the Break 3,24+ Center,,,,,,28.61,Missed,,,,,,,,,,,,,
20,PT10M30.00S,2025-01-16T00:15:35.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612752,0,3,2025-01-16T00:15:37Z,200000,False,,,0,,TEAM defensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,,19.0,,,,,,,,,,,,
22,PT10M15.00S,2025-01-16T00:15:59.1Z,1,REGULAR,3pt,Jump Shot,[],1628384,82.86793692509855,94.36274509803921,1610612752,0,6,2025-01-16T00:16:03Z,220000,False,222.0,109.0,1,right,O. Anunoby 24' 3PT  (3 PTS) (J. Brunson 1 AST),"[1628384, 1628973]",1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,Above the Break 3,24+ Right Center,,,,,,24.69,Made,,,,,,,,3.0,J. Brunson,1628973.0,1.0,,
24,PT09M51.00S,2025-01-16T00:16:25.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626162,8.09789750328515,49.26470588235294,1610612755,2,6,2025-01-16T00:18:13Z,240000,False,4.0,24.0,1,left,K. Oubre Jr. cutting Layup (2 PTS) (T. Maxey 1 AST),"[1626162, 1630178]",1610612755.0,PHI,cutting,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,,,,,,2.39,Made,,,,,,,,2.0,T. Maxey,1630178.0,1.0,,
26,PT09M51.00S,2025-01-16T00:16:27.5Z,1,REGULAR,foul,personal,['1freethrow'],1630579,,,1610612755,2,6,2025-01-16T00:17:04Z,260000,False,,,0,,J. Sims shooting personal FOUL (1 PF) (Oubre Jr. 1 FT),"[1630579, 1626162]",1610612752.0,NYK,shooting,,,Sims,J. Sims,,,,,Restricted Area,0-8 Center,2003.0,1.0,0.0,Oubre Jr.,1626162.0,,,,,,,,,,,,,,,
28,PT09M51.00S,2025-01-16T00:17:09.1Z,1,REGULAR,freethrow,1 of 1,[],1626162,,,1610612755,3,6,2025-01-16T00:17:09Z,280000,False,,,0,,K. Oubre Jr. Free Throw 1 of 1 (3 PTS),[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,,,,,Made,,,,,,,,3.0,,,,,
29,PT09M30.00S,2025-01-16T00:17:35.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628969,92.72339027595268,50.49019607843137,1610612752,3,6,2025-01-16T00:19:15Z,290000,False,2.0,16.0,1,right,MISS M. Bridges driving finger roll Layup,[1628969],1610612752.0,NYK,driving finger roll,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,,,,,,1.61,Missed,,,,,,,,,,,,,
30,PT09M28.00S,2025-01-16T00:17:37.5Z,1,REGULAR,rebound,offensive,[],1628404,,,1610612752,3,6,2025-01-16T00:19:15Z,300000,False,,,0,,J. Hart REBOUND (Off:1 Def:0),[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,Restricted Area,0-8 Center,,,,,,,,29.0,1.0,0.0,1.0,,,,,,,,,
31,PT09M28.00S,2025-01-16T00:17:40.1Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1628404,94.40999984741211,50.0,1610612752,3,8,2025-01-16T00:19:21Z,310000,False,0.0,0.0,1,right,J. Hart tip Layup (2 PTS),[1628404],1610612752.0,NYK,tip,,,Hart,J. Hart,,,,,Restricted Area,0-8 Center,,,,,,0.0,Made,,,,,,,,2.0,,,,,
32,PT09M15.00S,2025-01-16T00:17:47.6Z,1,REGULAR,3pt,Jump Shot,[],1630178,32.14520367936925,70.58823529411765,1610612755,3,8,2025-01-16T00:17:52Z,320000,False,-103.0,250.0,1,left,MISS T. Maxey 27' pullup 3PT,[1630178],1610612755.0,PHI,pullup,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Left Center,,,,,,27.01,Missed,,,,,,,,,,,,,
33,PT09M15.00S,2025-01-16T00:17:47.6Z,1,REGULAR,rebound,defensive,[],1628384,,,1610612752,3,8,2025-01-16T00:17:52Z,330000,False,,,0,,O. Anunoby REBOUND (Off:0 Def:2),[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,Above the Break 3,24+ Left Center,,,,,,,,32.0,2.0,2.0,0.0,,,,,,,,,
34,PT09M08.00S,2025-01-16T00:17:57.9Z,1,REGULAR,foul,personal,[],1630178,,,1610612752,3,8,2025-01-16T00:18:09Z,340000,False,,,0,,T. Maxey personal FOUL (2 PF),"[1630178, 1628969]",1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Mid-Range,8-16 Right,2003.0,2.0,0.0,Bridges,1628969.0,,,,,,,,,,,,,,,
36,PT09M08.00S,2025-01-16T00:18:21.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612752,3,8,2025-01-16T00:18:21Z,360000,False,,,0,,PHI Timeout,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,PT08M49.00S,2025-01-16T00:22:01.5Z,1,REGULAR,3pt,Jump Shot,[],1628384,63.15703022339028,33.088235294117645,1610612752,3,8,2025-01-16T00:23:11Z,400000,False,-85.0,294.0,1,right,MISS O. Anunoby 30' fadeaway 3PT,[1628384],1610612752.0,NYK,fadeaway,,,Anunoby,O. Anunoby,,,,,Above the Break 3,24+ Center,,,,,,30.57,Missed,,,,,,,,,,,,,
41,PT08M47.00S,2025-01-16T00:22:03.5Z,1,REGULAR,rebound,defensive,[],1630178,,,1610612755,3,8,2025-01-16T00:23:11Z,410000,False,,,0,,T. Maxey REBOUND (Off:0 Def:1),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Center,,,,,,,,40.0,1.0,1.0,0.0,,,,,,,,,
42,PT08M38.00S,2025-01-16T00:22:13.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627824,5.601182654402102,44.11764705882353,1610612755,5,8,2025-01-16T00:23:35Z,420000,False,29.0,0.0,1,left,G. Yabusele driving Layup (2 PTS) (T. Maxey 2 AST),"[1627824, 1630178]",1610612755.0,PHI,driving,,,Yabusele,G. Yabusele,,,,,Restricted Area,0-8 Center,,,,,,2.94,Made,,,,,,,,2.0,T. Maxey,1630178.0,2.0,,
44,PT08M23.00S,2025-01-16T00:22:27.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630579,82.07950065703022,50.98039215686274,1610612752,5,8,2025-01-16T00:22:32Z,440000,False,5.0,116.0,1,right,MISS J. Sims 11' floating Shot,[1630579],1610612752.0,NYK,floating,,,Sims,J. Sims,,,,,In The Paint (Non-RA),8-16 Center,,,,,,11.61,Missed,,,,,,,,,,,,,
45,PT08M21.00S,2025-01-16T00:22:29.6Z,1,REGULAR,rebound,offensive,[],1630579,,,1610612752,5,8,2025-01-16T00:22:29Z,450000,False,,,0,,J. Sims REBOUND (Off:1 Def:0),[1630579],1610612752.0,NYK,,,,Sims,J. Sims,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,44.0,1.0,0.0,1.0,,,,,,,,,
