actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-04-11T23:10:50.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-04-11T23:10:50Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2025-04-11T23:10:53.5Z,1,REGULAR,jumpball,recovered,[],1629027,,,1610612737,0,0,2025-04-11T23:10:53Z,40000,False,,,0,,Jump Ball O. Okongwu vs. A. Bona: Tip to T. Young,"[1629027, 1630168, 1641737]",1610612737.0,ATL,startperiod,T. Young,1629027.0,Young,T. Young,Okongwu,1630168.0,Bona,1641737.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M48.00S,2025-04-11T23:11:14.9Z,1,REGULAR,turnover,out-of-bounds,[],1642258,,,1610612737,0,0,2025-04-11T23:11:23Z,80000,False,,,0,,Z. Risacher bad pass out-of-bounds TURNOVER (1 TO),[1642258],1610612737.0,ATL,bad pass,,,Risacher,Z. Risacher,,,,,Above the Break 3,24+ Left Center,203593.0,1.0,,,,,,,,,,,,,,,,,,
9,PT11M28.00S,2025-04-11T23:11:44.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630215,5.863994743758213,46.81372549019608,1610612755,0,0,2025-04-11T23:11:49Z,90000,False,16.0,3.0,1,left,MISS J. Butler driving finger roll Layup,[1630215],1610612755.0,PHI,driving finger roll,,,Butler,J. Butler,,,,,Restricted Area,0-8 Center,,,1.61,Missed,,,,,,,,,,,,,,,,
10,PT11M26.00S,2025-04-11T23:11:47.1Z,1,REGULAR,rebound,offensive,[],1630215,,,1610612755,0,0,2025-04-11T23:11:47Z,100000,False,,,0,,J. Butler REBOUND (Off:1 Def:0),[1630215],1610612755.0,PHI,,,,Butler,J. Butler,,,,,Restricted Area,0-8 Center,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,
11,PT11M24.00S,2025-04-11T23:11:48.9Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1629022,32.14520367936925,67.8921568627451,1610612755,0,0,2025-04-11T23:11:55Z,110000,False,-89.0,250.0,1,left,MISS L. Walker IV 26' 3PT,[1629022],1610612755.0,PHI,,,,Walker IV,L. Walker IV,,,,,Above the Break 3,24+ Left Center,,,26.53,Missed,,,,,,,,,,,,,,,,
12,PT11M20.00S,2025-04-11T23:11:52.9Z,1,REGULAR,rebound,offensive,[],1630215,,,1610612755,0,0,2025-04-11T23:11:55Z,120000,False,,,0,,J. Butler REBOUND (Off:2 Def:0),[1630215],1610612755.0,PHI,,,,Butler,J. Butler,,,,,Above the Break 3,24+ Left Center,,,,,11.0,2.0,0.0,2.0,,,,,,,,,,,,
13,PT11M18.00S,2025-04-11T23:11:54.2Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1630215,5.732588699080158,95.34313725490196,1610612755,0,0,2025-04-11T23:11:59Z,130000,False,-227.0,1.0,1,left,MISS J. Butler step back 3PT,[1630215],1610612755.0,PHI,step back,,,Butler,J. Butler,,,,,Left Corner 3,24+ Left,,,22.67,Missed,,,,,,,,,,,,,,,,
14,PT11M16.00S,2025-04-11T23:11:56.2Z,1,REGULAR,rebound,defensive,[],1642258,,,1610612737,0,0,2025-04-11T23:11:59Z,140000,False,,,0,,Z. Risacher REBOUND (Off:0 Def:1),[1642258],1610612737.0,ATL,,,,Risacher,Z. Risacher,,,,,Left Corner 3,24+ Left,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,
15,PT11M12.00S,2025-04-11T23:12:00.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1631243,92.72339027595268,96.32352941176471,1610612737,0,0,2025-04-11T23:12:09Z,150000,False,232.0,16.0,1,right,MISS M. Gueye running 3PT,[1631243],1610612737.0,ATL,running,,,Gueye,M. Gueye,,,,,Right Corner 3,24+ Right,,,23.21,Missed,,,,,,,,,,,,,,,,
16,PT11M08.00S,2025-04-11T23:12:04.4Z,1,REGULAR,rebound,offensive,[],1630700,,,1610612737,0,0,2025-04-11T23:12:04Z,160000,False,,,0,,D. Daniels REBOUND (Off:1 Def:0),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Right Corner 3,24+ Right,,,,,15.0,1.0,0.0,1.0,,,,,,,,,,,,
17,PT11M07.00S,2025-04-11T23:12:05.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630168,68.80749014454665,24.509803921568626,1610612737,0,0,2025-04-11T23:12:12Z,170000,False,-127.0,241.0,1,right,MISS O. Okongwu 27' 3PT,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Above the Break 3,24+ Left Center,,,27.24,Missed,,,,,,,,,,,,,,,,
18,PT11M07.00S,2025-04-11T23:12:05.8Z,1,REGULAR,rebound,offensive,[],1631243,,,1610612737,0,0,2025-04-11T23:12:12Z,180000,False,,,0,,M. Gueye REBOUND (Off:1 Def:0),[1631243],1610612737.0,ATL,,,,Gueye,M. Gueye,,,,,Above the Break 3,24+ Left Center,,,,,17.0,1.0,0.0,1.0,,,,,,,,,,,,
19,PT11M01.00S,2025-04-11T23:12:11.6Z,1,REGULAR,turnover,bad pass,[],1631243,,,1610612737,0,0,2025-04-11T23:12:16Z,190000,False,,,0,,M. Gueye bad pass TURNOVER (1 TO),"[1631243, 1630215]",1610612737.0,ATL,,,,Gueye,M. Gueye,,,,,Restricted Area,0-8 Center,,1.0,,,,,,,Butler,1630215.0,,,,,,,,,,
