actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-03-29T23:40:44.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-29T23:40:44Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-03-29T23:40:51.2Z,1,REGULAR,jumpball,recovered,[],0,,,1610612755,0,0,2025-03-29T23:40:51Z,40000,False,,,0,,Jump Ball A. Bona vs. K. Ware: Tip to Team (PHI),"[1641737, 1642276]",1610612755.0,PHI,startperiod,Team (PHI),Bona,1641737.0,Ware,1642276.0,,,,,,,,,,,,,,,,,,,,,,,,
8,PT11M48.00S,2025-03-29T23:41:12.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1641737,5.995400788436268,52.20588235294118,1610612755,2,0,2025-03-29T23:41:17Z,80000,False,-11.0,4.0,1,left,A. Bona alley-oop DUNK (2 PTS) (J. Butler 1 AST),"[1641737, 1630215]",1610612755.0,PHI,alley-oop,,,,,,Restricted Area,0-8 Center,1.17,Made,2.0,Bona,A. Bona,J. Butler,1630215.0,1.0,,,,,,,,,,,,,,
10,PT11M26.00S,2025-03-29T23:41:34.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641796,90.88370565045992,48.03921568627451,1610612748,2,0,2025-03-29T23:41:38Z,100000,False,-10.0,33.0,1,right,MISS P. Larsson driving finger roll Layup,[1641796],1610612748.0,MIA,driving finger roll,,,,,,Restricted Area,0-8 Center,3.46,Missed,,Larsson,P. Larsson,,,,,,,,,,,,,,,,,
11,PT11M24.00S,2025-03-29T23:41:36.6Z,1,REGULAR,rebound,defensive,[],1629656,,,1610612755,2,0,2025-03-29T23:41:36Z,110000,False,,,0,,Q. Grimes REBOUND (Off:0 Def:1),[1629656],1610612755.0,PHI,,,,,,,Restricted Area,0-8 Center,,,,Grimes,Q. Grimes,,,,10.0,1.0,1.0,0.0,,,,,,,,,,
12,PT11M20.00S,2025-03-29T23:41:40.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1642348,26.10052562417871,16.176470588235293,1610612755,2,0,2025-03-29T23:41:47Z,120000,False,169.0,193.0,1,left,MISS J. Edwards 25' running pullup 3PT,[1642348],1610612755.0,PHI,running pullup,,,,,,Above the Break 3,24+ Right Center,25.65,Missed,,Edwards,J. Edwards,,,,,,,,,,,,,,,,,
13,PT11M16.00S,2025-03-29T23:41:44.2Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,2,0,2025-03-29T23:41:47Z,130000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,,,,Above the Break 3,24+ Right Center,,,,Adebayo,B. Adebayo,,,,12.0,1.0,1.0,0.0,,,,,,,,,,
14,PT11M12.00S,2025-03-29T23:41:48.4Z,1,REGULAR,turnover,lost ball,[],1629639,,,1610612748,2,0,2025-03-29T23:41:52Z,140000,False,,,0,,T. Herro lost ball TURNOVER (1 TO),"[1629639, 1642348]",1610612748.0,MIA,,,,,,,Mid-Range,16-24 Center,,,,Herro,T. Herro,,,,,,,,1.0,Edwards,1642348.0,,,,,,,
15,PT11M12.00S,2025-03-29T23:41:48.4Z,1,REGULAR,steal,,[],1642348,,,1610612755,2,0,2025-03-29T23:41:50Z,150000,False,,,0,,J. Edwards STEAL (1 STL),[1642348],1610612755.0,PHI,,,,,,,Mid-Range,16-24 Center,,,,Edwards,J. Edwards,,,,,,,,,,,,,,,,,
16,PT11M06.00S,2025-03-29T23:41:54.7Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630215,8.623521681997373,2.941176470588235,1610612755,5,0,2025-03-29T23:41:59Z,160000,False,235.0,29.0,1,left,J. Butler 3PT running (3 PTS) (J. Edwards 1 AST),"[1630215, 1642348]",1610612755.0,PHI,running,,,,,,Right Corner 3,24+ Right,23.7,Made,3.0,Butler,J. Butler,J. Edwards,1642348.0,1.0,,,,,,,,,,,,,,
