actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-02-12T00:12:17.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-02-12T00:12:17Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,PT12M00.00S,2025-02-12T00:12:27.8Z,1,REGULAR,jumpball,recovered,[],1630178,,,1610612755,0,0,2025-02-12T00:19:39Z,27500,False,,,0,,Jump Ball J. Embiid vs. J. Mogbo: Tip to T. Maxey,"[1630178, 203954, 1642367]",1610612755.0,PHI,startperiod,T. Maxey,1630178.0,Maxey,T. Maxey,Embiid,203954.0,Mogbo,1642367.0,,,,,,,,,,,,,,,,,,,,,,
3,PT11M40.00S,2025-02-12T00:12:38.6Z,1,REGULAR,turnover,3-second-violation,[],203954,,,1610612755,0,0,2025-02-12T00:12:45Z,30000,False,,,0,,J. Embiid 3-second-violation TURNOVER (1 TO),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),0-8 Center,1627963.0,1.0,,,,,,,,,,,,,,,,,,
4,PT11M23.00S,2025-02-12T00:13:04.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1642367,94.13600525624179,50.73529411764706,1610612761,0,2,2025-02-12T00:13:10Z,40000,False,4.0,3.0,1,right,J. Mogbo cutting DUNK (2 PTS) (I. Quickley 1 AST),"[1642367, 1630193]",1610612761.0,TOR,cutting,,,Mogbo,J. Mogbo,,,,,Restricted Area,0-8 Center,,,0.45,Made,2.0,I. Quickley,1630193.0,1.0,,,,,,,,,,,,
6,PT11M06.00S,2025-02-12T00:13:21.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626162,9.904730617608408,52.205882352941174,1610612755,2,2,2025-02-12T00:16:25Z,60000,False,-11.0,41.0,1,left,K. Oubre Jr. driving Layup (2 PTS),[1626162],1610612755.0,PHI,driving,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,,,4.21,Made,2.0,,,,,,,,,,,,,,,
7,PT10M51.00S,2025-02-12T00:13:46.4Z,1,REGULAR,foul,personal,['2freethrow'],1630178,,,1610612761,2,2,2025-02-12T00:13:52Z,70000,False,,,0,,T. Maxey shooting personal FOUL (1 PF) (Barnes 2 FT),"[1630178, 1630567]",1610612755.0,PHI,shooting,,,Maxey,T. Maxey,,,,,Mid-Range,16-24 Left Center,2530.0,,,,,,,,1.0,0.0,Barnes,1630567.0,,,,,,,,
9,PT10M51.00S,2025-02-12T00:14:04.0Z,1,REGULAR,freethrow,1 of 2,[],1630567,,,1610612761,2,3,2025-02-12T00:14:04Z,90000,False,,,0,,S. Barnes Free Throw 1 of 2 (1 PTS),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,,
10,PT10M51.00S,2025-02-12T00:14:15.6Z,1,REGULAR,freethrow,2 of 2,[],1630567,,,1610612761,2,4,2025-02-12T00:14:15Z,100000,False,,,0,,S. Barnes Free Throw 2 of 2 (2 PTS),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,,
11,PT10M33.00S,2025-02-12T00:14:35.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203954,19.103153745072277,61.27450980392157,1610612755,4,4,2025-02-12T00:14:42Z,110000,False,-56.0,127.0,1,left,J. Embiid 13' Jump Shot (2 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),8-16 Center,,,13.91,Made,2.0,,,,,,,,,,,,,,,
12,PT10M19.00S,2025-02-12T00:14:52.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630567,85.20039421813404,48.28431372549019,1610612761,4,6,2025-02-12T00:17:40Z,120000,False,-9.0,87.0,1,right,S. Barnes 8' Jump Shot (4 PTS),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,In The Paint (Non-RA),8-16 Center,,,8.7,Made,4.0,,,,,,,,,,,,,,,
13,PT10M19.00S,2025-02-12T00:14:57.2Z,1,REGULAR,foul,personal,['1freethrow'],202331,,,1610612761,4,6,2025-02-12T00:15:02Z,130000,False,,,0,,P. George shooting personal FOUL (1 PF) (Barnes 1 FT),"[202331, 1630567]",1610612755.0,PHI,shooting,,,George,P. George,,,,,In The Paint (Non-RA),0-8 Center,1626300.0,,,,,,,,1.0,0.0,Barnes,1630567.0,,,,,,,,
15,PT10M19.00S,2025-02-12T00:15:18.2Z,1,REGULAR,freethrow,1 of 1,[],1630567,,,1610612761,4,7,2025-02-12T00:15:18Z,150000,False,,,0,,S. Barnes Free Throw 1 of 1 (5 PTS),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,Made,5.0,,,,,,,,,,,,,,,
16,PT09M57.00S,2025-02-12T00:15:42.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642348,5.962549277266746,52.205882352941174,1610612755,4,7,2025-02-12T00:18:44Z,160000,False,-11.0,4.0,1,left,MISS J. Edwards cutting Layup - blocked,"[1642348, 1630567]",1610612755.0,PHI,cutting,,,Edwards,J. Edwards,,,,,Restricted Area,0-8 Center,,,1.15,Missed,,,,,,,,,Barnes,1630567.0,,,,,,
17,PT09M57.00S,2025-02-12T00:15:42.9Z,1,REGULAR,block,,[],1630567,,,1610612755,4,7,2025-02-12T00:15:48Z,170000,False,,,0,,S. Barnes BLOCK (1 BLK),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
18,PT09M50.00S,2025-02-12T00:15:49.9Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,4,7,2025-02-12T00:15:52Z,180000,False,,,0,,S. Barnes REBOUND (Off:0 Def:1),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,16.0,1.0,1.0,0.0,,
