actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-11-28T00:10:55.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-28T00:10:55Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-11-28T00:10:58.8Z,1,REGULAR,jumpball,recovered,[],1630178,,,1610612755,0,0,2024-11-28T00:10:58Z,40000,False,,,0,,Jump Ball A. Drummond vs. A. Sengun: Tip to T. Maxey,"[1630178, 203083, 1630578]",1610612755.0,PHI,startperiod,T. Maxey,1630178.0,Maxey,T. Maxey,Drummond,203083.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2024-11-28T00:11:08.7Z,1,REGULAR,3pt,Jump Shot,[],1642272,28.301576872536145,87.74509803921569,1610612755,0,0,2024-11-28T00:11:15Z,70000,False,-189.0,214.0,1,left,MISS J. McCain 28' 3PT,[1642272],1610612755.0,PHI,,,,McCain,J. McCain,,,,,Above the Break 3,24+ Left Center,28.49,Missed,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2024-11-28T00:11:13.7Z,1,REGULAR,rebound,offensive,[],203083,,,1610612755,0,0,2024-11-28T00:11:15Z,80000,False,,,0,,A. Drummond REBOUND (Off:1 Def:0),[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M32.00S,2024-11-28T00:11:23.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626162,8.327858081471746,46.32352941176471,1610612755,0,0,2024-11-28T00:11:27Z,90000,False,18.0,26.0,1,left,MISS K. Oubre Jr. Layup,[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,3.17,Missed,,,,,,,,,,,,,,,,,,
10,PT11M29.00S,2024-11-28T00:11:25.3Z,1,REGULAR,rebound,offensive,[],203083,,,1610612755,0,0,2024-11-28T00:11:25Z,100000,False,,,0,,A. Drummond REBOUND (Off:2 Def:0),[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,Restricted Area,0-8 Center,,,9.0,2.0,0.0,2.0,,,,,,,,,,,,,,
11,PT11M18.00S,2024-11-28T00:11:35.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630178,8.590670170827863,43.627450980392155,1610612755,2,0,2024-11-28T00:11:39Z,110000,False,32.0,28.0,1,left,T. Maxey driving floating Jump Shot (2 PTS),[1630178],1610612755.0,PHI,driving floating,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,4.26,Made,,,,,2.0,,,,,,,,,,,,,
12,PT10M53.00S,2024-11-28T00:12:00.8Z,1,REGULAR,2pt,Jump Shot,[],1628415,90.98226018396846,74.75490196078431,1610612745,2,0,2024-11-28T00:12:04Z,120000,False,124.0,32.0,1,right,MISS D. Brooks 12' turnaround fadeaway Shot,[1628415],1610612745.0,HOU,turnaround fadeaway,,,Brooks,D. Brooks,,,,,Mid-Range,8-16 Right,12.79,Missed,,,,,,,,,,,,,,,,,,
13,PT10M51.00S,2024-11-28T00:12:02.8Z,1,REGULAR,rebound,defensive,[],1630178,,,1610612755,2,0,2024-11-28T00:12:04Z,130000,False,,,0,,T. Maxey REBOUND (Off:0 Def:1),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Mid-Range,8-16 Right,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT10M45.00S,2024-11-28T00:12:10.1Z,1,REGULAR,3pt,Jump Shot,[],1626162,5.305519053876466,96.32352941176471,1610612755,2,0,2024-11-28T00:12:14Z,140000,False,-232.0,-3.0,1,left,MISS K. Oubre Jr. 3PT,[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,Left Corner 3,24+ Left,23.16,Missed,,,,,,,,,,,,,,,,,,
15,PT10M40.00S,2024-11-28T00:12:15.1Z,1,REGULAR,rebound,defensive,[],1627832,,,1610612745,2,0,2024-11-28T00:12:14Z,150000,False,,,0,,F. VanVleet REBOUND (Off:0 Def:1),[1627832],1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,Left Corner 3,24+ Left,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
16,PT10M37.00S,2024-11-28T00:12:17.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628415,95.18725361366623,52.205882352941174,1610612745,2,0,2024-11-28T00:12:21Z,160000,False,11.0,-7.0,1,right,MISS D. Brooks running Layup - blocked,"[1628415, 1626162]",1610612745.0,HOU,running,,,Brooks,D. Brooks,,,,,Restricted Area,0-8 Center,1.32,Missed,,,,,,Oubre Jr.,1626162.0,,,,,,,,,,,
17,PT10M37.00S,2024-11-28T00:12:17.0Z,1,REGULAR,block,,[],1626162,,,1610612745,2,0,2024-11-28T00:12:19Z,170000,False,,,0,,K. Oubre Jr. BLOCK (1 BLK),[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
18,PT10M34.00S,2024-11-28T00:12:20.0Z,1,REGULAR,rebound,defensive,[],1642272,,,1610612755,2,0,2024-11-28T00:12:21Z,180000,False,,,0,,J. McCain REBOUND (Off:0 Def:1),[1642272],1610612755.0,PHI,,,,McCain,J. McCain,,,,,Restricted Area,0-8 Center,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,
19,PT10M27.00S,2024-11-28T00:12:27.0Z,1,REGULAR,3pt,Jump Shot,[],1630178,28.301576872536145,81.37254901960785,1610612755,2,0,2024-11-28T00:14:03Z,190000,False,-157.0,214.0,1,left,MISS T. Maxey 26' step back 3PT,[1630178],1610612755.0,PHI,step back,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Left Center,26.5,Missed,,,,,,,,,,,,,,,,,,
20,PT10M23.00S,2024-11-28T00:12:31.0Z,1,REGULAR,rebound,defensive,[],1630224,,,1610612745,2,0,2024-11-28T00:12:32Z,200000,False,,,0,,J. Green REBOUND (Off:0 Def:1),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,Above the Break 3,24+ Left Center,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,,,
21,PT10M11.00S,2024-11-28T00:12:42.4Z,1,REGULAR,2pt,Jump Shot,[],1630578,81.52102496714849,66.17647058823529,1610612745,2,2,2024-11-28T00:12:46Z,210000,False,81.0,121.0,1,right,A. Sengun 14' Jump Shot (2 PTS),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Mid-Range,8-16 Right,14.57,Made,,,,,2.0,,,,,,,,,,,,,
22,PT09M55.00S,2024-11-28T00:12:59.7Z,1,REGULAR,3pt,Jump Shot,[],1642272,30.535479632063073,87.25490196078431,1610612755,2,2,2024-11-28T00:13:04Z,220000,False,-186.0,235.0,1,left,MISS J. McCain 29' 3PT,[1642272],1610612755.0,PHI,,,,McCain,J. McCain,,,,,Above the Break 3,24+ Left Center,29.95,Missed,,,,,,,,,,,,,,,,,,
23,PT09M51.00S,2024-11-28T00:13:03.7Z,1,REGULAR,rebound,defensive,[],1627832,,,1610612745,2,2,2024-11-28T00:13:04Z,230000,False,,,0,,F. VanVleet REBOUND (Off:0 Def:2),[1627832],1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Left Center,,,22.0,2.0,2.0,0.0,,,,,,,,,,,,,,
24,PT09M43.00S,2024-11-28T00:13:11.6Z,1,REGULAR,turnover,bad pass,[],1627832,,,1610612745,2,2,2024-11-28T00:19:10Z,240000,False,,,0,,F. VanVleet bad pass TURNOVER (1 TO),"[1627832, 1642272]",1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,Restricted Area,0-8 Center,,,,,,,,,,1.0,McCain,1642272.0,,,,,,,,
25,PT09M43.00S,2024-11-28T00:13:11.6Z,1,REGULAR,steal,,[],1642272,,,1610612755,2,2,2024-11-28T00:19:10Z,250000,False,,,0,,J. McCain STEAL (1 STL),[1642272],1610612755.0,PHI,,,,McCain,J. McCain,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
26,PT09M38.00S,2024-11-28T00:13:16.5Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1642272,7.276609724047319,50.245098039215684,1610612755,4,2,2024-11-28T00:15:52Z,260000,False,-1.0,16.0,1,left,J. McCain running finger roll Layup (2 PTS),[1642272],1610612755.0,PHI,running finger roll,,,McCain,J. McCain,,,,,Restricted Area,0-8 Center,1.59,Made,,,,,2.0,,,,,,,,,,,,,
27,PT09M22.00S,2024-11-28T00:13:31.5Z,1,REGULAR,3pt,Jump Shot,[],1630224,69.4316688567674,72.30392156862744,1610612745,4,5,2024-11-28T00:13:35Z,270000,False,112.0,235.0,1,right,J. Green 25' 3PT  (3 PTS) (A. Sengun 1 AST),"[1630224, 1630578]",1610612745.0,HOU,,,,Green,J. Green,,,,,Above the Break 3,24+ Right Center,25.99,Made,,,,,3.0,,,,,,A. Sengun,1630578.0,1.0,,,,,
29,PT09M06.00S,2024-11-28T00:13:47.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630178,9.510512483574246,44.11764705882353,1610612755,4,5,2024-11-28T00:13:52Z,290000,False,29.0,37.0,1,left,MISS T. Maxey driving finger roll Layup - blocked,"[1630178, 1630224]",1610612755.0,PHI,driving finger roll,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),0-8 Center,4.72,Missed,,,,,,Green,1630224.0,,,,,,,,,,,
30,PT09M06.00S,2024-11-28T00:13:47.9Z,1,REGULAR,block,,[],1630224,,,1610612755,4,5,2024-11-28T00:13:50Z,300000,False,,,0,,J. Green BLOCK (1 BLK),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
31,PT09M02.00S,2024-11-28T00:13:51.9Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,4,5,2024-11-28T00:13:52Z,310000,False,,,0,,A. Sengun REBOUND (Off:0 Def:1),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),0-8 Center,,,29.0,1.0,1.0,0.0,,,,,,,,,,,,,,
32,PT09M00.00S,2024-11-28T00:13:56.2Z,1,REGULAR,foul,personal,['2freethrow'],1630178,,,1610612745,4,5,2024-11-28T00:14:15Z,320000,False,,,0,,T. Maxey shooting personal FOUL (1 PF) (Green 2 FT),"[1630178, 1630224]",1610612755.0,PHI,shooting,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,204059.0,1.0,0.0,Green,1630224.0
34,PT09M00.00S,2024-11-28T00:14:24.6Z,1,REGULAR,freethrow,1 of 2,[],1630224,,,1610612745,4,6,2024-11-28T00:14:24Z,340000,False,,,0,,J. Green Free Throw 1 of 2 (4 PTS),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,Made,,,,,4.0,,,,,,,,,,,,,
35,PT09M00.00S,2024-11-28T00:14:43.8Z,1,REGULAR,freethrow,2 of 2,[],1630224,,,1610612745,4,7,2024-11-28T00:14:43Z,350000,False,,,0,,J. Green Free Throw 2 of 2 (5 PTS),[1630224],1610612745.0,HOU,,,,Green,J. Green,,,,,,,,Made,,,,,5.0,,,,,,,,,,,,,
36,PT08M42.00S,2024-11-28T00:15:05.2Z,1,REGULAR,2pt,Jump Shot,[],1627824,8.065045992115643,24.264705882352942,1610612755,4,7,2024-11-28T00:15:11Z,360000,False,129.0,23.0,1,left,MISS G. Yabusele 13' Jump Shot,[1627824],1610612755.0,PHI,,,,Yabusele,G. Yabusele,,,,,Mid-Range,8-16 Right,13.08,Missed,,,,,,,,,,,,,,,,,,
37,PT08M39.00S,2024-11-28T00:15:08.2Z,1,REGULAR,rebound,defensive,[],1630578,,,1610612745,4,7,2024-11-28T00:15:11Z,370000,False,,,0,,A. Sengun REBOUND (Off:0 Def:2),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Mid-Range,8-16 Right,,,36.0,2.0,2.0,0.0,,,,,,,,,,,,,,
38,PT08M29.00S,2024-11-28T00:15:18.4Z,1,REGULAR,3pt,Jump Shot,[],1630224,91.63929040735874,97.30392156862744,1610612745,4,10,2024-11-28T00:15:22Z,380000,False,237.0,26.0,1,right,J. Green 3PT  (8 PTS) (D. Brooks 1 AST),"[1630224, 1628415]",1610612745.0,HOU,,,,Green,J. Green,,,,,Right Corner 3,24+ Right,23.79,Made,,,,,8.0,,,,,,D. Brooks,1628415.0,1.0,,,,,
