actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-02-01T00:44:36.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-02-01T00:44:36Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2025-02-01T00:44:40.4Z,1,REGULAR,jumpball,recovered,[],203932,,,1610612743,0,0,2025-02-01T00:44:40Z,40000,False,,,0,,Jump Ball N. Jokić vs. G. Yabusele: Tip to A. Gordon,"[203932, 203999, 1627824]",1610612743.0,DEN,startperiod,A. Gordon,203932.0,Gordon,A. Gordon,Jokić,203999.0,Yabusele,1627824.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2025-02-01T00:45:00.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627750,94.1688567674113,48.529411764705884,1610612743,0,2,2025-02-01T00:45:05Z,70000,False,-7.0,2.0,1,right,J. Murray driving reverse Layup (2 PTS),[1627750],1610612743.0,DEN,driving reverse,,,Murray,J. Murray,,,,,Restricted Area,0-8 Center,0.77,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M21.00S,2025-02-01T00:45:14.8Z,1,REGULAR,turnover,lost ball,[],1630178,,,1610612755,0,2,2025-02-01T00:45:18Z,80000,False,,,0,,T. Maxey lost ball TURNOVER (1 TO),"[1630178, 1627750]",1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Right Center,,,,1.0,Murray,1627750.0,,,,,,,,,,,,,,
9,PT11M21.00S,2025-02-01T00:45:14.8Z,1,REGULAR,steal,,[],1627750,,,1610612743,0,2,2025-02-01T00:45:16Z,90000,False,,,0,,J. Murray STEAL (1 STL),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
10,PT11M15.00S,2025-02-01T00:45:20.4Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1629008,86.81011826544021,41.42156862745098,1610612743,0,2,2025-02-01T00:45:52Z,100000,False,-43.0,71.0,1,right,MISS M. Porter Jr. 8' turnaround fadeaway Shot,[1629008],1610612743.0,DEN,turnaround fadeaway,,,Porter Jr.,M. Porter Jr.,,,,,In The Paint (Non-RA),8-16 Center,8.34,Missed,,,,,,,,,,,,,,,,,,
11,PT11M11.00S,2025-02-01T00:45:24.4Z,1,REGULAR,rebound,defensive,[],1630178,,,1610612755,0,2,2025-02-01T00:45:52Z,110000,False,,,0,,T. Maxey REBOUND (Off:0 Def:1),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,
12,PT11M05.00S,2025-02-01T00:45:30.9Z,1,REGULAR,turnover,bad pass,[],1630178,,,1610612755,0,2,2025-02-01T00:45:34Z,120000,False,,,0,,T. Maxey bad pass TURNOVER (2 TO),"[1630178, 203999]",1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Mid-Range,8-16 Center,,,,2.0,Jokić,203999.0,,,,,,,,,,,,,,
13,PT11M05.00S,2025-02-01T00:45:30.9Z,1,REGULAR,steal,,[],203999,,,1610612743,0,2,2025-02-01T00:45:33Z,130000,False,,,0,,N. Jokić STEAL (1 STL),[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
14,PT11M00.00S,2025-02-01T00:45:35.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629008,92.72339027595268,50.49019607843137,1610612743,0,4,2025-02-01T00:45:41Z,140000,False,2.0,16.0,1,right,M. Porter Jr. running finger roll Layup (2 PTS) (N. Jokić 1 AST),"[1629008, 203999]",1610612743.0,DEN,running finger roll,,,Porter Jr.,M. Porter Jr.,,,,,Restricted Area,0-8 Center,1.61,Made,2.0,,,,,,,,N. Jokić,203999.0,1.0,,,,,,,
16,PT10M51.00S,2025-02-01T00:45:44.0Z,1,REGULAR,3pt,Jump Shot,[],1627824,26.231931668856767,81.86274509803921,1610612755,3,4,2025-02-01T00:45:48Z,160000,False,-159.0,194.0,1,left,G. Yabusele 25' 3PT  (3 PTS) (T. Maxey 1 AST),"[1627824, 1630178]",1610612755.0,PHI,,,,Yabusele,G. Yabusele,,,,,Above the Break 3,24+ Left Center,25.11,Made,3.0,,,,,,,,T. Maxey,1630178.0,1.0,,,,,,,
18,PT10M22.00S,2025-02-01T00:46:13.2Z,1,REGULAR,3pt,Jump Shot,[],1627750,89.43823915900131,98.2843137254902,1610612743,3,4,2025-02-01T00:46:18Z,180000,False,241.0,47.0,1,right,MISS J. Murray 24' step back 3PT,[1627750],1610612743.0,DEN,step back,,,Murray,J. Murray,,,,,Right Corner 3,24+ Right,24.59,Missed,,,,,,,,,,,,,,,,,,
19,PT10M22.00S,2025-02-01T00:46:17.8Z,1,REGULAR,rebound,offensive,[],203999,,,1610612743,3,4,2025-02-01T00:46:17Z,190000,False,,,0,,N. Jokić REBOUND (Off:1 Def:0),[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,Right Corner 3,24+ Right,,,,,,,18.0,1.0,0.0,1.0,,,,,,,,,,
