actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-11-11T00:10:40.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-11T00:10:40Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M53.00S,2024-11-11T00:10:47.4Z,1,REGULAR,jumpball,recovered,[],1628997,,,1610612755,0,0,2024-11-11T00:10:47Z,40000,False,,,0,,Jump Ball A. Drummond vs. T. Gibson: Tip to C. Martin,"[1628997, 203083, 201959]",1610612755.0,PHI,startperiod,C. Martin,1628997.0,Martin,C. Martin,Drummond,203083.0,Gibson,201959.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2024-11-11T00:10:55.6Z,1,REGULAR,3pt,Jump Shot,[],202331,33.590670170827856,51.9607843137255,1610612755,0,0,2024-11-11T00:11:00Z,70000,False,-10.0,263.0,1,left,MISS P. George 26' 3PT,[202331],1610612755.0,PHI,,,,George,P. George,,,,,Above the Break 3,24+ Center,26.35,Missed,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2024-11-11T00:10:59.6Z,1,REGULAR,rebound,defensive,[],1641706,,,1610612766,0,0,2024-11-11T00:11:00Z,80000,False,,,0,,B. Miller REBOUND (Off:0 Def:1),[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,Above the Break 3,24+ Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M34.00S,2024-11-11T00:11:06.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630163,85.3646517739816,57.35294117647059,1610612766,0,2,2024-11-11T00:11:10Z,90000,False,37.0,85.0,1,right,L. Ball 9' driving floating Jump Shot (2 PTS),[1630163],1610612766.0,CHA,driving floating,,,Ball,L. Ball,,,,,In The Paint (Non-RA),8-16 Center,9.27,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M17.00S,2024-11-11T00:11:22.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202331,5.469776609724048,45.83333333333333,1610612755,2,2,2024-11-11T00:11:26Z,100000,False,21.0,-1.0,1,left,P. George driving Layup (2 PTS) (K. Oubre Jr. 1 AST),"[202331, 1626162]",1610612755.0,PHI,driving,,,George,P. George,,,,,Restricted Area,0-8 Center,2.08,Made,,,,,2.0,K. Oubre Jr.,1626162.0,1.0,,,,,,,,,,
12,PT10M54.00S,2024-11-11T00:11:45.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630163,85.75886990801577,51.225490196078425,1610612766,2,4,2024-11-11T00:11:49Z,120000,False,6.0,81.0,1,right,L. Ball 8' driving floating Jump Shot (4 PTS),[1630163],1610612766.0,CHA,driving floating,,,Ball,L. Ball,,,,,In The Paint (Non-RA),8-16 Center,8.16,Made,,,,,4.0,,,,,,,,,,,,,
13,PT10M38.00S,2024-11-11T00:12:04.3Z,1,REGULAR,turnover,out-of-bounds,[],200768,,,1610612755,2,4,2024-11-11T00:12:09Z,130000,False,,,0,,K. Lowry bad pass out-of-bounds TURNOVER (1 TO),[200768],1610612755.0,PHI,bad pass,,,Lowry,K. Lowry,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,202037.0,1.0,,,,,,,,
14,PT10M23.00S,2024-11-11T00:12:26.1Z,1,REGULAR,turnover,lost ball,[],1641706,,,1610612766,2,4,2024-11-11T00:12:52Z,140000,False,,,0,,B. Miller lost ball TURNOVER (1 TO),[1641706],1610612766.0,CHA,,,,Miller,B. Miller,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,1.0,,,,,,,,
16,PT10M23.00S,2024-11-11T00:12:29.9Z,1,REGULAR,foul,personal,[],1641706,,,1610612755,2,4,2024-11-11T00:12:39Z,160000,False,,,0,,B. Miller loose ball personal FOUL (1 PF),"[1641706, 200768]",1610612766.0,CHA,loose ball,,,Miller,B. Miller,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,202037.0,,1.0,0.0,Lowry,200768.0,,,,
18,PT10M11.00S,2024-11-11T00:12:52.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203083,5.075558475689881,50.245098039215684,1610612755,4,4,2024-11-11T00:13:09Z,180000,False,-1.0,-5.0,1,left,A. Drummond alley-oop Layup (2 PTS) (P. George 1 AST),"[203083, 202331]",1610612755.0,PHI,alley-oop,,,Drummond,A. Drummond,,,,,Restricted Area,0-8 Center,0.49,Made,,,,,2.0,P. George,202331.0,1.0,,,,,,,,,,
20,PT10M11.00S,2024-11-11T00:12:55.2Z,1,REGULAR,foul,personal,['1freethrow'],201959,,,1610612755,4,4,2024-11-11T00:13:05Z,200000,False,,,0,,T. Gibson shooting personal FOUL (1 PF) (Drummond 1 FT),"[201959, 203083]",1610612766.0,CHA,shooting,,,Gibson,T. Gibson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,202037.0,,1.0,0.0,Drummond,203083.0,,,,
22,PT10M11.00S,2024-11-11T00:13:19.1Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],203083,,,1610612755,5,4,2024-11-11T00:13:19Z,220000,False,,,0,,A. Drummond Free Throw 1 of 1 (3 PTS),[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,,,,Made,,,,,3.0,,,,,,,,,,,,,
23,PT09M55.00S,2024-11-11T00:13:33.9Z,1,REGULAR,3pt,Jump Shot,[],1630163,66.3107752956636,19.362745098039216,1610612766,5,4,2024-11-11T00:13:43Z,230000,False,-153.0,264.0,1,right,MISS L. Ball 30' pullup 3PT,[1630163],1610612766.0,CHA,pullup,,,Ball,L. Ball,,,,,Above the Break 3,24+ Left Center,30.54,Missed,,,,,,,,,,,,,,,,,,
24,PT09M46.00S,2024-11-11T00:13:42.9Z,1,REGULAR,rebound,defensive,[],202331,,,1610612755,5,4,2024-11-11T00:13:43Z,240000,False,,,0,,P. George REBOUND (Off:0 Def:1),[202331],1610612755.0,PHI,,,,George,P. George,,,,,Above the Break 3,24+ Left Center,,,23.0,1.0,1.0,0.0,,,,,,,,,,,,,,
25,PT09M43.00S,2024-11-11T00:13:45.6Z,1,REGULAR,3pt,Jump Shot,[],1626162,31.488173455978973,24.019607843137255,1610612755,5,4,2024-11-11T00:14:51Z,250000,False,130.0,243.0,1,left,MISS K. Oubre Jr. 27' 3PT,[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,Above the Break 3,24+ Right Center,27.6,Missed,,,,,,,,,,,,,,,,,,
26,PT09M40.00S,2024-11-11T00:13:48.6Z,1,REGULAR,rebound,defensive,[],1642275,,,1610612766,5,4,2024-11-11T00:13:54Z,260000,False,,,0,,T. Salaün REBOUND (Off:0 Def:1),[1642275],1610612766.0,CHA,,,,Salaün,T. Salaün,,,,,Above the Break 3,24+ Right Center,,,25.0,1.0,1.0,0.0,,,,,,,,,,,,,,
27,PT09M33.00S,2024-11-11T00:13:56.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630163,80.89684625492772,43.13725490196079,1610612766,5,4,2024-11-11T00:14:01Z,270000,False,-34.0,127.0,1,right,MISS L. Ball 13' driving floating Shot,[1630163],1610612766.0,CHA,driving floating,,,Ball,L. Ball,,,,,In The Paint (Non-RA),8-16 Center,13.16,Missed,,,,,,,,,,,,,,,,,,
28,PT09M32.00S,2024-11-11T00:13:57.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612755,5,4,2024-11-11T00:14:01Z,280000,False,,,0,,TEAM defensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,27.0,,,,,,,,,,,,,,,,,
29,PT09M21.00S,2024-11-11T00:14:13.8Z,1,REGULAR,turnover,lost ball,[],202331,,,1610612755,5,4,2024-11-11T00:14:17Z,290000,False,,,0,,P. George lost ball TURNOVER (1 TO),"[202331, 1630182]",1610612755.0,PHI,,,,George,P. George,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,1.0,,,,,Green,1630182.0,,
30,PT09M21.00S,2024-11-11T00:14:13.8Z,1,REGULAR,steal,,[],1630182,,,1610612766,5,4,2024-11-11T00:14:16Z,300000,False,,,0,,J. Green STEAL (1 STL),[1630182],1610612766.0,CHA,,,,Green,J. Green,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
