actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-03-14T23:10:51.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-14T23:10:51Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2025-03-14T23:10:56.1Z,1,REGULAR,jumpball,recovered,[],1627783,,,1610612754,0,0,2025-03-14T23:10:56Z,40000,False,,,0,,Jump Ball M. Turner vs. A. Bona: Tip to P. Siakam,"[1627783, 1626167, 1641737]",1610612754.0,IND,startperiod,P. Siakam,1627783.0,Siakam,P. Siakam,Turner,1626167.0,Bona,1641737.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2025-03-14T23:11:14.8Z,1,REGULAR,foul,personal,[],1630215,,,1610612754,0,0,2025-03-14T23:11:22Z,70000,False,,,0,,J. Butler personal FOUL (1 PF),"[1630215, 1629614]",1610612755.0,PHI,,,,Butler,J. Butler,,,,,Mid-Range,8-16 Left,1627964.0,1.0,0.0,Nembhard,1629614.0,,,,,,,,,,,,,,,
9,PT11M31.00S,2025-03-14T23:11:34.0Z,1,REGULAR,3pt,Jump Shot,[],1629614,63.51839684625492,35.049019607843135,1610612754,0,0,2025-03-14T23:11:41Z,90000,False,-75.0,290.0,1,right,MISS A. Nembhard 29' 3PT,[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,Above the Break 3,24+ Center,,,,,,29.99,Missed,,,,,,,,,,,,,
10,PT11M29.00S,2025-03-14T23:11:36.0Z,1,REGULAR,rebound,defensive,[],1627824,,,1610612755,0,0,2025-03-14T23:17:09Z,100000,False,,,0,,G. Yabusele REBOUND (Off:0 Def:1),[1627824],1610612755.0,PHI,,,,Yabusele,G. Yabusele,,,,,Above the Break 3,24+ Center,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,
11,PT11M07.00S,2025-03-14T23:11:58.0Z,1,REGULAR,2pt,Jump Shot,[],1630288,23.570959264126145,52.69607843137255,1610612755,2,0,2025-03-14T23:12:02Z,110000,False,-13.0,169.0,1,left,J. Dowtin Jr. 16' pullup Jump Shot (2 PTS) (J. Butler 1 AST),"[1630288, 1630215]",1610612755.0,PHI,pullup,,,Dowtin Jr.,J. Dowtin Jr.,,,,,Mid-Range,16-24 Center,,,,,,16.96,Made,,,,,2.0,J. Butler,1630215.0,1.0,,,,,
13,PT10M47.00S,2025-03-14T23:12:17.8Z,1,REGULAR,3pt,Jump Shot,[],1630169,71.27135348226018,25.24509803921569,1610612754,2,0,2025-03-14T23:13:07Z,130000,False,-124.0,218.0,1,right,MISS T. Haliburton 25' pullup 3PT,[1630169],1610612754.0,IND,pullup,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Left Center,,,,,,25.03,Missed,,,,,,,,,,,,,
14,PT10M46.00S,2025-03-14T23:12:18.8Z,1,REGULAR,rebound,defensive,[],1627824,,,1610612755,2,0,2025-03-14T23:12:23Z,140000,False,,,0,,G. Yabusele REBOUND (Off:0 Def:2),[1627824],1610612755.0,PHI,,,,Yabusele,G. Yabusele,,,,,Above the Break 3,24+ Left Center,,,,,,,,13.0,2.0,2.0,0.0,,,,,,,,,
15,PT10M36.00S,2025-03-14T23:12:28.7Z,1,REGULAR,3pt,Jump Shot,[],1627824,32.11235216819975,74.50980392156863,1610612755,2,0,2025-03-14T23:12:34Z,150000,False,-123.0,249.0,1,left,MISS G. Yabusele 27' 3PT,[1627824],1610612755.0,PHI,,,,Yabusele,G. Yabusele,,,,,Above the Break 3,24+ Left Center,,,,,,27.79,Missed,,,,,,,,,,,,,
16,PT10M34.00S,2025-03-14T23:12:30.7Z,1,REGULAR,rebound,defensive,[],1629614,,,1610612754,2,0,2025-03-14T23:12:34Z,160000,False,,,0,,A. Nembhard REBOUND (Off:0 Def:1),[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,Above the Break 3,24+ Left Center,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,
17,PT10M27.00S,2025-03-14T23:12:37.9Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1626167,94.92444152431011,48.529411764705884,1610612754,2,2,2025-03-15T00:18:49Z,170000,False,-7.0,-5.0,1,right,M. Turner running DUNK (2 PTS) (P. Siakam 1 AST),"[1626167, 1627783]",1610612754.0,IND,running,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,,,,,,0.88,Made,,,,,2.0,P. Siakam,1627783.0,1.0,,,,,
19,PT10M04.00S,2025-03-14T23:13:03.1Z,1,REGULAR,turnover,out-of-bounds,[],1627824,,,1610612755,2,2,2025-03-14T23:13:11Z,190000,False,,,0,,G. Yabusele lost ball out-of-bounds TURNOVER (1 TO),[1627824],1610612755.0,PHI,lost ball,,,Yabusele,G. Yabusele,,,,,Restricted Area,0-8 Center,1627964.0,,,,,,,,,,,,,,,1.0,,,,
20,PT09M53.00S,2025-03-14T23:13:16.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626167,94.00459921156373,5.392156862745097,1610612754,2,5,2025-03-14T23:13:22Z,200000,False,-223.0,4.0,1,right,M. Turner 3PT  (5 PTS) (T. Haliburton 1 AST),"[1626167, 1630169]",1610612754.0,IND,,,,Turner,M. Turner,,,,,Left Corner 3,24+ Left,,,,,,22.3,Made,,,,,5.0,T. Haliburton,1630169.0,1.0,,,,,
22,PT09M39.00S,2025-03-14T23:13:31.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627824,9.641918528252305,50.49019607843137,1610612755,2,5,2025-03-14T23:15:55Z,220000,False,-2.0,38.0,1,left,MISS G. Yabusele turnaround Hook,[1627824],1610612755.0,PHI,turnaround,,,Yabusele,G. Yabusele,,,,,Restricted Area,0-8 Center,,,,,,3.82,Missed,,,,,,,,,,,,,
23,PT09M36.00S,2025-03-14T23:13:34.3Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612754,2,5,2025-03-14T23:15:55Z,230000,False,,,0,,P. Siakam REBOUND (Off:0 Def:1),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,,
24,PT09M22.00S,2025-03-14T23:13:46.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627783,92.55913272010513,56.86274509803921,1610612754,2,7,2025-03-14T23:13:54Z,240000,False,34.0,17.0,1,right,P. Siakam driving bank Jump Shot (2 PTS),[1627783],1610612754.0,IND,driving bank,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,,,,,,3.85,Made,,,,,2.0,,,,,,,,
25,PT09M02.00S,2025-03-14T23:14:06.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630288,15.029566360052556,49.50980392156863,1610612755,4,7,2025-03-14T23:14:12Z,250000,False,2.0,89.0,1,left,J. Dowtin Jr. 8' pullup Jump Shot (4 PTS),[1630288],1610612755.0,PHI,pullup,,,Dowtin Jr.,J. Dowtin Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,,,8.88,Made,,,,,4.0,,,,,,,,
