actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2025-03-09T23:40:46.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-09T23:40:46Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-03-09T23:40:52.6Z,1,REGULAR,jumpball,recovered,[],1642268,,,1610612762,0,0,2025-03-09T23:40:52Z,40000,False,,,0,,Jump Ball K. Filipowski vs. A. Drummond: Tip to I. Collier,"[1642268, 1642271, 203083]",1610612762.0,UTA,startperiod,I. Collier,1642268.0,Collier,I. Collier,Filipowski,1642271.0,Drummond,203083.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2025-03-09T23:41:02.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642271,94.13600525624179,51.71568627450981,1610612762,0,2,2025-03-09T23:41:09Z,70000,False,9.0,3.0,1,right,K. Filipowski driving finger roll Layup (2 PTS),[1642271],1610612762.0,UTA,driving finger roll,,,Filipowski,K. Filipowski,,,,,Restricted Area,0-8 Center,0.9,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M26.00S,2025-03-09T23:41:20.9Z,1,REGULAR,2pt,Jump Shot,[],1642348,10.95597897503285,67.64705882352942,1610612755,0,2,2025-03-09T23:49:49Z,80000,False,-88.0,50.0,1,left,MISS J. Edwards 10' driving floating bank Shot,[1642348],1610612755.0,PHI,driving floating bank,,,Edwards,J. Edwards,,,,,Mid-Range,8-16 Left,10.16,Missed,,,,,,,,,,,,,,,,,,
9,PT11M25.00S,2025-03-09T23:41:21.9Z,1,REGULAR,rebound,offensive,[],203083,,,1610612755,0,2,2025-03-09T23:41:56Z,90000,False,,,0,,A. Drummond REBOUND (Off:1 Def:0),[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,Mid-Range,8-16 Left,,,,8.0,1.0,0.0,1.0,,,,,,,,,,,,,
24,PT11M24.00S,2025-03-09T23:41:22.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203083,7.408015768725363,50.98039215686275,1610612755,0,2,2025-03-09T23:48:37Z,95000,False,-5.0,17.0,1,left,MISS A. Drummond putback Layup,[203083],1610612755.0,PHI,putback,,,Drummond,A. Drummond,,,,,Restricted Area,0-8 Center,1.78,Missed,,,,,,,,,,,,,,,,,,
25,PT11M23.00S,2025-03-09T23:41:23.8Z,1,REGULAR,rebound,offensive,[],203083,,,1610612755,0,2,2025-03-09T23:48:37Z,97500,False,,,0,,A. Drummond REBOUND (Off:2 Def:0),[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,Restricted Area,0-8 Center,,,,24.0,2.0,0.0,2.0,,,,,,,,,,,,,
10,PT11M22.00S,2025-03-09T23:41:24.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203083,9.641918528252305,47.30392156862745,1610612755,2,2,2025-03-09T23:48:44Z,100000,False,13.0,38.0,1,left,A. Drummond tip Layup (2 PTS),[203083],1610612755.0,PHI,tip,,,Drummond,A. Drummond,,,,,Restricted Area,0-8 Center,4.04,Made,2.0,,,,,,,,,,,,,,,,,
11,PT10M59.00S,2025-03-09T23:41:48.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630231,96.63272010512483,49.50980392156863,1610612762,2,2,2025-03-09T23:43:31Z,110000,False,-2.0,-21.0,1,right,MISS K. Martin driving Layup,[1630231],1610612762.0,UTA,driving,,,Martin,K. Martin,,,,,In The Paint (Non-RA),0-8 Center,2.09,Missed,,,,,,,,,,,,,,,,,,
12,PT10M58.00S,2025-03-09T23:41:49.1Z,1,REGULAR,rebound,offensive,[],1641729,,,1610612762,2,2,2025-03-09T23:43:31Z,120000,False,,,0,,B. Sensabaugh REBOUND (Off:1 Def:0),[1641729],1610612762.0,UTA,,,,Sensabaugh,B. Sensabaugh,,,,,In The Paint (Non-RA),0-8 Center,,,,11.0,1.0,0.0,1.0,,,,,,,,,,,,,
13,PT10M57.00S,2025-03-09T23:41:54.1Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1641729,94.40999984741211,50.0,1610612762,2,4,2025-03-09T23:43:37Z,130000,False,0.0,0.0,1,right,B. Sensabaugh putback Layup (2 PTS),[1641729],1610612762.0,UTA,putback,,,Sensabaugh,B. Sensabaugh,,,,,Restricted Area,0-8 Center,0.0,Made,2.0,,,,,,,,,,,,,,,,,
14,PT10M48.00S,2025-03-09T23:41:58.4Z,1,REGULAR,turnover,lost ball,[],1629656,,,1610612755,2,4,2025-03-09T23:42:02Z,140000,False,,,0,,Q. Grimes lost ball TURNOVER (1 TO),"[1629656, 1642268]",1610612755.0,PHI,,,,Grimes,Q. Grimes,,,,,Above the Break 3,24+ Left Center,,,,,,,,1.0,Collier,1642268.0,,,,,,,,,,
15,PT10M48.00S,2025-03-09T23:41:58.4Z,1,REGULAR,steal,,[],1642268,,,1610612762,2,4,2025-03-09T23:42:00Z,150000,False,,,0,,I. Collier STEAL (1 STL),[1642268],1610612762.0,UTA,,,,Collier,I. Collier,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
16,PT10M47.00S,2025-03-09T23:42:01.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1642268,94.00459921156373,54.65686274509804,1610612762,2,6,2025-03-09T23:42:07Z,160000,False,23.0,4.0,1,right,I. Collier running Layup (2 PTS),[1642268],1610612762.0,UTA,running,,,Collier,I. Collier,,,,,Restricted Area,0-8 Center,2.36,Made,2.0,,,,,,,,,,,,,,,,,
17,PT10M47.00S,2025-03-09T23:42:05.1Z,1,REGULAR,foul,personal,['1freethrow'],1629656,,,1610612762,2,6,2025-03-09T23:42:17Z,170000,False,,,0,,Q. Grimes shooting personal FOUL (1 PF) (Collier 1 FT),"[1629656, 1642268]",1610612755.0,PHI,shooting,,,Grimes,Q. Grimes,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1627519.0,1.0,0.0,Collier,1642268.0,,,,,
19,PT10M47.00S,2025-03-09T23:42:28.2Z,1,REGULAR,freethrow,1 of 1,"['fromturnover', 'fastbreak']",1642268,,,1610612762,2,7,2025-03-09T23:42:28Z,190000,False,,,0,,I. Collier Free Throw 1 of 1 (3 PTS),[1642268],1610612762.0,UTA,,,,Collier,I. Collier,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
20,PT10M33.00S,2025-03-09T23:42:43.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203083,9.379106438896187,44.607843137254896,1610612755,2,7,2025-03-09T23:44:35Z,200000,False,27.0,36.0,1,left,MISS A. Drummond driving Layup - blocked,"[203083, 1630231]",1610612755.0,PHI,driving,,,Drummond,A. Drummond,,,,,In The Paint (Non-RA),0-8 Center,4.48,Missed,,,,,,,,,,,,,,Martin,1630231.0,,,
21,PT10M33.00S,2025-03-09T23:42:43.6Z,1,REGULAR,block,,[],1630231,,,1610612755,2,7,2025-03-09T23:42:46Z,210000,False,,,0,,K. Martin BLOCK (1 BLK),[1630231],1610612762.0,UTA,,,,Martin,K. Martin,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
22,PT10M29.00S,2025-03-09T23:42:47.6Z,1,REGULAR,rebound,offensive,[],1627824,,,1610612755,2,7,2025-03-09T23:42:50Z,220000,False,,,0,,G. Yabusele REBOUND (Off:1 Def:0),[1627824],1610612755.0,PHI,,,,Yabusele,G. Yabusele,,,,,In The Paint (Non-RA),0-8 Center,,,,20.0,1.0,0.0,1.0,,,,,,,,,,,,,
23,PT10M23.00S,2025-03-09T23:42:53.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629656,25.016425755584763,91.42156862745098,1610612755,5,7,2025-03-09T23:44:57Z,230000,False,-207.0,183.0,1,left,Q. Grimes 27' 3PT step back (3 PTS) (J. Edwards 1 AST),"[1629656, 1642348]",1610612755.0,PHI,step back,,,Grimes,Q. Grimes,,,,,Above the Break 3,24+ Left Center,27.62,Made,3.0,,,,,,,,,,,,,,,J. Edwards,1642348.0,1.0
27,PT09M54.00S,2025-03-09T23:43:23.9Z,1,REGULAR,3pt,Jump Shot,[],1642271,69.69448094612352,76.9607843137255,1610612762,5,10,2025-03-09T23:43:51Z,250000,False,135.0,232.0,1,right,K. Filipowski 26' 3PT  (5 PTS),[1642271],1610612762.0,UTA,,,,Filipowski,K. Filipowski,,,,,Above the Break 3,24+ Right Center,26.87,Made,5.0,,,,,,,,,,,,,,,,,
28,PT09M33.00S,2025-03-09T23:43:43.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203083,10.693166885676746,58.33333333333333,1610612755,7,10,2025-03-09T23:43:48Z,260000,False,-42.0,48.0,1,left,A. Drummond 6' turnaround Hook (4 PTS) (Q. Grimes 1 AST),"[203083, 1629656]",1610612755.0,PHI,turnaround,,,Drummond,A. Drummond,,,,,In The Paint (Non-RA),0-8 Center,6.36,Made,4.0,,,,,,,,,,,,,,,Q. Grimes,1629656.0,1.0
