actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2025-03-26T23:11:30.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-26T23:11:30Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-03-26T23:11:33.7Z,1,REGULAR,jumpball,recovered,[],1629673,,,1610612764,0,0,2025-03-26T23:11:33Z,40000,False,,,0,,Jump Ball A. Sarr vs. G. Yabusele: Tip to J. Poole,"[1629673, 1642259, 1627824]",1610612764.0,WAS,startperiod,J. Poole,1629673.0,Poole,J. Poole,Sarr,1642259.0,Yabusele,1627824.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2025-03-26T23:11:49.1Z,1,REGULAR,turnover,bad pass,[],1642267,,,1610612764,0,0,2025-03-26T23:11:56Z,70000,False,,,0,,B. Carrington bad pass TURNOVER (1 TO),"[1642267, 1629656]",1610612764.0,WAS,,,,Carrington,B. Carrington,,,,,In The Paint (Non-RA),0-8 Center,1.0,Grimes,1629656.0,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2025-03-26T23:11:49.1Z,1,REGULAR,steal,,[],1629656,,,1610612755,0,0,2025-03-26T23:11:51Z,80000,False,,,0,,Q. Grimes STEAL (1 STL),[1629656],1610612755.0,PHI,,,,Grimes,Q. Grimes,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M20.00S,2025-03-26T23:12:09.9Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1627824,8.754927726675426,48.529411764705884,1610612755,2,0,2025-03-26T23:12:14Z,90000,False,7.0,30.0,1,left,G. Yabusele driving Hook (2 PTS),[1627824],1610612755.0,PHI,driving,,,Yabusele,G. Yabusele,,,,,Restricted Area,0-8 Center,,,,3.07,Made,2.0,,,,,,,,,,,,,,
10,PT11M11.00S,2025-03-26T23:12:20.5Z,1,REGULAR,foul,personal,['2freethrow'],1630288,,,1610612764,2,0,2025-03-26T23:12:33Z,100000,False,,,0,,J. Dowtin Jr. shooting personal FOUL (1 PF) (Carrington 2 FT),"[1630288, 1642267]",1610612755.0,PHI,shooting,,,Dowtin Jr.,J. Dowtin Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,201246.0,1.0,0.0,Carrington,1642267.0,,,,,,,,,
12,PT11M11.00S,2025-03-26T23:12:48.6Z,1,REGULAR,freethrow,1 of 2,[],1642267,,,1610612764,2,1,2025-03-26T23:13:10Z,120000,False,,,0,,B. Carrington Free Throw 1 of 2 (1 PTS),[1642267],1610612764.0,WAS,,,,Carrington,B. Carrington,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
13,PT11M11.00S,2025-03-26T23:12:48.6Z,1,REGULAR,freethrow,2 of 2,[],1642267,,,1610612764,2,1,2025-03-26T23:13:10Z,130000,False,,,0,,MISS B. Carrington Free Throw 2 of 2,[1642267],1610612764.0,WAS,,,,Carrington,B. Carrington,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
14,PT11M07.00S,2025-03-26T23:12:52.6Z,1,REGULAR,rebound,defensive,[],1627824,,,1610612755,2,1,2025-03-26T23:13:47Z,140000,False,,,0,,G. Yabusele REBOUND (Off:0 Def:1),[1627824],1610612755.0,PHI,,,,Yabusele,G. Yabusele,,,,,,,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,
15,PT10M57.00S,2025-03-26T23:13:17.6Z,1,REGULAR,3pt,Jump Shot,[],1629656,28.33442838370565,21.07843137254902,1610612755,2,1,2025-03-26T23:13:22Z,150000,False,145.0,214.0,1,left,MISS Q. Grimes 25' pullup 3PT,[1629656],1610612755.0,PHI,pullup,,,Grimes,Q. Grimes,,,,,Above the Break 3,24+ Right Center,,,,25.81,Missed,,,,,,,,,,,,,,,
16,PT10M54.00S,2025-03-26T23:13:20.6Z,1,REGULAR,rebound,offensive,[],1627824,,,1610612755,2,1,2025-03-26T23:13:22Z,160000,False,,,0,,G. Yabusele REBOUND (Off:1 Def:1),[1627824],1610612755.0,PHI,,,,Yabusele,G. Yabusele,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,15.0,2.0,1.0,1.0,,,,,
17,PT10M49.00S,2025-03-26T23:13:26.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627824,6.652431011826544,45.34313725490196,1610612755,2,1,2025-03-26T23:13:34Z,170000,False,23.0,10.0,1,left,MISS G. Yabusele Layup - blocked,"[1627824, 1642259]",1610612755.0,PHI,,,,Yabusele,G. Yabusele,,,,,Restricted Area,0-8 Center,,,,2.54,Missed,,,,,,,,,,,Sarr,1642259.0,,,
19,PT10M49.00S,2025-03-26T23:13:26.3Z,1,REGULAR,block,,[],1642259,,,1610612755,2,1,2025-03-26T23:13:34Z,175000,False,,,0,,A. Sarr BLOCK (1 BLK),[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
18,PT10M47.00S,2025-03-26T23:13:28.3Z,1,REGULAR,rebound,defensive,[],1642259,,,1610612764,2,1,2025-03-26T23:13:34Z,180000,False,,,0,,A. Sarr REBOUND (Off:0 Def:1),[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,17.0,1.0,1.0,0.0,,,,,
20,PT10M43.00S,2025-03-26T23:13:32.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630551,75.50919842312747,9.558823529411764,1610612764,2,4,2025-03-26T23:15:03Z,190000,False,-202.0,178.0,1,right,J. Champagnie 26' 3PT running (3 PTS) (J. Poole 1 AST),"[1630551, 1629673]",1610612764.0,WAS,running,,,Champagnie,J. Champagnie,,,,,Above the Break 3,24+ Left Center,,,,26.92,Made,3.0,,,,,,,,,,,,J. Poole,1629673.0,1.0
22,PT10M28.00S,2025-03-26T23:13:46.8Z,1,REGULAR,3pt,Jump Shot,[],1627824,25.04927726675427,82.84313725490196,1610612755,2,4,2025-03-26T23:13:52Z,210000,False,-164.0,183.0,1,left,MISS G. Yabusele 24' 3PT,[1627824],1610612755.0,PHI,,,,Yabusele,G. Yabusele,,,,,Above the Break 3,24+ Left Center,,,,24.59,Missed,,,,,,,,,,,,,,,
23,PT10M25.00S,2025-03-26T23:13:49.8Z,1,REGULAR,rebound,defensive,[],1629673,,,1610612764,2,4,2025-03-26T23:13:52Z,220000,False,,,0,,J. Poole REBOUND (Off:0 Def:1),[1629673],1610612764.0,WAS,,,,Poole,J. Poole,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,22.0,1.0,1.0,0.0,,,,,
