actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-02-25T00:11:31.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-02-25T00:11:31Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-02-25T00:11:34.1Z,1,REGULAR,jumpball,recovered,[],1626162,,,1610612755,0,0,2025-02-25T00:11:34Z,40000,False,,,0,,Jump Ball G. Yabusele vs. Z. Collins: Tip to K. Oubre Jr.,"[1626162, 1627824, 1628380]",1610612755.0,PHI,startperiod,K. Oubre Jr.,1626162.0,Oubre Jr.,K. Oubre Jr.,Yabusele,1627824.0,Collins,1628380.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M54.00S,2025-02-25T00:11:36.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1626162,7.276609724047319,47.79411764705882,1610612755,2,0,2025-02-25T00:12:17Z,70000,False,11.0,16.0,1,left,K. Oubre Jr. driving DUNK (2 PTS),[1626162],1610612755.0,PHI,driving,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,1.93,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2025-02-25T00:11:51.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628989,96.50131406044679,51.22549019607843,1610612741,2,2,2025-02-25T00:12:04Z,80000,False,6.0,-20.0,1,right,K. Huerter cutting Layup (2 PTS) (M. Buzelis 1 AST),"[1628989, 1641824]",1610612741.0,CHI,cutting,,,Huerter,K. Huerter,,,,,In The Paint (Non-RA),0-8 Center,2.05,Made,2.0,M. Buzelis,1641824.0,1.0,,,,,,,,,,,,,,
10,PT11M26.00S,2025-02-25T00:12:06.1Z,1,REGULAR,turnover,bad pass,[],1626162,,,1610612755,2,2,2025-02-25T00:15:29Z,100000,False,,,0,,K. Oubre Jr. bad pass TURNOVER (1 TO),"[1626162, 1628989]",1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,,1.0,Huerter,1628989.0,,,,,,,,,,,
11,PT11M26.00S,2025-02-25T00:12:06.1Z,1,REGULAR,steal,,[],1628989,,,1610612741,2,2,2025-02-25T00:12:09Z,110000,False,,,0,,K. Huerter STEAL (1 STL),[1628989],1610612741.0,CHI,,,,Huerter,K. Huerter,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
12,PT11M21.00S,2025-02-25T00:12:11.7Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1641824,89.79960578186596,62.254901960784316,1610612741,2,2,2025-02-25T00:15:16Z,120000,False,61.0,43.0,1,right,MISS M. Buzelis 7' running Layup,[1641824],1610612741.0,CHI,running,,,Buzelis,M. Buzelis,,,,,In The Paint (Non-RA),0-8 Center,7.51,Missed,,,,,,,,,,,,,,,,,,
13,PT11M20.00S,2025-02-25T00:12:12.7Z,1,REGULAR,rebound,offensive,[],1628380,,,1610612741,2,2,2025-02-25T00:15:16Z,130000,False,,,0,,Z. Collins REBOUND (Off:1 Def:0),[1628380],1610612741.0,CHI,,,,Collins,Z. Collins,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,12.0,1.0,0.0,1.0,,,,,,,
14,PT11M20.00S,2025-02-25T00:12:15.5Z,1,REGULAR,2pt,Layup,"['2ndchance', 'fastbreak', 'pointsinthepaint', 'fromturnover']",1628380,94.40999984741211,50.0,1610612741,2,4,2025-02-25T00:15:20Z,140000,False,0.0,0.0,1,right,Z. Collins tip Layup (2 PTS),[1628380],1610612741.0,CHI,tip,,,Collins,Z. Collins,,,,,Restricted Area,0-8 Center,0.0,Made,2.0,,,,,,,,,,,,,,,,,
15,PT11M03.00S,2025-02-25T00:12:27.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627824,7.670827858081481,58.33333333333333,1610612755,2,4,2025-02-25T00:15:53Z,150000,False,-42.0,20.0,1,left,MISS G. Yabusele turnaround Hook,[1627824],1610612755.0,PHI,turnaround,,,Yabusele,G. Yabusele,,,,,In The Paint (Non-RA),0-8 Center,4.61,Missed,,,,,,,,,,,,,,,,,,
