actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-04-05T23:10:53.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-04-05T23:10:53Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2025-04-05T23:10:58.4Z,1,REGULAR,jumpball,recovered,[],201144,,,1610612750,0,0,2025-04-05T23:10:58Z,40000,False,,,0,,Jump Ball R. Gobert vs. A. Bona: Tip to M. Conley,"[201144, 203497, 1641737]",1610612750.0,MIN,startperiod,M. Conley,201144.0,Conley,M. Conley,Gobert,203497.0,Bona,1641737.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2025-04-05T23:11:10.8Z,1,REGULAR,3pt,Jump Shot,[],203944,73.50525624178712,86.51960784313725,1610612750,0,0,2025-04-05T23:11:17Z,70000,False,183.0,197.0,1,right,MISS J. Randle 26' 3PT,[203944],1610612750.0,MIN,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Right Center,26.83,Missed,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2025-04-05T23:11:12.8Z,1,REGULAR,rebound,offensive,[],203497,,,1610612750,0,0,2025-04-05T23:11:24Z,80000,False,,,0,,R. Gobert REBOUND (Off:1 Def:0),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Above the Break 3,24+ Right Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M37.00S,2025-04-05T23:11:15.6Z,1,REGULAR,turnover,bad pass,[],203497,,,1610612750,0,0,2025-04-05T23:11:20Z,90000,False,,,0,,R. Gobert bad pass TURNOVER (1 TO),"[203497, 1642348]",1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Above the Break 3,24+ Center,,,,,,,1.0,Edwards,1642348.0,,,,,,,,,,,
10,PT11M37.00S,2025-04-05T23:11:15.6Z,1,REGULAR,steal,,[],1642348,,,1610612755,0,0,2025-04-05T23:11:17Z,100000,False,,,0,,J. Edwards STEAL (1 STL),[1642348],1610612755.0,PHI,,,,Edwards,J. Edwards,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
11,PT11M15.00S,2025-04-05T23:11:38.1Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1627824,19.23455978975032,68.87254901960785,1610612755,2,0,2025-04-05T23:11:44Z,110000,False,-94.0,128.0,1,left,G. Yabusele 15' turnaround fadeaway Jump Shot (2 PTS),[1627824],1610612755.0,PHI,turnaround fadeaway,,,Yabusele,G. Yabusele,,,,,Mid-Range,8-16 Left,15.93,Made,,,,,,,,2.0,,,,,,,,,,
12,PT10M56.00S,2025-04-05T23:11:56.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203497,92.16491458607096,59.068627450980394,1610612750,2,2,2025-04-05T23:12:03Z,120000,False,45.0,21.0,1,right,R. Gobert driving bank Hook (2 PTS) (M. Conley 1 AST),"[203497, 201144]",1610612750.0,MIN,driving bank,,,Gobert,R. Gobert,,,,,In The Paint (Non-RA),0-8 Center,5.0,Made,,,,,,,,2.0,M. Conley,201144.0,1.0,,,,,,,
14,PT10M41.00S,2025-04-05T23:12:12.0Z,1,REGULAR,3pt,Jump Shot,[],1627824,33.820630749014455,32.59803921568627,1610612755,2,2,2025-04-05T23:12:18Z,140000,False,87.0,265.0,1,left,MISS G. Yabusele 27' 3PT,[1627824],1610612755.0,PHI,,,,Yabusele,G. Yabusele,,,,,Above the Break 3,24+ Right Center,27.93,Missed,,,,,,,,,,,,,,,,,,
15,PT10M39.00S,2025-04-05T23:12:14.0Z,1,REGULAR,rebound,defensive,[],201144,,,1610612750,2,2,2025-04-05T23:12:18Z,150000,False,,,0,,M. Conley REBOUND (Off:0 Def:1),[201144],1610612750.0,MIN,,,,Conley,M. Conley,,,,,Above the Break 3,24+ Right Center,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
16,PT10M29.00S,2025-04-05T23:12:24.5Z,1,REGULAR,3pt,Jump Shot,[],1630162,68.11760840998686,59.31372549019608,1610612750,2,2,2025-04-05T23:12:31Z,160000,False,47.0,247.0,1,right,MISS A. Edwards 25' pullup 3PT,[1630162],1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Center,25.16,Missed,,,,,,,,,,,,,,,,,,
17,PT10M27.00S,2025-04-05T23:12:26.5Z,1,REGULAR,rebound,defensive,[],1641737,,,1610612755,2,2,2025-04-05T23:12:31Z,170000,False,,,0,,A. Bona REBOUND (Off:0 Def:1),[1641737],1610612755.0,PHI,,,,Bona,A. Bona,,,,,Above the Break 3,24+ Center,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,
18,PT10M15.00S,2025-04-05T23:12:37.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627824,6.750985545335084,51.96078431372549,1610612755,4,2,2025-04-05T23:12:41Z,180000,False,-10.0,11.0,1,left,G. Yabusele driving Layup (4 PTS) (J. Butler 1 AST),"[1627824, 1630215]",1610612755.0,PHI,driving,,,Yabusele,G. Yabusele,,,,,Restricted Area,0-8 Center,1.47,Made,,,,,,,,4.0,J. Butler,1630215.0,1.0,,,,,,,
