actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-12-14T00:10:53.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-12-14T00:10:53Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-12-14T00:10:59.3Z,1,REGULAR,jumpball,recovered,[],0,,,1610612755,0,0,2024-12-14T00:10:59Z,40000,False,,,0,,Jump Ball J. Embiid vs. M. Turner: Tip to Team (PHI),"[203954, 1626167]",1610612755.0,PHI,startperiod,Team (PHI),Embiid,203954.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2024-12-14T00:11:22.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626162,7.013797634691201,52.94117647058824,1610612755,2,0,2024-12-14T00:11:32Z,70000,False,-15.0,13.0,1,left,K. Oubre Jr. cutting Layup (2 PTS) (J. Embiid 1 AST),"[1626162, 203954]",1610612755.0,PHI,cutting,,,,,,Restricted Area,0-8 Center,1.99,Made,2.0,Oubre Jr.,K. Oubre Jr.,J. Embiid,203954.0,1.0,,,,,,,,,,,,,,
9,PT11M25.00S,2024-12-14T00:11:41.1Z,1,REGULAR,3pt,Jump Shot,[],1626167,68.11760840998686,64.4607843137255,1610612754,2,0,2024-12-14T00:11:46Z,90000,False,72.0,247.0,1,right,MISS M. Turner 25' 3PT,[1626167],1610612754.0,IND,,,,,,,Above the Break 3,24+ Center,25.76,Missed,,Turner,M. Turner,,,,,,,,,,,,,,,,,
10,PT11M22.00S,2024-12-14T00:11:44.1Z,1,REGULAR,rebound,defensive,[],202331,,,1610612755,2,0,2024-12-14T00:11:46Z,100000,False,,,0,,P. George REBOUND (Off:0 Def:1),[202331],1610612755.0,PHI,,,,,,,Above the Break 3,24+ Center,,,,George,P. George,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M06.00S,2024-12-14T00:12:00.1Z,1,REGULAR,3pt,Jump Shot,[],203954,27.77595269382391,16.17647058823529,1610612755,2,0,2024-12-14T00:12:05Z,110000,False,169.0,209.0,1,left,MISS J. Embiid 26' 3PT,[203954],1610612755.0,PHI,,,,,,,Above the Break 3,24+ Right Center,26.85,Missed,,Embiid,J. Embiid,,,,,,,,,,,,,,,,,
12,PT11M03.00S,2024-12-14T00:12:03.1Z,1,REGULAR,rebound,defensive,[],1631097,,,1610612754,2,0,2024-12-14T00:12:05Z,120000,False,,,0,,B. Mathurin REBOUND (Off:0 Def:1),[1631097],1610612754.0,IND,,,,,,,Above the Break 3,24+ Right Center,,,,Mathurin,B. Mathurin,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
13,PT10M58.00S,2024-12-14T00:12:08.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1631097,66.27792378449408,51.96078431372549,1610612754,2,0,2024-12-14T00:12:21Z,130000,False,10.0,264.0,1,right,MISS B. Mathurin 26' running 3PT,[1631097],1610612754.0,IND,running,,,,,,Above the Break 3,24+ Center,26.47,Missed,,Mathurin,B. Mathurin,,,,,,,,,,,,,,,,,
14,PT10M55.00S,2024-12-14T00:12:11.1Z,1,REGULAR,rebound,defensive,[],1626162,,,1610612755,2,0,2024-12-14T00:12:21Z,140000,False,,,0,,K. Oubre Jr. REBOUND (Off:0 Def:1),[1626162],1610612755.0,PHI,,,,,,,Above the Break 3,24+ Center,,,,Oubre Jr.,K. Oubre Jr.,,,,13.0,1.0,1.0,0.0,,,,,,,,,,
15,PT10M49.00S,2024-12-14T00:12:19.7Z,1,REGULAR,turnover,out-of-bounds,[],1630178,,,1610612755,2,0,2024-12-14T00:12:26Z,150000,False,,,0,,T. Maxey bad pass out-of-bounds TURNOVER (1 TO),[1630178],1610612755.0,PHI,bad pass,,,,,,Mid-Range,16-24 Left Center,,,,Maxey,T. Maxey,,,,,,,,203591.0,1.0,,,,,,,,
