actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-02-06T00:40:59.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-02-06T00:40:59Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2025-02-06T00:41:04.5Z,1,REGULAR,jumpball,recovered,[],1626162,,,1610612755,0,0,2025-02-06T00:41:04Z,40000,False,,,0,,Jump Ball G. Yabusele vs. K. Ware: Tip to K. Oubre Jr.,"[1626162, 1627824, 1642276]",1610612755.0,PHI,startperiod,K. Oubre Jr.,1626162.0,Oubre Jr.,K. Oubre Jr.,Yabusele,1627824.0,Ware,1642276.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2025-02-06T00:41:10.7Z,1,REGULAR,3pt,Jump Shot,[],202331,8.360709592641262,0.9803921568627451,1610612755,0,0,2025-02-06T00:41:15Z,70000,False,245.0,26.0,1,left,MISS P. George 24' 3PT,[202331],1610612755.0,PHI,,,,George,P. George,,,,,Right Corner 3,24+ Right,24.65,Missed,,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2025-02-06T00:41:14.7Z,1,REGULAR,rebound,defensive,[],1642276,,,1610612748,0,0,2025-02-06T00:41:15Z,80000,False,,,0,,K. Ware REBOUND (Off:0 Def:1),[1642276],1610612748.0,MIA,,,,Ware,K. Ware,,,,,Right Corner 3,24+ Right,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M34.00S,2025-02-06T00:41:24.5Z,1,REGULAR,turnover,bad pass,[],1628389,,,1610612748,0,0,2025-02-06T00:41:28Z,90000,False,,,0,,B. Adebayo bad pass TURNOVER (1 TO),"[1628389, 1630178]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Center,,,,,,,1.0,Maxey,1630178.0,,,,,,,,,,,
10,PT11M34.00S,2025-02-06T00:41:24.5Z,1,REGULAR,steal,,[],1630178,,,1610612755,0,0,2025-02-06T00:41:26Z,100000,False,,,0,,T. Maxey STEAL (1 STL),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
11,PT11M30.00S,2025-02-06T00:41:27.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630178,5.995400788436268,49.01960784313725,1610612755,2,0,2025-02-06T00:41:34Z,110000,False,5.0,4.0,1,left,T. Maxey running finger roll Layup (2 PTS),[1630178],1610612755.0,PHI,running finger roll,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,0.63,Made,,,,,,,,2.0,,,,,,,,,,
12,PT11M13.00S,2025-02-06T00:41:47.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629130,92.46057818659659,56.86274509803921,1610612748,2,0,2025-02-06T00:42:47Z,120000,False,34.0,18.0,1,right,MISS D. Robinson driving floating bank Shot,[1629130],1610612748.0,MIA,driving floating bank,,,Robinson,D. Robinson,,,,,Restricted Area,0-8 Center,3.89,Missed,,,,,,,,,,,,,,,,,,
13,PT11M12.00S,2025-02-06T00:41:48.6Z,1,REGULAR,rebound,offensive,[],1628389,,,1610612748,2,0,2025-02-06T00:42:47Z,130000,False,,,0,,B. Adebayo REBOUND (Off:1 Def:0),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,,,12.0,1.0,0.0,1.0,,,,,,,,,,,,,,
14,PT11M12.00S,2025-02-06T00:41:51.2Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",1628389,94.40999984741211,50.0,1610612748,2,2,2025-02-06T00:42:58Z,140000,False,0.0,0.0,1,right,B. Adebayo tip DUNK (2 PTS),[1628389],1610612748.0,MIA,tip,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,,,,2.0,,,,,,,,,,
