actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-12-07T00:11:12.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-12-07T00:11:12Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2024-12-07T00:11:15.3Z,1,REGULAR,jumpball,recovered,[],1627824,,,1610612755,0,0,2024-12-07T00:11:15Z,40000,False,,,0,,Jump Ball A. Drummond vs. G. Bitadze: Tip to G. Yabusele,"[1627824, 203083, 1629048]",1610612755.0,PHI,startperiod,G. Yabusele,1627824.0,Yabusele,G. Yabusele,Drummond,203083.0,Bitadze,1629048.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2024-12-07T00:11:32.1Z,1,REGULAR,2pt,Jump Shot,[],202331,18.74178712220762,72.05882352941177,1610612755,2,0,2024-12-07T00:11:36Z,70000,False,-110.0,124.0,1,left,P. George 16' pullup Jump Shot (2 PTS),[202331],1610612755.0,PHI,pullup,,,George,P. George,,,,,Mid-Range,16-24 Left Center,16.57,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M20.00S,2024-12-07T00:11:51.2Z,1,REGULAR,turnover,bad pass,[],1630591,,,1610612753,2,0,2024-12-07T00:11:55Z,80000,False,,,0,,J. Suggs bad pass TURNOVER (1 TO),"[1630591, 1630178]",1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Mid-Range,16-24 Left Center,,,,1.0,Maxey,1630178.0,,,,,,,,,,,,,,
9,PT11M20.00S,2024-12-07T00:11:51.2Z,1,REGULAR,steal,,[],1630178,,,1610612755,2,0,2024-12-07T00:11:53Z,90000,False,,,0,,T. Maxey STEAL (1 STL),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
11,PT11M08.00S,2024-12-07T00:12:19.7Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],202331,16.113666228646515,33.088235294117645,1610612755,4,0,2024-12-07T00:12:24Z,110000,False,85.0,99.0,1,left,P. George 13' turnaround fadeaway Jump Shot (4 PTS),[202331],1610612755.0,PHI,turnaround fadeaway,,,George,P. George,,,,,Mid-Range,8-16 Right,13.02,Made,4.0,,,,,,,,,,,,,,,,,
12,PT10M45.00S,2024-12-07T00:12:42.5Z,1,REGULAR,3pt,Jump Shot,[],1630532,93.64323258869908,3.6764705882352944,1610612753,4,3,2024-12-07T00:12:46Z,120000,False,-232.0,7.0,1,right,F. Wagner 3PT pullup (3 PTS),[1630532],1610612753.0,ORL,pullup,,,Wagner,F. Wagner,,,,,Left Corner 3,24+ Left,23.17,Made,3.0,,,,,,,,,,,,,,,,,
13,PT10M32.00S,2024-12-07T00:12:57.3Z,1,REGULAR,2pt,Jump Shot,[],202331,15.719448094612352,67.40196078431373,1610612755,4,3,2024-12-07T00:13:01Z,130000,False,-87.0,95.0,1,left,MISS P. George 12' fadeaway Shot,[202331],1610612755.0,PHI,fadeaway,,,George,P. George,,,,,Mid-Range,8-16 Left,12.9,Missed,,,,,,,,,,,,,,,,,,
14,PT10M32.00S,2024-12-07T00:12:57.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612755,4,3,2024-12-07T00:13:01Z,140000,False,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,Mid-Range,8-16 Left,,,,,,,13.0,,,,,,,,,,,,,
15,PT10M32.00S,2024-12-07T00:13:01.3Z,1,REGULAR,foul,personal,[],1629048,,,1610612755,4,3,2024-12-07T00:13:21Z,150000,False,,,0,,G. Bitadze loose ball personal FOUL (1 PF),"[1629048, 203083]",1610612753.0,ORL,loose ball,,,Bitadze,G. Bitadze,,,,,Restricted Area,0-8 Center,,,,,,,,200834.0,1.0,0.0,Drummond,203083.0,,,,,,,,
17,PT10M27.00S,2024-12-07T00:13:24.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],202331,24.129434954007884,10.294117647058822,1610612755,4,3,2024-12-07T00:13:28Z,170000,False,199.0,174.0,1,left,MISS P. George 26' 3PT,[202331],1610612755.0,PHI,,,,George,P. George,,,,,Above the Break 3,24+ Right Center,26.42,Missed,,,,,,,,,,,,,,,,,,
18,PT10M23.00S,2024-12-07T00:13:27.9Z,1,REGULAR,rebound,defensive,[],1629048,,,1610612753,4,3,2024-12-07T00:13:27Z,180000,False,,,0,,G. Bitadze REBOUND (Off:0 Def:1),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,Above the Break 3,24+ Right Center,,,,,,,17.0,,,,,,1.0,1.0,0.0,,,,,
19,PT10M05.00S,2024-12-07T00:13:46.0Z,1,REGULAR,2pt,Jump Shot,[],1630532,81.8166885676741,21.813725490196077,1610612753,4,3,2024-12-07T00:13:51Z,190000,False,-141.0,118.0,1,right,MISS F. Wagner 18' turnaround fadeaway Shot,[1630532],1610612753.0,ORL,turnaround fadeaway,,,Wagner,F. Wagner,,,,,Mid-Range,16-24 Left Center,18.4,Missed,,,,,,,,,,,,,,,,,,
20,PT10M01.00S,2024-12-07T00:13:50.0Z,1,REGULAR,rebound,defensive,[],1626162,,,1610612755,4,3,2024-12-07T00:13:51Z,200000,False,,,0,,K. Oubre Jr. REBOUND (Off:0 Def:1),[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,Mid-Range,16-24 Left Center,,,,,,,19.0,,,,,,1.0,1.0,0.0,,,,,
21,PT09M53.00S,2024-12-07T00:13:59.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626162,19.136005256241788,43.872549019607845,1610612755,4,3,2024-12-07T00:17:52Z,210000,False,31.0,127.0,1,left,MISS K. Oubre Jr. 13' pullup Shot,[1626162],1610612755.0,PHI,pullup,,,Oubre Jr.,K. Oubre Jr.,,,,,In The Paint (Non-RA),8-16 Center,13.1,Missed,,,,,,,,,,,,,,,,,,
22,PT09M48.00S,2024-12-07T00:14:04.3Z,1,REGULAR,rebound,defensive,[],1629048,,,1610612753,4,3,2024-12-07T00:14:03Z,220000,False,,,0,,G. Bitadze REBOUND (Off:0 Def:2),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,21.0,,,,,,2.0,2.0,0.0,,,,,
23,PT09M42.00S,2024-12-07T00:14:09.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630591,83.13074901445466,42.64705882352941,1610612753,4,5,2024-12-07T00:14:13Z,230000,False,-37.0,106.0,1,right,J. Suggs 11' turnaround fadeaway Jump Shot (2 PTS),[1630591],1610612753.0,ORL,turnaround fadeaway,,,Suggs,J. Suggs,,,,,In The Paint (Non-RA),8-16 Center,11.23,Made,2.0,,,,,,,,,,,,,,,,,
24,PT09M23.00S,2024-12-07T00:14:29.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626162,18.347568988173457,42.15686274509804,1610612755,6,5,2024-12-07T00:14:32Z,240000,False,39.0,120.0,1,left,K. Oubre Jr. 12' pullup Jump Shot (2 PTS),[1626162],1610612755.0,PHI,pullup,,,Oubre Jr.,K. Oubre Jr.,,,,,In The Paint (Non-RA),8-16 Center,12.62,Made,2.0,,,,,,,,,,,,,,,,,
25,PT09M08.00S,2024-12-07T00:14:42.7Z,1,REGULAR,3pt,Jump Shot,[],1628976,87.72996057818659,97.05882352941177,1610612753,6,5,2024-12-07T00:14:46Z,250000,False,235.0,63.0,1,right,MISS W. Carter Jr. 24' 3PT,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Right Corner 3,24+ Right,24.35,Missed,,,,,,,,,,,,,,,,,,
26,PT09M06.00S,2024-12-07T00:14:44.7Z,1,REGULAR,rebound,defensive,[],1626162,,,1610612755,6,5,2024-12-07T00:14:46Z,260000,False,,,0,,K. Oubre Jr. REBOUND (Off:0 Def:2),[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,Right Corner 3,24+ Right,,,,,,,25.0,,,,,,2.0,2.0,0.0,,,,,
