actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-11-13T00:36:43.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-13T00:36:43Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2024-11-13T00:36:45.8Z,1,REGULAR,jumpball,recovered,[],1626162,,,1610612755,0,0,2024-11-13T00:36:45Z,40000,False,,,0,,Jump Ball J. Embiid vs. K. Towns: Tip to K. Oubre Jr.,"[1626162, 203954, 1626157]",1610612755.0,PHI,startperiod,K. Oubre Jr.,1626162.0,Oubre Jr.,K. Oubre Jr.,Embiid,203954.0,Towns,1626157.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2024-11-13T00:37:15.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202331,6.389618922470433,43.872549019607845,1610612755,2,0,2024-11-13T00:37:48Z,80000,False,31.0,8.0,1,left,P. George cutting Layup (2 PTS) (J. Embiid 1 AST),"[202331, 203954]",1610612755.0,PHI,cutting,,,George,P. George,,,,,Restricted Area,0-8 Center,3.15,Made,2.0,J. Embiid,203954.0,1.0,,,,,,,,,,,,,,
10,PT11M18.00S,2024-11-13T00:37:42.3Z,1,REGULAR,3pt,Jump Shot,[],1626157,71.17279894875165,16.666666666666664,1610612752,2,3,2024-11-13T00:37:45Z,100000,False,-167.0,218.0,1,right,K. Towns 27' 3PT  (3 PTS) (M. Bridges 1 AST),"[1626157, 1628969]",1610612752.0,NYK,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Left Center,27.48,Made,3.0,M. Bridges,1628969.0,1.0,,,,,,,,,,,,,,
13,PT11M06.00S,2024-11-13T00:38:12.7Z,1,REGULAR,3pt,Jump Shot,[],200768,30.56833114323259,25.49019607843137,1610612755,2,3,2024-11-13T00:38:16Z,130000,False,123.0,235.0,1,left,MISS K. Lowry 26' 3PT,[200768],1610612755.0,PHI,,,,Lowry,K. Lowry,,,,,Above the Break 3,24+ Right Center,26.48,Missed,,,,,,,,,,,,,,,,,,
14,PT11M04.00S,2024-11-13T00:38:14.7Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612752,2,3,2024-11-13T00:38:16Z,140000,False,,,0,,K. Towns REBOUND (Off:0 Def:1),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Right Center,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,
15,PT10M59.00S,2024-11-13T00:38:20.4Z,1,REGULAR,3pt,Jump Shot,[],1626157,66.44218134034165,29.166666666666668,1610612752,2,6,2024-11-13T00:39:43Z,150000,False,-104.0,263.0,1,right,K. Towns 28' 3PT  (6 PTS) (J. Hart 1 AST),"[1626157, 1628404]",1610612752.0,NYK,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Left Center,28.28,Made,6.0,J. Hart,1628404.0,1.0,,,,,,,,,,,,,,
17,PT10M40.00S,2024-11-13T00:38:41.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],200768,8.229303547963205,49.01960784313725,1610612755,4,6,2024-11-13T00:40:14Z,170000,False,5.0,25.0,1,left,K. Lowry driving finger roll Layup (2 PTS),[200768],1610612755.0,PHI,driving finger roll,,,Lowry,K. Lowry,,,,,Restricted Area,0-8 Center,2.54,Made,2.0,,,,,,,,,,,,,,,,,
18,PT10M21.00S,2024-11-13T00:38:58.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628969,93.64323258869908,49.26470588235294,1610612752,4,8,2024-11-13T00:39:04Z,180000,False,-4.0,7.0,1,right,M. Bridges cutting finger roll Layup (2 PTS) (K. Towns 1 AST),"[1628969, 1626157]",1610612752.0,NYK,cutting finger roll,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,0.82,Made,2.0,K. Towns,1626157.0,1.0,,,,,,,,,,,,,,
20,PT10M03.00S,2024-11-13T00:39:15.5Z,1,REGULAR,3pt,Jump Shot,[],203954,30.17411300919842,24.509803921568626,1610612755,4,8,2024-11-13T00:39:20Z,200000,False,127.0,231.0,1,left,MISS J. Embiid 26' pullup 3PT,[203954],1610612755.0,PHI,pullup,,,Embiid,J. Embiid,,,,,Above the Break 3,24+ Right Center,26.39,Missed,,,,,,,,,,,,,,,,,,
21,PT10M01.00S,2024-11-13T00:39:17.5Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612752,4,8,2024-11-13T00:39:20Z,210000,False,,,0,,J. Hart REBOUND (Off:0 Def:1),[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,Above the Break 3,24+ Right Center,,,,,,,20.0,1.0,1.0,0.0,,,,,,,,,,
22,PT09M53.00S,2024-11-13T00:39:25.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628973,88.91261498028909,49.26470588235294,1610612752,4,8,2024-11-13T00:39:31Z,220000,False,-4.0,52.0,1,right,MISS J. Brunson driving finger roll Layup - blocked,"[1628973, 1626162]",1610612752.0,NYK,driving finger roll,,,Brunson,J. Brunson,,,,,In The Paint (Non-RA),0-8 Center,5.18,Missed,,,,,,,,,Oubre Jr.,1626162.0,,,,,,,,
23,PT09M53.00S,2024-11-13T00:39:25.9Z,1,REGULAR,block,,[],1626162,,,1610612752,4,8,2024-11-13T00:39:29Z,230000,False,,,0,,K. Oubre Jr. BLOCK (1 BLK),[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
24,PT09M49.00S,2024-11-13T00:39:29.9Z,1,REGULAR,rebound,defensive,[],202331,,,1610612755,4,8,2024-11-13T00:39:31Z,240000,False,,,0,,P. George REBOUND (Off:0 Def:1),[202331],1610612755.0,PHI,,,,George,P. George,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,,,
25,PT09M49.00S,2024-11-13T00:39:32.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1626162,29.77989487516426,73.2843137254902,1610612755,4,8,2024-11-13T00:41:46Z,250000,False,-116.0,227.0,1,left,MISS K. Oubre Jr. 25' running 3PT,[1626162],1610612755.0,PHI,running,,,Oubre Jr.,K. Oubre Jr.,,,,,Above the Break 3,24+ Left Center,25.55,Missed,,,,,,,,,,,,,,,,,,
26,PT09M47.00S,2024-11-13T00:39:34.9Z,1,REGULAR,rebound,offensive,[],202331,,,1610612755,4,8,2024-11-13T00:41:46Z,260000,False,,,0,,P. George REBOUND (Off:1 Def:1),[202331],1610612755.0,PHI,,,,George,P. George,,,,,Above the Break 3,24+ Left Center,,,,,,,25.0,2.0,1.0,1.0,,,,,,,,,,
27,PT09M44.00S,2024-11-13T00:39:36.9Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],202331,4.418528252299605,77.45098039215686,1610612755,6,8,2024-11-13T00:41:58Z,270000,False,-137.0,-11.0,1,left,P. George 13' turnaround fadeaway Jump Shot (4 PTS),[202331],1610612755.0,PHI,turnaround fadeaway,,,George,P. George,,,,,Mid-Range,8-16 Left,13.77,Made,4.0,,,,,,,,,,,,,,,,,
28,PT09M17.00S,2024-11-13T00:40:02.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628384,86.81011826544021,63.970588235294116,1610612752,6,8,2024-11-13T00:40:07Z,280000,False,70.0,71.0,1,right,MISS O. Anunoby 10' fadeaway Shot,[1628384],1610612752.0,NYK,fadeaway,,,Anunoby,O. Anunoby,,,,,In The Paint (Non-RA),8-16 Right,10.0,Missed,,,,,,,,,,,,,,,,,,
29,PT09M15.00S,2024-11-13T00:40:04.0Z,1,REGULAR,rebound,defensive,[],1626162,,,1610612755,6,8,2024-11-13T00:40:07Z,290000,False,,,0,,K. Oubre Jr. REBOUND (Off:0 Def:1),[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,28.0,1.0,1.0,0.0,,,,,,,,,,
30,PT09M07.00S,2024-11-13T00:40:12.1Z,1,REGULAR,2pt,Jump Shot,[],203954,14.273981603153747,24.754901960784316,1610612755,6,8,2024-11-13T00:40:15Z,300000,False,126.0,82.0,1,left,MISS J. Embiid 15' pullup Shot,[203954],1610612755.0,PHI,pullup,,,Embiid,J. Embiid,,,,,Mid-Range,8-16 Right,15.03,Missed,,,,,,,,,,,,,,,,,,
31,PT09M04.00S,2024-11-13T00:40:15.1Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612752,6,8,2024-11-13T00:40:15Z,310000,False,,,0,,J. Hart REBOUND (Off:0 Def:2),[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,Mid-Range,8-16 Right,,,,,,,30.0,2.0,2.0,0.0,,,,,,,,,,
32,PT08M55.00S,2024-11-13T00:40:23.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626157,84.05059132720105,39.21568627450981,1610612752,6,10,2024-11-13T00:40:28Z,320000,False,-54.0,97.0,1,right,K. Towns 11' driving floating Jump Shot (8 PTS) (J. Brunson 1 AST),"[1626157, 1628973]",1610612752.0,NYK,driving floating,,,Towns,K. Towns,,,,,In The Paint (Non-RA),8-16 Center,11.13,Made,8.0,J. Brunson,1628973.0,1.0,,,,,,,,,,,,,,
34,PT08M38.00S,2024-11-13T00:40:41.0Z,1,REGULAR,3pt,Jump Shot,[],1628997,3.3672798948751645,95.83333333333334,1610612755,6,10,2024-11-13T00:40:45Z,340000,False,-229.0,-21.0,1,left,MISS C. Martin 3PT - blocked,"[1628997, 1628384]",1610612755.0,PHI,,,,Martin,C. Martin,,,,,Left Corner 3,24+ Left,23.01,Missed,,,,,,,,,Anunoby,1628384.0,,,,,,,,
53,PT08M38.00S,2024-11-13T00:40:41.0Z,1,REGULAR,block,,[],1628384,,,1610612755,6,10,2024-11-13T00:45:30Z,345000,False,,,0,,O. Anunoby BLOCK (1 BLK),[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,,,,,,,,,
35,PT08M35.00S,2024-11-13T00:40:44.0Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612752,6,10,2024-11-13T00:40:45Z,350000,False,,,0,,K. Towns REBOUND (Off:0 Def:2),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Left Corner 3,24+ Left,,,,,,,34.0,2.0,2.0,0.0,,,,,,,,,,
36,PT08M31.00S,2024-11-13T00:40:48.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628973,69.59592641261499,14.460784313725492,1610612752,6,10,2024-11-13T00:40:54Z,360000,False,-178.0,233.0,1,right,MISS J. Brunson 29' running 3PT,[1628973],1610612752.0,NYK,running,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Left Center,29.33,Missed,,,,,,,,,,,,,,,,,,
37,PT08M27.00S,2024-11-13T00:40:52.7Z,1,REGULAR,rebound,defensive,[],1626162,,,1610612755,6,10,2024-11-13T00:40:54Z,370000,False,,,0,,K. Oubre Jr. REBOUND (Off:0 Def:2),[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,,36.0,2.0,2.0,0.0,,,,,,,,,,
38,PT08M05.00S,2024-11-13T00:41:18.1Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612755,6,10,2024-11-13T00:41:25Z,380000,False,,,0,,PHI shot clock Team TURNOVER,[],1610612755.0,PHI,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,2003.0,,,,,,,
39,PT07M46.00S,2024-11-13T00:41:47.9Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628384,89.43823915900131,20.34313725490196,1610612752,6,12,2024-11-13T00:41:53Z,390000,False,-148.0,47.0,1,right,O. Anunoby 15' pullup Jump Shot (2 PTS) (J. Brunson 2 AST),"[1628384, 1628973]",1610612752.0,NYK,pullup,,,Anunoby,O. Anunoby,,,,,Mid-Range,8-16 Left,15.55,Made,2.0,J. Brunson,1628973.0,2.0,,,,,,,,,,,,,,
41,PT07M22.00S,2024-11-13T00:42:15.2Z,1,REGULAR,turnover,out-of-bounds,[],203954,,,1610612755,6,12,2024-11-13T00:42:20Z,410000,False,,,0,,J. Embiid lost ball out-of-bounds TURNOVER (1 TO),[203954],1610612755.0,PHI,lost ball,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,203592.0,1.0,,,,,,
42,PT07M11.00S,2024-11-13T00:42:32.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628384,91.40932982917214,48.77450980392157,1610612752,6,12,2024-11-13T00:47:29Z,420000,False,-6.0,28.0,1,right,MISS O. Anunoby Layup - blocked,"[1628384, 202331]",1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,Restricted Area,0-8 Center,2.89,Missed,,,,,,,,,George,202331.0,,,,,,,,
43,PT07M11.00S,2024-11-13T00:42:32.3Z,1,REGULAR,block,,[],202331,,,1610612752,6,12,2024-11-13T00:42:35Z,430000,False,,,0,,P. George BLOCK (1 BLK),[202331],1610612755.0,PHI,,,,George,P. George,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
44,PT07M11.00S,2024-11-13T00:42:32.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612752,6,12,2024-11-13T00:47:29Z,440000,False,,,0,,TEAM offensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,42.0,,,,,,,,,,,,,
