actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-01-11T00:11:03.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-11T00:11:03Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-01-11T00:11:07.0Z,1,REGULAR,jumpball,recovered,[],1629750,,,1610612740,0,0,2025-01-11T00:11:07Z,40000,False,,,0,,Jump Ball Y. Missi vs. G. Yabusele: Tip to J. Green,"[1629750, 1642274, 1627824]",1610612740.0,NOP,startperiod,J. Green,1629750.0,Green,J. Green,Missi,1642274.0,Yabusele,1627824.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2025-01-11T00:11:38.7Z,1,REGULAR,turnover,traveling,[],1642274,,,1610612740,0,0,2025-01-11T00:12:20Z,80000,False,,,0,,Y. Missi traveling TURNOVER (1 TO),[1642274],1610612740.0,NOP,,,,Missi,Y. Missi,,,,,Mid-Range,8-16 Left,1193.0,1.0,,,,,,,,,,,,,,,,,,
9,PT11M17.00S,2025-01-11T00:12:03.7Z,1,REGULAR,turnover,out-of-bounds,[],1627824,,,1610612755,0,0,2025-01-11T00:12:16Z,90000,False,,,0,,G. Yabusele bad pass out-of-bounds TURNOVER (1 TO),[1627824],1610612755.0,PHI,bad pass,,,Yabusele,G. Yabusele,,,,,Restricted Area,0-8 Center,202027.0,1.0,,,,,,,,,,,,,,,,,,
10,PT10M58.00S,2025-01-11T00:12:27.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627749,72.32260183968462,15.686274509803923,1610612740,0,0,2025-01-11T00:12:35Z,100000,False,-172.0,208.0,1,right,MISS D. Murray 26' 3PT,[1627749],1610612740.0,NOP,,,,Murray,D. Murray,,,,,Above the Break 3,24+ Left Center,,,26.94,Missed,,,,,,,,,,,,,,,,
11,PT10M55.00S,2025-01-11T00:12:30.3Z,1,REGULAR,rebound,defensive,[],1627824,,,1610612755,0,0,2025-01-11T00:12:35Z,110000,False,,,0,,G. Yabusele REBOUND (Off:0 Def:1),[1627824],1610612755.0,PHI,,,,Yabusele,G. Yabusele,,,,,Above the Break 3,24+ Left Center,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,
12,PT10M48.00S,2025-01-11T00:12:38.7Z,1,REGULAR,3pt,Jump Shot,[],1630178,30.535479632063073,82.35294117647058,1610612755,0,0,2025-01-11T00:12:43Z,120000,False,-162.0,235.0,1,left,MISS T. Maxey 28' pullup 3PT,[1630178],1610612755.0,PHI,pullup,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Left Center,,,28.49,Missed,,,,,,,,,,,,,,,,
13,PT10M44.00S,2025-01-11T00:12:42.7Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612740,0,0,2025-01-11T00:12:43Z,130000,False,,,0,,D. Murray REBOUND (Off:0 Def:1),[1627749],1610612740.0,NOP,,,,Murray,D. Murray,,,,,Above the Break 3,24+ Left Center,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,
14,PT10M25.00S,2025-01-11T00:13:02.2Z,1,REGULAR,3pt,Jump Shot,[],1627749,70.08869908015768,24.75490196078431,1610612740,0,0,2025-01-11T00:13:06Z,140000,False,-126.0,229.0,1,right,MISS D. Murray 26' 3PT,[1627749],1610612740.0,NOP,,,,Murray,D. Murray,,,,,Above the Break 3,24+ Left Center,,,26.12,Missed,,,,,,,,,,,,,,,,
15,PT10M21.00S,2025-01-11T00:13:06.2Z,1,REGULAR,rebound,defensive,[],202331,,,1610612755,0,0,2025-01-11T00:13:06Z,150000,False,,,0,,P. George REBOUND (Off:0 Def:1),[202331],1610612755.0,PHI,,,,George,P. George,,,,,Above the Break 3,24+ Left Center,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,
