actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2024-12-05T00:41:03.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-12-05T00:41:03Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2024-12-05T00:41:07.9Z,1,REGULAR,jumpball,recovered,[],1630532,,,1610612753,0,0,2024-12-05T00:41:07Z,40000,False,,,0,,Jump Ball G. Bitadze vs. G. Yabusele: Tip to F. Wagner,"[1630532, 1629048, 1627824]",1610612753.0,ORL,startperiod,F. Wagner,1630532.0,Wagner,F. Wagner,Bitadze,1629048.0,Yabusele,1627824.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2024-12-05T00:41:25.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630532,88.25558475689881,43.627450980392155,1610612753,0,0,2024-12-05T00:41:59Z,70000,False,-32.0,58.0,1,right,MISS F. Wagner 6' driving floating Shot,[1630532],1610612753.0,ORL,driving floating,,,Wagner,F. Wagner,,,,,In The Paint (Non-RA),0-8 Center,6.61,Missed,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2024-12-05T00:41:27.5Z,1,REGULAR,rebound,offensive,[],1629048,,,1610612753,0,0,2024-12-05T00:41:59Z,80000,False,,,0,,G. Bitadze REBOUND (Off:1 Def:0),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,In The Paint (Non-RA),0-8 Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M22.00S,2024-12-05T00:41:41.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630591,95.48291721419186,36.51960784313725,1610612753,0,0,2024-12-05T00:41:52Z,90000,False,-67.0,-10.0,1,right,MISS J. Suggs 6' pullup Shot,[1630591],1610612753.0,ORL,pullup,,,Suggs,J. Suggs,,,,,In The Paint (Non-RA),0-8 Center,6.81,Missed,,,,,,,,,,,,,,,,,,
10,PT11M22.00S,2024-12-05T00:41:51.0Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612753,0,0,2024-12-05T00:41:51Z,100000,False,,,0,,TEAM offensive REBOUND,[],1610612753.0,ORL,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,9.0,,,,,,,,,,,,,,,,,
11,PT11M22.00S,2024-12-05T00:41:51.8Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612753,0,0,2024-12-05T00:41:58Z,110000,False,,,0,,ORL shot clock Team TURNOVER,[],1610612753.0,ORL,,,,,,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,204058.0,,,,,,,,,,,,,
12,PT11M09.00S,2024-12-05T00:42:06.6Z,1,REGULAR,turnover,bad pass,[],1642272,,,1610612755,0,0,2024-12-05T00:42:11Z,120000,False,,,0,,J. McCain bad pass TURNOVER (1 TO),"[1642272, 1630591]",1610612755.0,PHI,,,,McCain,J. McCain,,,,,Mid-Range,16-24 Right Center,,,,,,,,1.0,Suggs,1630591.0,,,,,,,,,,
13,PT11M09.00S,2024-12-05T00:42:06.6Z,1,REGULAR,steal,,[],1630591,,,1610612753,0,0,2024-12-05T00:42:09Z,130000,False,,,0,,J. Suggs STEAL (1 STL),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
14,PT11M06.00S,2024-12-05T00:42:10.7Z,1,REGULAR,turnover,bad pass,[],1630591,,,1610612753,0,0,2024-12-05T00:42:14Z,140000,False,,,0,,J. Suggs bad pass TURNOVER (1 TO),"[1630591, 1630178]",1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Above the Break 3,24+ Left Center,,,,,,,,1.0,Maxey,1630178.0,,,,,,,,,,
15,PT11M06.00S,2024-12-05T00:42:10.7Z,1,REGULAR,steal,,[],1630178,,,1610612755,0,0,2024-12-05T00:42:12Z,150000,False,,,0,,T. Maxey STEAL (1 STL),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
