actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-01-07T00:10:58.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-07T00:10:58Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-01-07T00:11:01.9Z,1,REGULAR,jumpball,recovered,[],1628997,,,1610612755,0,0,2025-01-07T00:11:01Z,40000,False,,,0,,Jump Ball G. Yabusele vs. M. Plumlee: Tip to C. Martin,"[1628997, 1627824, 203486]",1610612755.0,PHI,startperiod,C. Martin,1628997.0,Martin,C. Martin,Yabusele,1627824.0,Plumlee,203486.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M49.00S,2025-01-07T00:11:09.0Z,1,REGULAR,turnover,lost ball,[],1630178,,,1610612755,0,0,2025-01-07T00:11:17Z,70000,False,,,0,,T. Maxey lost ball TURNOVER (1 TO),"[1630178, 1626145]",1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Right Center,1.0,Jones,1626145.0,,,,,,,,,,,,,,,,,
8,PT11M49.00S,2025-01-07T00:11:09.0Z,1,REGULAR,steal,,[],1626145,,,1610612756,0,0,2025-01-07T00:11:12Z,80000,False,,,0,,T. Jones STEAL (1 STL),[1626145],1610612756.0,PHX,,,,Jones,T. Jones,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
9,PT11M31.00S,2025-01-07T00:11:26.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],201142,89.01116951379764,97.54901960784314,1610612756,0,3,2025-01-07T00:11:31Z,90000,False,238.0,51.0,1,right,K. Durant 24' 3PT  (3 PTS) (D. Booker 1 AST),"[201142, 1626164]",1610612756.0,PHX,,,,Durant,K. Durant,,,,,Right Corner 3,24+ Right,,,,24.31,Made,3.0,D. Booker,1626164.0,1.0,,,,,,,,,,,
11,PT11M11.00S,2025-01-07T00:11:46.0Z,1,REGULAR,3pt,Jump Shot,[],1627824,26.330486202365307,88.72549019607843,1610612755,3,3,2025-01-07T00:11:57Z,110000,False,-194.0,195.0,1,left,G. Yabusele 27' 3PT  (3 PTS) (P. George 1 AST),"[1627824, 202331]",1610612755.0,PHI,,,,Yabusele,G. Yabusele,,,,,Above the Break 3,24+ Left Center,,,,27.48,Made,3.0,P. George,202331.0,1.0,,,,,,,,,,,
13,PT10M43.00S,2025-01-07T00:12:14.2Z,1,REGULAR,3pt,Jump Shot,[],1626145,75.73915900131406,10.539215686274503,1610612756,3,3,2025-01-07T00:12:18Z,130000,False,-197.0,176.0,1,right,MISS T. Jones 26' 3PT,[1626145],1610612756.0,PHX,,,,Jones,T. Jones,,,,,Above the Break 3,24+ Left Center,,,,26.41,Missed,,,,,,,,,,,,,,,
14,PT10M40.00S,2025-01-07T00:12:17.2Z,1,REGULAR,rebound,defensive,[],1627824,,,1610612755,3,3,2025-01-07T00:12:18Z,140000,False,,,0,,G. Yabusele REBOUND (Off:0 Def:1),[1627824],1610612755.0,PHI,,,,Yabusele,G. Yabusele,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,
15,PT10M24.00S,2025-01-07T00:12:33.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626162,15.949408672798953,56.372549019607845,1610612755,5,3,2025-01-07T00:12:37Z,150000,False,-32.0,97.0,1,left,K. Oubre Jr. 10' pullup Jump Shot (2 PTS),[1626162],1610612755.0,PHI,pullup,,,Oubre Jr.,K. Oubre Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,10.25,Made,2.0,,,,,,,,,,,,,,
16,PT10M01.00S,2025-01-07T00:12:56.4Z,1,REGULAR,3pt,Jump Shot,[],1626145,87.82851511169514,4.901960784313729,1610612756,5,3,2025-01-07T00:13:00Z,160000,False,-225.0,62.0,1,right,MISS T. Jones 3PT,[1626145],1610612756.0,PHX,,,,Jones,T. Jones,,,,,Left Corner 3,24+ Left,,,,23.38,Missed,,,,,,,,,,,,,,,
