actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-02-02T23:10:58.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-02-02T23:10:58Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-02-02T23:11:02.2Z,1,REGULAR,jumpball,recovered,[],201950,,,1610612738,0,0,2025-02-02T23:11:02Z,40000,False,,,0,,Jump Ball K. Porziņģis vs. G. Yabusele: Tip to J. Holiday,"[201950, 204001, 1627824]",1610612738.0,BOS,startperiod,J. Holiday,201950.0,Holiday,J. Holiday,Porziņģis,204001.0,Yabusele,1627824.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M51.00S,2025-02-02T23:11:06.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,92.72339027595268,56.372549019607845,1610612738,0,0,2025-02-02T23:12:19Z,70000,False,32.0,16.0,1,right,MISS J. Brown driving Layup,[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,3.56,Missed,,,,,,,,,,,,,,,,,,
8,PT11M49.00S,2025-02-02T23:11:08.4Z,1,REGULAR,rebound,defensive,[],1641741,,,1610612755,0,0,2025-02-02T23:11:11Z,80000,False,,,0,,R. Council IV REBOUND (Off:0 Def:1),[1641741],1610612755.0,PHI,,,,Council IV,R. Council IV,,,,,Restricted Area,0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M29.00S,2025-02-02T23:11:27.8Z,1,REGULAR,3pt,Jump Shot,[],1627824,5.995400788436268,2.450980392156863,1610612755,0,0,2025-02-02T23:11:32Z,90000,False,238.0,4.0,1,left,MISS G. Yabusele 3PT,[1627824],1610612755.0,PHI,,,,Yabusele,G. Yabusele,,,,,Right Corner 3,24+ Right,23.77,Missed,,,,,,,,,,,,,,,,,,
10,PT11M26.00S,2025-02-02T23:11:30.8Z,1,REGULAR,rebound,defensive,[],201950,,,1610612738,0,0,2025-02-02T23:11:32Z,100000,False,,,0,,J. Holiday REBOUND (Off:0 Def:1),[201950],1610612738.0,BOS,,,,Holiday,J. Holiday,,,,,Right Corner 3,24+ Right,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M14.00S,2025-02-02T23:11:46.1Z,1,REGULAR,foul,personal,['2freethrow'],1630178,,,1610612738,0,0,2025-02-02T23:11:52Z,110000,False,,,0,,T. Maxey shooting personal FOUL (1 PF) (Tatum 2 FT),"[1630178, 1628369]",1610612755.0,PHI,shooting,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,,,,,,,1628171.0,1.0,0.0,Tatum,1628369.0,,,,,,,,,
13,PT11M14.00S,2025-02-02T23:12:13.3Z,1,REGULAR,freethrow,1 of 2,[],1628369,,,1610612738,0,1,2025-02-02T23:12:13Z,130000,False,,,0,,J. Tatum Free Throw 1 of 2 (1 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,Made,,,,,,,,,,1.0,,,,,,,,
14,PT11M14.00S,2025-02-02T23:12:29.4Z,1,REGULAR,freethrow,2 of 2,[],1628369,,,1610612738,0,2,2025-02-02T23:12:29Z,140000,False,,,0,,J. Tatum Free Throw 2 of 2 (2 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,Made,,,,,,,,,,2.0,,,,,,,,
15,PT10M57.00S,2025-02-02T23:12:47.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630178,12.828515111695138,37.00980392156863,1610612755,0,2,2025-02-02T23:12:53Z,150000,False,65.0,68.0,1,left,MISS T. Maxey 9' driving floating Shot,[1630178],1610612755.0,PHI,driving floating,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),8-16 Right,9.41,Missed,,,,,,,,,,,,,,,,,,
