actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-10-30T23:11:46.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-10-30T23:11:46Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2024-10-30T23:11:50.6Z,1,REGULAR,jumpball,recovered,[],200768,,,1610612755,0,0,2024-10-30T23:11:50Z,40000,False,,,0,,Jump Ball A. Drummond vs. J. Duren: Tip to K. Lowry,"[200768, 203083, 1631105]",1610612755.0,PHI,startperiod,K. Lowry,200768.0,Lowry,K. Lowry,Drummond,203083.0,Duren,1631105.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2024-10-30T23:12:04.6Z,1,REGULAR,foul,offensive,[],1628997,,,1610612755,0,0,2024-10-30T23:12:16Z,70000,False,,,0,,C. Martin charge offensive FOUL (1 PF),"[1628997, 203501]",1610612755.0,PHI,charge,,,Martin,C. Martin,,,,,Restricted Area,0-8 Center,202058.0,1.0,0.0,Hardaway Jr.,203501.0,,,,,,,,,,,,,,,
9,PT11M44.00S,2024-10-30T23:12:04.6Z,1,REGULAR,turnover,offensive foul,[],1628997,,,1610612755,0,0,2024-10-30T23:12:04Z,90000,False,,,0,,C. Martin offensive foul TURNOVER (1 TO),[1628997],1610612755.0,PHI,,,,Martin,C. Martin,,,,,Restricted Area,0-8 Center,202058.0,,,,,1.0,,,,,,,,,,,,,,
10,PT11M25.00S,2024-10-30T23:12:36.0Z,1,REGULAR,foul,personal,['2freethrow'],200768,,,1610612765,0,0,2024-10-30T23:12:48Z,100000,False,,,0,,K. Lowry shooting personal FOUL (1 PF) (Hardaway Jr. 2 FT),"[200768, 203501]",1610612755.0,PHI,shooting,,,Lowry,K. Lowry,,,,,In The Paint (Non-RA),8-16 Center,203593.0,1.0,0.0,Hardaway Jr.,203501.0,,,,,,,,,,,,,,,
12,PT11M25.00S,2024-10-30T23:13:07.1Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],203501,,,1610612765,0,1,2024-10-30T23:13:27Z,120000,False,,,0,,T. Hardaway Jr. Free Throw 1 of 2 (1 PTS),[203501],1610612765.0,DET,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,
13,PT11M25.00S,2024-10-30T23:13:07.1Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],203501,,,1610612765,0,1,2024-10-30T23:13:27Z,130000,False,,,0,,MISS T. Hardaway Jr. Free Throw 2 of 2,[203501],1610612765.0,DET,,,,Hardaway Jr.,T. Hardaway Jr.,,,,,,,,,,,,,Missed,,,,,,,,,,,,,
14,PT11M22.00S,2024-10-30T23:13:10.1Z,1,REGULAR,rebound,offensive,[],1631105,,,1610612765,0,1,2024-10-30T23:13:27Z,140000,False,,,0,,J. Duren REBOUND (Off:1 Def:0),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,,,,,,,,,,,13.0,1.0,0.0,1.0,,,,,,,,
15,PT11M20.00S,2024-10-30T23:13:28.3Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1630595,74.19513797634691,12.990196078431374,1610612765,0,1,2024-10-30T23:13:32Z,150000,False,-185.0,190.0,1,right,MISS C. Cunningham 26' 3PT,[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Above the Break 3,24+ Left Center,,,,,,,Missed,,,,,,26.53,,,,,,,
16,PT11M18.00S,2024-10-30T23:13:30.3Z,1,REGULAR,rebound,defensive,[],1626162,,,1610612755,0,1,2024-10-30T23:13:32Z,160000,False,,,0,,K. Oubre Jr. REBOUND (Off:0 Def:1),[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,
17,PT11M09.00S,2024-10-30T23:13:39.5Z,1,REGULAR,3pt,Jump Shot,[],1630178,27.808804204993432,79.16666666666666,1610612755,0,1,2024-10-30T23:13:44Z,170000,False,-146.0,209.0,1,left,MISS T. Maxey 25' pullup 3PT,[1630178],1610612755.0,PHI,pullup,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Left Center,,,,,,,Missed,,,,,,25.47,,,,,,,
18,PT11M06.00S,2024-10-30T23:13:42.5Z,1,REGULAR,rebound,defensive,[],202699,,,1610612765,0,1,2024-10-30T23:13:44Z,180000,False,,,0,,T. Harris REBOUND (Off:0 Def:1),[202699],1610612765.0,DET,,,,Harris,T. Harris,,,,,Above the Break 3,24+ Left Center,,,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,
19,PT10M58.00S,2024-10-30T23:13:50.0Z,1,REGULAR,3pt,Jump Shot,[],1631093,94.56307490144546,97.79411764705883,1610612765,0,4,2024-10-30T23:13:58Z,190000,False,239.0,-1.0,1,right,J. Ivey 3PT  (3 PTS) (T. Hardaway Jr. 1 AST),"[1631093, 203501]",1610612765.0,DET,,,,Ivey,J. Ivey,,,,,Right Corner 3,24+ Right,,,,,,,Made,3.0,,,,,23.9,T. Hardaway Jr.,203501.0,1.0,,,,
21,PT10M42.00S,2024-10-30T23:14:06.4Z,1,REGULAR,3pt,Jump Shot,[],1626162,8.09789750328515,2.2058823529411766,1610612755,0,4,2024-10-30T23:14:10Z,210000,False,239.0,24.0,1,left,MISS K. Oubre Jr. 24' 3PT,[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,Right Corner 3,24+ Right,,,,,,,Missed,,,,,,24.02,,,,,,,
22,PT10M39.00S,2024-10-30T23:14:09.4Z,1,REGULAR,rebound,defensive,[],1631105,,,1610612765,0,4,2024-10-30T23:14:10Z,220000,False,,,0,,J. Duren REBOUND (Off:1 Def:1),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Right Corner 3,24+ Right,,,,,,,,,21.0,2.0,1.0,1.0,,,,,,,,
23,PT10M31.00S,2024-10-30T23:14:17.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202699,82.60512483574244,43.872549019607845,1610612765,0,4,2024-10-30T23:14:21Z,230000,False,-31.0,111.0,1,right,MISS T. Harris 11' pullup Shot,[202699],1610612765.0,DET,pullup,,,Harris,T. Harris,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,Missed,,,,,,11.51,,,,,,,
24,PT10M28.00S,2024-10-30T23:14:20.0Z,1,REGULAR,rebound,defensive,[],203083,,,1610612755,0,4,2024-10-30T23:18:19Z,240000,False,,,0,,A. Drummond REBOUND (Off:0 Def:1),[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,23.0,1.0,1.0,0.0,,,,,,,,
25,PT10M17.00S,2024-10-30T23:14:34.0Z,1,REGULAR,foul,personal,[],1630595,,,1610612755,0,4,2024-10-30T23:14:40Z,250000,False,,,0,,C. Cunningham personal FOUL (1 PF),"[1630595, 200768]",1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Mid-Range,8-16 Right,203593.0,1.0,0.0,Lowry,200768.0,,,,,,,,,,,,,,,
27,PT10M03.00S,2024-10-30T23:15:11.6Z,1,REGULAR,foul,personal,[],1631105,,,1610612755,0,4,2024-10-30T23:15:18Z,270000,False,,,0,,J. Duren personal FOUL (1 PF),"[1631105, 203083]",1610612765.0,DET,,,,Duren,J. Duren,,,,,In The Paint (Non-RA),0-8 Center,202058.0,1.0,0.0,Drummond,203083.0,,,,,,,,,,,,,,,
29,PT09M52.00S,2024-10-30T23:15:42.1Z,1,REGULAR,3pt,Jump Shot,[],1628997,4.5499342969776615,3.431372549019608,1610612755,0,4,2024-10-30T23:15:46Z,290000,False,233.0,-10.0,1,left,MISS C. Martin 3PT,[1628997],1610612755.0,PHI,,,,Martin,C. Martin,,,,,Right Corner 3,24+ Right,,,,,,,Missed,,,,,,23.3,,,,,,,
30,PT09M50.00S,2024-10-30T23:15:44.1Z,1,REGULAR,rebound,offensive,[],1628997,,,1610612755,0,4,2024-10-30T23:15:46Z,300000,False,,,0,,C. Martin REBOUND (Off:1 Def:0),[1628997],1610612755.0,PHI,,,,Martin,C. Martin,,,,,Right Corner 3,24+ Right,,,,,,,,,29.0,1.0,0.0,1.0,,,,,,,,
31,PT09M47.00S,2024-10-30T23:15:48.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628997,5.863994743758213,3.9215686274509802,1610612755,3,4,2024-10-30T23:15:51Z,310000,False,230.0,3.0,1,left,C. Martin 3PT  (3 PTS) (T. Maxey 1 AST),"[1628997, 1630178]",1610612755.0,PHI,,,,Martin,C. Martin,,,,,Right Corner 3,24+ Right,,,,,,,Made,3.0,,,,,23.04,T. Maxey,1630178.0,1.0,,,,
33,PT09M35.00S,2024-10-30T23:15:59.9Z,1,REGULAR,2pt,Jump Shot,[],1630595,97.05978975032852,20.34313725490196,1610612765,3,4,2024-10-30T23:16:05Z,330000,False,-148.0,-25.0,1,right,MISS C. Cunningham 15' pullup Shot,[1630595],1610612765.0,DET,pullup,,,Cunningham,C. Cunningham,,,,,Mid-Range,8-16 Left,,,,,,,Missed,,,,,,15.04,,,,,,,
34,PT09M30.00S,2024-10-30T23:16:04.9Z,1,REGULAR,rebound,defensive,[],1626162,,,1610612755,3,4,2024-10-30T23:17:44Z,340000,False,,,0,,K. Oubre Jr. REBOUND (Off:0 Def:2),[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,Mid-Range,8-16 Left,,,,,,,,,33.0,2.0,2.0,0.0,,,,,,,,
37,PT09M23.00S,2024-10-30T23:16:12.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1626162,11.383048620236531,49.26470588235294,1610612755,5,4,2024-10-30T23:17:50Z,370000,False,4.0,55.0,1,left,K. Oubre Jr. running pullup Jump Shot (2 PTS),[1626162],1610612755.0,PHI,running pullup,,,Oubre Jr.,K. Oubre Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,Made,2.0,,,,,5.46,,,,,,,
38,PT09M01.00S,2024-10-30T23:16:38.4Z,1,REGULAR,violation,kicked ball,[],1628997,,,1610612765,5,4,2024-10-30T23:16:42Z,380000,False,,,0,,C. Martin kicked ball VIOLATION,[1628997],1610612755.0,PHI,,,,Martin,C. Martin,,,,,,,1627519.0,,,,,,,,,,,,,,,,,,,
