actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-01-15T00:10:31.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-15T00:10:31Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2025-01-15T00:10:35.3Z,1,REGULAR,jumpball,recovered,[],1629652,,,1610612760,0,0,2025-01-15T00:10:35Z,40000,False,,,0,,Jump Ball I. Hartenstein vs. G. Yabusele: Tip to L. Dort,"[1629652, 1628392, 1627824]",1610612760.0,OKC,startperiod,L. Dort,1629652.0,Dort,L. Dort,Hartenstein,1628392.0,Yabusele,1627824.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2025-01-15T00:10:59.3Z,1,REGULAR,turnover,out-of-bounds,[],1641717,,,1610612760,0,0,2025-01-15T00:11:24Z,80000,False,,,0,,C. Wallace bad pass out-of-bounds TURNOVER (1 TO),[1641717],1610612760.0,OKC,bad pass,,,Wallace,C. Wallace,,,,,Above the Break 3,24+ Center,203054.0,1.0,,,,,,,,,,,,,,,,,,
9,PT11M24.00S,2025-01-15T00:11:24.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1626162,8.459264126149804,54.16666666666667,1610612755,0,0,2025-01-15T00:11:32Z,90000,False,-21.0,27.0,1,left,MISS K. Oubre Jr. driving Layup - blocked,"[1626162, 1628983]",1610612755.0,PHI,driving,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,,,3.41,Missed,Gilgeous-Alexander,1628983.0,,,,,,,,,,,,,,
10,PT11M24.00S,2025-01-15T00:11:24.9Z,1,REGULAR,block,,[],1628983,,,1610612755,0,0,2025-01-15T00:11:28Z,100000,False,,,0,,S. Gilgeous-Alexander BLOCK (1 BLK),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M19.00S,2025-01-15T00:11:29.9Z,1,REGULAR,rebound,offensive,[],1626162,,,1610612755,0,0,2025-01-15T00:11:32Z,110000,False,,,0,,K. Oubre Jr. REBOUND (Off:1 Def:0),[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,
12,PT11M18.00S,2025-01-15T00:11:34.1Z,1,REGULAR,turnover,out-of-bounds,[],202704,,,1610612755,0,0,2025-01-15T00:11:39Z,120000,False,,,0,,R. Jackson lost ball out-of-bounds TURNOVER (1 TO),[202704],1610612755.0,PHI,lost ball,,,Jackson,R. Jackson,,,,,Mid-Range,16-24 Left,203054.0,1.0,,,,,,,,,,,,,,,,,,
13,PT11M04.00S,2025-01-15T00:11:56.1Z,1,REGULAR,foul,personal,['2freethrow'],1641741,,,1610612760,0,0,2025-01-15T00:12:03Z,130000,False,,,0,,R. Council IV shooting personal FOUL (1 PF) (Williams 2 FT),"[1641741, 1631114]",1610612755.0,PHI,shooting,,,Council IV,R. Council IV,,,,,In The Paint (Non-RA),0-8 Center,1151.0,,,,,,,,,,1.0,0.0,Williams,1631114.0,,,,,,
15,PT11M04.00S,2025-01-15T00:12:19.1Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1631114,,,1610612760,0,1,2025-01-15T00:12:19Z,150000,False,,,0,,J. Williams Free Throw 1 of 2 (1 PTS),[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,,,,,,Made,,,,,,,,,,,1.0,,,,,
16,PT11M04.00S,2025-01-15T00:12:33.0Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1631114,,,1610612760,0,2,2025-01-15T00:12:33Z,160000,False,,,0,,J. Williams Free Throw 2 of 2 (2 PTS),[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,,,,,,Made,,,,,,,,,,,2.0,,,,,
