actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-02-05T00:10:42.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-02-05T00:10:42Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2025-02-05T00:10:47.2Z,1,REGULAR,jumpball,recovered,[],203957,,,1610612742,0,0,2025-02-05T00:10:47Z,40000,False,,,0,,Jump Ball D. Gafford vs. J. Embiid: Tip to D. Exum,"[203957, 1629655, 203954]",1610612742.0,DAL,startperiod,D. Exum,203957.0,Exum,D. Exum,Gafford,1629655.0,Embiid,203954.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2025-02-05T00:10:54.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203957,92.19776609724047,48.03921568627451,1610612742,0,2,2025-02-05T00:10:59Z,70000,False,-10.0,21.0,1,right,D. Exum driving finger roll Layup (2 PTS),[203957],1610612742.0,DAL,driving finger roll,,,Exum,D. Exum,,,,,Restricted Area,0-8 Center,2.3,Made,2.0,,,,,,,,,,,,,,,,,
9,PT11M21.00S,2025-02-05T00:11:32.6Z,1,REGULAR,2pt,Jump Shot,[],1630178,16.113666228646515,75.98039215686273,1610612755,0,2,2025-02-05T00:11:39Z,90000,False,-130.0,99.0,1,left,MISS T. Maxey 16' fadeaway Shot,[1630178],1610612755.0,PHI,fadeaway,,,Maxey,T. Maxey,,,,,Mid-Range,16-24 Left Center,16.33,Missed,,,,,,,,,,,,,,,,,,
10,PT11M17.00S,2025-02-05T00:11:36.6Z,1,REGULAR,rebound,defensive,[],202691,,,1610612742,0,2,2025-02-05T00:11:39Z,100000,False,,,0,,K. Thompson REBOUND (Off:0 Def:1),[202691],1610612742.0,DAL,,,,Thompson,K. Thompson,,,,,Mid-Range,16-24 Left Center,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,
11,PT10M58.00S,2025-02-05T00:11:56.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202681,86.15308804204993,51.9607843137255,1610612742,0,2,2025-02-05T00:12:00Z,110000,False,10.0,78.0,1,right,MISS K. Irving 7' driving floating Shot,[202681],1610612742.0,DAL,driving floating,,,Irving,K. Irving,,,,,In The Paint (Non-RA),0-8 Center,7.83,Missed,,,,,,,,,,,,,,,,,,
12,PT10M56.00S,2025-02-05T00:11:58.1Z,1,REGULAR,rebound,offensive,[],202681,,,1610612742,0,2,2025-02-05T00:11:58Z,120000,False,,,0,,K. Irving REBOUND (Off:1 Def:0),[202681],1610612742.0,DAL,,,,Irving,K. Irving,,,,,In The Paint (Non-RA),0-8 Center,,,,11.0,1.0,0.0,1.0,,,,,,,,,,,,,
13,PT10M53.00S,2025-02-05T00:12:01.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],202691,94.95729303547962,2.941176470588235,1610612742,0,2,2025-02-05T00:12:08Z,130000,False,-235.0,-5.0,1,right,MISS K. Thompson 3PT,[202691],1610612742.0,DAL,,,,Thompson,K. Thompson,,,,,Left Corner 3,24+ Left,23.54,Missed,,,,,,,,,,,,,,,,,,
14,PT10M46.00S,2025-02-05T00:12:08.2Z,1,REGULAR,rebound,defensive,[],1627824,,,1610612755,0,2,2025-02-05T00:12:08Z,140000,False,,,0,,G. Yabusele REBOUND (Off:0 Def:1),[1627824],1610612755.0,PHI,,,,Yabusele,G. Yabusele,,,,,Left Corner 3,24+ Left,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,
16,PT10M37.00S,2025-02-05T00:12:22.1Z,1,REGULAR,violation,kicked ball,[],202681,,,1610612755,0,2,2025-02-05T00:12:26Z,150000,False,,,0,,K. Irving kicked ball VIOLATION,[202681],1610612742.0,DAL,,,,Irving,K. Irving,,,,,,,,,,,,,,202007.0,,,,,,,,,,,,
