actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-04-13T17:10:28.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-04-13T17:10:28Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-04-13T17:10:32.8Z,1,REGULAR,jumpball,recovered,[],1629632,,,1610612741,0,0,2025-04-13T17:10:32Z,40000,False,,,0,,Jump Ball N. Vučević vs. A. Bona: Tip to C. White,"[1629632, 202696, 1641737]",1610612741.0,CHI,startperiod,C. White,1629632.0,White,C. White,Vučević,202696.0,Bona,1641737.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2025-04-13T17:10:50.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641763,91.50788436268068,45.34313725490197,1610612741,0,0,2025-04-13T17:10:56Z,70000,False,-23.0,27.0,1,right,MISS J. Phillips cutting Layup - blocked,"[1641763, 1630215]",1610612741.0,CHI,cutting,,,Phillips,J. Phillips,,,,,Restricted Area,0-8 Center,3.59,Missed,Butler,1630215.0,,,,,,,,,,,,,,,,
8,PT11M39.00S,2025-04-13T17:10:50.3Z,1,REGULAR,block,,[],1630215,,,1610612741,0,0,2025-04-13T17:10:53Z,80000,False,,,0,,J. Butler BLOCK (1 BLK),[1630215],1610612755.0,PHI,,,,Butler,J. Butler,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M39.00S,2025-04-13T17:10:50.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612741,0,0,2025-04-13T17:10:56Z,90000,False,,,0,,TEAM offensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,Restricted Area,0-8 Center,,,,,7.0,,,,,,,,,,,,,,,
11,PT11M35.00S,2025-04-13T17:11:06.3Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],202696,94.92444152431011,13.970588235294116,1610612741,0,0,2025-04-13T17:11:09Z,110000,False,-180.0,-5.0,1,right,MISS N. Vučević 18' Jump Shot,[202696],1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,Mid-Range,16-24 Left,18.02,Missed,,,,,,,,,,,,,,,,,,
12,PT11M32.00S,2025-04-13T17:11:09.3Z,1,REGULAR,rebound,defensive,[],1629656,,,1610612755,0,0,2025-04-13T17:11:09Z,120000,False,,,0,,Q. Grimes REBOUND (Off:0 Def:1),[1629656],1610612755.0,PHI,,,,Grimes,Q. Grimes,,,,,Mid-Range,16-24 Left,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,
13,PT11M17.00S,2025-04-13T17:11:23.9Z,1,REGULAR,3pt,Jump Shot,[],1629022,28.43298291721419,84.80392156862746,1610612755,3,0,2025-04-13T17:11:28Z,130000,False,-174.0,215.0,1,left,L. Walker IV 27' 3PT  (3 PTS) (J. Butler 1 AST),"[1629022, 1630215]",1610612755.0,PHI,,,,Walker IV,L. Walker IV,,,,,Above the Break 3,24+ Left Center,27.64,Made,,,,,,,3.0,J. Butler,1630215.0,1.0,,,,,,,,
15,PT11M03.00S,2025-04-13T17:11:38.0Z,1,REGULAR,turnover,lost ball,[],1641824,,,1610612741,3,0,2025-04-13T17:11:42Z,150000,False,,,0,,M. Buzelis lost ball TURNOVER (1 TO),"[1641824, 1630542]",1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,1.0,Bagley,1630542.0,,,,,
16,PT11M03.00S,2025-04-13T17:11:38.0Z,1,REGULAR,steal,,[],1630542,,,1610612755,3,0,2025-04-13T17:11:40Z,160000,False,,,0,,M. Bagley STEAL (1 STL),[1630542],1610612755.0,PHI,,,,Bagley,M. Bagley,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
