actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-04-05T23:41:48.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-04-05T23:41:48Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-04-05T23:41:50.6Z,1,REGULAR,jumpball,recovered,[],1628381,,,1610612737,0,0,2023-04-05T23:41:50Z,40000,False,,,0,,Jump Ball C. Capela vs. D. Gafford: Tip to J. Collins,"[1628381, 203991, 1629655]",1610612737.0,ATL,startperiod,J. Collins,1628381.0,Collins,J. Collins,Capela,203991.0,Gafford,1629655.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2023-04-05T23:42:04.1Z,1,REGULAR,3pt,Jump Shot,[],1630180,27.414586070959263,22.058823529411764,1610612737,0,0,2023-04-05T23:42:09Z,70000,False,140.0,205.0,1,left,MISS S. Bey 24' 3PT,[1630180],1610612737.0,ATL,,,,Bey,S. Bey,,,,,Above the Break 3,24+ Right Center,24.82,Missed,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2023-04-05T23:42:07.1Z,1,REGULAR,rebound,defensive,[],1630692,,,1610612764,0,0,2023-04-05T23:42:09Z,80000,False,,,0,,J. Goodwin REBOUND (Off:0 Def:1),[1630692],1610612764.0,WAS,,,,Goodwin,J. Goodwin,,,,,Above the Break 3,24+ Right Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M28.00S,2023-04-05T23:42:20.0Z,1,REGULAR,3pt,Jump Shot,[],1630557,73.01248357424441,17.892156862745097,1610612764,0,0,2023-04-05T23:42:27Z,90000,False,-161.0,201.0,1,right,MISS C. Kispert 25' 3PT,[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,Above the Break 3,24+ Left Center,25.74,Missed,,,,,,,,,,,,,,,,,,
10,PT11M24.00S,2023-04-05T23:42:24.0Z,1,REGULAR,rebound,offensive,[],1629655,,,1610612764,0,0,2023-04-05T23:42:27Z,100000,False,,,0,,D. Gafford REBOUND (Off:1 Def:0),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,Above the Break 3,24+ Left Center,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,
11,PT11M23.00S,2023-04-05T23:42:24.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1629655,84.1819973718791,46.07843137254902,1610612764,0,2,2023-04-05T23:42:31Z,110000,False,-20.0,96.0,1,right,D. Gafford 9' fadeaway Jump Shot (2 PTS),[1629655],1610612764.0,WAS,fadeaway,,,Gafford,D. Gafford,,,,,In The Paint (Non-RA),8-16 Center,9.82,Made,,,,,2.0,,,,,,,,,,,,,
12,PT10M59.00S,2023-04-05T23:42:47.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627749,17.821944809461236,46.81372549019608,1610612737,0,2,2023-04-05T23:42:52Z,120000,False,16.0,115.0,1,left,MISS D. Murray 11' turnaround Shot - blocked,"[1627749, 1630692]",1610612737.0,ATL,turnaround,,,Murray,D. Murray,,,,,In The Paint (Non-RA),8-16 Center,11.61,Missed,,,,,,Goodwin,1630692.0,,,,,,,,,,,
13,PT10M59.00S,2023-04-05T23:42:47.8Z,1,REGULAR,block,,[],1630692,,,1610612737,0,2,2023-04-05T23:42:50Z,130000,False,,,0,,J. Goodwin BLOCK (1 BLK),[1630692],1610612764.0,WAS,,,,Goodwin,J. Goodwin,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
14,PT10M56.00S,2023-04-05T23:42:50.8Z,1,REGULAR,rebound,defensive,[],1630557,,,1610612764,0,2,2023-04-05T23:42:52Z,140000,False,,,0,,C. Kispert REBOUND (Off:0 Def:1),[1630557],1610612764.0,WAS,,,,Kispert,C. Kispert,,,,,In The Paint (Non-RA),8-16 Center,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT10M55.00S,2023-04-05T23:42:53.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630557,94.03745072273325,49.01960784313725,1610612764,0,4,2023-04-05T23:43:04Z,150000,False,-5.0,4.0,1,right,C. Kispert running Layup (2 PTS),[1630557],1610612764.0,WAS,running,,,Kispert,C. Kispert,,,,,Restricted Area,0-8 Center,0.6,Made,,,,,2.0,,,,,,,,,,,,,
