actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2022-11-19T23:10:57.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-19T23:10:57Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-11-19T23:10:59.8Z,1,REGULAR,jumpball,recovered,[],1628381,,,1610612737,0,0,2022-11-19T23:10:59Z,40000,False,,,0,,Jump Ball C. Capela vs. S. Barnes: Tip to J. Collins,"[1628381, 203991, 1630567]",1610612737.0,ATL,startperiod,J. Collins,1628381.0,Collins,J. Collins,Capela,203991.0,Barnes,1630567.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-11-19T23:11:41.8Z,1,REGULAR,jumpball,recovered,[],1629027,,,1610612737,0,0,2022-11-19T23:11:41Z,70000,False,,,0,,Jump Ball D. Murray vs. F. VanVleet: Tip to T. Young,"[1629027, 1627749, 1627832]",1610612737.0,ATL,heldball,T. Young,1629027.0,Young,T. Young,Murray,1627749.0,VanVleet,1627832.0,,,,,,,,,,,,,,,,,,,,,,
10,PT11M34.00S,2022-11-19T23:11:48.9Z,1,REGULAR,3pt,Jump Shot,[],1629631,76.03482260183968,87.5,1610612737,0,0,2022-11-19T23:11:55Z,100000,False,188.0,173.0,1,right,MISS D. Hunter 25' 3PT,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Above the Break 3,24+ Right Center,25.5,Missed,,,,,,,,,,,,,,,,,,
11,PT11M33.00S,2022-11-19T23:11:49.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612761,0,0,2022-11-19T23:11:55Z,110000,False,,,0,,TEAM defensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,Above the Break 3,24+ Right Center,,,10.0,,,,,,,,,,,,,,,,,
13,PT11M20.00S,2022-11-19T23:12:13.3Z,1,REGULAR,3pt,Jump Shot,[],1627823,32.53942181340342,42.15686274509804,1610612761,0,0,2022-11-19T23:12:18Z,130000,False,39.0,253.0,1,left,MISS J. Hernangomez 25' 3PT - blocked,"[1627823, 1629027]",1610612761.0,TOR,,,,Hernangomez,J. Hernangomez,,,,,Above the Break 3,24+ Center,25.64,Missed,,Young,1629027.0,,,,,,,,,,,,,,,
14,PT11M20.00S,2022-11-19T23:12:13.3Z,1,REGULAR,block,,[],1629027,,,1610612761,0,0,2022-11-19T23:12:16Z,140000,False,,,0,,T. Young BLOCK (1 BLK),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
15,PT11M15.00S,2022-11-19T23:12:18.3Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612737,0,0,2022-11-19T23:12:18Z,150000,False,,,0,,J. Collins REBOUND (Off:0 Def:1),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,Above the Break 3,24+ Center,,,13.0,,,1.0,1.0,0.0,,,,,,,,,,,,
16,PT11M14.00S,2022-11-19T23:12:18.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629027,93.38042049934296,49.01960784313725,1610612737,2,0,2022-11-19T23:12:26Z,160000,False,-5.0,10.0,1,right,T. Young running Layup (2 PTS) (J. Collins 1 AST),"[1629027, 1628381]",1610612737.0,ATL,running,,,Young,T. Young,,,,,Restricted Area,0-8 Center,1.09,Made,,,,,,,2.0,J. Collins,1628381.0,1.0,,,,,,,,
18,PT10M55.00S,2022-11-19T23:12:37.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201152,5.601182654402102,51.9607843137255,1610612761,2,0,2022-11-19T23:12:41Z,180000,False,-10.0,0.0,1,left,MISS T. Young Layup - blocked,"[201152, 203991]",1610612761.0,TOR,,,,Young,T. Young,,,,,Restricted Area,0-8 Center,0.98,Missed,,Capela,203991.0,,,,,,,,,,,,,,,
