actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-01-29T00:40:34.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-29T00:40:34Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-01-29T00:40:37.8Z,1,REGULAR,jumpball,recovered,[],202695,,,1610612746,0,0,2023-01-29T00:40:37Z,40000,False,,,0,,Jump Ball I. Zubac vs. C. Capela: Tip to K. Leonard,"[202695, 1627826, 203991]",1610612746.0,LAC,startperiod,K. Leonard,202695.0,Leonard,K. Leonard,Zubac,1627826.0,Capela,203991.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2023-01-29T00:41:02.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202695,81.15965834428384,49.01960784313725,1610612746,0,2,2023-01-29T00:41:08Z,80000,False,-5.0,125.0,1,right,K. Leonard 12' turnaround fadeaway Jump Shot (2 PTS),[202695],1610612746.0,LAC,turnaround fadeaway,,,Leonard,K. Leonard,,,,,In The Paint (Non-RA),8-16 Center,12.47,Made,2.0,,,,,,,,,,,,,,,,,
9,PT11M21.00S,2023-01-29T00:41:20.3Z,1,REGULAR,2pt,Jump Shot,[],1629027,25.969119579500656,57.107843137254896,1610612737,2,2,2023-01-29T00:41:24Z,90000,False,-36.0,192.0,1,left,T. Young 19' pullup Jump Shot (2 PTS),[1629027],1610612737.0,ATL,pullup,,,Young,T. Young,,,,,Mid-Range,16-24 Center,19.49,Made,2.0,,,,,,,,,,,,,,,,,
10,PT11M05.00S,2023-01-29T00:41:37.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1627826,92.59198423127464,49.754901960784316,1610612746,2,2,2023-01-29T00:41:42Z,100000,False,-1.0,17.0,1,right,MISS I. Zubac DUNK - blocked,"[1627826, 1627749]",1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,Restricted Area,0-8 Center,1.71,Missed,,Murray,1627749.0,,,,,,,,,,,,,,,
11,PT11M05.00S,2023-01-29T00:41:37.5Z,1,REGULAR,block,,[],1627749,,,1610612746,2,2,2023-01-29T00:41:40Z,110000,False,,,0,,D. Murray BLOCK (1 BLK),[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
12,PT11M01.00S,2023-01-29T00:41:41.5Z,1,REGULAR,rebound,offensive,[],202695,,,1610612746,2,2,2023-01-29T00:41:42Z,120000,False,,,0,,K. Leonard REBOUND (Off:1 Def:0),[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,Restricted Area,0-8 Center,,,,,,10.0,1.0,0.0,1.0,,,,,,,,,,,
13,PT11M00.00S,2023-01-29T00:41:42.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629611,75.3777923784494,87.25490196078431,1610612746,2,2,2023-01-29T00:41:48Z,130000,False,186.0,179.0,1,right,MISS T. Mann 25' 3PT,[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,Above the Break 3,24+ Right Center,25.83,Missed,,,,,,,,,,,,,,,,,,
14,PT10M57.00S,2023-01-29T00:41:45.8Z,1,REGULAR,rebound,defensive,[],1629027,,,1610612737,2,2,2023-01-29T00:41:48Z,140000,False,,,0,,T. Young REBOUND (Off:0 Def:1),[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,Above the Break 3,24+ Right Center,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,
15,PT10M48.00S,2023-01-29T00:41:54.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628381,12.171484888304862,46.07843137254902,1610612737,2,2,2023-01-29T00:44:27Z,150000,False,20.0,62.0,1,left,MISS J. Collins 6' turnaround Hook,[1628381],1610612737.0,ATL,turnaround,,,Collins,J. Collins,,,,,In The Paint (Non-RA),0-8 Center,6.49,Missed,,,,,,,,,,,,,,,,,,
16,PT10M44.00S,2023-01-29T00:41:58.4Z,1,REGULAR,rebound,defensive,[],202331,,,1610612746,2,2,2023-01-29T00:42:01Z,160000,False,,,0,,P. George REBOUND (Off:0 Def:1),[202331],1610612746.0,LAC,,,,George,P. George,,,,,In The Paint (Non-RA),0-8 Center,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,
17,PT10M33.00S,2023-01-29T00:42:10.0Z,1,REGULAR,2pt,Jump Shot,[],202331,73.53810775295663,49.50980392156863,1610612746,2,2,2023-01-29T00:42:15Z,170000,False,-2.0,196.0,1,right,MISS P. George 19' pullup Shot,[202331],1610612746.0,LAC,pullup,,,George,P. George,,,,,Mid-Range,16-24 Center,19.62,Missed,,,,,,,,,,,,,,,,,,
18,PT10M27.00S,2023-01-29T00:42:16.0Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,2,2,2023-01-29T00:42:15Z,180000,False,,,0,,C. Capela REBOUND (Off:0 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Mid-Range,16-24 Center,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,,
19,PT10M19.00S,2023-01-29T00:42:22.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629027,8.886333771353483,59.55882352941176,1610612737,2,2,2023-01-29T00:42:28Z,190000,False,-48.0,31.0,1,left,MISS T. Young driving floating Shot,[1629027],1610612737.0,ATL,driving floating,,,Young,T. Young,,,,,In The Paint (Non-RA),0-8 Center,5.7,Missed,,,,,,,,,,,,,,,,,,
20,PT10M16.00S,2023-01-29T00:42:25.7Z,1,REGULAR,rebound,defensive,[],1628379,,,1610612746,2,2,2023-01-29T00:42:28Z,200000,False,,,0,,L. Kennard REBOUND (Off:0 Def:1),[1628379],1610612746.0,LAC,,,,Kennard,L. Kennard,,,,,In The Paint (Non-RA),0-8 Center,,,,,,19.0,1.0,1.0,0.0,,,,,,,,,,,
21,PT10M10.00S,2023-01-29T00:42:31.1Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1628379,86.15308804204993,82.35294117647058,1610612746,2,2,2023-01-29T00:42:41Z,210000,False,162.0,78.0,1,right,MISS L. Kennard 17' running pullup Shot,[1628379],1610612746.0,LAC,running pullup,,,Kennard,L. Kennard,,,,,Mid-Range,16-24 Right,17.95,Missed,,,,,,,,,,,,,,,,,,
22,PT10M08.00S,2023-01-29T00:42:33.1Z,1,REGULAR,rebound,defensive,[],1629631,,,1610612737,2,2,2023-01-29T00:42:41Z,220000,False,,,0,,D. Hunter REBOUND (Off:0 Def:1),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Mid-Range,16-24 Right,,,,,,21.0,1.0,1.0,0.0,,,,,,,,,,,
23,PT10M00.00S,2023-01-29T00:42:45.2Z,1,REGULAR,foul,personal,['2freethrow'],1628379,,,1610612737,2,2,2023-01-29T00:43:05Z,230000,False,,,0,,L. Kennard shooting personal FOUL (1 PF) (Hunter 2 FT),"[1628379, 1629631]",1610612746.0,LAC,shooting,,,Kennard,L. Kennard,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,202901.0,1.0,0.0,Hunter,1629631.0,,,,,,
25,PT10M00.00S,2023-01-29T00:43:06.5Z,1,REGULAR,freethrow,1 of 2,[],1629631,,,1610612737,3,2,2023-01-29T00:43:06Z,250000,False,,,0,,D. Hunter Free Throw 1 of 2 (1 PTS),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
26,PT10M00.00S,2023-01-29T00:43:20.9Z,1,REGULAR,freethrow,2 of 2,[],1629631,,,1610612737,4,2,2023-01-29T00:43:20Z,260000,False,,,0,,D. Hunter Free Throw 2 of 2 (2 PTS),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
27,PT09M51.00S,2023-01-29T00:43:32.7Z,1,REGULAR,3pt,Jump Shot,[],202331,70.12155059132719,73.2843137254902,1610612746,4,2,2023-01-29T00:43:37Z,270000,False,116.0,228.0,1,right,MISS P. George 25' pullup 3PT,[202331],1610612746.0,LAC,pullup,,,George,P. George,,,,,Above the Break 3,24+ Right Center,25.64,Missed,,,,,,,,,,,,,,,,,,
