actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-11-05T23:40:36.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-05T23:40:36Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-11-05T23:40:38.4Z,1,REGULAR,jumpball,recovered,[],1628381,,,1610612737,0,0,2022-11-05T23:40:38Z,40000,,,0,,Jump Ball C. Capela vs. J. Valanciunas: Tip to J. Collins,"[1628381, 203991, 202685]",1610612737.0,ATL,startperiod,J. Collins,1628381.0,Collins,J. Collins,Capela,203991.0,Valanciunas,202685.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2022-11-05T23:40:56.7Z,1,REGULAR,3pt,Jump Shot,[],1629027,16.507884362680684,5.637254901960785,1610612737,3,0,2022-11-05T23:41:02Z,70000,222.0,103.0,1,left,T. Young 24' 3PT step back (3 PTS),[1629027],1610612737.0,ATL,step back,,,Young,T. Young,,,,,Above the Break 3,24+ Right Center,24.44,Made,3.0,,,,,,,,,,,,,,,,,
8,PT11M15.00S,2022-11-05T23:41:20.3Z,1,REGULAR,2pt,Jump Shot,[],1627742,92.19776609724047,25.0,1610612740,3,0,2022-11-05T23:41:27Z,80000,-125.0,21.0,1,right,MISS B. Ingram 12' turnaround fadeaway Shot,[1627742],1610612740.0,NOP,turnaround fadeaway,,,Ingram,B. Ingram,,,,,Mid-Range,8-16 Left,12.67,Missed,,,,,,,,,,,,,,,,,,
9,PT11M11.00S,2022-11-05T23:41:24.3Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,3,0,2022-11-05T23:41:27Z,90000,,,0,,C. Capela REBOUND (Off:0 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Mid-Range,8-16 Left,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT10M56.00S,2022-11-05T23:41:39.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203991,10.200394218134035,42.64705882352941,1610612737,5,0,2022-11-05T23:41:44Z,100000,37.0,43.0,1,left,C. Capela turnaround Hook (2 PTS) (D. Murray 1 AST),"[203991, 1627749]",1610612737.0,ATL,turnaround,,,Capela,C. Capela,,,,,In The Paint (Non-RA),0-8 Center,5.69,Made,2.0,,,,,D. Murray,1627749.0,1.0,,,,,,,,,,
12,PT10M39.00S,2022-11-05T23:41:55.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202685,92.32917214191852,51.470588235294116,1610612740,5,0,2022-11-05T23:42:00Z,120000,7.0,20.0,1,right,MISS J. Valanciunas Layup - blocked,"[202685, 203991]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,2.1,Missed,,,,,,,,,Capela,203991.0,,,,,,,,
13,PT10M39.00S,2022-11-05T23:41:55.8Z,1,REGULAR,block,,[],203991,,,1610612740,5,0,2022-11-05T23:46:43Z,130000,,,0,,C. Capela BLOCK (1 BLK),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
14,PT10M36.00S,2022-11-05T23:41:58.8Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612737,5,0,2022-11-05T23:42:00Z,140000,,,0,,D. Murray REBOUND (Off:0 Def:1),[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,Restricted Area,0-8 Center,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,
15,PT10M33.00S,2022-11-05T23:42:02.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629027,31.09395532194481,65.44117647058823,1610612737,5,0,2022-11-05T23:42:10Z,150000,-77.0,240.0,1,left,MISS T. Young 25' running 3PT,[1629027],1610612737.0,ATL,running,,,Young,T. Young,,,,,Above the Break 3,24+ Center,25.19,Missed,,,,,,,,,,,,,,,,,,
16,PT10M29.00S,2022-11-05T23:42:06.6Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612740,5,0,2022-11-05T23:42:10Z,160000,,,0,,B. Ingram REBOUND (Off:0 Def:1),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,Above the Break 3,24+ Center,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,
17,PT10M19.00S,2022-11-05T23:42:15.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629627,92.59198423127464,49.754901960784316,1610612740,5,2,2022-11-05T23:44:05Z,170000,-1.0,17.0,1,right,Z. Williamson driving finger roll Layup (2 PTS) (B. Ingram 1 AST),"[1629627, 1627742]",1610612740.0,NOP,driving finger roll,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,1.71,Made,2.0,,,,,B. Ingram,1627742.0,1.0,,,,,,,,,,
19,PT10M06.00S,2022-11-05T23:42:28.6Z,1,REGULAR,2pt,Jump Shot,[],1627749,22.815374507227332,50.0,1610612737,7,2,2022-11-05T23:42:33Z,190000,0.0,162.0,1,left,D. Murray 16' pullup Jump Shot (2 PTS) (T. Young 1 AST),"[1627749, 1629027]",1610612737.0,ATL,pullup,,,Murray,D. Murray,,,,,Mid-Range,16-24 Center,16.2,Made,2.0,,,,,T. Young,1629027.0,1.0,,,,,,,,,,
21,PT09M52.00S,2022-11-05T23:42:44.3Z,1,REGULAR,foul,personal,['2freethrow'],1628381,,,1610612740,7,2,2022-11-05T23:43:10Z,210000,,,0,,J. Collins shooting personal FOUL (1 PF) (Williamson 2 FT),"[1628381, 1629627]",1610612737.0,ATL,shooting,,,Collins,J. Collins,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1155.0,1.0,0.0,Williamson,1629627.0,,,
23,PT09M52.00S,2022-11-05T23:43:15.6Z,1,REGULAR,freethrow,1 of 2,[],1629627,,,1610612740,7,2,2022-11-05T23:43:15Z,230000,,,0,,MISS Z. Williamson Free Throw 1 of 2,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
24,PT09M52.00S,2022-11-05T23:43:15.6Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612740,7,2,2022-11-05T23:43:15Z,240000,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,
25,PT09M52.00S,2022-11-05T23:43:32.7Z,1,REGULAR,freethrow,2 of 2,[],1629627,,,1610612740,7,3,2022-11-05T23:43:32Z,250000,,,0,,Z. Williamson Free Throw 2 of 2 (3 PTS),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
26,PT09M34.00S,2022-11-05T23:43:53.3Z,1,REGULAR,3pt,Jump Shot,[],1628381,12.828515111695138,4.6568627450980395,1610612737,7,3,2022-11-05T23:43:57Z,260000,227.0,68.0,1,left,MISS J. Collins 3PT,[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,Right Corner 3,24+ Right,23.67,Missed,,,,,,,,,,,,,,,,,,
27,PT09M31.00S,2022-11-05T23:43:56.3Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612740,7,3,2022-11-05T23:43:57Z,270000,,,0,,B. Ingram REBOUND (Off:0 Def:2),[1627742],1610612740.0,NOP,,,,Ingram,B. Ingram,,,,,Right Corner 3,24+ Right,,,,26.0,2.0,2.0,0.0,,,,,,,,,,,,,
28,PT09M14.00S,2022-11-05T23:44:13.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629627,92.85479632063075,48.03921568627451,1610612740,7,3,2022-11-05T23:44:19Z,280000,-10.0,15.0,1,right,MISS Z. Williamson driving Layup,[1629627],1610612740.0,NOP,driving,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,1.77,Missed,,,,,,,,,,,,,,,,,,
29,PT09M11.00S,2022-11-05T23:44:16.0Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,7,3,2022-11-05T23:44:19Z,290000,,,0,,C. Capela REBOUND (Off:0 Def:2),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,,,,28.0,2.0,2.0,0.0,,,,,,,,,,,,,
30,PT09M08.00S,2022-11-05T23:44:19.8Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",203991,5.863994743758213,49.26470588235294,1610612737,9,3,2022-11-05T23:48:17Z,300000,4.0,3.0,1,left,C. Capela running alley-oop DUNK (4 PTS) (T. Young 2 AST),"[203991, 1629027]",1610612737.0,ATL,running alley-oop,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,0.45,Made,4.0,,,,,T. Young,1629027.0,2.0,,,,,,,,,,
32,PT08M51.00S,2022-11-05T23:44:35.2Z,1,REGULAR,2pt,Jump Shot,[],203468,75.90341655716163,57.35294117647059,1610612740,9,5,2022-11-05T23:44:40Z,320000,37.0,174.0,1,right,C. McCollum 17' pullup Jump Shot (2 PTS) (B. Ingram 2 AST),"[203468, 1627742]",1610612740.0,NOP,pullup,,,McCollum,C. McCollum,,,,,Mid-Range,16-24 Center,17.78,Made,2.0,,,,,B. Ingram,1627742.0,2.0,,,,,,,,,,
33,PT08M35.00S,2022-11-05T23:44:51.3Z,1,REGULAR,3pt,Jump Shot,[],1629027,43.051905387647835,49.26470588235294,1610612737,12,5,2022-11-05T23:44:56Z,330000,4.0,352.0,1,left,T. Young 35' 3PT pullup (6 PTS),[1629027],1610612737.0,ATL,pullup,,,Young,T. Young,,,,,Above the Break 3,24+ Center,35.22,Made,6.0,,,,,,,,,,,,,,,,,
34,PT08M12.00S,2022-11-05T23:45:14.8Z,1,REGULAR,3pt,Jump Shot,[],203468,66.83639947437582,56.127450980392155,1610612740,12,8,2022-11-05T23:45:19Z,340000,31.0,259.0,1,right,C. McCollum 26' 3PT pullup (5 PTS),[203468],1610612740.0,NOP,pullup,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Center,26.1,Made,5.0,,,,,,,,,,,,,,,,,
35,PT07M59.00S,2022-11-05T23:45:27.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629027,10.463206307490145,41.911764705882355,1610612737,12,8,2022-11-05T23:45:32Z,350000,40.0,46.0,1,left,MISS T. Young 6' driving Layup - blocked,"[1629027, 203468]",1610612737.0,ATL,driving,,,Young,T. Young,,,,,In The Paint (Non-RA),0-8 Center,6.11,Missed,,,,,,,,,McCollum,203468.0,,,,,,,,
36,PT07M59.00S,2022-11-05T23:45:27.7Z,1,REGULAR,block,,[],203468,,,1610612737,12,8,2022-11-05T23:45:30Z,360000,,,0,,C. McCollum BLOCK (1 BLK),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
37,PT07M56.00S,2022-11-05T23:45:30.7Z,1,REGULAR,rebound,offensive,[],203991,,,1610612737,12,8,2022-11-05T23:45:32Z,370000,,,0,,C. Capela REBOUND (Off:1 Def:2),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,In The Paint (Non-RA),0-8 Center,,,,35.0,3.0,2.0,1.0,,,,,,,,,,,,,
38,PT07M55.00S,2022-11-05T23:45:32.7Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1629631,10.068988173455978,82.1078431372549,1610612737,14,8,2022-11-05T23:45:36Z,380000,-161.0,42.0,1,left,D. Hunter 16' pullup Jump Shot (2 PTS),[1629631],1610612737.0,ATL,pullup,,,Hunter,D. Hunter,,,,,Mid-Range,16-24 Left,16.59,Made,2.0,,,,,,,,,,,,,,,,,
39,PT07M35.00S,2022-11-05T23:45:51.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203468,87.33574244415243,40.68627450980392,1610612740,14,10,2022-11-05T23:45:56Z,390000,-47.0,67.0,1,right,C. McCollum 8' driving floating Jump Shot (7 PTS),[203468],1610612740.0,NOP,driving floating,,,McCollum,C. McCollum,,,,,In The Paint (Non-RA),8-16 Left,8.12,Made,7.0,,,,,,,,,,,,,,,,,
