actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-11-17T00:45:23.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-17T00:45:23Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-11-17T00:45:25.0Z,1,REGULAR,jumpball,recovered,[],1629684,,,1610612738,0,0,2022-11-17T00:45:25Z,40000,False,,,0,,Jump Ball A. Horford vs. C. Capela: Tip to G. Williams,"[1629684, 201143, 203991]",1610612738.0,BOS,startperiod,G. Williams,1629684.0,Williams,G. Williams,Horford,201143.0,Capela,203991.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2022-11-17T00:45:44.3Z,1,REGULAR,3pt,Jump Shot,[],1628369,28.991458607095925,74.01960784313727,1610612738,0,0,2022-11-17T00:45:50Z,70000,False,-120.0,220.0,1,left,MISS J. Tatum 25' step back 3PT,[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,25.06,Missed,,,,,,,,,,,,,,,,,,
8,PT11M34.00S,2022-11-17T00:45:47.3Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612737,0,0,2022-11-17T00:45:50Z,80000,False,,,0,,D. Murray REBOUND (Off:0 Def:1),[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M18.00S,2022-11-17T00:46:03.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628381,87.07293035479631,46.32352941176471,1610612737,0,0,2022-11-17T00:46:09Z,90000,False,-18.0,69.0,1,right,MISS J. Collins 7' turnaround Shot,[1628381],1610612737.0,ATL,turnaround,,,Collins,J. Collins,,,,,In The Paint (Non-RA),0-8 Center,7.14,Missed,,,,,,,,,,,,,,,,,,
10,PT11M15.00S,2022-11-17T00:46:06.6Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,0,0,2022-11-17T00:46:09Z,100000,False,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,In The Paint (Non-RA),0-8 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M02.00S,2022-11-17T00:46:19.1Z,1,REGULAR,3pt,Jump Shot,[],1627759,18.2161629434954,94.6078431372549,1610612738,0,0,2022-11-17T00:46:24Z,110000,False,-223.0,119.0,1,left,MISS J. Brown 25' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,25.26,Missed,,,,,,,,,,,,,,,,,,
12,PT11M00.00S,2022-11-17T00:46:21.1Z,1,REGULAR,rebound,defensive,[],203991,,,1610612737,0,0,2022-11-17T00:46:24Z,120000,False,,,0,,C. Capela REBOUND (Off:0 Def:1),[203991],1610612737.0,ATL,,,,Capela,C. Capela,,,,,Above the Break 3,24+ Left Center,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT10M50.00S,2022-11-17T00:46:31.9Z,1,REGULAR,2pt,Jump Shot,[],1627749,76.95466491458606,53.67647058823529,1610612737,2,0,2022-11-17T00:46:37Z,130000,False,18.0,164.0,1,right,D. Murray 16' pullup Jump Shot (2 PTS),[1627749],1610612737.0,ATL,pullup,,,Murray,D. Murray,,,,,Mid-Range,16-24 Center,16.51,Made,,,,,2.0,,,,,,,,,,,,,
14,PT10M32.00S,2022-11-17T00:46:49.6Z,1,REGULAR,3pt,Jump Shot,[],1628369,23.73521681997372,12.745098039215685,1610612738,2,0,2022-11-17T00:46:54Z,140000,False,186.0,171.0,1,left,MISS J. Tatum 25' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Right Center,25.26,Missed,,,,,,,,,,,,,,,,,,
