actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-01-12T00:45:31.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-12T00:45:31Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-01-12T00:45:33.7Z,1,REGULAR,jumpball,recovered,[],203507,,,1610612749,0,0,2023-01-12T00:45:33Z,40000,False,,,0,,Jump Ball B. Lopez vs. O. Okongwu: Tip to G. Antetokounmpo,"[203507, 201572, 1630168]",1610612749.0,MIL,startperiod,G. Antetokounmpo,203507.0,Antetokounmpo,G. Antetokounmpo,Lopez,201572.0,Okongwu,1630168.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2023-01-12T00:45:44.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203507,89.96386333771353,49.26470588235294,1610612749,0,2,2023-01-12T00:45:54Z,70000,False,-4.0,42.0,1,right,G. Antetokounmpo driving Layup (2 PTS),[203507],1610612749.0,MIL,driving,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,4.2,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M30.00S,2023-01-12T00:46:00.3Z,1,REGULAR,turnover,lost ball,[],1629631,,,1610612737,0,2,2023-01-12T00:46:21Z,80000,False,,,0,,D. Hunter lost ball TURNOVER (1 TO),"[1629631, 201572]",1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,In The Paint (Non-RA),8-16 Center,,,,1.0,Lopez,201572.0,,,,,,,,,,,,,,
9,PT11M30.00S,2023-01-12T00:46:00.3Z,1,REGULAR,steal,,[],201572,,,1610612749,0,2,2023-01-12T00:47:55Z,90000,False,,,0,,B. Lopez STEAL (1 STL),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
10,PT11M23.00S,2023-01-12T00:46:07.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1626192,95.87713534822602,96.07843137254902,1610612749,0,5,2023-01-12T00:46:24Z,100000,False,230.0,-14.0,1,right,P. Connaughton 3PT  (3 PTS) (G. Allen 1 AST),"[1626192, 1628960]",1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,Right Corner 3,24+ Right,23.08,Made,3.0,,,,G. Allen,1628960.0,1.0,,,,,,,,,,,
12,PT11M02.00S,2023-01-12T00:46:27.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627749,18.084756898817346,52.20588235294118,1610612737,0,5,2023-01-12T00:46:33Z,120000,False,-11.0,117.0,1,left,MISS D. Murray 11' pullup Shot,[1627749],1610612737.0,ATL,pullup,,,Murray,D. Murray,,,,,In The Paint (Non-RA),8-16 Center,11.8,Missed,,,,,,,,,,,,,,,,,,
13,PT11M00.00S,2023-01-12T00:46:29.8Z,1,REGULAR,rebound,defensive,[],201572,,,1610612749,0,5,2023-01-12T00:46:33Z,130000,False,,,0,,B. Lopez REBOUND (Off:0 Def:1),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,
14,PT10M51.00S,2023-01-12T00:46:39.2Z,1,REGULAR,3pt,Jump Shot,[],1626192,71.96123521681997,79.65686274509804,1610612749,0,8,2023-01-12T00:46:45Z,140000,False,148.0,211.0,1,right,P. Connaughton 25' 3PT pullup (6 PTS) (G. Antetokounmpo 1 AST),"[1626192, 203507]",1610612749.0,MIL,pullup,,,Connaughton,P. Connaughton,,,,,Above the Break 3,24+ Right Center,25.8,Made,6.0,,,,G. Antetokounmpo,203507.0,1.0,,,,,,,,,,,
16,PT10M34.00S,2023-01-12T00:46:55.9Z,1,REGULAR,3pt,Jump Shot,[],1629631,29.77989487516426,70.83333333333334,1610612737,0,8,2023-01-12T00:47:01Z,160000,False,-104.0,227.0,1,left,MISS D. Hunter 25' pullup 3PT,[1629631],1610612737.0,ATL,pullup,,,Hunter,D. Hunter,,,,,Above the Break 3,24+ Left Center,25.01,Missed,,,,,,,,,,,,,,,,,,
17,PT10M30.00S,2023-01-12T00:46:59.9Z,1,REGULAR,rebound,defensive,[],201950,,,1610612749,0,8,2023-01-12T01:01:17Z,170000,False,,,0,,J. Holiday REBOUND (Off:0 Def:1),[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,,
18,PT10M23.00S,2023-01-12T00:47:07.2Z,1,REGULAR,3pt,Jump Shot,[],201950,65.52233902759527,53.92156862745098,1610612749,0,11,2023-01-12T00:47:12Z,180000,False,20.0,272.0,1,right,J. Holiday 27' 3PT  (3 PTS) (G. Antetokounmpo 2 AST),"[201950, 203507]",1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Center,27.23,Made,3.0,,,,G. Antetokounmpo,203507.0,2.0,,,,,,,,,,,
20,PT10M22.00S,2023-01-12T00:47:12.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612737,0,11,2023-01-12T00:47:12Z,200000,False,,,0,,ATL Timeout,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,PT10M10.00S,2023-01-12T00:50:42.5Z,1,REGULAR,2pt,Jump Shot,[],1630168,20.97568988173456,50.245098039215684,1610612737,0,11,2023-01-12T00:51:50Z,210000,False,-1.0,145.0,1,left,MISS O. Okongwu 14' pullup Shot,[1630168],1610612737.0,ATL,pullup,,,Okongwu,O. Okongwu,,,,,Mid-Range,8-16 Center,14.47,Missed,,,,,,,,,,,,,,,,,,
22,PT10M05.00S,2023-01-12T00:50:47.5Z,1,REGULAR,rebound,defensive,[],1626192,,,1610612749,0,11,2023-01-12T00:50:49Z,220000,False,,,0,,P. Connaughton REBOUND (Off:0 Def:1),[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,Mid-Range,8-16 Center,,,,,,,,,,21.0,1.0,1.0,0.0,,,,,,,
23,PT09M57.00S,2023-01-12T00:50:54.5Z,1,REGULAR,3pt,Jump Shot,[],1626192,95.74572930354796,96.81372549019608,1610612749,0,11,2023-01-12T00:51:03Z,230000,False,234.0,-13.0,1,right,MISS P. Connaughton 3PT,[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,Right Corner 3,24+ Right,23.44,Missed,,,,,,,,,,,,,,,,,,
24,PT09M54.00S,2023-01-12T00:50:57.5Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612737,0,11,2023-01-12T00:51:03Z,240000,False,,,0,,J. Collins REBOUND (Off:0 Def:1),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,Right Corner 3,24+ Right,,,,,,,,,,23.0,1.0,1.0,0.0,,,,,,,
25,PT09M48.00S,2023-01-12T00:51:03.0Z,1,REGULAR,2pt,Jump Shot,[],1628988,27.677398160315374,64.4607843137255,1610612737,0,11,2023-01-12T00:51:08Z,250000,False,-72.0,208.0,1,left,MISS A. Holiday 21' pullup Shot,[1628988],1610612737.0,ATL,pullup,,,Holiday,A. Holiday,,,,,Mid-Range,16-24 Left Center,21.99,Missed,,,,,,,,,,,,,,,,,,
26,PT09M46.00S,2023-01-12T00:51:05.0Z,1,REGULAR,rebound,defensive,[],1626192,,,1610612749,0,11,2023-01-12T00:51:08Z,260000,False,,,0,,P. Connaughton REBOUND (Off:0 Def:2),[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,25.0,2.0,2.0,0.0,,,,,,,
27,PT09M36.00S,2023-01-12T00:51:15.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628960,81.553876478318,50.245098039215684,1610612749,0,13,2023-01-12T00:51:24Z,270000,False,1.0,121.0,1,right,G. Allen 12' driving floating Jump Shot (2 PTS) (G. Antetokounmpo 3 AST),"[1628960, 203507]",1610612749.0,MIL,driving floating,,,Allen,G. Allen,,,,,In The Paint (Non-RA),8-16 Center,12.09,Made,2.0,,,,G. Antetokounmpo,203507.0,3.0,,,,,,,,,,,
29,PT09M19.00S,2023-01-12T00:51:33.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629631,17.69053876478318,57.107843137254896,1610612737,2,13,2023-01-12T00:51:38Z,290000,False,-36.0,114.0,1,left,D. Hunter 11' pullup Jump Shot (2 PTS),[1629631],1610612737.0,ATL,pullup,,,Hunter,D. Hunter,,,,,In The Paint (Non-RA),8-16 Center,11.92,Made,2.0,,,,,,,,,,,,,,,,,
30,PT09M02.00S,2023-01-12T00:51:49.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203507,92.19776609724047,50.49019607843137,1610612749,2,15,2023-01-12T00:51:56Z,300000,False,2.0,21.0,1,right,G. Antetokounmpo driving Layup (4 PTS),[203507],1610612749.0,MIL,driving,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,2.09,Made,4.0,,,,,,,,,,,,,,,,,
31,PT08M48.00S,2023-01-12T00:52:03.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628381,16.245072273324574,47.549019607843135,1610612737,4,15,2023-01-12T00:52:08Z,310000,False,12.0,100.0,1,left,J. Collins 10' pullup Jump Shot (2 PTS) (D. Murray 1 AST),"[1628381, 1627749]",1610612737.0,ATL,pullup,,,Collins,J. Collins,,,,,In The Paint (Non-RA),8-16 Center,10.1,Made,2.0,,,,D. Murray,1627749.0,1.0,,,,,,,,,,,
34,PT08M36.00S,2023-01-12T00:52:20.3Z,1,REGULAR,substitution,out,[],1628988,,,1610612749,4,15,2023-01-12T00:52:28Z,340000,False,,,0,,SUB out: A. Holiday,[1628988],1610612737.0,ATL,,,,Holiday,A. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,,
35,PT08M36.00S,2023-01-12T00:52:20.3Z,1,REGULAR,substitution,in,[],203992,,,1610612749,4,15,2023-01-12T00:52:28Z,350000,False,,,0,,SUB in: B. Bogdanovic,[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,,,,,,,,,,,,,,,,,,,,,,
36,PT08M31.00S,2023-01-12T00:52:51.4Z,1,REGULAR,foul,personal,[],203992,,,1610612749,4,15,2023-01-12T00:53:00Z,360000,False,,,0,,B. Bogdanovic personal FOUL (1 PF),"[203992, 203507]",1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,202007.0,1.0,0.0,Antetokounmpo,203507.0,,
38,PT08M28.00S,2023-01-12T00:53:08.9Z,1,REGULAR,2pt,Jump Shot,[],201950,96.40275952693824,78.18627450980392,1610612749,4,15,2023-01-12T00:53:16Z,380000,False,141.0,-19.0,1,right,MISS J. Holiday 14' step back Shot,[201950],1610612749.0,MIL,step back,,,Holiday,J. Holiday,,,,,Mid-Range,8-16 Right,14.21,Missed,,,,,,,,,,,,,,,,,,
39,PT08M25.00S,2023-01-12T00:53:11.9Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612737,4,15,2023-01-12T00:53:16Z,390000,False,,,0,,D. Murray REBOUND (Off:0 Def:1),[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,Mid-Range,8-16 Right,,,,,,,,,,38.0,1.0,1.0,0.0,,,,,,,
40,PT08M21.00S,2023-01-12T00:53:15.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203992,6.521024967148489,49.26470588235294,1610612737,6,15,2023-01-12T00:53:22Z,400000,False,4.0,9.0,1,left,B. Bogdanovic running Layup (2 PTS) (D. Murray 2 AST),"[203992, 1627749]",1610612737.0,ATL,running,,,Bogdanovic,B. Bogdanovic,,,,,Restricted Area,0-8 Center,0.95,Made,2.0,,,,D. Murray,1627749.0,2.0,,,,,,,,,,,
42,PT08M07.00S,2023-01-12T00:53:28.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201572,93.38042049934296,49.01960784313725,1610612749,6,15,2023-01-12T00:53:37Z,420000,False,-5.0,10.0,1,right,MISS B. Lopez driving Layup,[201572],1610612749.0,MIL,driving,,,Lopez,B. Lopez,,,,,Restricted Area,0-8 Center,1.09,Missed,,,,,,,,,,,,,,,,,,
43,PT08M04.00S,2023-01-12T00:53:31.9Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612737,6,15,2023-01-12T00:53:37Z,430000,False,,,0,,J. Collins REBOUND (Off:0 Def:2),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,,,,,,,,,,42.0,2.0,2.0,0.0,,,,,,,
44,PT07M57.00S,2023-01-12T00:53:39.1Z,1,REGULAR,turnover,bad pass,[],203992,,,1610612737,6,15,2023-01-12T00:53:47Z,440000,False,,,0,,B. Bogdanovic bad pass TURNOVER (1 TO),"[203992, 201950]",1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,Mid-Range,16-24 Center,,,,1.0,Holiday,201950.0,,,,,,,,,,,,,,
45,PT07M57.00S,2023-01-12T00:53:39.1Z,1,REGULAR,steal,,[],201950,,,1610612749,6,15,2023-01-12T00:53:41Z,450000,False,,,0,,J. Holiday STEAL (1 STL),[201950],1610612749.0,MIL,,,,Holiday,J. Holiday,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
46,PT07M51.00S,2023-01-12T00:53:44.8Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",201950,70.90998685939553,22.794117647058822,1610612749,6,18,2023-01-12T00:53:53Z,460000,False,-136.0,221.0,1,right,J. Holiday 25' 3PT running pullup (6 PTS),[201950],1610612749.0,MIL,running pullup,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Left Center,25.94,Made,6.0,,,,,,,,,,,,,,,,,
47,PT07M38.00S,2023-01-12T00:53:58.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627749,18.2161629434954,43.872549019607845,1610612737,6,18,2023-01-12T00:54:04Z,470000,False,31.0,119.0,1,left,MISS D. Murray 12' driving floating Shot,[1627749],1610612737.0,ATL,driving floating,,,Murray,D. Murray,,,,,In The Paint (Non-RA),8-16 Center,12.26,Missed,,,,,,,,,,,,,,,,,,
48,PT07M36.00S,2023-01-12T00:54:00.2Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,6,18,2023-01-12T00:54:04Z,480000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,47.0,1.0,1.0,0.0,,,,,,,
49,PT07M22.00S,2023-01-12T00:54:14.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203507,84.97043363994744,50.245098039215684,1610612749,6,18,2023-01-12T00:54:22Z,490000,False,1.0,89.0,1,right,MISS G. Antetokounmpo 8' driving floating Shot,[203507],1610612749.0,MIL,driving floating,,,Antetokounmpo,G. Antetokounmpo,,,,,In The Paint (Non-RA),8-16 Center,8.88,Missed,,,,,,,,,,,,,,,,,,
50,PT07M20.00S,2023-01-12T00:54:16.6Z,1,REGULAR,rebound,offensive,[],201572,,,1610612749,6,18,2023-01-12T00:55:59Z,500000,False,,,0,,B. Lopez REBOUND (Off:1 Def:1),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,49.0,2.0,1.0,1.0,,,,,,,
51,PT07M19.00S,2023-01-12T00:54:19.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1626192,66.5735873850197,43.38235294117647,1610612749,6,18,2023-01-12T00:56:03Z,510000,False,-33.0,262.0,1,right,MISS P. Connaughton 26' 3PT,[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,Above the Break 3,24+ Center,26.38,Missed,,,,,,,,,,,,,,,,,,
52,PT07M18.00S,2023-01-12T00:54:20.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612737,6,18,2023-01-12T00:56:03Z,520000,False,,,0,,TEAM defensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,,,,51.0,,,,,,,,,,
53,PT07M15.00S,2023-01-12T00:54:33.2Z,1,REGULAR,substitution,out,[],1626192,,,1610612737,6,18,2023-01-12T00:54:45Z,530000,False,,,0,,SUB out: P. Connaughton,[1626192],1610612749.0,MIL,,,,Connaughton,P. Connaughton,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PT07M15.00S,2023-01-12T00:54:33.2Z,1,REGULAR,substitution,out,[],203507,,,1610612737,6,18,2023-01-12T00:54:45Z,540000,False,,,0,,SUB out: G. Antetokounmpo,[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT07M15.00S,2023-01-12T00:54:33.2Z,1,REGULAR,substitution,in,[],1626171,,,1610612737,6,18,2023-01-12T00:54:45Z,550000,False,,,0,,SUB in: B. Portis,[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PT07M15.00S,2023-01-12T00:54:33.2Z,1,REGULAR,substitution,in,[],1630699,,,1610612737,6,18,2023-01-12T00:54:45Z,560000,False,,,0,,SUB in: M. Beauchamp,[1630699],1610612749.0,MIL,,,,Beauchamp,M. Beauchamp,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PT07M10.00S,2023-01-12T00:55:20.5Z,1,REGULAR,jumpball,recovered,[],0,,,1610612737,6,18,2023-01-12T00:55:20Z,570000,False,,,0,,Jump Ball J. Collins vs. B. Lopez: Tip to Team (ATL),"[1628381, 201572]",1610612737.0,ATL,heldball,Team (ATL),,,,Collins,1628381.0,Lopez,201572.0,,,,,,,,,,,,,,,,,,,,,,
60,PT07M07.00S,2023-01-12T00:55:41.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630168,7.178055190538765,47.30392156862745,1610612737,8,18,2023-01-12T00:55:47Z,600000,False,13.0,15.0,1,left,O. Okongwu Hook (2 PTS) (D. Hunter 1 AST),"[1630168, 1629631]",1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Restricted Area,0-8 Center,2.02,Made,2.0,,,,D. Hunter,1629631.0,1.0,,,,,,,,,,,
62,PT06M59.00S,2023-01-12T00:55:51.5Z,1,REGULAR,turnover,traveling,[],1626171,,,1610612749,8,18,2023-01-12T00:55:59Z,620000,False,,,0,,B. Portis traveling TURNOVER (1 TO),[1626171],1610612749.0,MIL,,,,Portis,B. Portis,,,,,In The Paint (Non-RA),0-8 Center,,,,1.0,,,,,,,,,,202007.0,,,,,,
