actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-10-23T21:10:10.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-23T21:10:10Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-10-23T21:10:13.1Z,1,REGULAR,jumpball,recovered,[],1628381,,,1610612737,0,0,2022-10-23T21:10:13Z,40000,,,0,,Jump Ball C. Capela vs. M. Plumlee: Tip to J. Collins,"[1628381, 203991, 203486]",1610612737.0,ATL,startperiod,J. Collins,1628381.0,Collins,J. Collins,Capela,203991.0,Plumlee,203486.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2022-10-23T21:10:31.4Z,1,REGULAR,3pt,Jump Shot,[],1629631,21.23850197109067,9.558823529411764,1610612737,3,0,2022-10-23T21:10:36Z,70000,202.0,147.0,1,left,D. Hunter 25' 3PT  (3 PTS) (J. Collins 1 AST),"[1629631, 1628381]",1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Above the Break 3,24+ Right Center,25.0,Made,3.0,J. Collins,1628381.0,1.0,,,,,,,,,,,,,,
10,PT11M23.00S,2022-10-23T21:12:13.5Z,1,REGULAR,turnover,bad pass,[],202330,,,1610612766,3,0,2022-10-23T21:12:18Z,100000,,,0,,G. Hayward bad pass TURNOVER (1 TO),"[202330, 1627749]",1610612766.0,CHA,,,,Hayward,G. Hayward,,,,,Mid-Range,16-24 Left Center,,,,,,,1.0,Murray,1627749.0,,,,,,,,,,,
11,PT11M23.00S,2022-10-23T21:12:13.5Z,1,REGULAR,steal,,[],1627749,,,1610612737,3,0,2022-10-23T21:12:16Z,110000,,,0,,D. Murray STEAL (1 STL),[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
13,PT11M01.00S,2022-10-23T21:12:50.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628381,25.969119579500656,83.08823529411765,1610612737,3,0,2022-10-23T21:12:55Z,130000,-165.0,192.0,1,left,MISS J. Collins 25' 3PT,[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,Above the Break 3,24+ Left Center,25.31,Missed,,,,,,,,,,,,,,,,,,
14,PT10M58.00S,2022-10-23T21:12:53.4Z,1,REGULAR,rebound,defensive,[],1628372,,,1610612766,3,0,2022-10-23T21:12:55Z,140000,,,0,,D. Smith Jr. REBOUND (Off:0 Def:1),[1628372],1610612766.0,CHA,,,,Smith Jr.,D. Smith Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,
15,PT10M45.00S,2022-10-23T21:13:06.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628372,92.06636005256242,49.50980392156863,1610612766,3,2,2022-10-23T21:13:10Z,150000,-2.0,22.0,1,right,D. Smith Jr. cutting Layup (2 PTS) (G. Hayward 1 AST),"[1628372, 202330]",1610612766.0,CHA,cutting,,,Smith Jr.,D. Smith Jr.,,,,,Restricted Area,0-8 Center,2.22,Made,2.0,G. Hayward,202330.0,1.0,,,,,,,,,,,,,,
17,PT10M38.00S,2022-10-23T21:13:21.0Z,1,REGULAR,foul,personal,[],1629023,,,1610612737,3,2,2022-10-23T21:13:51Z,170000,,,0,,P. Washington personal FOUL (1 PF),"[1629023, 1629027]",1610612766.0,CHA,,,,Washington,P. Washington,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,202007.0,1.0,0.0,Young,1629027.0,,
19,PT10M27.00S,2022-10-23T21:14:10.2Z,1,REGULAR,turnover,traveling,[],1629631,,,1610612737,3,2,2022-10-23T21:14:18Z,190000,,,0,,D. Hunter traveling TURNOVER (1 TO),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Left Corner 3,24+ Left,,,,,,,1.0,,,,,,,202007.0,,,,,,
20,PT10M12.00S,2022-10-23T21:14:33.8Z,1,REGULAR,foul,personal,['2freethrow'],1627749,,,1610612766,3,2,2022-10-23T21:14:59Z,200000,,,0,,D. Murray shooting personal FOUL (1 PF) (Plumlee 2 FT),"[1627749, 203486]",1610612737.0,ATL,shooting,,,Murray,D. Murray,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,202007.0,1.0,0.0,Plumlee,203486.0,,
