actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-12-20T00:40:26.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-20T00:40:26Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-12-20T00:40:29.2Z,1,REGULAR,jumpball,recovered,[],1630532,,,1610612753,0,0,2022-12-20T00:40:29Z,40000,False,,,0,,Jump Ball B. Bol vs. J. Collins: Tip to F. Wagner,"[1630532, 1629626, 1628381]",1610612753.0,ORL,startperiod,F. Wagner,1630532.0,Wagner,F. Wagner,Bol,1629626.0,Collins,1628381.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2022-12-20T00:40:59.4Z,1,REGULAR,2pt,Jump Shot,[],1628365,28.465834428383708,52.69607843137255,1610612753,0,2,2022-12-20T00:41:04Z,80000,False,-13.0,215.0,1,left,M. Fultz 21' pullup Jump Shot (2 PTS),[1628365],1610612753.0,ORL,pullup,,,Fultz,M. Fultz,,,,,Mid-Range,16-24 Center,21.55,Made,2.0,,,,,,,,,,,,,,,,,
9,PT11M11.00S,2022-12-20T00:41:24.6Z,1,REGULAR,3pt,Jump Shot,[],1627749,71.56701708278581,81.12745098039215,1610612737,0,2,2022-12-20T00:41:30Z,90000,False,156.0,215.0,1,right,MISS D. Murray 26' 3PT,[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,Above the Break 3,24+ Right Center,26.52,Missed,,,,,,,,,,,,,,,,,,
10,PT11M10.00S,2022-12-20T00:41:25.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612737,0,2,2022-12-20T00:41:30Z,100000,False,,,0,,TEAM offensive REBOUND,[],1610612737.0,ATL,,,,,,,,,,Above the Break 3,24+ Right Center,,,,9.0,,,,,,,,,,,,,,,,
11,PT11M10.00S,2022-12-20T00:41:30.4Z,1,REGULAR,foul,personal,[],1628365,,,1610612737,0,2,2022-12-20T00:41:38Z,110000,False,,,0,,M. Fultz loose ball personal FOUL (1 PF),"[1628365, 1628381]",1610612753.0,ORL,loose ball,,,Fultz,M. Fultz,,,,,Restricted Area,0-8 Center,,,,,1626302.0,1.0,0.0,Collins,1628381.0,,,,,,,,,,,
13,PT11M05.00S,2022-12-20T00:41:51.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1628381,83.65637319316689,56.86274509803921,1610612737,0,2,2022-12-20T00:41:57Z,130000,False,34.0,101.0,1,right,MISS J. Collins 10' floating Shot,[1628381],1610612737.0,ATL,floating,,,Collins,J. Collins,,,,,In The Paint (Non-RA),8-16 Center,10.68,Missed,,,,,,,,,,,,,,,,,,
14,PT11M01.00S,2022-12-20T00:41:55.8Z,1,REGULAR,rebound,defensive,[],1628365,,,1610612753,0,2,2022-12-20T00:41:57Z,140000,False,,,0,,M. Fultz REBOUND (Off:0 Def:1),[1628365],1610612753.0,ORL,,,,Fultz,M. Fultz,,,,,In The Paint (Non-RA),8-16 Center,,,,13.0,,,,,,1.0,1.0,0.0,,,,,,,,
15,PT10M57.00S,2022-12-20T00:41:59.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628365,9.937582128777924,51.225490196078425,1610612753,0,2,2022-12-20T00:42:08Z,150000,False,-6.0,41.0,1,left,MISS M. Fultz running Layup,[1628365],1610612753.0,ORL,running,,,Fultz,M. Fultz,,,,,Restricted Area,0-8 Center,4.14,Missed,,,,,,,,,,,,,,,,,,
16,PT10M54.00S,2022-12-20T00:42:02.5Z,1,REGULAR,rebound,offensive,[],1628365,,,1610612753,0,2,2022-12-20T00:42:02Z,160000,False,,,0,,M. Fultz REBOUND (Off:1 Def:1),[1628365],1610612753.0,ORL,,,,Fultz,M. Fultz,,,,,Restricted Area,0-8 Center,,,,15.0,,,,,,2.0,1.0,1.0,,,,,,,,
17,PT10M52.00S,2022-12-20T00:42:04.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630532,5.469776609724048,50.0,1610612753,0,4,2022-12-20T00:42:12Z,170000,False,0.0,-1.0,1,left,F. Wagner driving Layup (2 PTS) (M. Fultz 1 AST),"[1630532, 1628365]",1610612753.0,ORL,driving,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,0.11,Made,2.0,,,,,,,,,,M. Fultz,1628365.0,1.0,,,,,
19,PT10M42.00S,2022-12-20T00:42:14.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629631,92.72339027595268,53.431372549019606,1610612737,0,4,2022-12-20T00:43:14Z,190000,False,17.0,16.0,1,right,MISS D. Hunter driving Layup - blocked,"[1629631, 1629626]",1610612737.0,ATL,driving,,,Hunter,D. Hunter,,,,,Restricted Area,0-8 Center,2.34,Missed,,,,,,,,,,,,,,Bol,1629626.0,,,
20,PT10M42.00S,2022-12-20T00:42:14.4Z,1,REGULAR,block,,[],1629626,,,1610612737,0,4,2022-12-20T00:42:18Z,200000,False,,,0,,B. Bol BLOCK (1 BLK),[1629626],1610612753.0,ORL,,,,Bol,B. Bol,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
21,PT10M38.00S,2022-12-20T00:42:18.4Z,1,REGULAR,rebound,defensive,[],1629021,,,1610612753,0,4,2022-12-20T00:42:19Z,210000,False,,,0,,M. Wagner REBOUND (Off:0 Def:1),[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,Restricted Area,0-8 Center,,,,19.0,,,,,,1.0,1.0,0.0,,,,,,,,
22,PT10M29.00S,2022-12-20T00:42:27.1Z,1,REGULAR,turnover,bad pass,[],1628365,,,1610612753,0,4,2022-12-20T00:42:34Z,220000,False,,,0,,M. Fultz bad pass TURNOVER (1 TO),"[1628365, 1629631]",1610612753.0,ORL,,,,Fultz,M. Fultz,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,1.0,Hunter,1629631.0
