shortFormattedClock,actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,jerseyNumber,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,shotActionNumber,pointsTotal,shotDistance,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
12:00,2,PT12M00.00S,2022-12-06T00:40:16.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-06T00:40:16Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:57,4,PT11M57.00S,2022-12-06T00:40:18.5Z,1,REGULAR,jumpball,recovered,[],1630552,,,1610612737,0,0,2022-12-06T00:40:18Z,40000,False,,,0,,Jump Ball C. Capela vs. J. Robinson-Earl: Tip to J. Johnson,"[1630552, 203991, 1630526]",1,1610612737.0,ATL,startperiod,J. Johnson,1630552.0,Johnson,J. Johnson,Capela,203991.0,Robinson-Earl,1630526.0,,,,,,,,,,,,,,,,,,,,,,
11:39,7,PT11M39.00S,2022-12-06T00:40:36.6Z,1,REGULAR,foul,personal,['2freethrow'],1631114,,,1610612737,0,0,2022-12-06T00:41:01Z,70000,False,,,0,,J. Williams shooting personal FOUL (1 PF) (Young 2 FT),"[1631114, 1629027]",8,1610612760.0,OKC,shooting,,,Williams,J. Williams,,,,,In The Paint (Non-RA),8-16 Center,202037.0,1.0,0.0,Young,1629027.0,,,,,,,,,,,,,,,
11:39,9,PT11M39.00S,2022-12-06T00:41:02.4Z,1,REGULAR,freethrow,1 of 2,[],1629027,,,1610612737,0,0,2022-12-06T00:41:02Z,90000,False,,,0,,MISS T. Young Free Throw 1 of 2,[1629027],11,1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
11:39,10,PT11M39.00S,2022-12-06T00:41:02.4Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612737,0,0,2022-12-06T00:41:02Z,100000,False,,,0,,TEAM offensive REBOUND,[],,1610612737.0,ATL,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,
11:39,11,PT11M39.00S,2022-12-06T00:41:18.8Z,1,REGULAR,freethrow,2 of 2,[],1629027,,,1610612737,1,0,2022-12-06T00:41:18Z,110000,False,,,0,,T. Young Free Throw 2 of 2 (1 PTS),[1629027],11,1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,Made,,1.0,,,,,,,,,,,,
11:17,12,PT11M17.00S,2022-12-06T00:41:41.3Z,1,REGULAR,3pt,Jump Shot,[],1628983,72.88107752956637,18.38235294117647,1610612760,1,0,2022-12-06T00:41:48Z,120000,False,-158.0,202.0,1,right,MISS S. Gilgeous-Alexander 25' step back 3PT,[1628983],2,1610612760.0,OKC,step back,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,,25.68,,,,,,,,,,,
11:13,13,PT11M13.00S,2022-12-06T00:41:45.3Z,1,REGULAR,rebound,defensive,[],1630552,,,1610612737,1,0,2022-12-06T00:41:48Z,130000,False,,,0,,J. Johnson REBOUND (Off:0 Def:1),[1630552],1,1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Above the Break 3,24+ Left Center,,,,,,,12.0,,,1.0,1.0,0.0,,,,,,,,
11:06,14,PT11M06.00S,2022-12-06T00:41:52.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631100,9.017739816031538,43.13725490196079,1610612737,1,0,2022-12-06T00:42:54Z,140000,False,34.0,32.0,1,left,MISS A. Griffin floating Shot,[1631100],14,1610612737.0,ATL,floating,,,Griffin,A. Griffin,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Missed,,,4.71,,,,,,,,,,,
11:03,15,PT11M03.00S,2022-12-06T00:41:55.9Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612760,1,0,2022-12-06T00:41:59Z,150000,False,,,0,,J. Giddey REBOUND (Off:0 Def:1),[1630581],3,1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,14.0,,,1.0,1.0,0.0,,,,,,,,
10:59,16,PT10M59.00S,2022-12-06T00:41:59.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630526,92.85479632063075,49.754901960784316,1610612760,1,0,2022-12-06T00:42:13Z,160000,False,-1.0,15.0,1,right,MISS J. Robinson-Earl running Layup,[1630526],50,1610612760.0,OKC,running,,,Robinson-Earl,J. Robinson-Earl,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,1.47,,,,,,,,,,,
