actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-12-03T00:40:31.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-03T00:40:31Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-12-03T00:40:34.0Z,1,REGULAR,jumpball,recovered,[],1631100,,,1610612737,0,0,2022-12-03T00:40:34Z,40000,False,,,0,,Jump Ball C. Capela vs. N. Jokic: Tip to A. Griffin,"[1631100, 203991, 203999]",1610612737.0,ATL,startperiod,A. Griffin,1631100.0,Griffin,A. Griffin,Capela,203991.0,Jokic,203999.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2022-12-03T00:40:51.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629633,94.95729303547962,48.529411764705884,1610612737,2,0,2022-12-03T00:41:00Z,70000,False,-7.0,-5.0,1,right,J. Culver driving Layup (2 PTS) (D. Murray 1 AST),"[1629633, 1627749]",1610612737.0,ATL,driving,,,Culver,J. Culver,,,,,Restricted Area,0-8 Center,0.9,Made,2.0,D. Murray,1627749.0,1.0,,,,,,,,,,,,,,
9,PT11M32.00S,2022-12-03T00:41:00.1Z,1,REGULAR,turnover,traveling,[],203932,,,1610612743,2,0,2022-12-03T00:41:09Z,90000,False,,,0,,A. Gordon traveling TURNOVER (1 TO),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1162.0,1.0,,,,,,,,,,,,
10,PT11M13.00S,2022-12-03T00:41:26.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203991,95.87713534822602,47.549019607843135,1610612737,4,0,2022-12-03T00:41:33Z,100000,False,-12.0,-14.0,1,right,C. Capela alley-oop Layup (2 PTS) (J. Culver 1 AST),"[203991, 1629633]",1610612737.0,ATL,alley-oop,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,1.84,Made,2.0,J. Culver,1629633.0,1.0,,,,,,,,,,,,,,
12,PT10M54.00S,2022-12-03T00:41:45.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203932,15.062417871222076,46.32352941176471,1610612743,4,2,2022-12-03T00:41:54Z,120000,False,18.0,89.0,1,left,A. Gordon 9' floating Jump Shot (2 PTS) (N. Jokic 1 AST),"[203932, 203999]",1610612743.0,DEN,floating,,,Gordon,A. Gordon,,,,,In The Paint (Non-RA),8-16 Center,9.1,Made,2.0,N. Jokic,203999.0,1.0,,,,,,,,,,,,,,
14,PT10M39.00S,2022-12-03T00:41:59.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631100,88.51839684625493,56.61764705882353,1610612737,6,2,2022-12-03T00:42:06Z,140000,False,33.0,55.0,1,right,A. Griffin 6' driving floating Jump Shot (2 PTS),[1631100],1610612737.0,ATL,driving floating,,,Griffin,A. Griffin,,,,,In The Paint (Non-RA),0-8 Center,6.45,Made,2.0,,,,,,,,,,,,,,,,,
15,PT10M22.00S,2022-12-03T00:42:17.0Z,1,REGULAR,3pt,Jump Shot,[],1628971,9.411957950065702,97.79411764705883,1610612743,6,2,2022-12-03T00:42:23Z,150000,False,-239.0,36.0,1,left,MISS B. Brown 24' 3PT,[1628971],1610612743.0,DEN,,,,Brown,B. Brown,,,,,Left Corner 3,24+ Left,24.17,Missed,,,,,,,,,,,,,,,,,,
16,PT10M18.00S,2022-12-03T00:42:21.0Z,1,REGULAR,rebound,defensive,[],1629633,,,1610612737,6,2,2022-12-03T00:42:23Z,160000,False,,,0,,J. Culver REBOUND (Off:0 Def:1),[1629633],1610612737.0,ATL,,,,Culver,J. Culver,,,,,Left Corner 3,24+ Left,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,
17,PT10M06.00S,2022-12-03T00:42:33.0Z,1,REGULAR,2pt,Jump Shot,[],1627749,78.40013140604468,60.049019607843135,1610612737,8,2,2022-12-03T00:42:38Z,170000,False,50.0,151.0,1,right,D. Murray 15' pullup Jump Shot (2 PTS),[1627749],1610612737.0,ATL,pullup,,,Murray,D. Murray,,,,,Mid-Range,8-16 Center,15.87,Made,2.0,,,,,,,,,,,,,,,,,
