actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-03-25T21:10:10.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-25T21:10:10Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-03-25T21:10:12.4Z,1,REGULAR,jumpball,recovered,[],1629027,,,1610612737,0,0,2023-03-25T21:10:12Z,40000,False,,,0,,Jump Ball C. Capela vs. I. Jackson: Tip to T. Young,"[1629027, 203991, 1630543]",1610612737.0,ATL,startperiod,T. Young,1629027.0,Young,T. Young,Capela,203991.0,Jackson,1630543.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2023-03-25T21:10:26.8Z,1,REGULAR,3pt,Jump Shot,[],1627749,68.01905387647832,41.911764705882355,1610612737,0,0,2023-03-25T21:10:34Z,70000,False,-40.0,248.0,1,right,MISS D. Murray 25' 3PT,[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,Above the Break 3,24+ Center,25.14,Missed,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2023-03-25T21:10:32.8Z,1,REGULAR,rebound,defensive,[],1630543,,,1610612754,0,0,2023-03-25T21:10:34Z,80000,False,,,0,,I. Jackson REBOUND (Off:0 Def:1),[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,Above the Break 3,24+ Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M26.00S,2023-03-25T21:10:42.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629614,6.258212877792378,50.49019607843137,1610612754,0,2,2023-03-25T21:10:50Z,90000,False,-2.0,6.0,1,left,A. Nembhard cutting Layup (2 PTS) (A. Nesmith 1 AST),"[1629614, 1630174]",1610612754.0,IND,cutting,,,Nembhard,A. Nembhard,,,,,Restricted Area,0-8 Center,0.68,Made,,,,,2.0,A. Nesmith,1630174.0,1.0,,,,,,,,,,
11,PT11M14.00S,2023-03-25T21:10:54.8Z,1,REGULAR,3pt,Jump Shot,[],1628381,79.188567674113,89.70588235294117,1610612737,0,2,2023-03-25T21:11:03Z,110000,False,199.0,143.0,1,right,MISS J. Collins 24' 3PT,[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,Above the Break 3,24+ Right Center,24.47,Missed,,,,,,,,,,,,,,,,,,
12,PT11M11.00S,2023-03-25T21:10:58.5Z,1,REGULAR,rebound,offensive,[],203992,,,1610612737,0,2,2023-03-25T21:10:58Z,120000,False,,,0,,B. Bogdanovic REBOUND (Off:1 Def:0),[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,Above the Break 3,24+ Right Center,,,11.0,1.0,0.0,1.0,,,,,,,,,,,,,,
13,PT11M06.00S,2023-03-25T21:11:02.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203991,93.9060446780552,50.245098039215684,1610612737,2,2,2023-03-25T21:11:13Z,130000,False,1.0,5.0,1,right,C. Capela reverse Layup (2 PTS) (T. Young 1 AST),"[203991, 1629027]",1610612737.0,ATL,reverse,,,Capela,C. Capela,,,,,Restricted Area,0-8 Center,0.49,Made,,,,,2.0,T. Young,1629027.0,1.0,,,,,,,,,,
15,PT10M51.00S,2023-03-25T21:11:17.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629614,18.74178712220762,60.049019607843135,1610612754,2,4,2023-03-25T21:11:22Z,150000,False,-50.0,124.0,1,left,A. Nembhard 13' pullup Jump Shot (4 PTS),[1629614],1610612754.0,IND,pullup,,,Nembhard,A. Nembhard,,,,,In The Paint (Non-RA),8-16 Center,13.35,Made,,,,,4.0,,,,,,,,,,,,,
16,PT10M42.00S,2023-03-25T21:11:27.3Z,1,REGULAR,3pt,Jump Shot,[],1629027,75.64060446780552,15.686274509803921,1610612737,2,4,2023-03-25T21:12:04Z,160000,False,-172.0,176.0,1,right,MISS T. Young 24' pullup 3PT,[1629027],1610612737.0,ATL,pullup,,,Young,T. Young,,,,,Above the Break 3,24+ Left Center,24.62,Missed,,,,,,,,,,,,,,,,,,
17,PT10M38.00S,2023-03-25T21:11:31.3Z,1,REGULAR,rebound,defensive,[],1629614,,,1610612754,2,4,2023-03-25T21:11:40Z,170000,False,,,0,,A. Nembhard REBOUND (Off:0 Def:1),[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,Above the Break 3,24+ Left Center,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,
18,PT10M33.00S,2023-03-25T21:11:36.4Z,1,REGULAR,3pt,Jump Shot,[],1629614,7.5722733245729295,5.147058823529411,1610612754,2,7,2023-03-25T21:11:55Z,180000,False,224.0,19.0,1,left,A. Nembhard 3PT pullup (7 PTS) (T. Haliburton 1 AST),"[1629614, 1630169]",1610612754.0,IND,pullup,,,Nembhard,A. Nembhard,,,,,Right Corner 3,24+ Right,22.51,Made,,,,,7.0,T. Haliburton,1630169.0,1.0,,,,,,,,,,
20,PT10M19.00S,2023-03-25T21:11:49.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628381,94.82588699080158,51.470588235294116,1610612737,4,7,2023-03-25T21:11:59Z,200000,False,7.0,-4.0,1,right,J. Collins driving Layup (2 PTS) (D. Murray 1 AST),"[1628381, 1627749]",1610612737.0,ATL,driving,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,0.84,Made,,,,,2.0,D. Murray,1627749.0,1.0,,,,,,,,,,
21,PT10M07.00S,2023-03-25T21:12:02.0Z,1,REGULAR,3pt,Jump Shot,[],1630543,33.196452036793694,52.20588235294118,1610612754,4,7,2023-03-25T21:12:07Z,210000,False,-11.0,260.0,1,left,MISS I. Jackson 25' 3PT,[1630543],1610612754.0,IND,,,,Jackson,I. Jackson,,,,,Above the Break 3,24+ Center,25.97,Missed,,,,,,,,,,,,,,,,,,
22,PT10M03.00S,2023-03-25T21:12:06.0Z,1,REGULAR,rebound,defensive,[],203992,,,1610612737,4,7,2023-03-25T21:12:07Z,220000,False,,,0,,B. Bogdanovic REBOUND (Off:1 Def:1),[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,Above the Break 3,24+ Center,,,21.0,2.0,1.0,1.0,,,,,,,,,,,,,,
23,PT09M52.00S,2023-03-25T21:12:16.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628381,95.22010512483574,51.71568627450981,1610612737,6,7,2023-03-25T21:12:22Z,230000,False,9.0,-8.0,1,right,J. Collins driving Layup (4 PTS) (D. Murray 2 AST),"[1628381, 1627749]",1610612737.0,ATL,driving,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,1.15,Made,,,,,4.0,D. Murray,1627749.0,2.0,,,,,,,,,,
25,PT09M44.00S,2023-03-25T21:12:24.3Z,1,REGULAR,3pt,Jump Shot,[],1630169,31.35676741130092,33.088235294117645,1610612754,6,7,2023-03-25T21:13:28Z,250000,False,85.0,242.0,1,left,MISS T. Haliburton 25' pullup 3PT,[1630169],1610612754.0,IND,pullup,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Right Center,25.66,Missed,,,,,,,,,,,,,,,,,,
26,PT09M38.00S,2023-03-25T21:12:30.3Z,1,REGULAR,rebound,offensive,[],1630169,,,1610612754,6,7,2023-03-25T21:12:35Z,260000,False,,,0,,T. Haliburton REBOUND (Off:1 Def:0),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Right Center,,,25.0,1.0,0.0,1.0,,,,,,,,,,,,,,
